PhraseNumber,Manx,English,Notes
208* ,Ta'd beaghey bwoailley myr kayt as moddey , They live fighting like cat and dog (see Animals).,
,*Hig y vaare er ny wrangleryn , Ruin will come to wranglers (see Punishments).,
,"*Tra huittys ny maarlee magh, hig skeeal er ny kirree ", When the thieves fall out tidings will come of the sheep (see Thieves and Animals).,
,,"18. — Constancy, Inconstancy.",
66,Lhiam-lhiat ," With me, with thee.",
l0a.,"Chengey lhiam, chengey lhiat "," Tongue with me, tongue with thee (see The Body).",
,,19. — Contamination and Infection.,
67,Eshyn lhieys marish moddee irrys eh marish jarganyn , He who lies down with dogs will rise up with fleas (see Animals and Insects).,
68,Ta un cheyrrey screbbagh doghaney yn slane shioltane , One scabby sheep infects the whole flock (see Animals).,
,,"20. — Courage, Fear.",
69,T'ou cha daaney as assag , Thou art as bold as a weasel (see Animals).,
70,T'ou cha daaney as clagh vane ," Thou art as bold as a white stone, Or:",
,Cha vel ny smoo dy aggle aynyd na ta ayns clagh vane , There is no more fear in thee than there is in a white stone (see Country Objects).,
71,"S'mie ve daaney, agh s'olk ve ro ghaaney "," 'Tis good to be bold, but bad to be impudent (see Moderation).",
72,"Boayl nagh vel aggle, cha vel grayse "," Where fear is not, grace is not.",
,,21. — Ethics and General.,
73,"Nagh insh dou cre va mee, agh insh dou cre ta mee "," Don't tell me what I was, but tell me what I am.",
74,Ta'n red ta goit dy mie ny share na'n red ta jeant dy mie , What's taken well is better than what's done well.,
75,"Cha row rieau ""bare-lhiam"" jeant magh "," ""I would rather"" was never satisfied.",
76,Ta'n chied sponnag lowit , The first error is overlooked.,
77,Share soie son veg na roie son veg , Better sit for nothing than run for nothing.,
78,Haghyr eh ny share na hoill eh , It happened better than he deserved.,
79,Ta lane eddyr raa as jannoo , There's much between saying and doing.,
79*. ,"Tra ta ny hoirryn cha chiu, cha nyrrys da'n mean ve cha thanney "," When the edges are so thick, no wonder for the middle to be so thin.",
17a. ,"Cha vel fer erbee cha bouyr, as eshyn nagh jean clashtyn "," There is no man so deaf, as he who will not hear (see The Body).",
,*Ta niart erskyn kiart , Might is above right.,
,*Er ny ard-gheiney hig ard-cherraghey , On the chief men will come chief punishment (see Punishments).,
,*Lhiat myr hoill oo , To thee as thou deservest.,
,"*Tra t'ou jannoo yn trie, jean yn oarlagh "," When thou art doing the foot, do the inch.",
,,"24. — Goodness, Evil and Evil Doing.",
80,Eshyn ghuirrys skeeallyn hayrrys skeeallyn , He who hatches tales shall be caught by tales.,
81,"Share yn olk shione dooin, na yn olk nagh nhione dooin "," Better the evil we know, than the evil we do not know.",
82,S'beayn dagh olk , Every evil is durable.,
83,Shaghyn dagh olk , Avoid every evil.,
84,Cha smooinee rieau er yn olk nagh ren , [One] never thinks of the evil [one] did not do.,
85,"My olk ayn, smessey ass "," If bad [is] in, worse [may be] out.",
4a. ,Ta chengey ny host ny share na olk y ghra , A silent tongue is better than evil speaking (see The Body).,
,*S'olk yn eean ta broghey e edd hene , How bad the fowl that defiles its own nest (see Birds).,
,,"25. — Gratitude, Ingratitude.",
26a. ,Ta bee eeit jarroodit , Eaten food is forgotten (see Food).,
,,"26. — Happiness, Misery.",
86,Cha vel eshyn laccal gerjagh ta goaill soylley jeh aigney booiagh , He wants not happiness who enjoys a contented mind.,
,,"27. — Hope, Disappointment.",
87,"Cronk glass foddey voym, loam, loam tra roshym eh "," A green hill [when] far from me, bare, bare when I reach it (see Country Objects).",
,,"28. — Imposture, Lying, etc.",
88,"Mollee yn molteyr oo, my oddys eh "," The impostor will cheat thee, if he can.",
89,"Cha bee breagery credjit, ga dy ninsh eh yn irriney "," A liar will not be believed, though he speaks the truth.",
90,Ta rouyr chebbyn mie leodaghey mitchoor , Too many good offers disgust a rogue.,
91,Ta'n breagerey molley yn sonderey , The liar deceives the miser.,
92,Ny yial dy molley , Do not promise to deceive.,
93,"Myr sniessey yn oie, slhee ny mitchooryn "," The nearer the night, the more rogues (see Day and Night).",
94,"Laik lhiat ve marish y chioltane, agh ta'n eamagh ayd eamagh ny goair "," Thou wouldst like to be [numbered] with the flock, but thy bleat is the bleat of the goat (see Animals).",
95,Eshyn yiow skielley yiow eh craid , He who sustains an injury will get mocked.,
96,"Surree eh yn flout, my yiow eh yn glout "," He will suffer the scoff, if he gets the prog.",
7b. ,Ta cree dooie ny share na kione croutagh , A kind heart is better than a crafty head (see The Body and Kindness).,
,,28*. — Independence.,
22a. ,Ta dty lhiasagh dty ghoarn , Thy recompense is thy fist (see The Body).,
216a. ,Lhig dy chooilley vuck reuyrey jee hene , Let every pig dig for itself (seeAnimals).,
223a. ,Lhig dy chooilley ushag guirr e hoohyn hene , Let every bird hatch its own eggs (see Birds).,
,,"29. — Industry, Idleness.",
97,"Litcheragh goll dy lhie, litcheragh dy irree,","Lazy to go to bed, lazy to rise,",
,As litcheragh dy goll dys y cheeill Je-doonee ,And lazy to go to church on Sunday (see House and Church).,
98,Lhiggey my hraa , Letting time pass.,Applied as an epithet to an indolent fellow.
20a. ,Cha vow laue ny haaue veg , The idle hand gets nothing (see The Body).,
,,"30. — Kindness, Cruelty.",
99,"Eshyn nagh bee mie rish e gharran, shegin da yn phollan y chur lesh er e vooin "," He who will not be kind to his nag, must bring the saddle on his [own] back (see Animals).",
7a. ,Ta cree dooie ny share na kione croutagh , A kind heart is better than a crafty head (see The Body and Imposture).,
,,"31. — Knowledge, Ignorance.",
39a. ,"Ta ynsagh coamrey stoamey yn doonney berchagh, as t'eh berchys yn dooinney boght "," Learning is fine clothing of the rich man, and it is riches of the poor man (see Clothing and Riches).",
,,"32. — Liberality, Selfishness.",
1b. ,"Faggys ta my lheiney, agh ny sniessey ta my chrackan "," Near is my shirt, but nearer is my skin (see The Body and Clothing).",
19a. ,Sniessey yn uillin na yn cloan , Nearer [is] the elbow than the children (see The Body and Children).,
43b. ,Baase y derrey voddey bioys y voddey elley , The death of one dog is the life of another dog (see Death and Animals).,
51a. ,"Dy chooilley ghooinney er e hon hene, as Jee son ooilley ", Every man for himself and God for all (see God).,
,,"33. — Moderation, Gluttony.",
34a. ,Laa er-meshtey as laa er ushtey , A day tipsy and a day on water (seeFood).,
35a. ,"Dy ve aashagh 'syn oie, monney shibber nagh ee,","To be easy at night, much supper don't eat.",
,Er nonney n'oo plaiynt ee laccal dty laynt ,Or else thou'lt complain of wanting thy health (see Food and Health).,
36b. ,"Shibber eddrym, lhiabbee ghlen "," A light supper, a clean bed (see Food, Health, and House).",
48a. ,Cha dennee rieau yn soogh y shang , The glutton never felt for the starving (see Hunger).,
71a. ,"S'mie ve daaney, agh s'olk ve ro ghaaney "," 'Tis good to be forward, but bad to be impudent (see Courage).",
,,"34. — Modesty, Pride and Boasting.",
100,T'ad craa nyn moyrn er y cheilley , They are shaking their pride on each other.,
101,"Yiow moyrn lhieggey, as dagh unnane t'eh echey "," Pride will have a fall, and everyone who has it.",
102,Cha vel eh cheet jesh da moyrn dy yannoo red erbee ta laccal leshtal , It does not become pride to do anything that needs an apology.,
103,Cha dennee rieau moyrn feayraght , Pride never felt cold.,
103.* ,Cha jagh moylley ghooinney hene rieau foddey voish e ghorrys ," A man's praise of himself never went far from his door [or, self-praise is no recommendation].",
,,"35. — Punctuality, Unpunctuality.",
104,"Manxman like, a day behind the fair (see Village System and National).",,
105,Traa dy liooar! traa dy liooar! , Time enough! Time enough! (A Manx motto.),
,,"36. — Patience, Haste.",
105*. ,"Myr smoo siyr, smoo cumrail "," The greater haste, the greater hindrance.",
106,Stiark keayrt ta dooinney siyrragh ass seaghyn , Seldom is a hasty man out of trouble.,
61a. ,Ta aile meeley jannoo bry millish ," A slow fire makes sweet malt (seeIndustrial, Fire, and Caution).",
62a. ,Foddee yn moddey s'jerree tayrtyn y mwaagh ," Maybe the last dog will catch the hare (see Animals, The Chase, and Caution).",
63a. ,Lurg roayrt hig contraie , Ater spring-tide will come neap (see Caution andThe Sea).,
,"*Ny veggan as ny veggan, dee yn chayt y skeddan "," Little by little, [as] the cat ate the herring (see Animals and Fish).",
,,"37. — Wisdom, Folly.",
107,"Keeayl chionnit yn cheeayl share,","Bought wit [is] the best wit,",
,Mannagh vel ee kionnit ro gheyr ,If it be not bought too dear.,
108,Ta dooinney creeney mennick jannoo carrey jeh e noid , A wise man often makes a friend of his enemy (Enemies).,
109,"Ta keeayll ommidjys, ny slooid ny t'ee ec dooinney creeney dy reayll "," Wisdom is folly, unless a wise man keeps it.",
110,Gow coyrl bleb son keayrt , Take the advice of a fool for once.,
111,"Gowee bleb rish e voylley, as gowee dooinney creeney rish e phlaiynt "," A fool will receive praise, and a wise man will receive blame.",
21a. ,"Kione mooar er y veggan cheilley, as kione beg gyn veg edyr; towse cheilley rish "," A great head with little wit, and a little head without any; measure by wit (see The Body).",
,,38. — Classes in Society.,
112,Stroshey yn theay na yn Chiarn , The people are stronger than the Lord [of the Isle].,
,,39. — Co-operation.,
113,Myr sloo yn cheshaght smoo yn ayrn , The smaller the company the greater the share.,
114,Ta sheshey chammah as ayrn , A companion is as good as a share.,
115,Myr smoo yn cheshaght s'reagh yn chloie , The greater the company the merrier the sport (see Sports).,
116,"Raad ta jees ta reih,","Where there are two there's choice,",
,As raad ta troor ta teiy ,And where there are three there's pick.,
33a. ,"Commee obbyr, commee bee "," Sharing work, sharing food (see Work and Eating).",
,,40. — Commerce and Money.,
117,Cha jarg oo dty choayl y chreck , Thou canst not sell thy loss.,
118,Hig daill gys eeck , Credit will come to payment.,
119,Roshee daill y dorrys , Credit will reach the door.,
120,"Daa ghrogh eeck t'ayn, geeck rolaue, as dyn geeck edyr "," There are two bad pays, pay beforehand, and no pay at all.",
121,Geeck cabbyl marroo , Paying for a dead horse (see Animals).,
122,Airh wuigh as palchey j'ee , Yellow gold and plenty of it (see Riches).,
30a. ,Share goll dy lhie fegooish shibber na girree ayns lhiastynys , Better to go to bed supperless than to get up in debt (see Food).,
65a. ,"Millish dy ghoaill, agh sharroo dy eeck "," Sweet to take, but bitter to pay (see Caution).",
,*Cha row rieau cooid chebbit mie , Never were offered wares good.,
,,"42. — Friends, Enemies.",
123,"Kiangle myr noid, as yiow myr carrey "," Bind as an enemy, and you shall have as a friend.",
108a.,Ta dooinney creeney mennick jannoo carrey jeh e noid , A wise man often makes a friend of his enemy (see Wisdom).,
,*Myr y tarroo-deyill as y charage , Like the rove- or horned-beetle and the ordinary field-beetle (see Insects).,
,,43. — House and Home (including House Appliances).,
124,Siyn folmey smoo sheean nee , Empty vessels will make the most noise.,
125,"Tra ta thie dty naboo er aile, gow cairail jeh dty hie hene "," When thy neighbour's house is on fire, take care of thy own house.",
126,Shooyll ny thieyn , Walking the houses (see Poverty).,Begging.
127,Clagh ny killagh ayns kione dty hie wooar , [May] a stone of the church [be found] in the head of thy dwelling (see Church).,
128,Ta ny moddee er chur nyn gione 'sy phot , The dogs have put their heads in the pot (see Animals).,
129,"Shee er dty hie as dty aaght, ta'n fer-driaght ec dty ghorrys "," Peace on thy house and lodging, the officer of justice is at thy door (see Law).",
23a. ,Eddyr daa stoyl ta'n toyn er laare , Between two stools the posterior is on the floor (see The Body).,
36c. ,"Shibber eddrym, lhiabbee glen "," A light supper, a clean bed (see Food and Moderation).",
97a. ,"Litcheragh goll dy lhie, litcheragh dy irree,","Lazy to go to bed, lazy to rise,",
,As litcheragh dy goll dys y cheill Je-doonee ,And lazy to go to church on Sunday (see Idleness and Church).,
,,"45. — Master, Servant.",
130,Lhigey'n laair vane , Galloping the white mare (see Animals).,Said of servants who run away from their places before the expiration of their period of servitude. This formerly was for twelve months.
57a. ,,To have the bridge and staff (see Customs).,"By an old custom, the Lords of the Island and chief officers had the privilege of compelling servants of both sexes into their service by ""yarding"", or an act of the lockman of placing his wand of office across their shoulders. The servants of certain clergymen and all members of the House of Keys were exempted from this rule by virtue of ""the bridge and staff"" which their employers were allowed."
,,46. — Marriage and Courtship.,
131,"Tra ta fer laccal ben, cha vel eh laccal agh ben,","When a man wants a wife, he wants but a wife,",
,"Agh tra ta ben echey, t'eh laccal ymmodee glen ","But when he has a wife, he wants a great deal.",
132,Sooree ghiare yn tooree share , A short courtship [is] the best courtship.,
133,Ny poose eirey-inneen ny slooid ny ta'n ayr eck er ny ve croghit , Do not marry an heiress unless her father has been hanged (she is sure to be proud).,
134,Myr s'doo yn feeagh yiow eh sheshey , Black as is the raven he'll get a partner (see Birds).,
135,,"No herring, no wedding (see Fish).",
136,"Ta lane chyndaaghyn (or, Shimmey chyndaa) ayns carr-y-phoosee ", There are many variations in the nuptial song (see Social Life).,
,,"47. — Parents, Children.",
137,Ta booa vie ny gha as drogh lheiy ec , Many a good cow hath a bad calf (see Animals).,
138,"My ta keim 'sy laair, bee keim 'sy lhiy "," If there be an amble in the mare, there will be an amble in the colt (see Animals).",
139,Ta'n yeean myr e ghooie my vel clooie er y chione , The chicken is like its kind before down is on its head (see Birds).,
140,"Eshyn ta geddyn dooinney mie da e inneen t'eh cosney mac, agh eh ta geddyn drogh-chleuin t'eh coayl inneen "," He who gets a good man for his daughter gains a son, but he who gets a bad son-in-law loses a daughter.",
19b. ,Sniessey yn uillin na yn cloan , Nearer [is] the elbow than the children (seeThe Body and Selfishness).,
,,"48. — Riches, Poverty (including Charity).",
142,Cha vel sonnys gonnys , Store is no sore.,
143,Eshyn smoo hayrrys smoo vees echey , He who catches most will have most.,
144,Tasht prughag as ee lughag , Store miser and eat mouse (see Animals).,
145,Ta airh er cushagyn ayns shen , There is gold on cushags (ragwort) there (see Plants).,
146,"Boght, boght dy bragh "," Poor, poor for ever.",
147,Cha boght as lugh killagh , As poor as a church mouse (see Animals).,
148,"Cha nee eshyn ta red beg echey ta boght, agh eshyn ta geearree mooarane "," It is not he who has a little that's poor, but he who desires much.",
149,S'booiagh yn voght er yn veggan , How willing is the poor of the least [alms].,
150,Cha jinnagh dooinney ta coyrt dy ve ry-akin dy bragh jeirk 'sy dorraghys , A man who gives alms to be seen would never give in the dark.,
151,Cur meer da'n feeagh as hig eh reesht , Give a piece to the raven and he'll come again (see Birds).,
152,Cha boght as carage , As poor as a beetle (see Insects).,
,*Ny share ta'n oaie na bea eginagh , Better is the grave than a needy life (see Death).,
12a. ,"Tra scuirrys y lane dy choyrt, scuirrys y veeal dy voylley "," When the hand ceases to give, the tongue will cease to praise (see The Body).",
39b. ,"Ta ynsagh coamrey stoamey yn dooinney berchagh, as t'eh berchys yn dooinney boght "," Learning is fine clothing of the rich man, and it is riches of the poor man (see Clothing and Knowledge).",
55a. ,"Tra ta un dooinney boght cooney lesh dooinney boght elley, ta Jee hene garaghtee "," When one poor man helps another poor man, God himself laughs [for joy] (see God).",
122a. ,Airh wuigh as palchey j'ee , Yellow gold and plenty of it (see Commerce and Money).,
126a. ,Shooyll ny thieyn , Walking the houses (see Home)., Begging.
,,49. — Social Life.,
136a. ,Ta lane chyndaaghyn ayns carr-y-phoosee , There are many variations in the nuptial song (see Marriage).,
,,50. — Sport and the Chase.,
153,Tra s'reagh yn chloie share faagail jeh , When the sport is merriest it is best to leave off.,
153*. ,,He is playing fodjeeaght (exaggerating).,To play fodjeeaght is to shoot an arrow beyond all ordinary marks.
62b. ,Foddee yn moddey s'jerree tayrtyn y mwaagh ," Maybe the last dog will catch the hare (see Caution, Patience, and Animals).",
115a. ,Myr smoo yn cheshaght s'reagh yn chloie , The greater the company the merrier the sport (see Co-operation).,
,,"51. — Thrift, Waste.",
154,"Laa'l Moirrey ny gianle, lieh foddyr as lieh aile "," Candlemas Day (2 Feb.), [have] half [your] straw and half [your] firing (see Firing and Saints' Days).",
21a. ,Ta fooillagh naareydagh ny s'melley na ee scammyltagh , Shameful leaving is worse than shameful eating (see Food).,
,*Tasht seose cour ny cassyn gorley , Store up for bad feet (see The Body).,
,,52. — Trades.,
218a. ,Bock Yuan fannee , The gelding of John the flayer (see Animals and Topographical).,
,,53. — Village System.,
155,S'loam ta laare y valley vargee , How empty is the floor of the town market.,
156,,To go about like a brewing-pan (see Industrial).,"One brewing-pan, or kettle, once served for a whole neighbourhood, and was passed on from one landowner to another. In some instances it was parish property."
157,,The Manxman is never wise until the day after the fair (see National).,
104a.,,"Manxman like, a day behind the fair (see Unpunctuality and National).",
,,"54. — War, etc.",
158,Share craght ve 'sy cheer na mee ny mannan cheet stiagh meein , Better be slaughter in the country than the month of the kid (March) to come in gently (see Weather Wisdom).,
,,56. — Womankind.,
160,"Boayl ta gioee ta keck, as boayl ta mraane ta pleat "," Where there are geese there's dirt, and where there are women there's talking [tattling] (see Birds).",
161,Cadlee ny moddee tra ta ny mraane creearey , Dogs will sleep when the women are sifting (see Agriculture and Animals).,
11a. ,"Guilley smuggagh, dooinney glen,","A snotty boy [makes] a clean man,",
,"Inneen smuggagh, sluht dy ven ","A snotty girl, a slut of a woman (see The Body).",
,,57. — Work.,
162,Caghlaa obbyr aash , Change of work is rest.,
163,Ta greme ayns traa cooie sauail nuy , A stitch in proper time saves nine.,
164,Lesh y vioys shegin dooin jannoo , With life we must work.,
165,"Obbyr dyn shirrey, obbyr dyn booise "," Work without request, work without thanks.",
166,Obbyr laa yn ghuilley buigh — obbyr laue , The day work of the yellow lad — hand work.,
25a. ,Un eam gys bee as jees gys obbyr , One call to food and two to work (see Food).,
33b. ,"Commee obbyr, commee bee "," Sharing work, sharing food (see Food and Co-operation).",
,,58. — Church and Churchyard.,
167,Share farkagh er baare faarkey ny er keim rullickey , Better be waiting on the crest of a billow than on the churchyard stile (see The Sea).,
168,"Ollick vog, rhullic vea "," A wet Christmas, a rich churchyard (see Weather Wisdom and Seasons).",
169,"Laa'l Parlane, daa honn goll 'sy nane ", St. Bartholomew's Day two masses go in one (see Holy Days).,
170,,There will neither be clag nor kiaullane.,"Probably of Roman Catholic origin, signifying that there will neither be large nor little bell — neither prayers nor mass; i.e., no service at all. (Kiaullane = Bellman's bell.)"
171,"Shenn phot, shenn ghryle,","An old pot, an old griddle,",
,Shenn chlooid dy choodaghey yn aile ,An old clout to cover the fire.,Description of the bells of Kirk Arbory.
45a. ,"Dy beagh er e volg myr t'ee er e dreeym,","If it were on its belly as it is on its back,",
,Shimmey mac dooinney yinnagh ee harrish y cheym ,Many a son of man would it put over the stile (see Health and Insects).,
97b. ,"Litcheragh goll dy lhie, litcheragh dy irree,","Lazy to go to bed, lazy to rise,",
,As litcheragh dy goll dys y cheeill Je-doonee ,And lazy to go to church on Sunday (see Industry and House).,
127a. ,Clagh ny killagh ayns kione dty hie wooar , [May] a stone of the church [be found] in the head of thy dwelling (see House).,"Another version gives corneil, ""corner"".
This was once the greatest curse that could be applied by one person to another. It evidently referred to sacrilege, which the Manx held in the greatest abhorrence and superstitious dread."
,,60*. — Bureaucracy.,
172,,As stiff as the staff of government.,"Applied to a person whose carriage is stiff and erect. Its origin was a white staff, which the Governor of the Island received on his instalment, swearing that he will ""truly and uprightly deal between the Queen and her subjects, and as indifferently betwixt party and party as this staff now standeth"". "
,,62. — Rulers.,
237a.,Raad mooar Ree Gorree ," The great road of King Orry (see The Sun, Persons).",
252a.,,"Duke of Atholl, King of Man, Is the greatest man in all the lan' (see Persons).",
,,,
,,"63, 64. — Justice, Laws.",
173,Tra ta'n gheay 'sy villey yiow shiu magh yn Ghuilley-glass , When the wind is in the tree you will get the Lockman.,Lockman] An officer corresponding with the sheriff's officer in England.
174,"Yn loam leigh, yn loam chair "," Bare law, bare justice.",
9a. ,"Shee er dty hie as dty aaght, ta'n fer-driaght ec dty ghorrys "," Peace on thy house and lodging, the officer of justice is at thy door (see House).",
,,66. — Punishments.,
,*Hig y vaare er ny wrangleryn , Ruin will come to wranglers (see War).,
,*Er ny ard-gheiney hig ard-cherraghey , On the chief men will come chief punishment (see Ethics).,
,,66*. — Judges.,
175,Eshyn nagh gow rish briw erbee t'eh deyrey eh hene , He who will acknowledge no judge condemns himself.,
