English,Manx,Manx Original,Notes,,Page
"But when men do swear of custom, in reasoning, buying, and selling, or other daily communications (as many be common and great swearers,) such kind of swearing is ungodly, unlawful, and forbidden by the commandment of God:","Agh tra ta deiney loo dy cadjin ayns pleadeil, ayns kionnaghey as creck, ny ayns ayrn erbee elley jeh nyn ymmyrkey gagh laa, (myr ta ymmodee looderyn cadjin as eajee) ta lheid y loo mee-chrauee, noi yn leigh, as mee-lowal liorish saraghyn Yee.","Agh tra ta deiney loo dy cadjin ayns pleadeil, ayns kionnaghey as creck, ny ayns ayrn erbee elley jeh nyn ymmyrkey gagh laa, (myr ta ymmodee looderyn cadjin as eajee) ta lheid y loo mee-chrauee, noi yn leih, as mee-lowal liorish saraghyn Yee.",,,2
for such swearing is nothing else but taking of God’s holy name in vain. ,Son cha vel lheid y loo red erbee elley agh goaill ennym casherick Yee ayns fardail.,Son cha vel lheid y loo red erbee elley agh goaill ennym casherick yee ayns fardail.,,,2
"And here is to be noted, that lawful swearing is not forbidden, but commanded by Almighty God: for we have examples of Christ and godly men, in holy Scripture, that did swear themselves, and required oaths of others likewise; and God’s commandment is, Thou shalt dread thy Lord God, and shalt swear by his name. Deut. vi. And Almighty God by his Prophet David saith, All men shall be praised that swear by him. Psal. lxiii.","As ayns shoh lhisagh tastey ve goit nagh vel sarey erbee noi loo er oyryn cooie, agh er ny harey liorish Jee ooilley-niartal. Son ta sampleyryn ain jeh Creest as deiney crauee ayns ny Scriptyryn casherick, ren ad-hene loo, as ren shirrey er sleih elley dy loo myrgeddin. As sarey Jee hene te, ver oo arrym da’n Chiarn dty Yee as nee oo loo liorish e ennym. [Deut. vi. 13.] As ta Jee ooilley-niartal gra liorish y Phadeyr David, “bee dy chooilley ghooinney er ny voylley ta loo liorishyn.” [Ps. lxiii. 12.] [4]","As ayns shoh lhisagh tastey ve goit nagh vel sarey erbee noi loo er oyryn cooie, agh er ny harey liorish Jee ooilley-niartal. Son ta sampleyryn ain jeh Creest as deiney crauee ayns ny Scriptyryn casherick, ren ad-hene loo, as ren shirrey er sleih elley dy loo myrgeddin. As sarey Jee hene te, ver oo arrym da’n Chiarn dty Yee as nee oo loo liorish e ennym. As ta Jee ooilley-niartal gra liorish y Phadeyr David, “bee dy chooilley ghooinney er ny voylley ta loo liorishyn.” [4]","[4] Not a literal quotation, but a paraphrase: while the Manx psalter has ‘adsyn ooilley myrgeddin ta loo biallys dasyn, vees er nyn moylley,’ the paraphrase matches rather the English AV which has ‘all they also that swear by him shall be commended.’",,2
"Thus did our Saviour Christ swear divers times, saying, Verily, verily: John iii. and St. Paul sweareth thus, I call God to witness: 2 Cor. i. and Abraham, waxing old, required an oath of his servant, that he should procure a wife for his son Isaac, which should come out of his own kindred: and the servant did swear that he would perform his master’s will. Gen. xxiv.","Myr shoh ren nyn Saualtagh Creest loo caghlaaghyn keayrt gra, Dy firrinagh, firrinagh. As ta’n Noo Paul loo myr shoh, “Ta mee geamagh er Jee gys feanish.” [2 Cor. i. 23][5] As ren Abraham tra v’eh er roie ayns eaish cur er e harvaant loo dy jinnagh eh geddyn da e vac Isaac ben jeh’n chynney echey hene, as ren y Charvaant loo dy jinnagh eh cooilleeney aigney e vainshtyr. [Gen. xxiv. 3, 9.]","Myr shoh ren nyn Saualtagh Creest loo caghlaaghyn keayrt gra, Dy firrinagh, firrinagh. As ta’n Noo Paul loo myr shoh, “Ta mee geamagh er Jee gys feanish.” [5] As ren Abraham tra v’eh er roie ayns eaish cur er e harvaant loo dy jinnagh eh geddyn da e vac Isaac ben jeh’n chynney echey hene, as ren y Charvaant loo dy jinnagh eh cooilleeney aigney e vainshtyr.","[5] Again, a paraphrase, not a quotation. After this point the text of this homily does not use quotation marks for its paraphrased references (and only once, for an essentially exact quote, from Zechariah).",,3
"Abraham also, being required, did swear unto Abimelech the king of Geraris, that he should not hurt him, nor his posterity; and likewise did Abimelech swear unto Abraham. Gen. xxi.. ","Ren Abraham (tra ve er ny hirrey er) loo da Abimeleck Ree Gerar nagh jinnagh eh assee da-hene ny da e lhuight, as ren Abimeleck myrgeddin loo da Abraham. [Gen. xxi. 23, 32.] ","Ren Abraham (tra ve er ny hirrey er) loo da Abimeleck Ree Gerar nagh jinnagh eh assee da-hene ny da e lhuight, as ren Abimeleck myrgeddin loo da Abraham.",,,3
And David did swear to be and to continue a faithful friend to Jonathan; and Jonathan did swear to become a faithful friend unto David,As ren David loo dy ve as dy hannaghtyn carrey firrinagh da Jonathan as ren Jonathan loo dy ve carrey firrinagh da David. [1 Sam. xx. 42.],As ren David loo dy ve as dy hannaghtyn carrey firrinagh da Jonathan as ren Jonathan loo dy ve carrey firrinagh da David. ,,,3
"Also God once commanded, that if a thing were laid to pledge to any man, or left with him to keep, if the same thing were stolen, or lost, that the keeper thereof should be sworn before judges, that he did not convey it away, nor used any deceit in causing the same to be conveyed away, by his consent or knowledge.","Myrgeddin ren Jee cheayrt dy row sarey, my va red erbee er ny choyrt myr Gioal da dooinney erbee, ny faagit echey dy hashtey, my va’n red cheddin er ny gheid ny caillit, dy neign dasyn huggey v’er ny choyrt dy hashtey loo kiongoyrt rish Briwnyn nagh ghow eh eh ersooyll, as nagh ren eh molteyrys erbee ayns geddyn eh currit lesh ersooyll liorish persoon erbee elley, liorish e chied ny lesh e hushtey. [Exod. xxii. 11.]","Myrgeddin ren Jee cheayrt dy row sarey, my va red erbee er ny choyrt myr Gioal da dooinney erbee, ny faagit echey dy hashtey, my va’n red cheddin er ny gheid ny caillit, dy neign dasyn huggey v’er ny choyrt dy hashtey loo kiongoyrt rish Briwnyn nagh ghow eh eh ersooyll, as nagh ren eh molteyrys erbee ayns geddyn eh currit lesh ersooyll liorish persoon erbee elley, liorish e chied ny lesh e hushtey.",,,3
"And St. Paul saith, That in all matters of controversy between two persons, whereas one saith yea, and the other nay, so as no due proof can be had of the truth, the end of every such controversy must be an oath ministered by a judge. Heb. vi.","As ta’n Noo Paul gra, ayns dy chooilley streeu eddyr daa phersoon, tra ta’n derrey yeh gra she, as yn jeh elley cha nee, as nagh vel prowal erbee fondagh ry-gheddyn jeh’n irriney, dy chur jerrey er lheid y streeu dy negin da loo v’er ny ghoaill kiongoyrt rish Briw. [Heb. vi. 16.]","As ta’n Noo Paul gra, ayns dy chooilley streeu eddyr daa phersoon, tra ta’n derrey yeh gra she, as yn jeh elley cha nee, as nagh vel prowal erbee fondagh ry-gheddyn jeh’n irriney, dy chur jerrey er lheid y streeu dy negin da loo v’er ny ghoaill kiongoyrt rish Briw.",,,3
"And, moreover, God by the Prophet Jeremy saith, Thou shalt swear, the Lord liveth in truth, in judgment, in righteousness. Jer. iv.","As myrgeddin ta Jee liorish y Phadeyr Jeremiah gra, Nee oo loo myr ta’n Chiarn bio ayns firrinys, ayns briwnys as ynrickys. [Jer. iv. 2.]","As myrgeddin ta Jee liorish y Phadeyr Jeremiah gra nee oo loo myr ta’n Chiarn bio ayns firrinys, ayns briwnys as ynrickys.",,,3
"So that whosoever sweareth when he is required of a judge, let him be sure in his conscience that his oath have these three conditions, and he shall never need to be afraid of perjury. ","Shen-y-fa quoi-erbee ta loo tra t’eh er ny eamagh huggey liorish Briw lhig da ve shickyrit ayns e chooinsheanse hene dy vel eh kiart ayns ny three ayrnyn shoh, as eisht cha lhiass da dy bragh goaill aggle dy jean eh loo-oaiagh.",,,,3
What conditions an oath ought to have.,,,,,4
"First, he that sweareth must swear truly; that is, he must (setting apart all favour and affection to the parties) have the truth only before his eyes, and, for love thereof, say and speak that which he knoweth to be truth, and no further.","Hoshiaght, eshyn ta loo, shegin da loo dy firrinagh, ta shen (cur dy lhiattee dy chooilley foayr as aigney mie da’n derrey yeh ny da’n jeh elley jeusyn t’ec streeu) shegin da freayll yn irriney ynrycan kiongoyrt rish e hooillyn, as er graih yn ynrickys gra as loayrt shen ta fys echey dy ve yn irriney, as gyn veg smoo.","Hoshiaght, eshyn ta loo, shegin da loo dy firrinagh, ta shen (cur dy lhiattee dy chooilley foayr as aigney mie da’n derrey yeh ny da’n jeh elley jeusyn t’ec streu) shegin da freayll yn irriney ynrycan kiongoyrt rish e hooillyn, as er graih yn ynrickys gra as loayrt shen ta fys echey dy ve yn irriney, as gyn veg smoo.",,,4
The second.,,,,,4
"The second is, he that taketh an oath, must do it with judgment; not rashly and unadvisedly, but soberly, considering what an oath is.","’Sy nah ynnyd, eshyn ta goaill loo, shegin da jannoo eh lesh briwnys, cha nee dy daaney, as dy mee-choyrlagh, agh dy sheelt, smooinaghtyn dy dowin cre t’eh jannoo.",,,,4
The third,,,,,4
"The third is, he that sweareth, must swear in righteousness; that is, for the very zeal and love which he beareth to the defence of innocency, to the maintenance of the truth, and to the righteousness of the matter or cause: all profit, disprofit, all love and favour unto the person for friendship or kin","’Sy trass ynnyd, eshyn ta loo shegin da loo ayns ynrickys, ta shen son y ghraih jeean t’echey dy endeil onid, dy chummal seose yn irriney, as dy hoilshaghey cheu chairagh yn chooish; tilgey dy lhiattee dy chooilley smooinaghtyn jeh cosney ny coayl, dy chooilley ghraih as foayr gys yn derrey phersoon er graih mooinjerys ny caarjys.","’Sy trass ynnyd, eshyn ta loo shegin da loo ayns ynrickys, ta shen son y ghraih jeean t’echey dy endeil onid, dy chummal seose yn irriney, as dy hoilshaghey cheu chairagh yn chooish. Tilgey dy lhiattee dy chooilley smooinaghtyn jeh cosney ny coayl dy chooilley ghraih as foayr gys yn derrey phersoon er graih mooinjerys ny caarjys.",,,4
Why we be willed in Scripture to swear by the name of God,,,,,4
"Thus an oath (if it have with it these three conditions) is a part of God’s glory, which we are bound by his commandments to give unto him: for he willeth that we shall swear only by his name; not that he hath pleasure in our oaths; but like as he commanded the Jews to offer sacrifice unto him, not for any delight that he had in them, but to keep the Jews from committing of idolatry; so, he commanding us to swear by his holy name, doth not teach us that he delighteth in swearing, but he thereby forbiddeth all men to give his glory to any creature in heaven, earth, or water.","Myr shoh ta loo (my t’eh firrinagh ayns ny three ayrnyn shoh) ayrn jeh’n gloyr shen ta shin kianlt liorish saraghyn Yee dy eeck da. Son t’eh yn aigney echeysyn dy jinnagh shiu[6] loo ynrycan liorish yn ennym echeysyn: cha nee er-yn-oyr dy vel taitnys echeysyn ayns loo, agh myr hug eh sarey da ny Hewnyn dy hebbal ourallyn huggeysyn, cha nee er coontey taitnys erbee v’echey ayns ourallyn, agh dy reayll ny Hewnyn voish cur ooashley da Jallooyn; myr shen, tra t’eh sarey shiu dy loo liorish yn ennym casherick echeysyn, cha vel eh gynsaghey shiu dy vel eshyn goaill taitnys ayns loo, agh t’eh liorish shen mee-lowal dy chooilley ghooinney dy choyrt yn ghloyr echeysyn da cretoor erbee ayns niau, er yn ooir, ny ayns yn ushtey.",,"[6] Here and below in this paragraph, the translator replaces ‘we’ with ‘you’.",,4
Isaiah xlii.,,,,,5
Commodities had by lawful oaths made and observed,,,,,5
"Hitherto you see that oaths lawful are commanded of God, used of patriarchs and prophets, [Psalm xv.][7] of Christ himself, and of his Apostle Paul.","Liorish ny ta er ve rait, hee shiu dy vel Dy Loo ayns aght lowal er ny harey liorish Jee, er ny yannoo liorish ny shen ayryn as Phadeyryn [Ps. xv. 5], liorish Creest hene, as e Ostyl Paul.","Liorish ny ta er ve rait, hee shiu dy vel Dy Loo ayns aght lowal er ny harey liorish Jee, er ny yannoo liorish ny shen ayryn as Phadeyryn, liorish Creest hene, as e Ostyl Paul.",[7] This ref in 1817.,,5
Therefore Christian people must think lawful oaths both godly and necessary.,"Shen-y-fa shegin da dy chooilley Chreestee jeeaghyn er loo ayns aght cooie, dy ve crauee as ymmyrchagh.",,,,5
"For by lawful promise and covenants, confirmed by oaths, princes and their countries are confirmed in common tranquillity and peace. By holy promises, with calling the name of God to witness, we be made lively members of Christ, when we profess his religion receiving the sacrament of baptism.","Son liorish gialdynyn as conaantyn lowal, er ny hickyraghey liorish loo, ta Reeaghyn as ny cheeraghyn oc er nyn reayll ayns shee as sauchys; liorish gialdynyn casherick, geamagh er ennym Yee ta shiu jeant oltyn bio jeh corp Chreest tra ta shiu goaill rish yn chredjue echey ayns Bashtey.","Son liorish gialdynyn as conaantyn lowal, er ny hickyraghey liorish loo, ta Reeaghyn as ny cheeraghyn oc er nyn reayll ayns shee as sauchys, liorish gialdynyn casherick, geamagh er ennym Yee ta shiu jeant oltyn bio jeh corp Chreest tra ta shiu goaill rish yn chredjue echey ayns Bashtey.",,,5
"By like holy promise the sacrament of matrimony knitteth man and wife in perpetual love, that they desire not to be separated for any displeasure or adversity that shall after happen.","Liorish gialdynyn casherick myrgeddin ta shirveish y phoosee sniemmey dy cheilley dooinney as ben, cha shickyr ayns graih nagh vel ad geearree dy ve er ny scarrey liorish lhag-haghyrt erbee dy vel cheet ny raad oc.","Liorish gialdynyn casherick myrgeddin ta shirveish y phoosee sniemmey dy cheilley dooinney as ben, cha shickyr ayns graih nagh vel ad geearee dy ve er ny scarrey liorish lhag-haghyrt erbee dy vel cheet ny raad oc.",,,5
"By lawful oaths, which kings, princes, judges and magistrates do swear, common laws are kept inviolate, justice is indifferently ministered, harmless persons, fatherless children, widows and poor men, are defended from murderers, oppressors, and thieves, that they suffer no wrong, nor take any harm.","Liorish ny looghyn lowal ta Reeaghyn as Briwnyn as Fir-oik gurneil, ta leighyn y theay er ny reayll gyn brishey, ta Briwnys dy kiart er ny choyrt, ta persoonyn oney, cloan gyn Ayr, mraane treoghe, as deiney boghtey er nyn vendeil voish dunveryn, tranlaasee as maarlee, nagh jean ad surranse aggair ny geddyn assee.",,,,5
"By lawful oaths, mutual society, amity, and good order is kept continually in all commonalties; as boroughs, cities, towns, and villages: and by lawful oaths malefactors are searched out, wrong doers are punished, and they which sustain wrong are restored to their right:","Liorish loo ayns aght lowal ta commeeys, graih, as ymmyrkey mie er ny reayll seose ayns cheeraghyn, reeriaghtyn, as ard-valjyn. As liorish loo ayns aght lowal ta drogh-yantee er ny gheddyn magh, as er nyn gerraghey, as adsyn ta surranse aggair geddyn cairys.",,,,5
"therefore lawful swearing cannot be evil, which bringeth unto us so many godly, good, and necessary commodities. ","Shen-y-fa cha vod loo ayns aght lowal ve olk ta cur lesh hooin whilleen red casherick, mie as ymmyrchagh.",,,,5
Vain swearing is forbidden.,,,,,5
"Wherefore, when Christ so earnestly forbad swearing, it may not be understood as though he did forbid all manner of oaths: but he forbiddeth all vain swearing and forswearing both by God, and by his creatures, as the common use of swearing in buying, selling, and in our daily communication, to the intent every Christian man’s word should be as well regarded in such matters, as if he should confirm his communication with an oath: for every Christian man’s word, saith St. Hierom, should be so true, that it should be regarded as an oath.","Shen-y-fa tra ta Creest mee-lowal loo ayns aght cha jeean, cha vod eh ve er ny hoiggal myr dy beagh eh mee-lowal dy chooilley cheint dy loo, agh t’eh mee-lowal loo ayns aght fardailagh, as loo-oaiagh liorish Jee, ny veg jeh e chretooryn, ta shen loo cadjin ayns nyn ghellalyn, as ayns nyn dhaggloo cadjin, er-chee dy vod fockle dy chooilley Chreestee ve er ny ghoaill er lheid ny oyryn unchooid as[8] dy beagh eh dy hickyraghey ny t’eh dy ghra liorish loo. Son lhisagh fockle dy chooilley Chreestee, ta Hierom gra, ve cha firrinagh dy lhisagh eh ve[9] jeeaghyt er myr loo.","Shen-y-fa tra ta Creest mee-lowal loo ayns aght cha jeean, cha vod eh ve er ny hoiggal myr dy beagh eh mee-lowal dy chooilley cheint dy loo, agh t’eh mee-lowal loo ayns aght fardailagh, as loo-oaiagh liorish Jee, ny veg jeh e chretooryn, ta shen loo cadjin ayns nyn ghellalyn, as ayns nyn dhaggloo cadjin, er-chee dy vod fockle dy chooilley Chreestee ve er ny ghoaill er lheed ny oyryn unchooid as[8] dy beagh eh dy hickyraghey ny t’eh dy ghra liorish loo. Son lhisagh fockle dy chooilley Chreestee, ta Hierom gra, ve cha firrinagh dy lhisagh eh veh jeeaghyt er myr loo.","[8] unchooid as] cf. Cregeen: ‘yn un chooid, s. the same, one and the same; Gen. xli. 26 Ta ny shiaght booaghyn mie, cowraghey shiaght bleeantyn; as ta ny shiaght jeeassyn mie shiaght bleeantyn: ta’n dreamal yn unchooid. ‘The seven good kine are seven years; and the seven good ears are seven years: the dream is one.’’ Dorraghys oie ta’n un chooid da / as soilshey’n ghrian ec y vun-laa, Hymn [211]. Should we read yn unchooid as here?",,5
"And Chrysostom, witnessing the same, saith, It is not convenient to swear: for what need we to swear, when it is not lawful for one of us to make a lie unto another?","As ta Chrysostom loayrt gys yn ymmyd cheddin gra, cha vel eh jesh dy loo, son cre’n oyr ta shiu loo tra nagh vel eh lowal dooin dy yannoo breg yn derrey yeh da’n jeh elley?",,,,6
An objection.,,,,,6
"Peradventure some will say, I am compelled to swear, for else men that do commune with me, or do buy and sell with me, will not believe me.","Foddee dy jir paart, Ta mee eginit dy loo, son er aght elley cha jean adsyn ta mee loayrt roo, adsyn ta mee kionnaghey voue, ny creck roo, mee y chredjal.","Foddee dy jir paart, ta mee eginit dy loo, son er aght elley cha jean adsyn ta mee loayrt roo, adsyn ta mee kionnaghey voue, ny creck roo, mee y chredjal.",,,6
An answer.,,,,,6
"To this answereth St. Chrysostom, that he that thus saith, sheweth himself to be an unjust and a deceitful person:","Gys shoh ta Chrysostom gansoor dy vel eshyn ta loayrt myr shoh soilshaghey eh-hene dy ve dooinney neu-chairagh as molteyragh,",,,,6
"for if he were a trusty man, and his deeds taken to agree with his words, he should not need to swear at all:","son dy beagh eh dooinney treishteilagh as e yannoo er ny akin dy ve cordail rish e ghoan, cha beagh veg y feme echey loo.",,,,6
"for he that useth truth and plainness in his bargaining and communication, he shall have no need, by such vain swearing, to ring himself in credence with his neighbours; nor will his neighbours mistrust his sayings.","Son eshyn ta cur tastey da firrinys as jeeryd ayns e ghellallyn as e ghoan, cha bee feme erbee echey dy ghoaill ennym Yee ayns fardail, dy vod eh ve er ny chredjal liorish e naboonyn, as nagh bee ad mee-ouryssagh mychione ny t’eh gra.",,,,6
"And, if his credence be so much lost indeed, that he thinketh no man will believe him without he swear, then he may well think his credence is clean gone:[10]",,,[10] This sentence is omitted in the translation.,,6
"for truth it is, as Theophylactus writeth, that no man is less trusted, than he that useth much to swear: and Almighty God by the Wise Man saith, That man which sweareth much shall be full of sin, and the scourge of God shall not depart from his house. Ecclus. xxiii.","Son te firrinagh nagh vel dooinney erbee ny sloo treishtit na eshyn ta loo ayns e ghlare cadjin. As ta Jee Ooilley-niartal liorish beeal yn dooinney creeney gra, yn dooinney shen ta loo dy mennic bee eh lane dy pheccah, as cha jean kerraghey Yee scughey voish e hie. [Ecclus. xxiii. 11.]","Son te firrinagh nagh vel dooinney erbee ny sloo treishtit na eshyn ta loo ayns e ghlare cadjin. As ta Jee Ooilley-niartal liorish beeal yn dooinney creeney gra, yn dooinney shen ta loo dy mennic bee eh lane dy pheccah, as cha jean kerraghey Yee scughey voish e hie.",,,6
Another objection.,,,,,6
"But here some men will say, for excusing of their many oaths in their daily talk, Why should I not swear, when I swear truly?","Agh ayns shoh jir paart cour leshtal y yannoo son nyn lane loo ayns nyn daggloo cadjin, Cre’n oyr nagh jinnin loo tra ta mee loo dy firrinagh?","Agh ayns shoh jir paart cour leshtal y yannoo son nyn lane loo ayns nyn daggloo cadjin, cre’noyr nagh jinnin loo tra ta mee loo dy firrinagh;",,,6
An answer.,,,,,6
"To such men it may be said, that though they swear truly, yet in swearing often, unadvisedly, for trifles, without necessity, and when they should not swear, they be not without fault; but do take God’s most holy name in vain.","rish lheid ny persoonyn oddys eh ve rait, ga dy vel ad loo dy firrinagh, ny yeih ayns loo dy mennic as dy mee-choyrlagh son reddyn dy veggan foaynoo, fegooish ymmyrch ve er y hon, as tra nagh lhisagh ad loo, cha vel ad fegooish foill, agh ta’d goaill ennym smoo casherick Yee ayns fardail.","rish lheid ny persoonyn oddys eh ve rait, ga dy vel ad loo dy firrinagh, ny yeih ayns loo dy mennic as dy meechoyrlagh son reddyn dy veggan foaynoo, fegooish ymmyrch ve er y hon, as tra nagh lhisagh ad loo, cha vel ad fegooish foill, agh ta’d goaill ennym smoo casherick Yee ayns fardail.",,,6
"Much more ungodly and unwise men are they, that abuse God’s most holy name, not only in buying and selling of small things daily in all places; but also in eating, drinking, playing, communing, and reasoning: ","Agh foddey s’mee-chrauee as s’mee-cheeayllee ta ny deiney shen ta jannoo drogh-ymmyd jeh ennym smoo casherick Yee, cha nee ynrycan ayns kionnaghey as creck, ayns dagh cooish[11] as ayns dagh boayll, agh myrgeddin ayns gee as giu, as cloie as pleadeil cadjin; ",,[11] ayns dagh chooish] mistranslates ‘of small things daily.’,,7
"as if none of these things might be done, except in doing of them the most holy name of God be commonly used and abused, vainly and unreverently talked of, sworn by, and forsworn, to the breaking of God’s commandment and procurement of his indignation.","Myr nagh voddagh ad veg jeh ny reddyn shoh y yannoo fegooish dy cadjin, dy fardailagh, as dy mee-arrymagh goaill ennym smoo casherick Yee as loo liorish, myr shoh brishey saraghyn Yee, as tayrn neose orroo-hene e chorree.","Myr nagh voddagh ad veg jeh ny reddyn shoh y yannoo fegooish dy cadjin, dy fardailagh, as dy mee arrymagh goaill ennym smoo casherick Yee as loo liorish, myr shoh brishey saraghyn Yee, as tayrn neose orroo-hene e chorree.",,,7
The Second Part of the Sermon of Swearing.,Yn Nah Ayrn.,,,,7
"You have been taught in the first part of this Sermon against swearing and perjury, what great danger it is to use the name of God in vain; and that all kind of swearing is not unlawful, neither against God’s commandment; and that there be three things required in a lawful oath.","Ta shiuish er ve ynsit ayns y chied ayrn jeh’n Homily shoh noi loo cadjin, as loo-oaiagh dy vel eh erskyn-towse dangeyragh dy ghoaill ennym Yee ayns fardail, as nagh vel dy chooilley cheint dy loo neu-lowal, cha moo noi saraghyn Yee, as dy vel three reddyn ymmyrchagh ayns loo lowal.","SHIUISH ta er ve ynsit ayns y chied ayrn jeh’n Homily shoh noi loo cadjin, as loo-oaiagh dy vel eh erskyn-towse dangeyragh dy ghoaill ennym Yee ayns fardail, as nagh vel dy chooilley cheint dy loo neu-lowal, cha moo noi saraghyn Yee, as dy vel three reddyn ymmyrchagh ayns loo lowal.",,,7
"First, that it be made for the maintenance of the truth: secondly, that it be made with judgment, not rashly and unadvisedly; thirdly, for the zeal and love of justice.","Hoshiaght, dy bee eh er ny yannoo dy chummal seose yn irriney. ’Sy nah ynnyd, dy bee eh jeant lesh briwnys, cha nee dy eddrym as dy mee-choyrlagh. ’Sy trass ynnyd, trooid jeeanid as graih er cairys.","Hoshiaght, dy bee eh er ny yannoo dy chummal seose yn irriney. S’y nah ynnyd, dy bee eh jeant lesh briwnys, cha nee dy eddrym as dy mee-choyrlagh. S’y trass ynnyd, trooid jeeanid as graih er cairys.",,,7
