English,Manx,Manx Original,Notes,Page
"For death cannot deprive them of Jesus Christ, nor can any sin condemn them that are grafted surely in him, which is their only joy, treasure, and life.","Son cha vod baase scarrey ad veih Yeesey Creest, chamoo oddys peccah erbee adsyn y gheyrey ta gruntit dy shickyr ersyn, ta nyn ynrycan boggey, berchys, as bioys.",,,9
"Let us repent of our sins, amend our lives, trust in his mercy, and satisfaction; and death can neither take him from us, nor us from him.","Lhig dooin goaill arrys son nyn beccaghyn, lhiassaghey nyn mea, treishteil ayns e vyghin, as e hoilchinys, as cha vod baase eddyr eshyn y ghoaill voinyn, ny shinyn veihsyn.",,,9
"For then (as St. Paul saith) whether we live or die, we be the Lord’s own.","Son eisht myr ta’n Noo Paul gra, “eddyr shin ve bio ny marroo ta shin lesh y Chiarn.”",,,9
"And again he saith, Christ did die, and rose again, because he should be Lord both of the dead and quick.","As reesht t’eh gra, “Hooar Creest baase as dirree eh reesht dy voddagh eh ve Chiarn chammah jeh ny bioee as ny merriu.”",,,9
"Then, if we be the Lord’s own when we be dead, it must needs follow that such temporal death not only cannot harm us, but also that it shall much be to our profit, and join us unto God more perfectly.","Eisht my ta shin lesh y Chiarn tra ta shin marroo, te cronnal cha nee ynrycan nagh vod baase jannoo skielley dooin, agh myrgeddin dy bee eh erskyn-towse vondeishagh dooin, as shin ny smoo y sniemmey gys Jee.",,,9
"And thereof the Christian heart may surely be certified by the infallible or undeceivable truth of holy Scripture. It is God, saith St. Paul, which hath prepared us unto immortality; and the same is he which hath given us an earnest of the Spirit. 2 Cor. v.","As jeh shoh foddee cree yn Chreestee v’er ny hickyraghey liorish firrinys ny Scriptyryn Casherick nagh vod shin y volley. “Nish eshyn t’er chroo shin son yn eer red shoh she Jee eh, ta myrgeddin er chur dooin eearlys y Spyrryd. (2 Cor. v. 5.)",,,9
"Therefore let us be always of good comfort; for we know that so long as we be in the body, we be (as it were) far from God in a strange country, subject to many perils, walking without perfect sight and knowledge of Almighty God, only seeing him by faith in the holy Scriptures.","Shen-y-fa lhig dooin ve dy kinjagh dy yien mie, son ta fys ain choud’s ta shin ayns y callin, ta[4] shin myr dy beagh eh foddey veih Jee ayns Cheer yoarree, foshlit roish ymmodee gaueghyn, gimmeeaght fegooish shilley cronnal as tushtey dy Yee ooilley-niartal, ynrycan fakin eh liorish credjue ayns ny Scriptyryn Casherick.",,"[4] ta] dy vel expected here, after ta fys ain.",9
"But we have a courage and desire rather to be at home with God and our Saviour Christ, far from the body, where we may behold his Godhead as he is, face to face, to our everlasting comfort.","Agh ta dunnallys as yeearree ain ny sleaïe dy ve ec y thie Marish Jee as nyn Saualtagh Creest, foddey-voish y chorp, raad oddys mayd cur-my-ner e ghloyr myr t’eh eddin ry-eddin gys nyn gherjagh dy bragh farraghtyn.",,,10
"These be St. Paul’s words in effect, whereby we may perceive, that the life in this world is resembled and likened to a pilgrimage in a strange country, far from God; and that death, delivering us from our bodies, doth send us straight home into our own country, and maketh us to dwell presently with God for ever, in everlasting rest and quietness: so that to die is no loss, but profit and winning to all true Christian people. ","Ta shoh bree goan y Noo Paul, lioroo foddee mayd fakin dy vel bea yn theihll shoh er ny hoylaghey gys troailtys ayns Cheer yoarree, foddey veih Jee; as dy vel baase myr te livrey shin veih nyn gallinyn cur lesh shin jeeragh gys ny jeer hene, as cur orrin chelleeragh dy chummal marish Jee son dy bragh, ayns fea as shee dy bragh farraghtyn: myr shen dy gheddyn baase cha vel eh coayll, agh vondeish as cosney gys dy chooilley Chreestee firrinagh. ",,,10
"What lost the thief, that hanged on the cross with Christ, by his bodily death? Yea, how much did he gain by it! Did not our Saviour say unto him, This day thou shalt be with me in Paradise? Luke xvi.","Row coayll ec y vaarliagh v’er ny chrossey marish Creest liorish baase e challin? Nagh row dy jarroo lane cosney echey liorish? Nagh dooyrt nyn Jiarn rish, “Bee uss marym’s jiu ayns Paradise.” (Luke xxiii. 43)","Row coayll ec y vaarliagh v’er ny chrossey marish Creest liorish baase e challin? Nagh row dy jarroo lane cosney echey liorish? Nagh dooyrt nyn Jiarn rish, “Bee uss marym’s jiu ayns Paradise. (Luke xxiii.)",,10
"And Lazarus, that pitiful person, that lay before the rich man’s gate, pained with sores, and pined with hunger, ","As nagh row baase erskyn-towse vondeishagh da Lazarus, yn marvaanagh treih shen, va ny lhie roish giatt y dooinney berchagh, guint lesh lhottyn as goll neeu lesh accyrys.",,,10
"did not death highly profit and promote him, which by the ministry of angels sent him unto Abraham’s bosom, a place of rest, joy, and heavenly consolation?","Nagh dug eh lesh eh liorish shirveish Ainleyn gys oghrish Abraham, ynnyd dy ea, dy voggey as dy gherjagh flaunyssagh?","Nagh dug eh lesh eh liorish shirveish Ainleyn gys oghrish Abraham, ynnyd dy ea, dy voggey as dy gherjagh flaunyssagh.",,10
