English,Manx,Notes,Page
He now began to understand the true interpretation of his dream. ,Va shilley echey nish jeh bun as bree e ghreamal. ,,
"He thought he had been out of his mind all his life, and that to love and serve Jesus Christ would be a restoration to his right senses again.","Smooinee eh dy row eh er ve ershaghryn ayns e aigney ooilley laghyn e vea, as liorish ve graihagh er as shirveish Yeesey Chreest dy jinnagh eh cosney reesht e cheeayl as e chooniaghtyn.",,
He was now almost over whelmed with pleasure. ,V’eh nish lhieent lesh boggey.,,
"While hearing of the astonishing love of Jesus Christ to sinners, hope took the place of despair, and joy of grief and horror!","Choud’s v’eh clashtyn jeh graih yindyssagh Yeesey Chreest gys peccee, ren e vee-hreishteil as e aggle chea ersooyl; ",,
"Those eyes which had never shed a tear when he lost his legs, nor when the shattered parts of his limbs were [11] amputated, now wept in copious streams flowing from strong sensations of mingled joy and sorrow!","ren ny sooillyn shen nagh ren shilley un jeir tra chaill eh e chassyn, ny tra va ny ayrnyn brisht jeh e oltyn dy yiarey jeh, keayney dy sharroo veih ennaghtyn dowin dy voggey as dy hrimshey.",,
"Some weeks after this, he called and related to me the whole of his history and experience. ","Tammylt lurg shoh ta’n Shirveishagh ren scrieu yn coontey shoh gra, haink eh dy yeeaghyn mee as hug eh dou coontey jeh e vea as jeh obbyr Yee er e annym. ",,
"He was surprised to find that I had never received any information about him at the time the sermon was preached, which so exactly met his case. ",Gow eh yindys tra cheayll eh nagh row veg er ve inshit dou mychione echeysyn roish va’n sharmane er ny phreacheil va er dy chooilley aght cha cooie da’n stayd [4] echeysyn.,,
"Something more than twelve months after this time, he was received a member of our church, having given satisfactory evidences of being a genuine and consistent Christian.",Mysh blein lurg shoh v’eh goit stiagh myr olt jeh’n Agglish ain lurg da v’er choyrt prowallyn fondagh dy row eh ny Chreestee firrinagh. ,,
"A few weeks since, hearing he was ill, I went to visit him.",Tammylt er dy hienney tra cheayll mee dy row eh ching hie mee dy yeeaghyn eh.,,
"When I entered his room, he said, “Come in, thou man of God! I have been longing to see you and tell you the happy state of my mind.","Tra haink mee stiagh raad v’eh ny lhie dooyrt eh, “Tar stiagh uss ghooinney dy Yee! Ta mee er ve ghoaill foddeeaght dy akin shiu, as dy insh diu stayd mayrnrey my annym. ",,
I believe I shall soon die; but death has now no terrors in it. ,"Ta mee chredjal dy voym dy leah baase, agh cha vel nish atchim erbee ayns baase dooys.",,
"The sting of death is sin, but thanks be to God, he has given me the victory through Jesus Christ. ","Gah yn vaish she peccah eh, agh booise dy row gys Jee t’er choyrt dooys yn varriaght trooid Yeesey Chreest nyn Jiarn.",,
"I am going to heaven! O! what has Jesus done for me, one of the vilest sinners of the human race!” ","Ta mee goll gys niau. Oh! cre ta Yeesey er n’yannoo er my hon’s, fer jeh ny peccee s’treih va rieau er ny ruggey.” ",,
"—A little before he died, when he thought himself within a few hours of dissolution, he said, “I have often thought it was a hard thing to die, but now I find it a very easy thing [12] to die.","Tra gerryd roish hooar eh baase, tra smooinee eh dy row eh roi partail dooyrt eh, “Va mee cliaghtey smooniaghtyn dy row eh red dooillee dy gheddyn baase, agh nish ta mee feddyn eh feer aashagh.",,
"The presence of Christ makes it easy.[8] The joy I feel from a sense of the love of God to sinners, from the thought of being with the Saviour, of being free from a sinful heart, and enjoying the presence of God for ever, is more than I can express! ","Ta’n boggey ta mee gennaghtyn veih graih Yee gys peccee, veih’n treishteil jeh ve marish my Haualtagh, jeh ve feayslit veih cree peccoil, as jeh goaill soylley jeh fenish Yee son dy bragh, ny smoo na oddym’s fockley magh. ",[8] This sentence not rendered in the Manx.,
"O, how different my thoughts of God, and of myself, and of another world, from what they were when I lost my precious limbs on board the Venerable! It was a precious loss to me! If I had not lost my legs, I should perhaps have lost my soul!”","Oh! cren caghlaa t’ayns my smooniaghtyn mychione Jee, mychione stayd my annym, as mychione yn seihll ta ry heet, veih ny smooniaghtyn v’ayms tra chaill mee my oltyn deyr erboard y lhong. Smaynrey yn coayll va shen dooys! Mannagh bee’n er choayll my chassyn oddin ve er choayll my annym.”",,
"With elevated and clasped hands, and with eyes glistening with earnestness, through the tears which flowed down his face, he said, “O, my dear minister, I pray you, when I am dead, to preach a funeral sermon for a poor sailor; and tell others, especially sailors, who are as ignorant and wicked as I was, that poor blaspheming Covey found mercy with God, through faith, in the blood of Christ! ","—Lesh laueyn troggit seose as lesh sooillyn lane dy yeir dooyrt eh ny sodjey, “O my charrey ennoil! ta mee guee erriu, tra vee’m ersooyll, dy phreacheil sharmane ec oanluckey shiolteyr boght, as dy insh da feallagh elley, er-lheh da shiolteyryn ta cha meehushtagh as cha peccoil as va mee hene, dy dooar Covey, lurg ooilley e hreihys as e ard-loghtinys, myghin veih Jee trooid chredjue ayns fuill Chreest. ",,
"Tell them, that since I have found mercy, none that seek it need to despair.",Inshjee daue myr hooar lheid y droghyantagh myghin cha lhiass da fer erbee ta shirrey er y hon ve meehreishteilagh. ,,
You know better than I do what to say to them! ,"Ta fys eu hene, ny share na oddym’s ginsh diu, cre’d dy ghra;",,
"But, oh, be in earnest with them; and may the Lord grant that my wicked neighbours and fellow-sailors may find mercy, as well as Covey!” ","agh oh! gueejee orroo dy jeean, as dy giall y Chiarn dy vod my naboonyn peccoil, as my heshaghyn shiolteyr, feddyn myghin myr hooar Covey myghin.”",,
"[13] He said much more; but his last words were, “Hallelujah! Hallelujah!” ","—Loayr eh foddey smoo, agh ny focklyn s’terree loayr eh va’d “Hallelujah! Hallelujah!”",,
[J.G.][9],,[9] 1817.,
"[Both English editions end with two poems: The Alarm, and God reconciled in Christ.]",,,
,"Printed by R. Tilling, Circus-street, Liverpool.",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
