English,Manx,Manx Original,Notes,Page
"And although this justification be free unto us, yet it cometh not so freely unto us, that there is no ransom paid therefore at all. ",As ga dy vel shin myr shoh er nyn seyrey dy nastee; ny-yeih cha vel shin er nyn seyrey cha nastee shen nagh vel price erbee eeckit er y hon.,,,2
"But here may man’s reason be astonished, reasoning after this fashion;","Agh ayns shoh foddee resoon ghooinney goaill yindys, resooney er yn aght shoh:",,,2
"If a ransom be paid for our redemption, then it is not given us freely. For a prisoner that payeth his ransom is not let go freely; for if he go freely, then he goeth without ransom: for what is it else to go freely than to be set at liberty without payment of ransom? ","My ta price eeckit son nyn gionnaghey-reesht, eisht cha vel eh er ny choyrt dooin dy nastee. Son cha vel yn pryssoonagh, ta geeck e lhiassaghey, er ny eaysley dy nastee: son my t’eh er ny eaysley dy nastee, eisht t’eh goll fegooish lhiassaghey: son c’red te eisht dy v’er ny eaysley dy nastee, agh dy v’er ny eaysley fegooish argid, as fegooish leagh?",,,3
Answer.,,,,3
"This reason is satisfied by the great wisdom of God in this mystery of our redemption; who hath so tempered his justice and mercy together, that he would neither by his justice condemn us unto the everlasting captivity of the devil, and his prison of hell, remediless for ever without mercy; nor by his mercy deliver us clearly, without justice, or payment of a just ransom; but with his endless mercy he joined his most upright and equal justice.","Ta ansoor er ny choyrt da’n resooney shoh liorish ard chreenaght Yee ayns y folliaght shoh jeh nyn gionnaghey reesht; ta er sniemmey cairys as myghin cooidjagh er lheid yn aght, nagh jinnagh eh liorish e chairys deyrey shin gys cappeeys dy bragh farraghtyn y drogh-spyrryd, as pryssoon niurin, veih nagh vel feaysley trooid ny earishyn bra; chamoo liorish e vyghin chur dooin livrey-ys fegooish lhiassaghey ve jeant gys e chairys: agh ren eh sniemmey cooidjagh e vyghin feoilt as e chairys corrym-kiart.",,,3
"His great mercy he shewed unto us in delivering us from our former captivity, without requiring of any ransom to be paid, or amends to be made upon our parts; which thing by us had been impossible to be done.","E vyghin wooar ren eh soilshaghey dooin ayns feaysley shin veih nyn gappeeys, fegooish shirrey veg dy ve eeckit, ny lhiassaghey erbee dy ve jeant, er yn ayrn ain; red nagh voddagh ve jeant liorin hene.",,,3
"And, whereas, it lay not in us that to do, he provided a ransom for us; that was, the most precious body and blood of his own most dear and best beloved Son Jesus Christ; who besides this ransom, fulfilled the Law for us perfectly.","As myr nagh row niart ain shen y chooilleeney, chair[4] eshyn lhiassaghey er nyn son; ta shen, corp as fuill smoo ooasle e Vac graihagh Yeesey Creest: ren, marish y lhiassaghey shoh yn Leigh y chooilleeney dy firrinagh ayns yn ynnyd ain.",,[4] chair] i.e. chiare,3
"And so the justice of God and his mercy did embrace together, and fulfilled the mystery of our redemption.","As myr shoh ren cairys as myghin Yee coyrt qualtys dy cheilley,[5] as folliaght nyn gionnaghey reesht y chooilleeney.",,[5] Allusion to Ps. 85.10: Ta myghin as firrinys er choyrt qualtys d’y cheilley. ,3
"And of this justice and mercy of God, knit together, speaketh St. Paul in the third chapter to the Romans; Rom. iii.","As jeh yn cairys as myghin shoh dy Yee sniemmit cooidjagh, ta Noo Paul loayrt ayns y trass chabdyl gys ny Romanee: (23–25):",,,3
"All have offended and have need of the glory of God, but are justified freely by his grace, by redemption which is in Jesus Christ; whom God hath set forth to us for a reconciler and peace-maker through faith in his blood, to show his righteousness.","“Son ta ooilley er n’yannoo peccah, as er jeet giare jeh gloyr Yee; dy nastee jeant seyr liorish e ghrayse, trooid [y] livrey-ys ta ayns Yeesey Creest; eh ta Jee er chiarail dy ve ny lhiassaghey, trooid credjue ayns e uill, dy hoilshaghey magh e chairys.”","“Son ta ooilley er n’yannoo peccah, as er jeet giare jeh gloyr Yee; dy nastee jeant seyr liorish e ghrayse, trooid livrey-ys ta ayns Yeesey Creest; eh ta Jee er chairail dy ve ny lhiassaghey, trooid credjue ayns e uill, dy hoilshaghey magh e chairys.”",,4
"And in the tenth chapter; Rom. x. Christ is the end of the Law unto righteousness, to every man that believeth.",As ayns y jeihoo chabdyl: (4): “Ta Creest jerrey yn Leigh son cairys da dy chooilley unnane ta credjal.”,,,4
"And in the eighth chapter; Rom. viii. That which was impossible by the Law, inasmuch as it was weak by the flesh, God sending his own Son in the similitude of sinful flesh, by sin condemned sin in the flesh; that the righteousness of the Law might be fulfilled in us, which walk not after the flesh, but after the Spirit.","As ayns y hoghtoo chabdyl: (3, 4): “Shen nagh voddagh y Leigh y yannoo, trooid annooinid ny foalley, ren Jee liorish coyrt e Vac hene ayns caslys feill peccoil, as son peccah, peccah y gheyrey ayns yn eill, dy voddagh cairys y Leigh v’er ny chooilleeney aynin, nagh vel gimmeeaght lurg yn eill, agh lurg y Spyrryd.”",,,4
Three things must go together in our justification.,Shegin da tree reddyn goll cooidjagh dy heyrey shin.,,,4
"In these foresaid places, the Apostle toucheth specially three things, which must go together in our justification.","Ayns ny ynnydyn roïe enmyssit, ta’n Ostyl loayrt er-lheh jeh tree reddyn, shegin goll cooidjagh dy heyrey shin.",,,4
"Upon God’s part, his great mercy and grace: upon Christ’s part, justice: that is, the satisfaction of God’s justice, or the price of our redemption, by the offering of his body, and shedding of his blood with fulfilling of the Law perfectly and thoroughly: and upon our part true and lively faith in the merits of Jesus Christ; which yet is not ours, but by God’s working in us.","Er ayrn Yee, e vyghin as e ghrayse; er ayrn Chreest, cairys, ta shen, lhiassaghey jeant da cairys Yee, ny yn price jeh nyn gionnaghey reesht liorish chebbal e chorp, as deayrtey e uill, marish cooilleeney yn Leigh dy slane as dy firrinagh; as er yn ayrn ain, credjue firrinagh as bioal ayns toilchinys Yeesey Creest; nagh vel ny-yeih yn obbyr ainyn, agh obbrit aynin liorish Jee:",,,4
"So that in our justification, there is not only God’s mercy and grace, but also his justice; which the Apostle calleth the justice of God; and it consisteth in paying our ransom and fulfilling of the Law. ","myr shen, ayns seyrey shin, cha vel ynrican myghin as grayse Yee er ny hoilshaghey, agh myrgeddin e chairys, shen ta’n Ostyl genmys “Cairys Yee:” as t’eh shassoo ayns jannoo lhiassaghey er nyn son, as ayns cooilleeney yn Leigh: ",,,4
"And so the grace of God doth not shut out the justice of God in our justification, but only shutteth out the justice of man; that is to say, the justice of our works, as to be merits of deserving our justification. And therefore St. Paul declareth here nothing, upon the behalf of man, concerning his justification; but only a true and lively faith; which nevertheless is the gift of God, and not man’s only work, without God.","as myr shoh cha vel grayse Yee giarey magh cairys Yee ayns seyrey shin, agh ynrican giarey magh cairys dooinney: ta shen dy ghra, cairys nyn obbraghyn hene, myr tooilloo saualtys. As shen-y-fa cha vel y Noo Paul fockley magh veg myr ymmyrchagh dy heyrey shin, agh ynrican credjue firrinagh as bioal: as ta shoh ny-yeih gioot Yee, as cha nee obbyr dooinney fegooish Jee.",,,4
"How it is to be understood, that faith justifieth without works.",Cre’n aght ta credjue seyrey fegooish obbraghyn.,,,5
"And yet, that faith doth not shut out repentance, hope, love, dread and the fear of God, to be joined with faith in every man that is justified; but it shutteth them out from the office of justifying.","Agh ny-yeih nagh[6] vel credjue giarey magh arrys, treishteil, graih, as aggle Yee, dy ve sniemmit gys credjue ayns dy chooilley ghooinney t’er ny heyrey; agh t’eh giarey ad magh veih’n oik jeh seyrey shin.",,"[6] nagh vel] The translator reads ‘that’ as a complementizer, rather than the demonstrative intended —‘that faith’, i.e. ‘a true and lively faith , which is the gift of God.’",5
"So that, although they be all present together in him that is justified, yet they justify not all together.","Myr shen, ga dy vel [ad] ooilley ry-gheddyn aynsyn ta er ny heyrey; ny-yeih cha vel ad seyrey raad t’ad ooilley.","Myr shen, ga dy vel ooilley ry-gheddyn aynsyn ta er ny heyrey; ny-yeih cha vel ad seyrey raad t’ad ooilley.",,5
,,,,5
"Neither doth faith shut out the justice of our good works, necessarily to be done afterward of duty towards God —for we are most bounden to serve God, in doing good deeds commanded by him in his Holy Scripture, all the days of our life— but it excludeth them, so that we may not do them to this intent, to be made good by doing of them. For all the good works, that we can do, be imperfect; and therefore not able to deserve our justification: but our justification doth come freely, by the mere mercy of God; and of so great and free mercy, that, whereas all the world was not able of themselves to pay any part towards their ransom, it pleased our heavenly Father, of his infinite mercy, without any our desert or deserving, to prepare for us the most precious jewels of Christ’s body and blood; whereby our ransom might be fully paid, the Law fulfilled, and his justice fully satisfied. ","Chamoo ta credjue giarey magh ynrickys nyn obbraghyn mie, ta ymmyrchagh dy ve jeant ny lurg veih currym gys Jee: son ta shin kianlt dy hirveish Jee, ooilley laghyn nyn mea, ayns jannoo obbraghyn mie ta er nyn sarey liorishyn ayns ny Scriptyryn Casherick: agh t’eh giarey ad magh myr shen, nagh vel shin dy yannoo ad son yn oyr shoh — dy v’er nyn seyrey liorish jannoo ad. Son ta ooilley ny obbraghyn mie oddys mayd y yannoo, neu-feeu; as shen-y- fa cha vel ad fondagh dy heyrey shin; agh ta shin er nyn seyrey dy nastee liorish myghin feoilt Yee; as shen myghin cha arryltagh as gyn-lhiettal dy gooidsve lesh nyn Ayr Flaunyssagh, tra nagh row niart ec y slane seihll dy eeck veg son y livrey-ys oc, jeh e vyghin erskyn-insh, fegooish veg y toilchinys er yn ayrn ain, dy charail er nyn son corp as fuill costal Chreest; lioroo oddagh oural fondagh ve chebbit er nyn son, yn Leigh cooilleenit, as slane lhiassaghey ve jeant gys e chairys.","Chamoo ta credjue giarey magh ynrickys nyn obbraghyn mie, ta ymmyrchagh dy ve jeant ny lurg veigh currym gys Jee: son ta shin kianlt dy hirveish Jee, ooilley laghyn nyn mea, ayns jannoo obbraghyn mie ta er nyn sarey liorishyn ayns ny Scriptyryn Casherick: agh t’eh giarey ad magh myr shen, nagh vel shin dy yannoo ad son yn oyr shoh — dy v’er nyn seyrey liorish jannoo ad. Son ta ooilley ny obbraghyn mie oddys mayd y yannoo, neu-feu; as shen-y- fa cha vel ad fondagh dy heyrey shin; agh ta shin er nyn seyrey dy nastee liorish myghin feoilt Yee; as shen myghin cha arryltagh as gyn-lhiettal dy gooidsve lesh nyn Ayr Flaunyssagh, tra nagh row niart ec y slane seihll dy eeck veg son y livrey-ys oc, jeh e vyghin erskyn-insh, fegooish veg y toilchinys er yn ayrn ain, dy charail er nyn son corp as fuill costal Chreest; lioroo oddagh oural fondagh ve chebbit er nyn son, yn Leigh cooilleenit, as slane lhiassaghey ve jeant gys e chairys.",,5
So that Christ is now the righteousness of all them that truly do believe in him.,Myr shen dy vel Creest nish [yn] ynrickys ocsyn ooilley ta dy firrinagh credjal aynsyn.,Myr shen dy vel Creest nish ynrickys ocsyn ooilley ta dy firrinagh credjal aynsyn.,,6
He for them paid their ransom by his death. ,Eshyn ren lhiassaghey er nyn son liorish e vaase.,,,6
He for them fulfilled the Law in his life.,Eshyn ren y Leigh y cooilleeney er nyn son ayns e vea.,,,6
"So that now in him, and by him, every true Christian man may be called a fulfiller of the Law: forasmuch as that which their infirmity lacked, Christ’s justice hath supplied. ","Myr shen nish, aynsyn, as liorishyn, foddee dy chooilley Chreestee firrinagh ve rait dy chooilleeney yn Leigh; er-yn-oyr dy vel ynrickys Chreest er n’yannoo seose shen ny va er-gooyll trooid yn annoonid ocsyn hene.",,,6
THE SECOND PART OF THE SERMON OF SALVATION.,Yn Nah Ayrn jeh’n Charmane mychione Saualtys.,,,6
"Ye have heard, of whom all men ought to seek their justification and righteousness; and how also this righteousness cometh unto men by Christ’s death and merits.",Ta shiu er chlashtyn quoi voish lhisagh ooilley sheelnaue shirrey nyn seyrey as ynrickys; as cre’n aght myrgeddin ta’n ynrickys shoh cheet gys deiney liorish baase as toilchinys Chreest.,,,6
"Ye heard also, how that three things are required to the obtaining of our righteousness; that is, God’s mercy, Christ’s justice, and a true and lively faith; out of the which faith spring good works.","Ta shiu er chlashtyn myrgeddin, kys ta tree reddyn ymmyrchagh dy chosney [nyn] ynrickys; ta shen, myghin Yee, cairys Chreest, as credjue firrinagh as bioal, yn credjue shen ta gymmyrkey magh obbraghyn mie.","Ta shiu er chlashtyn myrgeddin, kys ta tree reddyn ymmyrchagh dy chosney ynrickys; ta shen, myghin Yee, cairys Chreest, as credjue firrinagh as bioal, yn credjue shen ta gymmyrkey magh obbraghyn mie.",,6
"Also before was declared at large, that no man can be justified by his own good works; because that no man fulfilleth the Law according to the strict rigour of the Law.","Ve myrgeddin inshit roïe dy baghtal, nagh vod dooinney erbee v’er ny heyrey liorish e obbraghyn mie hene; [son] nagh vel dooinney erbee cooilleeney yn Leigh cordail rish bree kiart yn Leigh.","Ve myrgeddin inshit roïe dy baghtal, nagh vod dooinney erbee v’er ny heyrey liorish e obbraghyn mie hene; nagh vel dooinney erbee cooilleeney yn Leigh cordail rish bree kiart yn Leigh.",,6
"And St. Paul in his Epistle to the Galatians, proveth the same, Gal. ii. saying thus; If there had been any law given, which could have justified, verily righteousness should have been by the Law.","As ta Noo Paul, ayns yn[8] Screeuyn echey gys ny Galatianee, prowal yn chooid cheddin, (cab. iii. 21), gra myr shoh: “Dy beagh leigh er ve er ny livrey, oddagh bea y choyrt, lhisagh cairys dy firrinagh er ny ve liorish y leigh.”","As ta Noo Paul, ayns ny Screeuyn echey gys ny Galatianee, prowal yn chooid cheddin, (cab. iii. 21), gra myr shoh: “Dy beagh leigh er ve er ny livrey, oddagh bea y choyrt, lhisagh cairys dy firrinagh er ny ve liorish y leigh.”",,6
"And again he saith; If righteousness be by the Law, then Christ died in vain. Ephes. ii.","As reesht t’eh gra: “My ta seyrsnys cheet liorish y leigh, eisht ta Creest marroo ayns fardail.” (cab. ii. 21).",,,7
And again he saith; You that are justified by the Law are fallen away from grace.,"As reesht t’eh gra: “Cha vel Creest jeh veg y foays diu, quoi erbee eu ta jerkal dy ve er ny heyrey liorish y leigh: ta shiu er duittym veih grayse.”[9] (cab. v. 4.)",,[9] The Manx adds the first part of the verse in the quotation.,7
"And furthermore, he writeth to the Ephesians on this wise; By grace are ye saved through faith, and that not of yourselves, for it is the gift of God; and not of works, lest any man should glory.","As ny sodjey t’eh scrieu gys ny Ephesianee er yn aght shoh: (cab. ii. 8, 9): “Liorish grayse ta shiu er nyn sauail, trooid credjue: as shen cha nee jiu hene; she gioot Yee eh; cha nee liorish obbraghyn, nagh jinnagh dooinney erbee boggyssagh.”",,,7
"And to be short, the sum of all Paul’s disputation is this; that if justice come of works, then it cometh not of grace; and if it come of grace then, it cometh not of works. ","As ayns fockle, shoh bun as bree jeh slane resooney yn Ostyl:— my ta ynrickys cheet veih obbraghyn, eisht cha vel eh cheet veih grayse; as my te cheet veih grayse, eisht cha vel eh cheet veih obbraghyn.",,,7
,,,,7
"And to this end tend all the Prophets, as St. Peter saith in the tenth of the Acts; Acts x. Of Christ all the prophets, saith St. Peter, do witness, that through his name all they that believe in him shall receive the remission of sins.","As shoh eh ta ooilley ny Phadeyryn soilshaghey, myr ta Noo Peddyr gra ayns y jeihoo chabdyl jeh Jannoo ny Hostyllyn: (43): “Leshyn ta ooilley ny Phadeyryn gymmyrkey feanish, trooid yn ennym echeysyn; quoi-erbee chredjys ayn, dy vow eh feaysley peccaghyn.”","As shoh eh ta ooilley ny Phadeyryn soilshaghey, myr ta Noo Peddyr gra ayns y jeihoo chabdyl jeh Jannoo ny Hostyllyn: (43): “Leshyn ta ooilley ny Phadeyryn gymmyrkey fenish, trooid yn ennym echeysyn; quoi-erbee credjys ayn, dy vow eh feaysley peccaghyn.”",,7
"Faith only justifieth, is the doctrine of old Doctors.",Ta ny shenn fir-ynsee soil-shaghey dy vel credjue ny-lomarcan seyrey.,,,7
"And after this wise to be justified, only by this true and lively faith in Christ, speak all the old and ancient authors, both Greeks and Latins; of whom I will specially rehearse three, Hilary, Basil and Ambrose.","As er yn aght shoh, dy vel shin er nyn seyrey ynrican liorish yn credjue firrinagh as bioal shoh ayns Creest, ta ooilley ny Screeudeyryn ayns ny shenn earishyn, chammah Greekyn as Romanee, gymmyrkey feanish: jeu neem imraa jeh tree er-lheh —Hilary, Basil, as Ambrose.","As er yn aght shoh, dy vel shin er nyn seyrey ynrican liorish yn credjue firrinagh as bioal shoh ayns Creest, ta ooilley ny Screudeyryn ayns ny shenn earishyn, chammah Greekyn as Romanee, gymmyrkey fenish: jeu neem imraa jeh tree er-lheh —Hilary, Basil, as Ambrose.",,7
St. Hilary saith these words plainly in the ninth Canon upon Matthew; Faith only justifieth.,"Ta Hilary fockley magh ny goan shoh, ayns y nuyoo Canon er Sushtal y Noo Mian: “Ta credjue ny-lomarcan seyrey.”",,,7
"And St. Basil, a Greek author, writeth thus; This is a perfect and whole rejoicing in God when a man advanceth not himself for his own righteousness, but acknowledgeth himself to lack true justice and righteousness, and to be justified by the only faith in Christ.","As ta Basil, scrieu ayns Greek, er yn aght shoh: “Ta shoh boggey firrinagh as slane ayns Jee, tra nagh vel dooinney soiaghey eh-hene seose er coontey e ynrickys hene: agh goaill-rish dy vel eh hene laccal ynrickys firrinagh, as dy vel eh er ny heyrey ynrican liorish credjue ayns Creest.”",,,8
"And Paul, saith he, doth glory in the contempt of his own righteousness, and that he looketh for the righteousness of God by faith. Philip. iii. These be the very words of St. Basil. ","As ta Paul, as eshyn, boggyssagh ayns soiaghey beg jeh e ynrickys hene; as dy vel eh “jeeaghyn son y cairys shen ta veih Jee liorish credjue.” (Phil. iii. 9). T’ad shoh ny eer goan ren Basil scrieu.",,,8
"And St. Ambrose, a Latin author, saith these words; This is the ordinance of God, that they, which believe in Christ, should be saved without works —by faith only— freely receiving remission of their sins.","As ta Ambrose, scrieu ayns Latin, er yn aght shoh: “Shoh oardagh Yee, dy vod adsyn ta credjal ayns Creest v’er nyn sauail fegooish obbraghyn, liorish credjue ny-lomarcan, geddyn leih nyn beccaghyn dy nastee.”",,,8
Consider diligently these words; Without works —by faith only— freely we receive remission of our sins. ,Cur-jee tastey geyre da ny focklyn shoh: “fegooish obbraghyn” — “liorish credjue ny-lomarcan — dy nastee” — ta shin cosney leih nyn beccaghyn. ,,,8
"What can be spoken more plainly, than to say that freely —without works— by faith only — we obtain remission of our sins?","C’red oddys ve raït ny s’cronnal; na dy ghra, dy vel shin geddyn leih nyn beccaghyn “dy nastee — fegooish obbraghyn — liorish credjue ny-lomarcan?”",,,8
"These and other like sentences, that we be justified by faith only —freely— and without works, we do read oftimes in the best and most ancient writers: as, beside Hilary, Basil, and St. Ambrose, before rehearsed, we read the same in Origen, St. Chrysostom, St. Cyprian, St. Augustine, Prosper, Oecumenius, Phocius,[10] Bernardus, Anselm, and many other authors, Greek and Latin.","T’ad shoh, as raaghyn elley jeh’n un vree, dy vel shin er nyn seyrey liorish credjue ny-lomarcan — dy nastee — as fegooish obbraghyn — dy mennic er nyn lhaih ayns ny Screeudeyryn share jeh ny shenn earishyn: son marish Hilary, Basil, as Ambrose, roïe enmyssit, ta shin lhaih yn chooid cheddin ayns Origen, Chrysostom, Cyprian, Augustine, Prosper, Oeeumenius, Phocius, Bernardus, Anselm, as ymmodee elley mastey ny Greekyn as ny Romanee.","T’ad shoh, as raaghyn elley jeh’n un vree, dy vel shin er nyn seyrey liorish credjue ny-lomarcan — dy nastee — as fegooish obbraghyn — dy mennic er nyn lhaih ayns ny Screudeyryn share jeh ny shenn earishyn: son marish Hilary, Basil, as Ambrose, roïe enmyssit, ta shin lhaih yn chooid cheddin ayns Origen, Chrysostom, Cyprian, Augustine, Prosper, Oeeumenius, Phocius, Bernardus, Anselm, as ymmodee elley mastey ny Greekyn as ny Romanee.",[10] Phocius] 1810 reads Proclus here.,8
"Faith alone, how it is to be understood.","Mychione credjue ny-lomarcan, cre’n aght te dy v’er ny hoiggal.",,,9
"Nevertheless, this sentence, that we be justified by faith only, is not so meant of them, that the said justifying faith is alone in man, without true repentance, hope, charity, dread, and the fear of God, at any time or season.","Ny-yeih cha vel yn ynsagh shoh, dy vel shin er nyn seyrey liorish ynrican credjue, dy v’er ny hoiggal er lheid yn aght, dy vel yn credjue shen ta seyrey shassoo ny-lomarcan, fegooish arrys firrinagh, treishteil, graih, as aggle Yee, ec traa erbee.",,,9
"Nor when they say that we be[11] justified freely, do they mean that we should or might afterward be idle, and that nothing should be required on our parts afterward: neither do they mean so to be justified without our good works, that we should do no good works at all; like as shall be more expressed at large hereafter.","Chamoo tra t’ad gra, dy vel shin er nyn seyrey dy nastee, t’ad coyrt chied[12] dooin ny lurg shen dy ve lhiastey; as nagh vod nhee erbee v’er ny hirrey er yn ayrn ain ny lurg: chamoo t’ad gynsaghey dy vel shin er nyn seyrey er lheid yn aght fegooish nyn obbraghyn mie, nagh vel feme ain veg ny obbraghyn mie y yannoo; myr vees er ny hoilshaghey ny s’baghtal ny lurg shoh.",,"[11] be] 1810 should be
[12] chied] i.e. kied",9
"But this saying that we be justified by faith only —freely— and without works, is spoken for to take away clearly all merit of our works, as being unable to deserve our justification at God’s hands; and thereby most plainly to express the weakness of man, and the goodness of God; the great infirmity of ourselves, and the might and power of God; the imperfection of our own works, and the most abundant grace of our Saviour Christ; and therefore wholly to ascribe the merit and deserving of our justification unto Christ only, and his most precious blood-shedding. ","Agh ta’n raa shoh, dy vel shin er nyn seyrey liorish credjue ny-lomarcan, dy nastee, as fegooish obbraghyn, er ny choyrt dy ghoaill ersooyl dy bollagh ooilley toilchinys nyn obbraghyn, myr neu-fondagh dy heyrey shin ayns shilley Yee: as myr shoh dy hoilshaghey dy cronnal annoonid dooinney, as mieys[13] as niart Yee; neu-feuid nyn obbraghyn hene, as grayse feoilt nyn Saualtagh Creest: as shen-y-fa dy choyrt yn slane toilchinys liorish ta shin er nyn seyrey, gys lieh Chreest ny-lomarcan, as deayrtey e uill smoo ooasle.",,"[13] ‘of God; the great infirmity of ourselves, and the might’ omitted in the Manx, the translator, or the printer, probably skipping from one phrase with ‘of God’/Yee to the next.",9
The profit of the doctrine of faith only justifieth.,Vondeish yn ynsagh dy vel credjue ny-lomarcan seyrey.,,,9
What they be that impugn the doctrine of faith only justifieth.,"Quoi adsyn ta loayrt noi yn ynsagh, dy vel credjue ny-lomarcan seyrey.",,,10
"This faith the Holy Scripture teacheth us; this is the strong rock and foundation of Christian religion; this doctrine all old and ancient authors of Christ’s church do approve; this doctrine advanceth and setteth forth the true glory of Christ, and beateth down the vain glory of man; this, whosoever denieth, is not to be accounted for a Christian man, nor for a setter-forth of Christ’s glory; but for an adversary of Christ and his Gospel, and for a setter-forth of men’s vain-glory. ","Yn credjue shoh t’an Scriptyr Casherick gynsaghey dooin: she shoh yn chreg lajer as undin yn credjue Creestee: ta ooilley ny shenn Shirveishee jeh Agglish Chreest coardail mychione: ta’n ynsagh shoh cur er y hoshiaght, as soiaghey magh, gloyr firrinagh Chreest, as coyrt fo-chosh gloyr fardailagh dooinney. Quoi-erbee ta gobbal shoh, cha vel soiagh dy ve jeant jeh myr ny Chreestee, chamoo myr fer ta soiaghey magh gloyr Chreest; agh myr noid da Creest as e Hushtal, as myr fer ta soiaghey magh gloyr fardailagh dooinney.",,,9
