English,Manx,Notes,Page,English Original,Manx Original
"For verily, when we were with you, we told you before that we should suffer tribulation; even as it came to pass, and ye know.","[MS 1 Thessalonians 3.4] Son dy firrinagh tra va shin mêriu, dinsh shin diu roa law, dy negin dooin seoghyn y hurrance; dy jarroo myr hank [g] eh gy-kione & shiu hene toigal","mêriu, dinsh] mêriu dinsh; roa law] ro laue; negin […] hurrance] row shin dy hurranse seaghyn; hank] haink; [g deleted]; & shiu hene toigal] as ta fys eu hene",7,,
,[8],,8,,
"For this cause, when I could no longer forbear, I sent to know your faith, lest by some means the tempter have tempted you, and our labour be in vain.","[MS 1 Thessalonians 3.5] Er yn oar shoa tra nagh row me able liggey-shaghey ny sudjey, chur mee Chaghtyr dy gheddin Thoiggal jeh’n Credjue ew, er-agle liorish Saasyn erbee dy vell y Miolider er violaghey shiu, as yn Obbyr ayn ayns fardail.",shoa] sho; row me able] voddin; liggey] lhiggey; sudjey] sodjey; Chaghtyr] fys [but latter deleted]; Thoiggal] briaght > fys; jeh’n Credjue ew] er nyn ghredjue; Miolider] Miolyder; ayn] ain,8,,
"But now when Timotheus came from you unto us, and brought us good tidings of your faith and charity, and that ye have good remembrance of us always, desiring greatly to see us, as we also to see you:","[MS 1 Thessalonians 3.6] Agh nish tra hank Timotheus hooin vewish, as er chur lesh Niaghtyn mie hooin jeh’n Credjiu as y Giastyllys eu-ish, as dy vell Cooniaghtyn mie ew jeeyn dy kinjagh, dy slaane yearree dy ackin shin myr ta shin myrgeddin dy ackin shuish:","hank] haink; hooin vewish] veuish hooin-yn; Niaghtyn mie hooin] marish coontey mie; Credjiu] Chredjiu; Giastyllys eu-ish,] ghraih eu,; vell] vel; Cooniaghtyn […] kinjagh] shiu gimraa orr[?] > shiu kinjagh gimraa dy dooïe orryn; dy slaane yearree dy ackin shin] geearree dy jeean d’akin shinyn; ta shin] ta shinyn",8,,
"Therefore, brethren, we were comforted over you in all our affliction and distress by your faith:","[MS 1 Thessalonians 3.7] Shen y faa, Vraaraghyn, va shin er nyn gerjaghey er y Coondey ew ayns ooilley nyn Seoghyn & Arkys liorish y Credjiu ew:",faa] fa; gerjaghey] n’gerjaghey; er y Coondey ew] my-nyn-gione; Seoghyn] Seeghyn [?]; &] as [?]; Arkys] egin; eu] ew,8,,
"For now we live, if ye stand fast in the Lord.","[MS 1 Thessalonians 3.8] Son nish ta shin bioa, my ta shiu shassoo shickyr ayns y Chiarn.",bioa] bio,8,,
"For what thanks can we render to God again for you, for all the joy wherewith we joy for your sakes before our God;","[MS 1 Thessalonians 3.9] Son cre’n booise uddis main y chourt gus Jee reesht er ny son ew, son ooilley yn buggey ta shin dy ghoaill er y coondey ew kiongourt rish nyn Yee.","uddis […] reesht] oddys mayd reesht y choyrt da Jee; ny son ew ] nyn son; er nyn son] er y lheh eu; buggey] boggey; coondey ew] choontey > ghraih euish; kiongourt] kiongoyrt; nyn Yee.] Jee,",8,,
"Night and day praying exceedingly that we might see your face, and might perfect that which is lacking in your faith?","[MS 1 Thessalonians 3.10] Oie & Laa ghoaill Padjer er skyn thouse dy vuddagh shin fackin yn Eddin ew, as shen y yannoo-magh ta laghal ayns y Credjiu ew?","thouse] towse jeeayn,; dy vuddagh shin fackin] dy akin; shen y] dy; Credjiu] Credjue; ta laghal […] ew] cre > shen ny ta dy laccal ayns nyn gredjue?",8,,
,[9],,9,,
"Now God himself and our Father, and our Lord Jesus Christ, direct our way unto you.","[MS 1 Thessalonians 3.11] Nish dy jen Jee eh hene & nyn Ayr, & nyn Chiarn Yeesey Chreest shin y chourt er ny thosiagh er y raad hiu.",jen] jean; Jee eh hene] Jee hene; Chiarn] Jiarn; Chreest ] Creest; shin […] hiu] nyn > yn raad ain y chiartaghey hiuish,9,,
"And the Lord make you to increase and abound in love one toward another, and toward all men, even as we do toward you:","[MS 1 Thessalonians 3.12] As dy der y Chiarn erriuish bisshaghey, & gaase ayns Graih y derrey yeh da’n jeh elley, & da dy chooilley Ghoinney, dy jarroo myr ta shin dy yannoo diuish:","bisshaghey] bishaghey; bishaghey, & gaase] gaase as bishaghey; Ghoinney] Ghooinney; dy yannoo] [deleted]",9,,
,,,9,,
"To the end he may stablish your hearts unblameable in holiness before God, even our Father, at the coming of our Lord Jesus Christ with all his saints.","[MS 1 Thessalonians 3.13] Dy voddagh eh yn Cree ew y higgeraghey gyn fooail ayns Casherickys, feanish nyn Yee, dy jarroo nyn Ayr, eck Chit nyn Chiarn Yeesey Chreest, marish ooilley y Nooghyn.",Dy voddagh […] higgeraghey] Gys y jerrey dy vod eh ny creeaghyn [ny creeaghyn deleted] niartaghey ny creeaghyn eu; fooail] loght;,9,,
,,"Casherickys,] Casherickys; feanish nyn Yee] kionfenish Jee; eck] ec; Chit] cheet; Chiarn] Jiarn; Chreest] Creest; y Nooghyn] e Nooghyn",9,,
,Cab. IV.,,9,,
"Furthermore then we beseech you, brethren, and exhort you by the Lord Jesus, that as ye have received of us how ye ought to walk and to please God, so ye would abound more and more.","[MS 1 Thessalonians 4.1] Ny slee ny shen, Ta shin guee erriu, Vraaraghyn, as coyrlaghey shiu liorish y Chiarn Yeesey, ’naght myr ta shiu er n’ynsaghey voïnyn kys lhisagh shiu nyn Mea y ymmyrkey, as Jee y wooiys, myr shen dy jinnagh shiu bisshaghey ny smoo & ny smoo.","Note: Vid Epistle for 2d Sunday in Lent till v. 9 – To begin with – Ny sodjey ny shoh, ta [illegible word deleted]; [The 1765 Prayer Book extract begins with Ta shin guee erriu…]; [Verses 1–8 are crossed out]",9,,
For ye know what commandments we gave you by the Lord Jesus.,[MS 1 Thessalonians 4.2] Son ta fys eu cre ny Saaraghyn hug shin diu [10] Liorish y Chiarn Yeesey.,,9,,
"For this is the will of God, even your sanctification, that ye should abstain from fornication:","[MS 1 Thessalonians 4.3] Son shoa Agney Yee dy jarroo yn Chasherickys eu, dy lisagh shiu freayll shiu hene veih Maarderys;",lisagh] lhisagh,10,,
That every one of you should know how to possess his vessel in sanctification and honour;,[MS 1 Thessalonians 4.4] Dy lhisagh fys ve ec dagh unnane eu kys dy reayll e Chorp ayns Glennid & Onnor;,,10,,
"Not in the lust of concupiscence, even as the Gentiles which know not God:","[MS 1 Thessalonians 4.5] Cha nee ayns mian Saynt ny foalley, goll-rish eer ny Ashoonyn-quaagh nagh vell tushtey oc dy Yee;",,10,,
"That no man go beyond and defraud his brother in any matter: because that the Lord is the avenger of all such, as we also have forewarned you and testified.","[MS 1 Thessalonians 4.6] Nagh lhisagh dooinney erbee vondeish y ghoaill er y Vraar as eh y voylley ayns cooish erbee, er yn oar dy nee yn Chiarn ta goaill cooilleen er ooilley nyn lheid, myr ta shin er n’insh diu rolaue, as er hoiljaghey.",hoiljaghey] hoilshaghey,10,,
"For God hath not called us unto uncleanness, but unto holiness.","[MS 1 Thessalonians 4.7] Son ha vell Jee er n’emagh orrin gys neu-ghlennid, agh gys Casherickys.",n’emagh] n’eamagh,10,,
"He therefore that despiseth, despiseth not man, but God, who hath also given unto us his holy Spirit.","[MS 1 Thessalonians 4.8] Eshin er-y-fa shen ta soiaghey beg, cha vell eh soiaghey beg jeh [Jee] Dooinney, agh jeh Jee, ta myrgheddin er choyrt dooinyn e Spyrryd Casherick.",Eshin] Eshyn; Jee Dooinney] [deleted]; myrgheddin] [underlined],10,,
,,,10,,
,,,10,,
But as touching brotherly love ye need not that I write unto you: for ye yourselves are taught of God to love one another.,"[MS 1 Thessalonians 4.9] Agh mykione Graih y derrey yeh da yn jeh elley, ha lias dou scriu hiu: son ta shin hene ynsit veih Jee dy chur Graih yn derrey yeh da’n jeh elley.",mykione] mychione; y derrey […] elley] braaragh; ha] cha; scriu] scrieu,10,,
,[11],,11,,
"And indeed ye do it toward all the brethren which are in all Macedonia: but we beseech you, brethren, that ye increase more and more;","[MS 1 Thessalonians 4.10] As dy jarroo ta shiu dy yannoo eh da ooilley ny Braaraghyn ta ayns slane Macedonia: Agh ta shin guee erriu, Vraaraghyn, dy jen shiu bishaghey ny smoo as ny smoo;",ta ayns] dy chooilley raad ayns; slane] ooilley [deleted] ayns,11,,
"And that ye study to be quiet, and to do your own business, and to work with your own hands, as we commanded you;","[MS 1 Thessalonians 4.11] As dy jen shiu Charail y ghoaill dy ve eg fea, as dy yannoo nyn Obbyr hene, as dy Laboragh lesh nyn Lhawyn hene (myr hug shin Saara diu.)",jen] jean; Charail] [Ch underlined]; eg fea] feagh; Laboraght] Laboragh; Lhawyn] laueyn; hug […] diu] ta shin er haarey shiu,11,,
"That ye may walk honestly toward them that are without, and that ye may have lack of nothing.","[MS 1 Thessalonians 4.12] Dy vod shiu gimmyrkey shiu hene dy-chairagh dawsyn ta chew mooie, as nagh be shiu ayns feme son Nee erbee.",vod] jean; gimmyrkey] gymmyrkey; chairagh] honneragh [h deleted]; dawsyn] huc-syn; chew] cheu; be] bee; ayns] [deleted]; son] [deleted],11,,
"But I would not have you to be ignorant, brethren, concerning them which are asleep, that ye sorrow not, even as others which have no hope.","[MS 1 Thessalonians 4.13] Agh cha balliam shiu ve mehushtagh, Vraaraghyn, myn kion ocksyn ta ny chadley, nagh bee shiu trimjagh, dy jarroo myr feallagh elley nagh vell veg y Jerkal ock.",balliam] bailliam > baill-ym; myn kion] mychione; ny chadley] nyn gadley; trimjagh] trimsagh; vell] vel; nagh […] ock] ta fegooish treshteil,11,,
"For if we believe that Jesus died and rose again, even so them also which sleep in Jesus will God bring with him.","[MS 1 Thessalonians 4.14] Son my ta shin Chredjal dy dhooar Yeesey baase, as dy dirree eh reesht, dy jarroo myr shen adsyn myrgheddin ta ny chadley ayns Yeesey, ver Jee lesh marish.",Chredjal] credjal; dhooar] Dooar; ny chadley] [ny ch underlined],11,,
"For this we say unto you by the word of the Lord, that we which are alive and remain unto the coming of the Lord shall not prevent them which are asleep.","[MS 1 Thessalonians 4.15] Son shoa ta shin graa riu liorish Goo yn Chiarn, nagh jem main veis bioa, & ermayrn dys Chit nyn [12] Nyn Chiarn, row-syn ta ny chadley.","shoa] sho; Goo yn] Goo’n; nagh jem […] chadley.] shin-yn ta bio, as er-mayrn [?]ec [deleted] gys cheet y Chiarn (seose dys Niau) nagh gow mayd y raad jeusyn ta nyn gadley. [(seose dys Niau) deleted]",11,,
"For the Lord himself shall descend from heaven with a shout, with the voice of the archangel, and with the trump of God: and the dead in Christ shall rise first:","[MS 1 Thessalonians 4.16] Son hig y Chiarn neose veih Niau lesh Feir lesh Coraa yn Ard Ainle, as lesh Caarn Yee: as bee ny mirriu ayns Chreest er ny chroggal hoshiaght.","Feir] (ny Eam) > eam ard,; Ard Ainle] Ard-Ainle; Ainle] [A underlined]; Caarn] Cayrn; bee] nee; mirriu] merriu; Chreest] Creest; er ny chroggal] girree",12,,
"Then we which are alive and remain shall be caught up together with them in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord.","[MS 1 Thessalonians 4.17] Esht be main veis bioa as ermaayrn, goit seose cudjaght maroosyn ayns ny Bodjallyn, Qhail y Chiarn ayns yn Aer: as myr shen be mad dy braagh marish y Chiarn.","be […] ermaayrn] vees shinyn ta bio, as er-mayrn; Qhail y] dy gholl quail y; be mad] bee mayd; braagh] bragh",12,,
Wherefore comfort one another with these words.,[MS 1 Thessalonians 4.18] Shen-y-faa Gherjee shiu hene y derrey yeh yn jeh elley lesh ny Ghoan shoa.,Shen-y-faa] Shen-y-fa; hene] [deleted]; Ghoan] Goan,12,,
,Cab. V.,,12,,
"But of the times and the seasons, brethren, ye have no need that I write unto you.","[MS 1 Thessalonians 5.1] Agh mychione ny traaghyn & ny Imbaghyn, Vraaraghyn, ha blias dou scriu hiu.",ha […] hiu] cha vel feme scrieu hiu,12,,
