English,Manx,Manx Orginal,Page,EnglishPage,Notes
"If your Conscience can truly witness for you, that it is indeed so, and that if at any time you fall short, or do amiss, you are heartily grieved for it, and do daily labour to amend and grow better : If it be thus with you, I say, then bless God for his Grace and Mercy, hold on and prosper, and fear not but God will be with you ; he will own you as his Children, and for his Son Jesus’s sake, will both pardon your Sins, and assist you by his Grace ; He will guide you by his Counsel, and at length receive you into Glory.","My oddys nyn Gooinsheance feanish firrinagh y ymmyrkey lhieu dy vel eh myr shen dy jarroo, as cre erbee’n tra ta shiu failleil ayns nyn Gurrym, ny jannoo ass y raad, dy vel shiu dy creeoil trimshagh er y hon, as gagh laa streeu dy lhiasaghey nyn mea as dy aase ny share : my she shoh yn stayd eu, ta mee gra, eisht cur-jee bannaght da Jee son e ghrayse as e vyghin, er nyn doshiaght lhieu as jean-jee bishaghey, as ny lig da aggle y ve erriu agh dy bee Jee meriu ; nee Eh goaill riu myr e chloan hene, as er graih e Vac Yeesey, nee Eh chammah nyn beccaghyn y leih, as cooney lhieu liorish e ghrayse ; leeidee Eh shiu liorish e choyrle, as fy-yerrey gowee Eh shiu gys Gloyr.",,5,4,
"But pray deal faithfully with your own Souls, and tell me, has it not been quite otherways with you ?","Agh guee-ym erriu dell-jee dy firrinagh rish ny Hanmeenyn eu hene, as insh-jee doos, nagh vel nyn stayd er ve ooilley cooidjagh er aght elley ?",,5,5,
"Have you not contented yourselves with the bare Name and Profession of Christianity, and in the mean time led an ill Course of Life, directly contrary to your Profession ?","nagh vel shiu er hoie shees lesh yn eer Ennym as Goaill-rish er cheu-mooie yn Chredjue Creestee, as ec y tra cheddyn leeideil drogh vea, ooilley cooidjagh noi ny ta shiu er ghoaill erriu ?",,5,5,
"Have you not lived in wilful Ignorance of your Duty, or in gross Sins against your Knowledge ?","nagh vel shiuish er meaghey jeh nyn yoin hene ayns Mee-hushtey jeh nyn gurrym, er nonney ayns peccaghyn eajee noi nyn dushtey ?",,5,5,
"Do not the Temptations of the Devil, the Allurements of the World and the Flesh, many times prevail more with you, than the Commands of Almighty God, and the Voice of your own Conscience ?","nagh vel miolaghyn y Drogh Spyrryd, cleynyn y Theihll as yn Eill ymmodee dy cheayrtyn goaill ny smoo dy ghreme erriu na ta saraghyn Yee ooilley-niartal, as coraa nyn gooinsheance hene ?",,5,5,
"Are you not wont to neglect God’s Worship and Service, both in the Church and at Home ?","nagh vel shiu cliaghtey ve mee-rioosagh dy chur ooashley da Jee as dy hirveish Eh, chammah ayns y cheell as ec y thie ?",,6,5,
"Yea, do you not profane his Holy Name by Swearing and Cursing ?","dy jarroo, nagh vel shiu tayrn scammylt er e Ennym casherick liorish Loo as Gueeaghyn ?",,6,5,
"Are you not often guilty of Lying and Slandering, of Cozening and Cheating, if not of down-right Stealing ?","nagh vel shiu dy mennick er ve oolee jeh Breagyn as Scammyltyn, jeh Mitchooraght as Molterys, ny foddee jeh Geid hene ?",,6,5,
Do you not in your Anger use railing and reviling Language ?,nagh vel shiu ayns nyn gorree jannoo ymmyd jeh glare oltooanagh as scammyltagh ?,,6,5,
"Or, do you not live in Envy and Malice, seeking to be revenged of those that have done you any Injury ?","er nonney nagh vel shiu beaghey ayns Troo as Goanlys, streeu dy gheddyn Cooilleen orroosyn t’er n’yannoo aggair erbee diu ?",,6,5,
"Do you not allow yourselves in Drunkenness and Whoredom, or some other known and wilful Sin ?","nagh vel shiu lowal diu hene dy veaghey ayns Meshtyrys as Maardyrys, er nonney peccah ennagh elley ta fys eu er as roih ayn jeh nyn yoin ?",,6,5,
"To be short, is there not something or other in this World that you love more than you do God himself, and his Son Jesus ?","ayns focklyn giarrey, nagh vel red ny red ennagh ’sy theihll shoh ta ny smoo dy ghraih eu er na ta eu er Jee hene, as er y Vac Yeesey ?","ayns focklyn giarrey, nagh vel red ny red ennagh ’sy theihll shoh ta ny smoo dy ghraih eu er na ta eu er Jee hene, as er e Vac Yeesey ?",6,5,
"Are you not much more concerned for your Bodies, than for your precious Souls ?","nagh vel shiu foddey s’imnea-ee son nyn Gallinyn, na ta shiu son nyn Anmeenyn deyr ?","nagh vel shiu foddey simnea-ee son nyn Gallinyn, na ta shiu son nyn Anmeenyn deyr ?",6,5,
"And do you not more earnestly seek for Food and Raiment, and the good Things of this Life, than after that eternal Kingdom of Glory, which God hath promised to his faithful Servants in the World to come ?","as nagh vel shiu foddey s’jeean shirrey son Beaghey as Coamrey, as nhee’ghyn mie y vea shoh, na ta shiu shirrey son y Reeriaght veayn shen dy Ghloyr ta Jee er nghialdyn da e Harvaantyn firrinagh ayns y theihll ta ry heet ?",,6,5,
"If this indeed be your Case, I beseech you to make a Stand, and consider well what you have been doing ; what a sad and dangerous Condition you have brought yourselves into, and what the End of it will be, if you hold on in such evil Courses.","My she shoh dy jarroo nyn stayd, guee-ym erriu stap-jee tammylt, as gow-jee tastey vie jeh ny ta shiu er ny ve jannoo ; cre’n condition trimshagh as dangeragh ta shiu er goyrt lhieu shiu hene ayn, as cre vees y jerrey echey my hed shiu er nyn doshiaght ayns leid ny raadjyn olk.",,6,5,
"Humbly beg of God to make you duly sensible of your Sin and Danger, and to keep the Sense thereof so close to your Minds, that you may be brought not only to mourn for your Sins, but to loath and abhor them, and utterly to forsake the same, henceforth resolving, by the Grace of God, wholly to give up yourselves to his Service, and to walk stedfastly in those holy and good Ways which he has appointed you.","Guee-jee dy imlee er Jee dy chur ennaghtyn firrinagh diu jeh nyn beccah as nyn nangere, as dy reaylley’n ennaghtyn cheddyn cha shickyr ayns nyn aignaghyn, dy vod shiu ve er nyn goyrt lhieu cha nee ynrycan dy ghobberan son nyn beccaghyn, agh dy chur feoh as dwoaie daue, as dy bollagh dy hreigeil ad, veih’n tra shoh magh dy shickyr kiarrail, liorish Grayse Yee, dy slaane shiu hene y chur seose gys y chirveish echey, as dy immeeaght dy kiart ayns ny raadjin casherick as mie shen te er phointeil diu.",,6,5,
This is that to which I do most earnestly desire to persuade you.,Shoh’n red ta mish dy feer chreeoil geearee dy choyrlaghey shiu huggey.,,7,5,
"And that I may do my utmost to prevail with you, I shall lay before you some very weighty Arguments, which I request you to weigh seriously as you read them, and God grant they may have their due Effect upon the Heart of every Reader. Amen.","As dy voddym ny t’ayns my phooar y yannoo dy chur erriu my choyrle y ghoaill, soi-ym rimbiu paart dy resoonyn feer fondagh, as ta mee guee erriu ad y ghoaill dy dowin gys nyn gree myr ta shiu dy lhaih ad, as dy giall Jee dy vod ad gobbraghey dy cooie er cree dagh annane nee ad y lhaih. Amen",,7,5,
"I. That you may be prevailed with to become God’s faithful Servants, consider, first, that this was the great End for which God made you, and keeps you alive, and gives you so many Mercies of all Sorts.","I. Dy vod shiu ve coyrlit dy heet dy ve sharvaantyn firrinagh Yee, gow-jee tastey, hoshiaght, dy nee shoh va’n ard oyr chroo Jee shiu er y hon, as te freayll shiu bio, as coyrt diu whilleen myghin jeh dy chooilley horch.",,7,6,
"You can tell, I hope, that God made you, and that he made you to serve him, by living according to his Commandments.","Foddee shiu ginsh, ta mee treishteil, dy nee Jee chroo shiu, as dy chroo Eh shiu dy hirveish Eh, liorish beaghey cordail rish e annaghyn.",,7,6,
"These are some of those first things which Children learn ; and it were well, if when they are grown up to be Men and Women, they would habituate themselves seriously to think of them, and practise accordingly.","Ad shoh paart jeh ny chied reddyn ta cloan dy ynsaghey ; as smie veagh eh, tra t’ad er naase seose dy ve deiney as mraane, dy gliaghtagh ad dy kiarralagh dy smooinaghtyn orroo, as nyn mea y leeideil lioroo.",,7,6,
"The wise God has made all Creatures for some good End or other, and he has fitted them all for those Ends and Purposes for which he made them.","Ta’n Jee creeney er nyannoo dy chooilley chretoor son oyr ny oyr ennagh mie, as er ordrail ad ooilley dy ansoor ny hoyryn as ny hymmydyn mie v’ad jeant er y hon liorish.",,7,6,
"To Man therefore he has given the Use of Reason, chiefly to fit him for Religion, and to render him capable of knowing, loving, and serving his great Creator and Benefactor : And it is Religion which makes the great Difference betwixt a Man and a Beast : For brute Creatures have no Knowledge of God, no Regard to him, but are wholly led by their Senses, and mind nothing else but what is before them here in this World.","Da dooinney er-y-fa shen te er chur pooar dy yannoo ymmyd jeh resoon, er-skyn ooilley dy yannoo Eh cooie son Credjue, as dy chur ’sy phooar echey dy chur enney er, dy chur graih da, as dy hirveish e Er-croo as e Charrey mooar : As she Credjue ta jannoo’n caghlaa mooar ta eddyr dooinney as beagh : Son cha vel ec cretooryn gyn resoon veg y tushtey jeh Jee, ny veg y gheill da, agh t’ad ooilley cooidjagh er nyn leeideil liorish pooaraghyn dooghyssagh nyn girp, as cha vel geill oc da nhee erbee agh da ny ta kiongoyrt roo ayns y theihll shoh.",,7,6,
"But the poorest Man on Earth, who hath the Use of his Reason, is near akin to the very Angels themselves ; his Nature is like theirs, and but a little below them, so that he may be much taken up in the same holy Works that they are employed in, even in loving, and praising, and adoring the great and good God.","Agh y dooinney s’boghtey t’er y thalloo, oddys ymmyd y yannoo jeh’n resoon ny’n tushtey echey, te feer faggys caardys da ny heer Ainlyn hene ; ta’n dooghys echey goll-rish y dooghys ocsyn, as cha vel Eh agh red beg s’inshley na ad, myr shen dy vod eshyn ve dy mooar er ny ghoaill seose ayns ny hobbraghyn casherick cheddyn ta ny Ainlyn dy yannoo, dy jarroo ayns coyrt Graih, as Moylley, as Ooashley da’n Jee mooar as mie.",,7,6,
"To this End he may study both the Works and Word of God, which reveal him to us, and should continually put us in Mind of him.","Gys yn ymmyd cheddyn foddee Eh gynsaghey as toiggal y ghoaill chammah jeh Obbraghyn as Goo Yee, ta soilshaghey Eh dooin, as lhisagh dy kinjagh shin y choyrt ayns cooinaghtyn jeh.",,8,6,
"And all the good Things we enjoy should still make us sensible of the Goodness of God from whom they come ; and fill our Hearts with Love and Thankfulness, and our Mouths with Blessing and Praise.","As lhisagh ooilley ny reddyn mie ta shin goaill soylley jeu kinjagh ennaghtyn y chur dooin jeh Mieys Yee veih t’ad cheet ; as ny Creeaghyn ain y lhieeney lesh Graih as Toyrt-booise, as ny Beill ain lesh Bannaght as Moylley.",,8,6,
"This is the most proper Use of our Reason, and this God most justly expects from us reasonable Creatures ; and even this the poor Man may render without any Hindrance to his daily Labours ; and may still keep such an awful Sense of God upon his Mind, as may restrain him from wilful Sin, and make him careful always to please his Maker.","Shoh yn ard ymmyd ta son nyn resoon as nyn dushtey, as shoh ta Jee dy feer chairagh jercal rish voinyn ta nyn gretooryn resoonagh ; as shoh keeish oddys y dooinney boght hene y eeck fegooish veg y chumrail er e obbraghyn gagh laa ; as foddee Eh kinjagh cummal seose leid yn ennaghtyn arrymagh jeh Jee er e aigney, as oddys Eh y smaghtaghey veih roih ayns peccah jeh e yoïn, as cur er ve dy bragh kiarralagh dy wooiys e Er-croo.",,8,6,
"And so our Reason was given to bridle and govern our Appetites, our Lusts and Passions ; that we should not be led away into Gluttony and Drunkenness, into Wantonness and Uncleanness, nor into Rage and Fury, like brute Beasts that have no Understanding ; But should live soberly and chastely, quietly and peaceably with all Men, doing them all the Good we can.","As myr shoh va’n resoon ain er ny chur dooin dy smaghtaghey as dy reill nyn Nyeeareeyn, nyn Saynt as nyn Annooinidyn foalley ; nagh beagh shin er nyn leeideil ersooyl gys Jooid as Meshtyrys, gys Rouanys as Neu-ghlennid, ny gys Farg as Eulys, goll-rish maase y vagheragh nagh vel veg y tushtey oc ; agh dy voddagh shin beaghey dy sheelt as dy glen, dy feagh as dy sheeoil rish dy chooilley ghooinney, jannoo ooilley’n Vie oddys mad daue.",,8,7,
"For such holy Purposes as these chiefly was our Reason bestowed on us, and therefore in this Manner ought it to be employed.","Son leid ny hymmydyn crauee shoh harrish ooilley va nyn resoon er ny ghiootal orrin, as shen-y-fa er yn aght shoh lhisagh eh ve er ny usal.",,8,7,
"Certainly, since God hath made us of a Nature so much better than Birds and Beasts, he expects from us other Works and Services than he does from them.","Son shickyrys, fakin dy vel Jee er nyannoo shinyn jeh dooghys whooish shen share na eanlee as maase, te jercal rish obbraghyn as Shirveish elley voin nagh vel Eh jercal rish vousyn.",,8,7,
"They know nothing of God that made them, nor have they any Knowledge of another Life after this, but when they die, there is an End of them.","Cha vel fyss ocsyn er veg jeh Jee ren y chroo ad, cha moo ta tushtey erbee oc jeh bea elley lurg y vea shoh, agh tra t’ad geddyn vaaish, ta jerrey orroo.",,9,7,
"But to us God hath given immortal Souls, of more Value than the whole World : and for this End hath he created us, that we might serve and honour him here in this Life, and so may live with him, and enjoy him for ever in the World to come. ","Agh dooinyn ta Jee er choyrt Anmeenyn nagh vow dy bragh baase, jeh ny smoo dy phrice na’n slane seihll ; as er yn oyr shoh te er chroo shin, dy voddagh shin Eh y hirveish as ooashley chur da ayns shoh ’sy vea shoh, as myr shen ve bio marish as soylley y gheddyn jeh son dy bragh ayns y theihll ta ry heet.",,9,7,
"Now, if this be the End of our Creation, ought we not to live up to it ?","Nish, my she shoh’n oyr hie shin er croo er y hon, nagh lhisagh shin beaghey cordail rish ?",,9,7,
Do we not see all other Things answer the End for which they were made ?,nagh vel shin fakin dy chooilley nhee elley gansoor gys yn oyr v’ad crooit er y hon ?,,9,7,
"The Sun gives Light by Day, and the Moon by Night.","ta’n Ghrian cur Soilshey ayns y laa, as yn Aist ’syn oie.",,9,7,
"The Earth brings forth Corn and Grass, and the Trees bear Fruit.","Ta’n thalloo gymmyrkey magh arroo as faiyr, as ny biljyn gymmyrkey mess.",,9,7,
"The Horse, the Cow and the Sheep, with many other Creatures, afford us much Service and Benefit ; and shall Man alone be useless and unfruitful, to live to no good Purpose ?","Ta’n Cabbyl, y Voa, as y Cheyrrey, marish ymmodee cretooryn elley fordrail lane shirveish as cosney dooin ; as nee Dooinney ny lomarcan vees gyn ymmyd as neu-vessoil, gyn y heihll y chaeu gys ymmyd mie erbee ?",,9,7,
"While they are all so ready to serve us, shall we not chearfully serve him that made us for his own Service ?","Choud as t’adsyn ooilley cha aarloo dy hirveish shinyn, nagh jean shinyn dy gennal eshin y hirveish ren shin y chroo son e hirveish hene ?",,9,7,
"Surely we cannot think that the wise God sent us into the World only to eat and drink, to sleep and play, or to work hard for a poor Livelihood.","Shickyr cha vod mad sheiltyn dy dug y Jee creeney shin stiagh ayns y theihll ynrycan dy ee as dy iu, dy chadley as dy chloi, ny dy obbraghey dy doccaragh son beaghey boght gagh laa.",,9,7,
"If this were all, we had better have been made brute Creatures, or never have been made at all.","My she shoh veagh ooilley, veagh eh ny baare dooin v’er ve jeant cretooryn gyn resoon, er nonney gyn dy bragh v’er ve jeant eddyr.",,9,7,
"Much less can we think that the holy God made us on purpose to sin against him, to dishonour his Name, and provoke him to Anger.","Foddey sloo oddys mad sheiltyn dy ren y Jee casherick shin y yannoo ry-hoie peccah y yannoo n’oi, dy chur mee-ooashley da e ennym, as dy vrasnaghey Eh gys Corree.",,9,7,
"He did not give us Reason to make us crafty and cunning for the World, that we might know how to cozen and cheat our Neighbours.","Cha dug Eh resoon dooin dy yannoo shin croutagh as tastagh son y theihll, dy voddagh shin toiggal cre’n aght dy volley as dy yannoo Mitchooraght rish nyn Naboonyn.",,9,7,
"He did not give us Tongues to swear and curse with, or to talk foolishly and filthily ; let us not then use them to any such ill Purposes.","Cha dug Eh chengaghyn dooin dy loo as dy ghueeaghyn lhieu, ny dy haggloo dy ommijagh as dy neu-ghlen ; lig dooin eisht gyn ad y usal gys veg dy leid ny drogh ymmydyn.",,10,7,
"Since God has given us precious immortal Souls, let us not live like Beasts that perish, wallowing in the Mire of base sensual Lusts and Pleasures.","Fakin dy vel Jee er chur dooin anmeenyn deyr nagh vow baase, ny lig dooin beaghey goll-rish maase ta cherraghtyn, gymmylt ayns y laagh vrein dy hayntyn as dy eunyssyn foalley.",,10,7,
"By this Means we become worse than Brutes themselves, for we debase our own Natures, we abuse our Reason to our own Shame and Hurt, and to God’s Displeasure.","Liorish shoh ta shin cheet dy ve ny smessey na maase hene, son ta shin ginjillaghey nyn nghooghys, ta shin jannoo drogh ymmyd jeh nyn resoon gys y nearey as y skielley ain hene, as gys jymmoose y chur er Jee.","Liorish shoh ta shin cheet dy ve ny smessey ny maase hene, son ta shin ginjillaghey nyn nhooghys, ta shin jannoo drogh ymmyd jeh nyn resoon gys y nearey as y skielley ain hene, as gys jymmoose y chur er Jee.",10,8,
"Thus we cross the End of our Creation, and are more stupid and ungrateful than the very Ox or Ass : For they know their Owner, and do good Service to those that keep and feed them, Isa. i. 2, 3.","Myr shoh ta shin crossey’n oyr hie shin er croo er y hon, as ta shin er ny sloo dy hastey as ny sneu-ghooie na ta’n Dow as yn Assyl hene : Son shione dauesyn y vooinjer slesh ad, as t’ad jannoo shirveish vie dauesyn ta freayll as dyn meaghey ad, Isa. i. 2, 3.",,10,8,
"O let us not give God cause to complain of us as he there does of the Jews, that he nourished and brought up Children, and they rebelled against him : Think how grievous it is to you who have Children, after all your Care and Kindness, after all your Cost and Labour, to have them prove stubborn and disobedient, loose and idle Prodigals.","O ny lig dooin oyr y chur da Jee dy phlaint orrin myr te ayns shen plaint er ny Hewnyn, dy ren Eh bondyrys as troggal cloan, as dirree ad magh ny oi : Smooinee-jee cre’n red trimshagh eh diuish ta cloan eu, lurg ooilley nyn Giarrail as nyn Genjallys, lurg ooilley nyn Maarail as nyn Dooilleil, dy vel ad prowal creoi-wannalagh as mee-ammyssagh, Stroideryn neu-heelt as litcheragh.",,10,8,
"O see then that ye be not such towards your heavenly Father, who made you and preserves you, and every day renews his Mercies upon you.","O jeagh-jee eisht nagh bee shiuish nyn leid shoh gys nyn Ayr flaunyssagh, Eh ren y chroo as ta coadey shiu, as ta dy chooilley laa soilshaghey ass y noa e vyghinyn diu.",,10,8,
"He keeps us alive, and makes our Lives comfortable.","Te freayll shin bio, as te jannoo nyn mea gerjoilagh.",,10,8,
"He gives and continues to us our Reason and Senses, our Health and Strength, Food and Raiment, and all the good Things we enjoy.","Te coyrt as tannaghtyn dooin nyn resoon as nyn geeal, nyn slaynt as niart, nyn meaghey as nyn goamrey, as ooilley ny reddyn mie ta shin goaill soylley jeu.",,10,8,
"He supplies our Wants, and helps us in all our Distresses.","Te jannoo magh nyn veme, as cooney lhien ayns ooilley nyn seaghyn.",,10,8,
"He gives us Light by Day, and Rest by Night.","Te cur dooin soilshey ’sy laa, as fea ’syn oie.",,10,8,
"He enables us to follow our Callings, and gives us a Blessing to our Labours, that we may provide for ourselves and Families.","Te niartaghey shin dy eiyrt da nyn aght-beaghee, as cur bannaght er nyn laboraght, dy vod mad kiarrail ro-laue er nyn son hene as son nyn lught-thie.",,10,8,
And does not this good God well deserve all the Love and Service which we can possibly render him ?,As nagh vel y Jee mie shoh dy mooar toilchin ooilley’n ghraih as y chirveish oddys mad er aght erbee y chur da ?,,11,8,
"O how can we find in our Hearts wilfully to offend him, who thus delights in doing us good ?","O kys oddys mad feddyn ayns nyn greeaghyn dy chur sneih ersyn jeh nyn yoin, ta myr shoh goaill boggey dy yannoo mie dooin ?",,11,8,
Foolish and unthankful Wretches we are thus to requite the Lord for all his Loving-Kindness.,"Dreighyn ommijagh as neu-wooisal shin, cha olk shoh dy chooilleeney’n Chiarn son ooilley e chenjallys ghraihagh.",,11,8,
"We could not deal so with any Friend or Neighbour on Earth, that had been always kind and loving to us.","Cha voddagh shin jannoo myr shoh rish carrey ny naboo erbee er y thalloo, veagh er ve kinjagh dooie as graihagh dooin.",,11,8,
Are not Servants bound to work for them who maintain them and pay them Wages ?,Nagh vel sharvaantyn kainlt dy obbraghey dauesyn ta cur bee as faill daue ?,,11,8,
"And ought not Children to obey their Parents, who begat them, and brought them up ?","as nagh lhisagh cloan biallys y choyrt da nyn ayr as moir ren ad y gheddyn, as y hroggal ?",,11,8,
