English,Manx,Notes
"From Chris Butler, Chair of the FWAG Association","Voish Chris Butler, Caairliagh jeh’n Çheshaght dy Phossanyn Coyrlee son Bea-Feie as Eirinys",
"On behalf of the FWAG Association I’d like to extend a warm welcome to the 46th Silver Lapwing Award presentation, our annual celebration of farmers and landowners who have demonstrated an outstanding commitment to wildlife conservation and environmental management in their farming business.","Ass lieh yn Çheshaght dy Phossanyn Coyrlee son Bea-Feie as Eirinys baillym oltaghey creeoil y choyrt da’n çheyoo as daeedoo toyrt jeh’n Aundyr Eairkan Argid, nyn ard-eailley bleinoil jeh eirinee as shelooderyn thallooin ta er hoilshaghey dy vel ad currit dy slane dys freayll bea-feie as reirey yn çhymbyllaght er aght ta feeu moylley ayns yn aght t’ad jannoo dellal myr eirinee.",
"For a farm to win the prestigious Silver Lapwing Award it must demonstrate how it excels in integrating a successful business with the delivery of conservation measures in wildlife habitats, the protection of our natural resources, water and soils, the sustainable use of energy and water, as well as the conservation of historic farm features. All five of our 2025 Silver Lapwing finalists have achieved the delicate balance of being commercially successful, whilst being sensitive to the needs of our treasured environment. I hope that you find the opportunity to talk to our finalists today and learn more about their story and why they have become champions for the farmed environment.","Dy chosney yn Aundyr Eairkan Argid ta dy mooar soit jeh, shegin da balley-hallooin soilshaghey kys t’eh dy firrinagh co-chiangley dellal speeideilagh rish goaill ayns laue dy ‘reayll oayllyn bea-feie, coadey couyryn dooghyssagh, ushtey as ooiryn, jannoo ymmyd jeh bree as ushtey er aght so-hassooagh, chammah’s freayll shenn chullee as shenn chliaghtaghtyn ta bentyn rish baljyn-thallooin. Ta dagh unnane jeh nyn gueig jerrinee Eairkan Argid ayns 2025 er chooilleeney yn cormid doillee jeh speeideilys traghtee as ec y traa cheddin toiggal femeyn nyn jymbyllaght scanshoil. Ta mee treishteil dy bee caa eu dy loayrt rish ny jerrinee ain jiu as gynsagh ny smoo mychione yn skeeal oc as kys haink ad dy ve nyn venee son y theihll ta goll er eirinagh.",
"I am indebted to everyone that makes the Silver Lapwing Award possible. The celebrations are brought to you by the FWAG Association, without whom we would not be able to host such an event. Huge thanks are due to our sponsors who have kindly supported today’s event and provide excellent services to the farming industry.","Ta mee fo lhiastynys da dy chooilley pheiagh ta jannoo yn Aundyr Eairkan Argid possibyl. Ta’n taghyrt er ny choyrt diu liorish yn Çheshaght dy Phossanyn Coyrlee son Bea-Feie as Eirinys, nyn vegooish cha beagh shin er ve abyl dy chummal lheid y taghyrt. Ta bwooise mooar cair da nyn sponseryn dooie ta er chur cooney argidoil son yn taghyrt jiu as ta er chiarail shirveishyn mie er bashtal da’n jeidjys eirinagh.",
"Thank you to our hosts and Silver Lapwing Award winners in 2024, brothers David and Rob Cooil and family from Ballagawne Farm. The FWAG Association are very appreciative of all the hard work that goes into hosting these events. Thank you to Rebecca Inman and Jim Egan who joined me on our judging tour last month, visiting each of the finalists. Lastly, thank you to the regional FWAGs for your involvement, to the volunteers and workers behind the scenes, our supporters and you, our guests, who have made today’s event a success.","Bwooise da nyn guirreyderyn ain as cosneyderyn jeh’n Aundyr Eairkan Argid ayns 2024, ny braaraghyn David as Rob Cooil as y lught-thie voish Balley Gawne. Ta’n Çheshaght dy Phossanyn Coyrlee son Bea-Feie as Eirinys toiggal as soiaghey mooar jeh ooilley yn obbyr chreoi ta laccalit son dy chummal ny taghyrtyn shoh. Bwooise da Rebecca Inman as da Jim Egan haink marym er y turrys briwnys ain y vee shoh chaie, tra hug shin shilley er dagh unnane jeh ny jerrinee. Er jerrey, bwooise da ny Possanyn Coyrlee ynnydagh son Bea-Feie as Eirinys son goaill ayrn, da ny harryltee as obbreeyn ‘sy chooylrey as diuish, ny goaldee ain, ta er n’yannoo yn taghyrt jiu speeideilagh.",
Meet the 2025 Finalists,Er hoh diu ny Jerrinee son 2025,
"Andrew Bott, Finches Farm, Hertfordshire","Andrew Bott, Finches Farm, Hertfordshire",
"Finches farm is 360Ha arable farm, 213 Ha are cropped and 58Ha are in countryside stewardship or SFI. We have 52Ha of grassland, 30Ha are low input hay meadows and 22Ha are let for horse grazing. We also have 40 Ha of woodland about half are ancient hornbeam coppice which we cut to supply fuel for our biomass boiler. A short section of the river Beane, a chalk stream, runs through the farm and there are 22 ponds on the farm 12 have been cleaned out recently with the help of our local FWAG team.","Ta Finches Farm ny valley-hallooin jeh 360 ha dy halloo traauoil, ta 213 ha as bhir soit ayndoo as ta 58 ha fo stiurtys çheerey ny fo Greinnaghey Eirinys So-Hassooagh. Ta 52 ha dy halloo banjagh ain, ta 30 ha jeu nyn lheeantyn nagh vel feme monney geill y ve currit daue as ta 22 ha er nyn goyrt magh er mayl son fassaghey cabbil. Ta 40 ha dy halloo keylley ain neesht, mysh lieh jeh ta shenn choppice dy lhiouanyn-bog ta shin giarrey dy chur conney dooin son yn choirrey biomass ain. Ta ayrn beg jeh Awin Beane, strooan kelk, roie trooid yn valley-hallooin as ta daa loghan as feed er y valley-hallooin. Ta ghaa-yeig jeu er ve glennit magh er y gherrid lesh cooney voish skimmee nyn Bossan Coyrlee ynnydagh son Bea-Feie as Eirinys.",
"We have been no till for 14 years and made significant improvements in soil health and soil organic matter. We have grown cover crops for at least 16 years and have just started growing Wild Farmed wheat, which, as well as low input spring oats and winter beans, means we have reduced our nitrogen requirement by about 30%. All water courses are buffered, and most fields have wildflower margins allowing us to be insecticide free, with the larger fields divided by wildflower strips with trees. We have just planted 200 cricket bat willow trees a small cider orchard and we are planting an acre of grape vines this May.","Ta shin er n’obbragh er saase gyn traaue ny laboragh yn thalloo rish 14 bleeaney as ta shin er n’yannoo ny share jeh slaynt yn ooir as stoo orgaanagh yn ooir. Ta shin er n’aase bhir coodee rish 16 bleeaney ec y chooid sloo as ta shin kiart er ghoaill toshiaght dy aase churnaght Eirinys Feie, ta shoh marish corkey arree er beggan laboraght as poanraghyn geuree er chooney lhien dy leodaghey yn nitrogen ta shin feme liorish mysh 30 ‘sy cheead. Ta çhemmalyn faiyragh er dy chooilley choorse ushtey, as ta oirryn blaaghyn feie ayns y chooid smoo dy vagheryn ta lhiggey dooin gobbragh gyn marrooder-beishteig, as ta ny magheryn smoo er ny rheynn liorish schimmeigyn dy vlaaghyn feie as biljyn ayndoo. Ta shin kiart er hoiaghey 200 sheillagh bad criggad, garey-mess son lhune-ooyl as bee mayd soiaghey acyr dy viljyn-feeyney ayns mee ny Boaldyn shoh.",
"Joe & Rachel Horler, Maundrils Farm, Somerset","Joe & Rachel Horler, Maundrils Farm, Somerset",
"Maundrils Farm is located next to the Bridgwater Bay estuary, on the coastal levels of North Somerset. Farmed by Joe and Rachel, as tenants of Rachel’s parents, the 82ha farm lies below sea level and has been registered as organic for 25 years. The majority of land, crisscrossed by a water network of ditches and rhynes, is in Countryside Stewardship mid-tier and SFI agreements – options include 13ha of very low input permanent grassland, 5ha of wet grassland for wintering waders and wildfowl, 31ha of multispecies swards, 5.5ha of winter bird food on improved grassland. On the western boundary, permanent grassland, including restored dewponds, is designated as SSSI and provides grazing and freshwater habitat for wintering birds using the estuary. Hedgerows, small copses, a restored orchard and a demonstration plot planted for pollinators (Joe is a beekeeper) all add to the biodiversity of the farm.","Ta Maundrils Farm rish lhiattee inver Bridgwater Bay, er y thalloo rea er slyst ny marrey ayns Somerset Twoaie. Ta Joe as Rachel geirinagh ayns shen, myr tannys jeh paarantyn Rachel, ta’n balley-hallooin dy 82 ha ny lhie fo eaghtyr ny marrey as t’eh er ve recortyssit myr balley-hallooin orgaanagh rish 25 bleeaney. Ta’n chooid smoo jeh’n thalloo, coodit liorish moggyl dy yeeigyn ushtey, fo Stiurtys Çheerey ec tier meanagh as fo coardailyssyn Greinnaghey Eirinys So-hassooagh - ta ny reihyn goaill stiagh 13 ha dy halloo banjagh beayn er beggan laboraght, 5 ha dy halloo banjagh fliugh cour spaageyderyn as eeanlee feie ta çheet dy chur shaghey yn geurey, 31 ha dy ‘oainyn lesh ymmodee keintyn, 5.5 ha cour beaghey eeanlee ‘sy yeurey er thalloo banjagh lhiassit. Er y chagliagh heear, ta thalloo banjagh beayn, goaill stiagh lhingyn-druight ta jeant ass y noa, enmyssit myr ard jeh scansh sheansagh vooar as t’eh cur pastyr as oayllyn ushtey millish da eeanlee ta cur shaghey yn geurey er yn inver. Ta cleighyn, copseyn beggey, garey-mess jeant ass y noa, as ard soilshee soit son pollineyderyn (she shellaneyr Joe) ooilley bishaghey bea-chaghlaays y valley-hallooin.",
"The main farming enterprise is organic beef. Purchased cattle are grown on and sold as finished, from forage/grazing. Fields are rotationally grazed, with daily fence moves, resulting in a range of sward heights. Participation in discussion groups and technical research projects has led to collaborative work with others, such as pond and ditch restoration and provision of a receptor site for reptiles, both projects involving bat, newt and water vole surveying. Visitors from primary and secondary schools and some adult groups are guided to different habitat areas on the farm – interactive, fun, educational activities are tailored to the audience and help explain how the farming practices coexist with nature. Hosting on farm events including Open Farm Sunday and a news/ message board by the public footpath help to share this message to a wider audience.","She feill vart orgaanagh yn ard ghellal eirinagh. Ta ollagh kionnit goll er aase as t’ad er nyn greck myr ollagh jeant as aarloo er nyn meaghey lesh foddyr/gyndyr. Ta magheryn goll er yndyr er aght çhyndaaee, lesh faalyn scughit dagh laa, ta cur foainyn jeh caghlaaghyn yrjid. Ta goaill ayrn ayns possanyn resoonaght as shaleeyn ronsee er leeideil dys co-obbraghey marish sleih elley, myr sampleyr jannoo loghanyn as jeeigyn ass y noa as kiarail ard er lheh da snauee, ta’n daa halee er ghoaill stiagh jannoo towshan jeh craitnagyn, eairkagyn as roddanyn ushtey. Ta sleih ta cur shilley orrin veih bun-schoillyn as ard-schoillyn as possanyn sleih aasit goll er leeideil dys caghlaa dy ardjyn oayll er yn valley-hallooin - ta roortyssyn eddyr-obbragh, taitnyssagh, ta bishaghey ynsagh jeant cooie da’n lught fakin as t’ad cooney dy hoilshaghey magh kys ta ny cliaghtaghyn eirinagh co-veaghey marish nadoor. Ta’n balley-hallooin goltaghey sleih da taghyrtyn goll-rish Doonaght Yn Valley-Hallooin Foshlit as boayrd naight/çhaghteraght rish lhiattee yn chassan theayagh dy chooney lesh skeaylley magh yn çhaghteraght shoh dys lught-eaishtagh smoo.",
"Nicholas Whatt - Vine House Farm, Lincolnshire","Nicholas Whatt - Vine House Farm, Lincolnshire",
"Vine House Farm is in the Lincolnshire Fens just one or two meters above sea level, an area of large fields with few areas left for wildlife but when Nicholas realised that farmland birds were declining in 1992 it worried him so much he decided to try and reverse that trend.","Ta Vine House Farm ayns Curreeyn Lincolnshire ec ynrican un veadar ny daa veadar erskyn eaghtyr ny marrey, she ard dy vagheryn mooarey t’ayn gyn monney buill faagit son bea-feie agh tra hoig Nicholas dy row eeanlee thalloo eirinagh goll sheese y lhiargagh ayns 1992 v’eh ny voirey da wheesh as dy ghow eh ayns laue dy yannoo e chooid share dy chaghlaa yn beoyn.",
"The farm like others in the area is all arable. Nicholas grows 15 different crops some of them to supply his bird seed business. He has dug ponds, planted hedges, sown 10 ha of wild flower areas, many of them 6 meter margins, created a 14 ha wetland, built seven brick towers for Barn Owls and now has a farm shop and cafe. He has persuaded the drainage board to only cut one side of their drainage ditches each year which has attracted Reed Warblers, they have attracted Cuckoos and Nicholas can now hear or see a Cuckoo on his farm every day in May and June.","Ta’n balley-hallooin jeant jeh thalloo traauoil ooilley, goll-rish feallee elley ‘syn ard. Ta Nicholas gaase caghlaaghyn sorçh dy vhir - paart jeu dy yannoo magh yn dellal echey dy rassyn ushag. T’eh er reuyrey loghanyn, er hoiaghey cleighyn as er chuirr 10 ha dy ardjyn cour blaaghyn feie, ymmodee jeu as oirryn jeh 6 meadar oc, t’eh er chroo thalloo fliugh jeh 14 ha, t’eh er hroggal shiaght tooryn breek cour Cailleeyn Oie as nish ta shapp eirinagh as thie-bee echey. T’eh er choyrlaghey yn boayrd sheelee dy yiarrey un çheu ynrican jeh ny jeeigyn sheelee oc dagh blein ta er hayrn stiagh Guilckagyn, t’ad er hayrn stiagh Cooagyn as foddee Nicholas nish Cooag y chlashtyn ny y ‘akin er e valley-hallooin dy chooilley laa ayns Mee ny Boaldyn as Mee Veanagh y Touree.",
"Simon & Claire Bainbridge, Donkin Rigg, Northumberland","Simon & Claire Bainbridge, Donkin Rigg, Northumberland",
"Simon and Claire Bainbrigde are producing beef, eggs and lamb organically in the Northumberland uplands. Their 650 hectares of both owned and tenanted land has approximately 200 suckler cows, (Aberdeen Angus, Hereford, Galloways and Luings) 1,000 breeding ewes and 24,000 laying hens. The farm is in a five year Higher Tier Countryside Stewardship Scheme with SFI options, having previously been in an organic HLS/ELS/UELS for 15 years.","Ta Simon & Claire Bainbridge gymmyrkey magh feill-vart, oohyn as feill-eayn er aght orgaanagh ayns thallooinyn ard Northumberland. Er nyn 650 hectare dy halloo, paart jeh s’lhieusyn as paart elley as tannys ayn, ta 200 booa yiole, (Aberdeen Angus, Hereford, Galloway as Luing) 1000 keyrrey eayin as 24,000 dy chiarkyn breyagh. Ta’n balley-hallooin fo Skeym Stiurtys Çheerey Tier Syrjey rish queig bleeaney lesh reihyn son Greinnaghey Eirinys So-Hassooagh, roish shoh v’ad fo Stiurtys Keim Syrjey/Keim Toshee/Keim Toshee er Thalloo Ard rish 15 bleeaney.",
"The 150 hectares of silage and cropping land is in a 7 year rotation with multispecies swards, including red and white clover, undersown whole crop with barley, oats, peas, and vetch, and brassicas. The 500 hectares of permanent pasture / moorland is managed for target species which includes seven red list birds. Species rich areas, riparian strips, floristically enhanced margins all add to the environmental mosaic. Over 15km of hedges have been planted and systematically being laid, with a further 6km being planted these next two years. With nearly 20% of the farm handed over to nature and all the farm having either stewardship options, tree planting, wetland restoration or other projects, it’s clear that environmental development is as important as farm profitability.","Ta ny 150 hectare dy halloo silage as bhir fo corys çhyndaaee shiaght bleeaney lesh foainyn lesh ymmodee keintyn, goaill stiagh shamragyn jiargey as baney, slane baair fo-chuirrit lesh oarn, corkey, pishyryn, as pishyr chabbyl, as caaylyn. Ta ny 500 hectare dy halloo pastyr beayn / reeastane er nyn reirey son keintyn reiht ta goaill stiagh shiaght ushagyn rolley jiarg. Ta ardjyn ta palçhey ayns keintyn, schimmeigyn brooghaneagh, as oirryn lhome-lane dy vlaaghyn ooilley bishaghey mosaic yn çhymbyllaght. Ta erskyn 15 km dy chleighyn er ve soit er aght reaghit, as bee 6 km elley soit car y daa vlein shoh ry heet. Ta bunnys 20% jeh’n valley-hallooin currit da nadoor as ta’n slane balley-hallooin eddyr fo caghlaaghyn sorçh dy stiurtys ny ta shaleeyn soiaghey biljyn, jannoo thalloo fliugh ass y noa as y lheid goll er, myr shen s’leayr eh dy vel lhissaghey çhymbyllagh cha scanshoil as cosney eirinagh.",
"Over 100 kw of solar panels contribute to the farms energy usage. They have also converted an old farm building into a holiday let, let out a Capability Brown lake for fishing, an equestrian facility and are increasing their educational and training facilities to include toilets, washroom block and expansion of their existing meeting room. The objective is profitable, sustainable production with natures success and working with it being critical to their growth and success.","Ta ny smoo na 100 kw dy phannylyn pooar-greiney gientyn bree son yn valley-hallooin. T’ad er çhyndaa shenn vuildal eirinagh dys thie ta currit magh er mayl son turryssee, t’ad er chur magh er mayl logh Capability Brown son eeastagh, ta ynnyd-aghragh ayn as t’ad mooadaghey nyn ynnydyn-ynsee as traenal dy ghoaill stiagh premmeeyn, block-oonlee as mooadaghey nyn shamyr veeiteil. She gymmyrkey magh troar er aght vondeishagh as so-hassooagh as ec y traa cheddin jannoo shickyr dy vel nadoor bishaghey ta’n dean, as ta gobbragh marish nadoor ard-scanshoil son aase as speeideilys yn valley-hallooin.",
"John Billington, Kemsey Manor, Shropshire","John Billington, Kemsey Manor, Shropshire",
"A 260ha arable farm, growing Wheat, Oilseed rape and Barley. Over 15% of the farm is in Stewardship (ELS/HLS and SFI; including 11 wild birdseed patches, legume fallow, many pollen & nectar plots and 15ha of buffer margins. 8 acres of ponds, all watercourses and woodland having grass buffers. 4ha of natural woodland have been supplemented by 3ha planted in the last 45 years, feeding a log burner heating two houses and a grain drying system. 1.7km of hedges have been planted and 2km laid under stewardship. Soil structure has always been key to the farm. Low-pressure tyres were introduced in the early 90’s.","She balley-hallooin jeh 260 ha t’ayn, ta gaase Curnaght, Reap as Oarn. Ta ny smoo na 15% jeh’n valley-hallooin fo Stiurtys (Keim Toshee/Keim Syrjey as Greinnaghey Eirinys So-hassooagh), goaill stiagh 11 dy vuill dy rassyn feie da ushagyn, thalloo banjagh dy phoanraghyn, ymmodee boayl cour pollin as naghtyr as 15 ha dy hemmalyn faiyragh. 8 acyr dy loghanyn, ooilley ny coorseyn ushtey as thalloo keylley ta çhemmalyn faiyragh orroo. Ta 4 ha dy halloo keylley dooghyssagh er n’aase kyndagh rish 3 ha elley hie er soiaghey harrish ny queig bleeaney as daeed chaie. Ta shoh cur conney da coirrey-shamyr ta lostey fuygh as ta çhiow daa hie as cur çhiass da corys çhirmaghey grine. Ta 1.7 km dy chleighyn er ve soit as ta 2 km fo stiurtys. Va co-yannoo ooirey rieau jeh scansh son yn valley-hallooin. Va boynyn lag-vroo er nyn goyrt lesh stiagh ec toshiaght ny bleeantyn 90.",
"Precision farming started in 2009 with a GPS sprayer allowing accurate placement of pesticides and fertiliser, yield mapping in 2012 and auto steerage in 2016. 2018 was the start of no till drilling and variable rate fertiliser application. Seed dressings have been reduced with bacteria applied with the seed at sowing.","Ghow eirinys lesh cruinnys toshiaght ayns 2009 lesh spreihder GPS va lhiggey daue cur marrooderyn-beishteig as lhiassaghane ayns buill chooie, va mappal troar jeant ayns 2012 as va hene-stiurey currit stiagh ayns 2016. Ayns 2018 ghow ad toshiaght er cuirr jeeragh gyn traaue as corys caghlaaee son skeaylley lhiassaghane. Ta’n earroo dy rassyn coodit er noll sheese as ta bacteria er ny choyrt er ny rassyn tra t’ad goll er cuirr.",
Join us in wishing all five finalists the very best of luck!,Lhig dooin aigh vie y yeearree er ny queig jerrinee ooilley!,
The Silver Lapwing Award is kindly supported by Frontier,Ta cooney er ny choyrt dy kenjal da’n Aundyr Eairkan Argid liorish Frontier,
"Since 2005, Frontier Agriculture has been at the forefront of the UK agricultural industry delivering innovative and sustainable solutions to its farmer and grain customers, providing services and expertise across soil health, agronomy, seed, nutrition, crop protection, precision tools, grain marketing, risk management solutions and environmental land management services.","Neayr’s 2005, ta Frontier Agriculture er ve ec yn eer toshiaght jeh’n jeidjys eirinagh yn RU ta livrey ansooryn noa-chliaghtagh as so-hassooagh da nyn gionneyderyn eirinagh as grine, kiarail shirveishyn as oayllys trooid slaynt ooirey, agronomy, sheel, beaghey, coadey bhir, greienyn cruinnys, margeeys grine, ansooryn son dellal rish gaueyn as shirveishyn cour reirey thalloo er aght ta cummal seose yn çhymbyllaght.",
"Through its committed team of environmental specialists, Frontier is the industry leader in the provision of conservation, green cover, forage and game cover seed mixtures. A nationwide team of technical experts and environmental advisors also help growers and land managers to make the most of funding opportunities that support more environmentally conscious actions on-farm, such as those from government agri-environment schemes.","Kyndagh rish e skimmee jeidjagh dy ‘leih as fys er lheh oc er cooishyn yn çhymbyllaght, ta Frontier ny leeideilagh ayns yn jeidjys eirinagh bentyn rish kiarail mestaghyn-rass coadee, coodagh glass, foddyr as coodagh feieys. Ta nyn skimmee dy oaylleeyn çhaghnoil as fir-choyrlee çhymbyllaghtoil fud yn ashoon cooney lesh aaseyderyn as reireyderyn thallooin neesht dy yannoo soo dy vie jeh caaghyn son cooney argidoil ta pohldall jannooyn ta soilshaghey toiggalys share jeh’n çhymbyllaght er baljyn-thallooin, lheid as adsyn voish skeymyn yn reiltys son eirinys ta kenjal da’n çhymbyllaght.",
"Similarly, Frontier’s sustainability specialists also help to link farm businesses to private funding streams from across the agricultural supply chain, supporting the implementation of more sustainable production systems that deliver for biodiversity and long-term food security.","Er yn aght cheddin, ta sur-oaylleeyn Frontier cooney dy cho-chiangley dellalyn eirinagh rish strooyn dy chooney argidoil preevaadjagh veih’n gheuley-kiareyder eirinagh, ta cummal seose cur ayns bree saaseyn dy ymmyrkey magh troar ta cummal seose bea-chaghlaays as shickyrys-bee foddey-emshyragh.",
Land App,Land App,
