Speaker,Manx,English,SubStart,SubEnd,Notes
RT,"Aw, cha nel fys aym’s ...","Oh, I don’t know ...",240,270,
JC,Cha sym’s ... Ansherbee ...,I don’t know ... Anyway ...,240,270,
RT,Cha nel ... cha nel mee er ...,I ... I haven’t ...,270,300,
JC,"Haink eh, haink eh dys queig pottyn jeh’n stoo shoh, as mmm, as dooyrt eh ... “Vel ennney ayd ta dooinney gaase yn stoo, yn stoo shen, ayns y vagher shid? As dooyrt eh, “Cha nel enn aym er shen er chor erbee, as ... wahll dreggyr eh ‘Aw ta dooinney ayn, ny ben ennagh shen y yannoo, as ta enn mie aym er ny duillagyn shen ...","He came, he came to five pots of this stuff, and mmm, and he said ... “Do you recognise that there is a man growing the stuff, that stuff, in yonder field?” And I said “I do not recognis that at all,” and well he answered “Oh, there’s a man, or some woman doing that, and I recognise those leaves very well ...",270,300,
RT,Aye ...,Aye.,300,360,
JC,"As va mee captan y skeerey ec y traa shen, as dooyrt me ‘Oh wahll, cha bee eh feer vie my vees er goll mygeayrt er y çheer dy vel captan y skeerey jaaghey, jaaghey ...","And I was the captain of the parish at that time, and I said ‘Oh well, it won’t be very good if it goes around the countryside that the captain of the parish is smoking, smoking ...",300,330,
RT,"stoo myr shen, ta ...","Stuff like that, yeah ...",300,330,
JC,"... Cannabis ... aye, dooyrt mee cha bee shen ro vie edyr, as, as eisht, as eisht çhelvane mee er, er y veoir-shee ayns Skeeyl Andreays, ... as cha row eh ayn, as eisht çhelvane mee er ny meoiryn-shee ayns Rhumsaa, as, as cha row freggyrt erbee, as eisht chelvane mee er,","... Cannabis ... aye, I said that won’t be too good at all, and, then I phoned, the policeman in Kirk Andreas, ... and he wasn’t in. and then I phoned the police in Ramsey, and, and there wasn’t any answer, and then I phoned",300,330,
JC,"er yn ard-oik ayns Dooilsh, as haink ben er y çhelvane as dooyrt mee ree err, ta ...  ‘shegin dou gra dy vel ...’ err ... c’red ta’n stoo shen reeshtagh?","the headquarters in Douglas, and a woman came of the phine and I said to her, “there’s ... I must say that ...” err, ... what’s that stuff again?",330,360,
RT,Cannabis.,Cannabis.,330,360,
JC,Cannabis. Aye. “dy vel dooinney as cannabis echey,Cannabis. Aye. “that there’s a man with cannabis,330,360,
JC,"er y çheer aym’s”. As dooyrt ee, “Aw wahll, inshym’s da’n dooinney, yn ard-dooinney, tra t’eh çheet stiagh ayn, as,” err, dooyrt ee “bee dooinney elley chelvaney ny sanmey, as shen kiart dy liooar , as hie mee er-ash reeshtagh as v’eh, oh v’eh bunnys jeih er y chlagh as dooyrt mee “Ta mee goll, ta mee goll dy my lhie nish, as hie mee dys my lhie,","on my land.” And she said, “Oh well, I’ll tell the man, the head man, when he comes in, and ...” err, she said, “there’ll be another man phoning later, and that is alright,” and I went back again and it was, oh, it was almost ten o’clock and I said  “I’m going, I’m going to bed now, and I went to bed,",360,390,
JC,"bunnys my chadley, as va’n va’n ...","almost asleep, and the, the ...",390,420,
RT,"Aw, fastyr mie ghoonney.","Oh, good afternoon, man.",390,420,
JC,"Va’n chellvane ...  Aye, trooid stiagh ayn ...","The phone ... Aye, come on in ...",390,420,
PR,Fastyr mie.,Good afternoon.,390,420,
JC,"Cha saym’s. Aw, kanys ta Paayl?","I don’t know. Oh, how’s Paul?",390,420,
PR,"Feer vie, gura mie ayd. Ass uss?","Very well, thank you. And you?",390,420,
JC,"Va mee loayrt, yn skeeal mychione yn cannabis gaase sy vagher aym’s.","I was talking, the story about the cannabis growing in my field.",390,420,
PR,Oh r’ou?,Oh were you?,390,420,
PR,kennip?,hemp?,420,450,
JC,"Aye, kennip .. wahll, cha sym’s ... cha nel eh kennip kiart edyr. Ansherbee, va mee captan y skeerey ec y traa shen, as dooyrt mee rhym pene, bee eh red agglagh my vees yn skeeal goll mygeayrt er y cheer dy vel eh captan y skeerey as eshyn jaaghey cannabis,","Aye, hemp ... well, I don’t know ... it isn’t exactly hemp , at all. Anyway, I was the captain of the parish at that time, and I said to myself, it will be an awful thing is the story is going around the countryside that he's the captain of the parish and he smokes cannabis.",420,450,
PR,Aye ... scammyltagh!,Aye ... scandalous!,420,450,
JC,"As, er, cannabis gaase er e cheer hene. As dooyrt mee rhym pene, “Shegin dou chelvaney er ny meoiryn shee,” as ren mee myr shen, as, err, nagh vel oo son soie sheese?  ... W’raad ta mee nish?","And, err, cannabis growing on his own land. And I said to myself, “I must phone the police,” and that’s what I did, and, err, wouldn’t you like to sit down?” ... Where am I now?",450,480,
RT,"Oh, chellvaney er ...","Oh, phoning ...",450,480,
JC,chellvaney er ...,... phoning ...,450,480,
RT,... ny meoiryn-shee as ...,... the police and ...,450,480,
JC,"... ny meoiryn shee, ny meoiryn-shee ayns Doolish. As va ben, haink y ven dooys as v’ee gra, dooyrt ee, “wahll inshym’s da’n  ard-dooinney, as err,","... the police, the police in Douglas. And there was a woman, a woman came to me and she was saying, she said, “well, I’ll tell the head man, and err,",450,480,
JC,"nee eh chelvane ort ayns tammylt beg, ansherbee, as, err, foddee mairagh ... as v’eh jeih er y chlag, as va mee, hie mee dys my lhie, as v’eh ... ogh ... lurg bunnys nane-jeig er y chlag va’n chelvane builley, as hie mee sheesh ny greeshyn as, as dooyrt mee, err,","he will call you in a little while, anyway, as, err, maybe tomorrow ... and it was ten o’clock and I was, I went to (my) bed, and it was ... och ... after almost eleven o’clock the phone was ringing, and I went down the stairs and, and I said, err,  ",480,510,
JC,"“C’red ta shiu shirrey, eisht? Ec yn oie shoh?” As v’eh, dooyrt eh dy row ... “mish my veoir-shee ass Skeeyl Andreays, as ta mee er chlashtyn dy vel, dy vel shiu gaase cannabis er y vagher”, as dreggyr mee “Cha nel lhiam’s yn stoo shoh, er chor erbee.” as, ogh, dooyrt eh, “Wahll, shegin dhyt goll nish,","“What are you looking for, then? This night? And he was, he said that (he) was ... “I’m a police officer from Andreas, and I’ve heard that, that you are growing cannabis in the field,” and I answered “this stuff doesn’t belong to me, not in any way.” ... and, och, he said, “ Well, you have to go now,",510,540,
JC,"as insh dou c’raad ta’n stoo ayns ny pottyn,” As dooyrt mee, ta mee ayns my lhiabbee! As va mee my chadley!” as dooyrt eh, “Wahll s’cummey my-dty-chione, ta mee son cur shilley orroo nish.” As dooyrt mee ”Aw, wahll shen red agglagh dy yannoo, nagh vel?” “Shegin dou!” dooyrt eh, as “wahll, cha nel mee son gleashtan panda as ram soilshaghyn goll mygeayrt ","and tell me where the stuff in the pots is.” And I said, “I am in my bed! And I was asleep!” and he said, “Well you don’t matter, I want to go see them now.” And I said “Oh, well that’s an awful thing to do, isn’t it?” “I have to!” he said, and “Well, I don’t want a panda car with a lot of lights going around ",540,570,
JC,"ayns shen, as shegin dou, shegin dhyt cheet ayns dty ..","there, and I have to ...” ... “You have to come in your ...",570,600,
PR,... coamrey cadjin ...,... ordinary clothes ...,570,600,
JC,"... ayns dty choamrey cadjin, as shenn vreetçhyn ayd, as dy chooilley nhee myr shen”, as dooyrt eh. “Kiart dy liooar, nee’m myr shen.” As lurg tammylt beg va crank er y dorrys, as err, hie mee magh er y dorrys as dys y veoir-shee v’ayn,","... in your ordinary clothes, and your old trousers, and so on,” he said. “Right enough, I’ll do that.” And after a little while there was a knock on the door, and err, I went out through the door and to the police officer who was there,",570,600,
JC,"as dooyrt eh, “Wahll, lhig dooin goll, as, as hug[1] fys dooys c’raad ta’n cannabis shoh ny lhie.” As, as va, va’n oie shen cha doo as cheu-sthie jeh booa, ghooinney, as, va soilshey aym’s, soilshey echeysyn, as va shin goll dys y voayl shoh, as trooid ny biljyn, as","and he said, “Well, let’s go, and let me know where this cannabis is lying.” And, and there was ... that night was as black as the inside of a cow, man, and, I had a light, and he had a light, and we were going to this place, and through the trees, and",600,630,[1] hug] — [cur] would be expected here.
JC,"trooid ooilley ny smeyryn as y lheid, as haink shin dys ny queig pottyn, as dooyrt mee “Shen ad. Queig pottyn jeh cannabis. As c’red ta shiu son jannoo, as dooyrt eh “Aw wahll, shegin dooin goaill ad er-ash dys yn stashoon.” As “Aw,” dooyrt mee, “Aw, bee ooilley ny meoiryn-shee gaase pot, as smookal ass pot nish!” As v’eh lane corree,","through all the blackberries and so on, and we came to the five pots, and I said, “That’s them. Five pots of cannabis. And what do you want to do?” and he said, “Oh, well, we have to take them back to the station.” And “Oh?” I said, “Oh,” I said, “Oh, all the police will be growing (a) pot, and smoking from the pot now!” And he was very angry,",630,660,
JC,"as dooyrt eh, “S’treih lhiam nagh vel yn dooinney lesh ny lossyreenyn shoh çheet dy chur shilley orroo nishtagh! As oddym greim y gheddyn orroo. As , ansherbee, hie shin er-ash as mish dys my lhiabbee, as eshyn er-ash dys, dys ny stashoonyn, as cha geayll mee un ’ockle vouesyn neayr’s y traa shen, cha sym’s","and he said, “I’m sorry that the man to whom these plants belong is not coming to see them now! And I can get a hold of them. And, anyway, we went back, and me to my bed, and he back to, to the stations, and I haven’t heard a word from them since that time, I don’t know",660,690,
JC,"quoi lesh va ooilley ny pottyn shoh, as yn cannibis shoh, as ansherbee, cha row ad lhiam’s ansherbee. Va shen yn, yn obbyr s’jerree ren mee myr captan y skeerey.  As va orrym dy irree seose magh ass yn obbyr shen er yn oyr dy row my ven gaase skee, as lane skee jeh’n obbyr, as va mee ...","who all these pots belonged to, and this cannabis, and anyway, they didn’t belong to me anyway. That was the, the last job I did as captain of the parish. And I had to ‘rise up out of’ (leave / retire from) that job because my wife was getting tired, and really fed up with the job, and I was ...",690,720,
JC,"by vie lhiam lhaih magh ooilley ny slattysyn, er y chronk, as lhisagh dooinney as Gaelg echey shen y yannoo, ny fer jeh ny briwnyn ... as adsyn neu-chliaghtit rish yn çhengey, ogh, aw, cha sym’s, shen yn aght ...","I liked reading out all the acts, on the hill, and a man who knows Manx ought to do that, or one of the deemsters, and those unaccustomed to the language .. och, oh, I don't know, that’s the way ...",720,750,
,"Wahll, gura mie ayd mooar.","Well, thanks a lot.",720,750,
JC,"T’ou jannoo dy mie nish, ayns y vrastyl?","You’re doing well now, in the class?",720,750,
PR,"Aw, feer vie.","Oh, really well.",720,750,
JC,"Aye. Bee ram sleih as ooilley yn Vaarle jarroodit oc, vel? Bunnys?","Aye. There’ll be a lot of people who have forgotten all their English, is there? Nearly?",750,780,
PR,T’eh yindyssagh ... loayrt Gaelg feiy’n laa.,It’s wonderful ... speaking Manx all day.,750,780,
JC,"Aye, shen eh.",Aye. That’s it.,750,780,
,,,,,
,,,,,
,,,,,
