English,Manx,Manx Original,Page,Notes
,"Choud’s ta’n Society ayns Lunnin, myr shoh goit seose ayns streu dy hyndaa ny Hewnyn gys y chredjue Chreestee, ta ymmodee er choyrt nyn goyrle dy cheilley ayns aght yindyssagh dy choyrt er y hoshiaght yn obbyr cheddin ayns cheeraghyn elley. Ren Sheshaght queig Reeaghyn Europe, tra v’ad er nyn jaglym cooidjagh ec Aix la Chapelle, fockley magh slattys, liorish va stayd ny Hewnyn soit magh myr tooilloo kiarail chammah yn Er-reiltagh, as yn Er-ghiastyllagh; as dooyrt ad nagh beagh nhee erbee laccal er yn ayrn ocsyn dy choyrt eh er y hoshiaght.",,3,
,"Ta Ree Alexander liorish slattys reeoil er choyrt lane thalloo rish oirr Azoph da Hewnyn chyndait gys y chredjue Chreestee, feaysley ad veih keeshyn as shirveish ayns e Heshaghtyn-caggee, as ghialdyn daue e oayr as e choadey reeoil. Ta Mr. Moritz, Hew t’er hyndaa gys y chredjue Chreestee, pointit dy yeeaghyn harrish cooishyn spyrrydoil, yn ayrn shen jeh’n reeriaght. Ta ny smoo na tree feed lught thie hannah er goaill seose nyn gummal ayns shen.",,4,
,"Shegin da myrgeddin ve inshit dy ren Ree Prussia as y Prince Eirey yn Reeriaght shassoo myr Ghedjaghyn tra whooar Hew dy row bashtey Chreestee er y tree laa as feed jeh January, s’terree ec Berlin.",,4,
,"Ta Sheshaghtyn neesht ayns Edinburgh as Glasgow, son coyrt y credjue Creestee er y hoshiaght mastey ny Hewnyn er hoilshaghey nyn garail dy choyrt Shirveishee magh trooid reeriaghtyn Europe, son yn oyr shen; as ta Sheshaght ayns America son coyrt magh Shirveishee Creestee, er oardaghey daa ghooinney aeg crauee as tushtagh son yn eer oyr dy gholl harrish yn Atlantic dy phreacheil y Sushtal da ny Hewnyn ayns Jerusalem.",,4,
,"Lheid shoh coontey giare jeh obbraghyn vondeishagh yn Society shoh; as s’feer shegin dooin gra, “Shoh jannoo yn Chiarn; as te yindyssagh ayns ny sooillyn ain.”",,4,
,"S’feer ta’n traa cheet, ayn nee’n Chiarn soilshaghey myghin er Sion, as foast reih Jerusalem, as jannoo ee ny moylley er y thalloo.",,4,
,"Ta Ree Alexander er coyrt Hew v’er hyndaa gys y credjue Creestee dy yeeaghyn ny Hewnyn ayns e reeriaght dy loayrt roo mychione y credjue, as dy skeaylley yn Conaant Noa ayns Hebrew ny mast’ oc. Ayns screeuyn veih Saggyrt P. Treschow, t’eh gra dy daink thousaneyn dy Hewnyn huggey, dy dooyrt ny Rabbeeyn as ymmodee jeh ny Hewnyn ec Rodonov, dy row ad lhieent lesh yindys ec ny reddyn hooar ad ayns y Chonaant Noa: haink ymmodee ec Grodno gys e hie, imneagh dy gheddyn lioaryn, as fockley magh nagh jinnagh ny firrinyssyn ayns y Chonaant Noa, er aght erbee cur ny Hewnyn ersooyl veih Jee nyn Ayraghyn, agh dy vel ad cooie dy ghoostey yn cree dy ve graihagh er Jee, as dy hirveish eh. Haink ymmodee deiney aegey ec Wilna gys Mr. Moritz, as ghow ad rish dy ren ad credjal liorish lhaih yn Conaant Noa, dy vel Creest yn Messiah firrinagh, as dy row aigney oc dy ghoaill rish yn credjue Creestee.",,4,
,"Ec Mitau va ny Hewnyn cha aggindagh dy chosney yn Conaant Noa, ayns Hebrew, dy ren paart jeu chebbal dy eeck ayrn jeh’n cost, my yinnagh Mr. Moritz eh y phrental ayns y valley shen.",,5,
,"Ayns jurnah goit liorish Saggyrt L. Way dy ronsaghey magh stayd ny Hewnyn ayns Prussia, Poland, &c. hug ad tastey dy ren y chooid smoo jeh ny Rabbeeyn goaill coppeeyn jeh’n Conaant Noa, ayns Hebrew. Ren ny Hewnyn dy cadjin soilshaghey ad hene cha nee ynrycan dy ve aggindagh, agh dy ve imneagh dy gheddyn copy jeh. Ayns screeuyn veih Poland ta unnane gra.",,5,
,"“Ta boggey aym dy insh diu dy vel shen ta shiu er n’akin mastey ny Hewnyn choud’s va shiu ayns Poland erskyn ooilley nyn yerkallyn, as ta mee ny cheayrtyn er ve sluggit seose ayns yindys. Ta’n chenn feoh v’oc da eer ennym Yeesey, ta choud er hayrn dorraghys er ny aignaghyn oc, as er lhiettal ad veih streeu dy ronsaghey magh yn chooish vooar shoh, nish dy yindyssagh goit ersooyl, as t’ad aarloo, as eer aggindagh dy loayrt mychione y credjue Creestee lesh slane reamys. Ve gerjoilagh dy akin lesh cre’n arryltys ghow ad yn Conaant Noa veih nyn laueyn, as yn yearree jeean hoilshee ad dy hoiggal yn Sushtal. Dy chooilley raad hooar ad copy jeh va earrooyn ny Hewnyn chelleeragh ry akin ayns ny margaghyn, as fer ayns y vean lhaih eh lesh ard-coraa. Raad duirree shin tammylt ve yn cliaghtey oc dy heet mygeayrt y mooin ayns ny margaghyn, ny gys y hie[3] raad va shin cummal shirrey orrym dy choyrt bun er ayrnyn ennagh jeh’n lioar, ny loayrt noi ayrnyn elley. Va’d ooilley fuirraght dy meen son ansoor, as choud’s dirree fer ennagh ny cheayrtyn noi deaisht feallagh elley ec y traa cheddin dy arryltagh, as eer hoilshee ad gennallys ayns nyn eddin ec shen v’aym dy loayrt roo mychione Chreest as e Hushtal.”",,5,[3] sic
,"CHREESTEENYN! gow-jee chymmey er ny HEWNYN, ynsee-jee dy ve erreeishagh daue, as dy ghoaill padjer er nyn son, son ta’n Messiah firrinagh ren adsyn y hoylley, jeeaghyn orroo lesh chymmey. Va’n phadjer echey ec oor e phaartail “Ayr, jean leih daue, son cha vel fys oc cre t’ad dy yannoo.”",,5,
,"CHREESTEENYN! streeu-jee dy hayrn ad gys arrys, son t’Eshyn ren ad y hoylley er ghialdyn dy choyrt arrys daue. Shen ta Jee er ghialdyn ta kied ec dooinney dy yearree; as ta’n eer gialdyn kianley shiu dy hirrey.",,5,
,"Vanninnee! ta shiu fakin veih’n coontey nish er ny coyrt, dy vel obbyr yn Society shoh bishaghey, as dy vel ymmodee dorryssyn foshlit dy choyrt craueeaght er e hoshiaght. Lhig da cooney ghiastyllagh Caarjyn Israel ve corrym rish ny caaghyn chebbit daue. Ta oyr ain dy smooinaghtyn nagh bee mayd laccal labreeyn ayns y fouyr gloyroil shoh, ny lhig dooin laccal ny tashtaghyn ta ymmyrchagh dy chur ad magh.",,5,
,,,5,
,,,6,
,HYMNYN.,,6,
,,,6,
,I.,,6,
,,,6,
,"Son ayds, O! Sion, cha goym fea,",,6,
,"Agh guee-ym son dty vie,",,6,
,"Gys yiow Jerusalem livrey,",,6,
,As Judah chagglit thie.,,6,
,,,6,
,"Gys nee yn chairys ayd chyndaa,",,6,
,Myr irree seose y ghrian;,,6,
,"Yn lossey dy haualtys bra,",,6,
,Yn lamp dy hoilshey beayn.,,6,
,,,6,
,"Ashoonee-whaagh nee jeeaghyn er,",,6,
,As reeaghyn ginsh dty stayd;,,6,
,"Dty chash’rickys ver ad my-ner,",,6,
,Yn ennym noa vees ayd.,,6,
,,,6,
,"Bee’n Chiarn dty chummal seose dy feer,",,6,
,"Er ghoaill oo stiagh gys foayr,—",,6,
,Bee maynrys Yudah ayns nyn jeer,,6,
,E attey as e ghloyr.,,6,
,,,6,
,"Er voalley Sion, oie as laa",,6,
,Ta’n arreyder preacheil;,,6,
,“Ta dty livrey-ys cheet t’eh gra,,6,
,Er son eck jean-jee prayll.”,,6,
,,,6,
,"Gow-jee ny hrooid kiartee-jee’n raad,",,6,
,Ny giattyn ’osley daue;,,6,
,"Trog-jee da’n pobble cullee ard,",,6,
,Ta’n feaysley oc ec laue.,,6,
,,,6,
,"O lhig da’n goo goll fud sheelnaue,",,6,
,As skeaylley gys dagh ayrn;,,6,
,"“Ta’n pobble casherick ec laue,",,6,
,Eer kionneeaght y Chiarn.”,,6,
,,,6,
,II.,,6,
,,,6,
,Reiltagh chymmoil yn irjey heose!,,6,
,"Tra ta shin geam hood veih yn ooir,",,6,
,"Nagh jean oo croymmey sheese dty chleaysh,",,6,
,Nagh der Jee Abraham ansoor?,,6,
,,,6,
,"Kys nee dty phobble cur dhyt fea,",,6,
,Derrey ne’oo Sion hroggal reeisht?,,6,
,"Dty phooar y hoilshagh ass e lhieh,",,6,
,As croo Jerusalem toyrt booise.,,6,
,,,7,
,"Son shoh, dty nooghyn bannit hene,",,7,
,Ta ayns dty hiamble ort waiteil;,,7,
,"Son shoh ayns padjer imlee geam,",,7,
,Dy jeean ec dorrys myghin prayll.,,7,
,,,7,
,"Haualtagh lesh dty hooil chymmoil,",,7,
,Jeagh neose er y treihartys vooar;,,7,
,"Cur void dty chorree, bee foayroil,",,7,
,As trog seose Israel veih’n ooir.,,7,
,,,7,
,"O! Tayrn ad ooilley lesh dty ghraih,",,7,
,Gys credjue bio ayns gialdyn Yee;,,7,
,"Dy vod mee-chredjuee ta creoï,",,7,
,Chyndaa lesh trimshey ayns nyn gree.,,7,
,,,7,
,"Ta Magazine ta cur coontey jeh ooilley laboragh yn Society son chyndaa ny Hewnyn, prentit ec toshiaght dy chooilley vee, as soilshaghey cooishyn shegin ve erskyn towse taitnyssagh as vondeishagh da Creesteenyn chammah as da Hewnyn. Price 7d. ec Office yn Society.",,7,
,"Nee pe’agh erbee ta chaglym skyllyn ’sy chiaghtyn dys cooney yn Society, feddyn coppee jeh’n Magazine shoh, dy chooilley vee, as slane coontey jeh’n laboragh oc trooid y vlein ec jerrey ny bleeanney.",,7,
,"Te’r ny yearree dy jean nyn lheid as ta red erbee er dy hoilshaghey da, ny red erbee dy vriaght jeh’n Society, scrieu dys ny Secretareeyn, ec London Society House, 10, Wardrobe-Place, Doctors’ Commons, London.",,7,
,,,7,
,"PADJER,",,7,
,,,7,
,"Dy v’er ny ghoaill liorish Caarjyn Pobble Israel, ayns nyn Badjeryn Lught-thie.",,7,
,,,7,
,"O YEE Abraham, Isaac, as Yacob, t’er ghloyraghey dty Vac Yeesey, eshyn t’ou er “hroggal seose dy ve ny Prince as ny Haualtagh, dy choyrt arrys da Israel as leih peccaghyn,”—clasht rooin, ta shin guee ort, tra ta shin skeaylley kiongoyrt rish stoyl-reeoil dty grayse, stayd kynneeyn skeaylt Israel, as tra ta shin guee dy vod arrys as leih peccaghyn v’er ny choyrt daue; clasht rooin, tra ta shin jannoo accan er ny son ocsyn ta sluight ny Phadeyryn, as y Conaant ren uss rish nyn Ayraghyn, gra rish Abraham, “As ayns dty luight vees ooilley ashoonyn y theihll er nyn mannaghey;” ta shin guee eisht dy vod cloan Abraham ve er nyn mannaghey ayns sluight Abraham. Tayrn ad ec y jerrey dy akin dy vel Yeesey dy Nazareth ren nyn Ayraghyn y varroo as y chrossey er billey, yn ynrican Saualtagh Pheccee, dy nee ny hrooidsyn ta leih peccaghyn er ny phreacheil, as dy nee “liorishyn ta ooilley ny ta credjal er ny heyrey veih dy chooiley nhee voue nagh voddagh ad v’er ny heyrey liorish leigh Voses, as tra ta Moses er ny lhaih, O giall nagh bee yn coodagh ny sodjey er nyn greeaghyn, agh dy vod ad chyndaa gys y Chiarn, dy vod ad “jeeaghyn ersyn t’ad er hoylley.” Nagh vod Creest er ny Chrossey ve ny sodjey dauesyn oyr tuittym, agh dy vod yn uill echeysyn va er ny gheayrtey er y crosh ve orroosyn as er nyn gloan dy ghlenney ad veih dy chooilley pheccah. ","O YEE Abraham, Isaac, as Yacob, t’er ghloyraghey dty Vac Yeesey, eshyn t’ou er “hroggal seose dy ve ny Prince as ny Haualtagh, dy choyrt arrys da Israel as leih peccaghyn,”—clasht rooin, ta shin guee ort, tra ta shin skeaylley kiongoyrt rish stoyl-reeoil dty grayse, stayd kynneeyn skeaylt Israel, as tra ta shin guee dy vod arrys as leih peccaghyn v’er ny choyrt daue; clasht rooin, tra ta shin jannoo accan er ny son ocsyn ta sluight ny Phadeyryn, as y Conaant ren uss rish nyn Ayraghyn, gra rish Abraham, “As ayns dty luight vees ooilley ashoonyn y theihll ey nyn mannaghey;” ta shin guee eisht dy vod cloan Abraham ve er nyn mannaghey ayns sluight Abraham. Tayrn ad ec y jerrey dy akin dy vel Yeesey dy Nazareth ren nyn Ayraghyn y varroo as y chrossey er billey, yn ynrican Saualtagh Pheccee, dy nee ny hrooidsyn ta leih peccaghyn er ny phreacheil, as dy nee “liorishyn ta ooilley ny ta credjal er ny heyrey veih dy chooiley nhee voue nagh voddagh ad v’er ny heyrey liorish leigh Voses, as tra ta Moses er ny lhaih, O giall nagh bee yn coodagh yn sodjey er nyn greeaghyn, agh dy vod ad chyndaa gys y Chiarn, dy vod ad “jeeaghyn ersyn t’ad er hoylley.” Nagh vod Creest er ny Chrossey ve ny sodjey dauesyn oyr tuittym, agh dy vod yn uill echeysyn va er ny gheayrtey er y crosh ve orroosyn as er nyn gloan dy ghlenney ad veih dy chooilley pheccah. ",7,
,"O gow chymmey ta shin guee ort er dty henn pobble ta foddey seaghnit. Cordail rish ooilley dty Chairys, ta shin guee ort lhig da dty chorree as dty ymmoose ve er ny hyndaa veih Jerusalem dty Chronk Chasherick. Cur er dty eddin dy hoilshean er dty ynnyd Casherick, son t’eh treigit. “O Hiarn! clasht rooin as jean gobbraghey er nyn son; ny lhig shaghey er dty graih hene, er graih dy Ard-valley, as dty phobble ta enmyssit liorish dty Ennym.” O Hiarn! t’ou er n’yannoo Israel yn saase, liorish ta shinyn Ashoonee er chosney dy chooilley vannaght spyrrydoil, cha vel adsyn er choyrt biallys dy vod shinyn trooid y vee-viallys ocsyn myghin y gheddyn—shoh ta shin er yarrood, chamoo ta shin er cooinaghtyn dy nee trooid y vyghin er ny hoilshaghey dooinyn nee adsyn myrgeddin myghin y gheddyn. Giall eisht ta shin guee ort dy vod shinyn neesht, er yn ayrn ainyn ve greinyn dy oays dauesyn voish ta nyn Saualtys er jeet. Ta shin er lhiggey-shaghey roud dy yeearree ort dy hoiaghey stiagh reesht ny banglaneyn dooghyssagh ayns y Villey Olive oc hene. Son shoh ta shin ginjillaghey shin hene kiongoyrt rhyt lesh nearey er nyn eddin. Ta shin dty dy[4] vannaghey dy vel spyrryd erbee dy phadjer er ny gheayrtey magh son chloan Israel ta foast ennoil. Gleashee seose ta shin guee ort ny smoo as ny smoo jeh’n spyrryd dy phadjer fud dty Harvaantyn. Ny lhig daue fea y choyrt dhyts derrey nee oo jannoo Jerusalem ny voylley er y thalloo. Lhig daue guee son shee Yerusalem. Cur er dty harvaantyn smooinaghtyn er ny voallaghyn eck, as ve seaghnit dy akin ee ’sy joan. Clasht rooin, O Yee, ta dy kinjagh arryltagh dy chlashtyn padjer! Clasht rooin ayns ny accanyn ta shin chebbal hoods ass lieh sluight seaghnit Abraham. Clasht rooin ayns ny padjeryn shoh yinnagh shin chebbal trooid Ard-Saggyrt ooasle nyn ghredjue, Yeesey Creest; as dy jean yn Ard-Saggyrt shen, myr yn Ard-Saggyrt ayns ny chenn earishyn, gymmyrkey ennym y daa hribe jeig er e gheayltyn, pleadeil e hoilchinys as e uill ass lieh kirree cailjey thie Israel—bannaghey ad lesh dy chooilley vannaght spyrrydoil, lesh ooilley e laanid nagh vod ve ronsit magh.—Amen.","O gow chymmey ta shin guee ort er dty henn pobble ta foddey seaghnit. Cordail rish ooilley dty Chairys, ta shin guee ort lhig da dty chorree as dty ymmoose ve er ny hyndaa veih Jerusalem dty Chronk Chasherick. Cur er dty eddin dy hoilshean er dty ynnyd Casherick, son t’eh treigit. “O Hiarn! clasht rooin as jean gobbraghey er nyn son; ny lhig shaghey er dty graih hene, er graih dy Ard-valley, as dty phobble ta enmyssit liorish dty Ennym.” O Hiarn! t’ou er n’yannoo Israel yn saase, liorish ta shinyn Ashoonee er chosney dy chooilley vannaght spyrrydoil, cha vel adsyn er choyrt biallys dy vod shinyn trooid y vee-viallys ocsyn myghin y gheddyn—shoh ta shin er yarrood, chamoo ta shin er cooinaghtyn dy nee trooid y vyghin er ny hoilshaghey dooinyn nee adsyn myrgeddin myghin y gheddyn. Giall eisht ta shin guee ort dy vod shinyn neesht, er yn ayrn ainyn ve greinyn dy oays dauesyn voish ta nyn Saualtys er jeet. Ta shin er lhiggey-shaghey roud dy yeearree ort dy hoiaghey stiagh reesht ny banglaneyn dooghyssagh ayns y Villey Olive oc hene. Son shoh ta shin ginjillaghey shin hene kiongoyrt rhyt lesh nearey er nyn eddin. Ta shin dty dy[4] vannaghey dy vel spyrryd erbee dy phadjer er ny gheayrtey magh son chloan Israel ta foast ennoil. Gleashee seose ta shin guee ort ny smoo as ny smoo jeh’n spyrryd dy phadjer fud dty Harvaantyn. Ny lhig daue fea y choyrt dhtys derrey nee oo jannoo Jerusalem ny voylley er y thalloo. Lhig daue guee son shee Yerusalem. Cur er dty harvaantyn smooinaghtyn er ny voallaghyn eck, as ve seaghnit dy akin ee ’sy joan. Clasht rooin, O Yee, ta dy kinjagh arryltagh dy chlashtyn padjer! Clasht rooin ayns ny accanyn ta shin chebbal hoods ass lieh sluight seaghnit Abraham. Clasht rooin ayns ny padjeryn shoh yinnagh shin chebbal trooid Ard-Saggyrt ooasle nyn ghredjue, Yeesey Creest; as dy jean yn Ard-Saggyrt shen, myr yn Ard-Saggyrt ayns ny chenn earishyn, gymmyrkey ennym y daa hribe jeig er e gheayltyn, pleadeil e hoilchinys as e uill ass lieh kirree cailjey thie Israel—bannaghey ad lesh dy chooilley vannaght spyrrydoil, lesh ooilley e laanid nagh vod ve ronsit magh.—Amen.",8,[4] sic
,"Douglas: Printed by G. Jefferson, Bookseller, Duke-Street.",,8,
,,,,
,,,,
,,,,
,,,,
