Manx,English,Notes,Page,Manx Original,English Original
"As hee oo cre ta Messyn y rass shen, liorish ny peccaghyn eajee ta sleih cur roo tra ta’d faagit daaue. ","And you see what are the Fruits of that Seed, by the abominable Wickedness Men can be guilty of, when they are left to themselves.",,8,,
Q. Ta shiu cheet orroosyn ny lomarcan ta Jee er hreigeil ? ,Q. You mean some desperate People only ?,,8,,
"A. Ny moll oo hene. Ta shin ooilley liorish dooghys aarloo dy huittym ayns dy chooilley pheccah eajee ; as my ta Jee, liorish e ghrayse ny e Ard-chiarrail, er vreayll shin veih ny foilchin smoo shen, dasyn ta’n booise cair as cha nee dooin hene. ","A. Do not deceive your self. We are all by Nature subject to every Abomination, and if God, by his Grace, or his Providence, hath kept us from those greater Crimes, we must thank Him, and not ourselves.",,8,,
"Son marish nyn greeaghyn broagh hene, leeidagh shin gys peccah, ta drogh Spyrrydyn ayn, ta kinjagh aarloo dyn miolagh gys olk, as, jin hene, cha vel pooar ain dy haghney yn ghoanlys oc. ","For besides our own corrupt Hearts, which would lead us to Sin, there are evil Spirits ever ready to tempt us to Mischief, and, of our selves, we have no Power to escape their Malice.",2 Pet. v. 8.,8,,
Q. Nagh vel eh mee-vaanrys wooar dy heet stiagh ’sy teihll lesh leid yn aigney gys peccah as dy ve soit maskey leid ny Noidyn niartal ? ,"Q. Is it not a great Unhappiness to be born with Inclinations to sin, and to be set in the midst of such powerful Enemies ?",,9,,
"A. Cha vel dooyt jeh : Agh eisht, ta myghin Yee er jyndaa ooilley shoh gys vondeish smoo dhyt. ","A. There is no doubt of it : But then, the Mercy of God has turned all this to your greater Advantage.",,9,,
"Son, nish, hee oo dy plain y dangere t’ow ayn ; hee oo cre cha trome as ta peccah, as cre’n jerrey te taarn sleih huggey ; hee oo nagh vel veg y phooar ayd dy chooney lhiatt hene, agh dy negin dhyt ooilley dty varrant y chur er Jee, as ve er dty reill liorish ; Shoh my ghouys oo ort y ve, ta Jee er chiarrail er dty hon leid ny reddyn mie as nagh voddagh oo dy bragh y hoilchin, ga dy beagh oo ooilley dty vea seyr veih peccah. ","For, now you see plainly the Danger you are in ; you see what a sad thing Sin is, and what it will bring Men to ; you see that you have no Power to help yourself, but that you must altogether depend upon God, and be governed by Him ; which, if you resolve to be, He has prepared for you such good Things, as you could never have deserv’d, though you had lived in Innocency all your Days.",,9,,
Q. Cre hug er Jee ve cha kiarralagh jeein ? ,Q. What did move God to have such a Regard for us ?,,9,,
"A. Ren Yeesey Creest, Mac Yee, liorish e vaase, yn shee ain rish e Ayr, er conaant dy jinnagh shin credjal, gough shin arrys, as dy jyndaagh shin gys Jee, as obbraghyn y yannoo cooie da arrys ; ta shoh enmyssit Conaant y ghrayse, son dy vel eh chebbit dooin jeh foayr arryltagh Yee, fegooish y toilchin ainyn. ","A. Jesus Christ, the Son of God, hath, by his Death, made our Peace with his Father, upon Condition that we believe, repent, and turn to God, and do Works meet for Repentance, which is called the Covenant of Grace, because it is offered unto us of God’s free Favour, without our deserving.",Acts xx. 26.,9,,
"Nish t’adsyn ooilley, nee soiagh jeh’n cheb graysoil shoh, Bashtit as casherickit liorish y Spyrryd Noo ; ta shen, t’ad livreit veih pooar Noid ny hanmey ; as lurg da rass obbraghyn casherick ve cuirt ayns ny creeaghyn oc, t’ad cheet dy ve nyn Oltyn jeh Creest, Meck da Yee, as Eiraghyn jeh Reereeaght Niau. ","Now all such as accept this gracious Offer, are baptised and sanctified by the Holy Ghost : That is, they are taken from under the Government of Satan, and, having the Seeds of Holiness sown in their Hearts, they become Members of Christ, Sons of God, and Heirs of Heaven.",Acts xxvi. 18,9,,
Q. Cre te dy ve Olt jeh Creest ? ,Q. What is it to be a Member of Christ ?,,10,,
"A. Ta shen dy ve Olt jeh’n Aglish echey, ta enmyssit Corp Creest ; er yn oyr dy vel Creest, myr y Kione, dy reill ee liorish e Leihaghyn, as dy choadey ee liorish e spyrryd. ","A. It is to be a Member of his Church, which is called the Body of Christ, because Christ, as the Head, governeth it by his Laws, and preserveth it by his Spirit.",,10,,
Q. Cre’n vondeish ta liorish y ve Olt jeh Aglish Chreest ? ,Q. What Benefit is it to be a Member of the Church of Christ ?,,10,,
A. Liorish shoh ta ayd cairys gys ymmodee Gialldynyn mooar as ooasle. ,A. You have hereby a Right to many great and precious Promises.,,10,,
"Gialldyn jeh shee rish Jee, jeh Leih peccaghyn er dt’ Arrys ; Gialldyn jeh spyrryd mie Yee dy leeideil as dy endeil oo ; Gialldyn y vea ta dy bragh farraghtyn, as dy chooilley haase dy Ghrayse ta ymmyrchagh dy chosney eh. As, er jerreh ooilley, Gialldyn dy bee cooney niartal Chreest marish dty vochillyn Spyrrydoil gys jerreh’n Teihll. ","The Promise of Peace with God, of Pardon upon your Repentance ; The Promise of God’s good Spirit to guide and defend you ; The Promise of eternal Life, and all the Means of Grace necessary to obtain it. And lastly, the Promise of Christ’s powerful Presence with your spiritual Pastors, unto the World’s end.",Mat. xxviii. 30,10,,
"Q. Te, eisht, mee-vaanrys wooar dy ve mooie ass yn Aglish. ","Q. It is, then, a great Unhappiness to be out of the Church.",,10,,
"A. Te red feer Aglagh. Son quoi erbee ta myr shen, my she kindagh rish drogh vea te, ny drogh chredjue, ny liorish eh hene y scarrey fegooish oyr, veih’n Aglish firrinagh, ta cordail rish y Leih soit Seose raad te veaghey, ta enmyssit Charbaa veih’n Aglish ; ta leid y persoon shen cheet reeisht fo pooar Noid ny hanmey Ferreill y Teihll shoh, ta shen, y Ferreill ocsyn ooilley nagh vel ayns Conaant rish Jee. ","A. It is a most dreadful Thing. For whoever is so, whether on Account of a wicked Life or wicked Principles, or by Separating himself without Cause, from the true and regularly established Church where he dwells, which is called Schism ; such a Person becometh again a Subject of Satan, the Prince of this World, that is, of all such as are not in Covenant with God.","John xii. 31.
Eph. ii. 2.",10,,
"Va sleih ayns toshiaght Creesteeaght cha tushtagh jeh shoh, nagh rou aash ny gerjagh erbee ec ny peccee sdaaney va nyn Maskey, choud as v’ad fo Kerragh ny Haglish, agh hur ad naarey ny seaghyn erbee, dy voddagh ad ve reeisht gouit stiagh ayns y Cheshaght. ","The first Christians were so sensible of this, that their boldest Sinners had neither Ease nor Comfort under the Church’s Censures, but underwent any Shame or Trouble, that they might be restored to Communion.",2 Cor. ii. 7.,11,,
"Q. Vod Charbaa veih’n Aglish ve foill cha dangeragh choud as ta sleih credjal goo Yee er yn yn Aght, as soilshagh ad hene dy leeideil bea cha chraauee as feallagh elley ? ","Q. Can it be so dangerous a Crime to separate, while Men believe the same Truths, and profess to live as well as others ?",,11,,
"A. Ta Jee hene er vriwnys y chooish shoh, liorish y kerragh aglagh hug eh orroosyn ren hoshiaght girree magh noi Reill ny Haglish. ","A. God himself hath judged this Case, by the fearful Punishment inflicted upon the first Disturbers of Church Government.",Numb. xvi.,11,,
"As er yn oyr dy vel Charbaa veih’n Aglish, son y chooid smoo, cheet jeh moayrn, dy vel eh oyr ymmodee streeu as niau-ghiastalys, cur drogh-yantee er nyn doshiaght, as liettal Ellin mie, shegin da ve ny pheccah mooar. ","And it being generally the effect of Pride, the cause of much Contention and Uncharitableness, encouraging Offenders, and hindering Discipline, it must needs be a great Sin.",,11,,
"Q. Cre’n resoon t’ayms dy chredjal dy vel mee m’ Olt jeh’n Aglish shen, ta whilleein foayr er ny yialldyn jee ? ",Q. What Reason have I to believe that I am a Member of the Church to which so many Favours are promised ?,,11,,
"A. Ta’n Bannaght er ny ve ayd dy rou bashtit liorish Persoonyn ta Jee er phointeil, as er ordrail dy lowal son yn obbyr shen. ","A. You have had the Blessing of being baptised by Persons sent, and rightly ordained for that end.",,11,,
"As choud as t’ow tannaghtyn biallagh gys dty Chianoortyn Spyrrydoil, Aspick, as Saggyrtyn Chreest, choud keddyn t’ow dty Olt jeh Aglish Chreest, as ta cairys ayd gys ooilley ny Gialldynyn ta jeant jee. ","And so long as you continue obedient to your spiritual Governors, the Bishop, and Pastors of Christ’s Flock, so long you are a Member of Christ’s Church, and have a Title to all the Promises made to it.",,11,,
"Agh dy ve Olt firrinagh as bio jeh’n Chorp echey, shegin dhyt ve kiarralagh dy yannoo ny te er haarey. Son my jir mad, dy vel sheshaght ain marish, as gimmeeaght ayns y dorraghys (ta shen dy ghra, leeideil drogh vea) ta shin breagagh, as cha vel shin jannoo’n ynryckys.","But to be a true and lively Member of his Body, you must be careful to do what he hath commanded. For if we say that we have fellowship with him, and walk in Darkness, (i. e. lead a wicked Life) we lie, and do not the Truth.","Mat. xi. 21.
1 John i. 6.",11,,
Q. Cre te dy ve Lhiannoo dy Yee ? ,Q. What is it to be a Child of God ?,,12,,
"A. Ta shen dy gheddyn leid ny Foayryn veih Jee as ta Mac geddyn veih e Ayr. Ta shoh enmyssit Daltanys, liorish ta shickyrys ayd dy jean Jee, er son graih Chreest, mee-reilltys y dooghys ayd y liggey shaghey, chummey ghoaill jeh dt’annoonid, dy foayroil clashtyn rish dt’accannyn, dt’ymmyrch y yannoo magh, dt’obbraghyn mie y eeick, as dty ghrogh ymmyrkey y smaghtagh. T’ad shoh ooilley leid ny obbraghyn as ta soilshagh magh graih Ayroil. ","A. It is to have such Privilege with God, as a Son hath with his Father. This is called Adoption, by which you have an Assurance, that God, for Christ’s sake, will overlook the untowardness of your Nature, pity your Infirmities, favourably hear your Requests, supply all your Wants, reward your Well-doings, and correct your Miscarriages ; which are all Acts of fatherly Affection.",,12,,
Q. Cre te dy ve Eirey jeh Reereeaght Niau ? ,Q. What is it to be an Inheritor of the Kingdom of Heaven ?,,12,,
"A. Ta shen dy gheddyn cairys ayns y voggey as y ghloyr t’ayns Niau ; as dy ve er dty choyrt ayns raad shickyr dy chosney ad. Te dy gheddyn Goo Yee son Rhaan dhyt, as Ainlyn mie Yee dy hirveish ort ; Myr shen dy nee dt’oill hene vees eh, mannagh bee oo ayns maanrys son dy bra. ","A. It is to have a Title to the Joys and Glories of Heaven, and to be put into a sure way of attaining them. It is to have the Word of God for your Security, and the good Angels of God to minister unto you ; so that it will be your own Fault, if you are not eternally happy.",Heb. i. 14.,12,,
"Q. Rou cairys erbee ayms gys ny Bannaghtyn shoh, roish ma jagh mee er bashtey ? ",Q. Had I no Right to these Blessings before I was Baptized ?,,12,,
"A. Cha rou veg eddyr. Smooinee ayd hene cre ny foayryn ad, as cha vou veg aynyd hene oddys ny leid y hoilchin. ","A. None at all. Consider what Favours they are, and you will find nothing in yourself that can deserve such.",Rom. iii. 23.,12,,
"Vod joan as leoi peccoil, jeaghyn son vondeishyn flaunyssagh ? Foayr Yee ? Coadey Ainlyn ? ",Can sinful Dust and Ashes pretend to heavenly Privileges ? the Favour of God ? the Protection of Angels ?,,12,,
"Vod dooghys niau-ghlen smooinaghtyn er toilchin, ny dy ve feeu jeh, Gloyr, as Ooashley, as Bea veaon ? ","Can corrupt Nature think of deserving, or be capable of Glory, and Honour, and Immortality ?",,13,,
"Jeagh vod oo enn shaar y chur ort hene, dy vod oo, tra t’ow dy firrinagh er dt’injilagh lesh tushtey jeh dt’Ardaalys as dty voghtynid, dy booisal soiagh jeh cooney as myghin Yee ; Son cha vel feme ocsyn ta Slaan er Lhee, agh ocsyn ta ching. ","Endeavour to know your self better, that being truly humbled with a Sense of your own Vileness and Misery, you may thankfully accept of Help and Mercy from God ; for they that are whole need not a Physician, but they that are sick. ",Matt. ix. 12.,13,,
"As faikin dy vel Jee er yialldyn dy yannoo whooish er dty hon, gou coyrle dy yannoo red ennagh er dty hon hene ? ","And seeing God has promised to do so much for you, be persuaded to do something for yourself.",,13,,
Q. Cre oddys Cretoor cha treih y yannoo er eh hon hene ? ,Q. What can so miserable a Creature do for himself ?,,13,,
