English,Manx,Original Manx,Notes
"The taking such diversions as cannot be used in the name of the Lord Jesus; such as Dancing, Cards, Plays, Balls, or Horse-races. None of which may be reconciled to the advice of the Apostle. (i)","Goaill lheid ny gammanyn as nagh vod ymmyd ve jeant jeu ayns ennym y Chiarn Yeesey; lheid as Daunsin, Caayrtyn, Cuirraghyn spoyrtoilagh, ny Raceyn Cabbyl. Myr nagh vod veg jeu ve coardit rish goan yn Ostyl (i).",,
"(i) “Redeem the time, because the days are evil.” Eph. v. 16.",(i) Eph. v. 16.,,
"The singing those songs, or reading those books, which do not tend to the knowledge and love of God.(k)","[6] Goaill ny arraneyn shen, ny lhaih ny lioaryn shen nagh vel leeideil gys tushtey as graih Yee.(k)",,
(k) Eph. v. 19 and James. v. 13.,(k) Eph. v. 19 as Jam. v. 13. ,,
"Softness, and needless self-indulgence: Laying up treasures upon earth; Borrowing without a probability of paying; or taking up goods without a probability of paying for them.(l)",Soailchys ny lhiggey lesh yn eill ayns nheeghyn gyn feme; Stoyral seose berchys er y thalloo; Geasaght argid fegooish fakin dy bee eh ayns nyn booar dy eeck eh reesht; ny goaill cooid fegooish fakin dy bee ayns nyn booar dy eeck er nyn son. (l),,
(l) “The wicked borroweth and payeth not again.” Psa. xxxvii. 21.  ,(l) Ta’n vee-chrauee geeasaght as cha vel eh geeck reesht er y hon. Psal. xxxvii. 21.  ,,
"It is expected of all who continue in the society, that they should continue to evidence their desire of Salvation,","Te jerkit rish vouesyn ooilley ta tannaghtyn ayns y Cheshaght cheddin, dy jean ad tannaghtyn dy hoilshaghey magh nyn yeearree lurg Saualtys,",,
"By doing good; by being in every kind merciful after their power, as they have opportunity; doing good of every possible sort, and as far as is possible, to all men.","Liorish jannoo mie; liorish ve ayns dy chooilley nhee myghinagh lurg nyn booar, as myr ta caa ock; jannoo mie jeh dy chooilley horch oddys ad, as choud as oddys ad da dy chooilley ghooinney. ","Liorish jannoo mie; liorish ve ayns dy chooilley neeh myghinagh lurg nyn booar, as myr ta caa ock; jannoo mie jeh dy chooilley horch oddys ad, as choud as oddys ad da dy chooilley ghooinney. ",
"To their bodies, of the ability which God giveth, by giving food to the hungry, by clothing the naked, by visiting or helping them that are sick or in prison.(m)","Da ny callinyn ock cordail rish y fort ta Jee coyrt, liorish coyrt beaghey da’n accryssagh, liorish coamrey’n rooishteenagh, liorish jeeaghin lurg, ny cooney lesh nyn lheid as ta ching ny ayns pryssoon.(m) ",,
"(m) “To do good and communicate, forget not, for with such sacrifices God is well pleased,” Heb. xiii. 16. Matt. xxv. 35, &c.","(m) Dy yannoo mie as dy rheinn er ny boghtyn nagh jarrood jee, son lesh lheid ny ourallyn ta Jee er ny yannoo booiagh. Heb. xiii. 16. Mian xxv. 35. ",,
"To their souls, by instructing, reproving, or exhorting, all we have any intercourse with.(n)","Da ny hanmeenyn oc, liorish gynsaghey, cur oghsan, ny coyrlaghey adsyn ooilley ta commeeys erbee ain roo. (n)",,
"(n) “Thou shalt not hate thy brother in thine heart; thou shalt in any wise rebuke thy neighbour, and not suffer sin upon him,” Levit. xix. 17.","(n) Cha der oo dwoaie da dty vraar ayns dty chree; agh nee oo er aght erbee oghsan chur da dty naboo, as cha jean oo lhiggey da peccah dty lhie er. Lev. xix. 17. ",,
"By doing good especially to them that are of the household of Faith, or earnestly desiring so to be; employing them preferably to others.(o) Buying one of another, helping each other in business; and so much the more, because the world will love its own, and them only.(p)","Liorish jannoo mie, erlheh dauesyn ta jeh lugh-thie yn chredjiu ny ta dy jean shirrey dy ve myr shen: cur obbyr daue myr-reigh roish feallagh elley.(o) Kionnaght yn derrey yeh jeh’n jeh elley, cooney yn derrey yeh lesh yn jeh elley ayns nyn aght beaghee; as wheesh shen smoo, er yn oyr dy der y seihll graih da’ vooinjer hene, as daue shen ny lomarcan (p). ",,
(o) [Especially barbers who do not follow their business on the Lord’s-day.] ,(o) [Erlheh barberyn nagh vel geiyrt da nyn aght beaghee er y doonaght.] ,,
(p) Rom. x. 12.  Heb xiii. 1. ,(p) Rom. x. 12. Heb. xiii. 1. ,,
"By all possible diligence, frugality and cleanliness, that the Gospel be not blamed.(q)","Liorish [7] dy chooilley harrooid, jeidjys, as glennid nagh bee cômys er ny choyrt gys y Sushtal (q).",,
(q) 2 Cor vi. 3. 1 Cor. x. 23.,(q) 2 Cor. vi. 3. 1 Cor. x. 23. ,,
"By running with patience the race that is set before them: Denying themselves, and taking up their cross daily: submitting to bear the reproach of Christ; to be as the filth and off-scouring of the world; and looking that men will say all manner of evil of them falsely for the Lord’s-sake.”(r)","Liorish roie lesh meenid yn race soit kiongoyrt roo, gobbal ad hene, as goaill seose nyn grosh gaghlaa, ginjillaghey ad hene dy ymmyrkey oltooan Chreest, dy ve myr broid as truster y theiyll: as jerkal dy jean deiney gra dy chooilley vonney dy olk er nyn son ock dy foalsey er coontey’n Chiarn.(r)",,
"(r) “Blessed are ye when men shall revile you, and persecute you, and shall say all manner of evil against you, falsely, for my sake,”. Matt. v. 11. Heb. ii. 2.","(r) Bannit ta shiuish tra nee deiney goltooaney shiu, as tranlaasey shiu, as gra dy chooilley vonney dy olk nyn oi eu, dy foalsey er y choontey ayms. Mian. v. 11. Heb. xi. 2. ",,
"It is expected of all who desire to continue in the Society, that they should continue to evidence their desire of Salvation, By attending all the ordinances of God.(s)","Te jerkit rish vouesyn ooilley nee tannaghtyn ayns y Cheshaght shoh, dy jean ad tannaghtyn dy chur prowal jeh nyn yeearree lurg saualtys, Liorish tendeil er ooilley oardaghyn Yee. (s)",,
(s) Psalm xxiv. 4. ,(s) Psal. xxiv. 4.,,
"Particularly the ministry of the word, where it is preached or expounded in its primitive purity, at all opportunities; carefully, with earnest prayer to God for a blessing upon what they hear.(t)","Ta shen shirveish e ghoo raad te er ny phreacheil, ny bun er ny chur er ayns e ghlennid echey[14], ec dy chooilley chaa; dy kiaralagh, lesh padjer yeean gys Jee son bannaght er ny ta shin dy chlashtyn.(t)",,[14] e ghlennid echey] e here is likely to be the definite article — ‘y ghlennid echey’
"(t) “Blessed are they that hear the word of the Lord and kept it,” Luke xi. 28. ","(t) Bannit t’adsyn ta clashtyn goo yee, as freayll eh. Luke xi. 28.",,
"The Supper of the Lord whenever it is administered, with solemn prayer, and deliberate self-devotion.(u)","Shibber y Chiarn tra erbee dy vel eh er ny hirveish, lesh padjer arrymagh, as resooney dowin ayns y spyrryd rish Jee.(u)",,
(u) Luke xxii. 19. 1 Cor. xi. 26.,"(u) Jean shoh ayns cooinaghtyn jeem’s, Luke xxii. 19. 1 Cor. xi. 26.",,
"Family prayer, morning and evening at the least.(v)",Padjer lught-thie moghrey as fastyr ec y chooid sloo.(v) ,,
"(v) “Pour out thy fury upon the heathen that have not known thee, and upon the families that call not on thy name.” Jer. x. 25. and Psa. lxxix. 9.","(v) Deayrt magh dty eulys er ny ashoonyn-quaagh nagh vel enney er ve oc orts, as er ny lughtyn-thie nagh vel geamagh er dty ennym. Jer. x. 25. as Psal. lxxix. 9.","(v) Deayrt magh dty eulys er ny ashoonyn-guaagh nagh vel enney er ve oc orts, as er ny lughtyn-thie nagh vel geamagh er dty ennym. Jer. x. 25. as Psal. lxxix. 9.",
"Private prayer also, morning and evening, and oftener if opportunity serve. (w)","Padjer erlheh myrgeddin moghrey as fastyr, as ny s’mennickey my ta caa shirveish. (w)","Padjer erlheh myrgeddin moghrey as fastyr, as ny simennickey my ta caa shirveish. (w)",
"(w) “Enter into thy closet, and when thou hast shut the door, pray to thy Father who is in secret, and thy Father who seeth in secret, will reward thee openly.” Matt. vi. 6.","(w) Gow stiagh ayns dty hiamyr, as tra tow er yeigh yn dorrys guee gys dty Ayr ta fakin ny tow jannoo dy follit, leagh y chur dhyt dy foshlit. Mian. vi. 6.",,
"Searching the Scriptures; by reading some part of them every day, carefully, seriously, and with earnest prayer for a blessing from God; and doing this fruitfully, immediately practising what they learn.(x)","Ronsaghey ny Scriptyryn; liorish lhaih ayrn ennagh jeu dy chooilley laa, dy kiaralagh lesh arrym, as lesh padjer vreeoil gys Jee son e vannaght; as jannoo shoh gys baare vie[17] chelleeragh cooilleeiney shen ny t’ad er nynsaghey.(x)","Ronsaghey ny Scriptyryn; liorish lhaih ayrn ennagh jeu dy chooilley laa, dy kiaralagh lesh arrym, as lesh padjer vreeoil gys Jee son e vannaght; as jannoo shoh gys baare vie[17] chelleeragh colleiney shen ny t’ad er nynsaghey.(x)",[17] baare vie] Cregeen: ‘Chur eh dys baare vie eh (he put it to a good end).’
"(x) “Search the Scriptures, for in them ye think that ye have eternal life, and they are they which testify of me.” John v. 39. Col. iii. 16.","(x) Ronsee-jee ny Scriptyryn, son ayndoosyn,[19] ta shin smooinaghtyn dy vel y vea veayn eu, as t’ad gymmyrkey feanish jeems. Ean v. 39. Col. iii. 16.","(x) Ronsee-jee ny Scriptyryn, son ayndooson, ta shin smooinaghtyn dy vel y vea veayn eu, as t’ad gymmyrkey feanish jeems. Ean v. 39. Col. iii. 16.",
"Fasting or abstinence, especially, on the four quarterly fasts, (viz.) The first Friday after the New-year’s-day year, after Lady-day[20], after Midsummer-day[21], and after Michaelmas-day.(y)","Trostey ny freayll yn corp fo smaght, erlheh kiare keayrtyn ’sy vlein, [ta, shen dy ghra] yn chied jea-heiney [8] jeh’n vlein, Jea-heiney lurg yn wheiggoo laa as feed jeh’n Vayrt. Jea-heiney lurg yn chiarroo laa as feed jeh mee-veanagh-e-touree, as Jea-heiney lurg laa ’eailley Mayll.(y)",,"[20] The Manx gives ‘the 25th day of March’.
[21] The Manx gives ‘the 24th day of June’."
(y) Matt vi. 16.,(y) Mian vi. 16.,,
"No member of the Society shall marry with an unbeliever, or a person who does not fear god and walk in his ways. Neither should they take any step towards marriage but in the fear of God, with earnest prayer for direction, and with the advice and approbation of their christian friends. (z)","Cha vel olt erbee jeh’n Cheshaght dy phoosey rish meechredjuagh ny persoon nagh vel goaill aggle roish Jee ny shooyl ayns e raaidjyn. Chamoo lhisagh ad kesmad erbee y ghoaill gys poosey, agh ayns aggle Yee lesh padjer yeean son e leeideileys echey[22], as lesh coyrle as aigney nyn gaarjyn creestee.(z) ",,[22] e] read as the definite article; y.
(z) Be not unequally yoked with unbelievers.” 2 Cor. vi. 14.,(z) Nagh bee shiu dy neu-chorrym sniemmit rish ny meechredjuee 2 Cor. vi. 14.,,
"(§) In all they ways acknowledge him, and he will direct thy paths.” Prov. iii. 6. Heb. xiii. 4.",(§) Ayns ooilley dty raaidyn gow rishyn as nee eh leeideil dty chesmadyn. Raaghyn Creeney iii. 6. Heb. xiii. 4.[23],,"[23] In the Manx, this footnote has no index, nor is there a call in the text. In the English, the footnote has the sign § but § in the text corresponds to || in the notes ‘Be not unequally yoked with unbelievers’. So in neither version is it evident what the footnote refers to."
"To prevent impostors from defrauding our brethren; and likewise to introduce the real members into all the privileges and fellowship to which they have a just claim, when obliged to remove into other parts, they are enjoined, to receive a Note of Recommendation from a Travelling-preacher, before their removal. ","Dy lhiettal Molteyryn veih goaill vondeish er nyn mraaraghyn; as myrgeddyn dy vod soylley ve ec ny oltyn firrinagh jeh ooilley ny vondeishyn as y chommeeys huc ta ock cairys lowal, tra t’ad son scughey gys ardjyn elley, t’ad shirt dy gheddin screeuyn moylley veih’n shirveishagh ta ny mastey ock roish my jean ad scughey. ",,
"The superintendent or some travelling-preacher, shall, if possible, meet the Local-preachers once a quarter; and no one can be admitted as a local-preacher, unless he is proposed and approved of by a majority of that meeting. ","Nee eshyn ta jeeaghyn harrish cooishyn y Cheshaght sheshey troailtagh da, meeteil my te possible ny Preachooryn ta bentyn gys y voayl shen, keayrt ’sy chiarroo; as cha vod fer erbee ve goit stiagh myr Preachoor er yn aght shoh, mannagh vel eh lowit jeh liorish yn ayrn smoo kionfenish ec y veeteil shen. ",,
