English,Manx,Manx Original,Notes
"Being by God’s Ordinance, according to our just Title, Defender of the Faith, and Supreme Governour of the Church, within these our Dominions, We hold it most agreeable to this our Kingly Office, and our own religious Zeal, to conserve and maintain the Church committed to our Charge, in Unity of true Religion, and in the Bond of Peace; and not to suffer unnecessary Disputations, Altercations, or Questions to be raised, which may nourish Faction both in the Church and Commonwealth. We have therefore, upon mature Deliberation, and with the Advice of so many of Our Bishops as might conveniently be called together, thought fit to make this Declaration following:","Myr ta shin, liorish oardagh Yee, dy cairagh Fendeilagh y Chredjue, as Ardreiltagh yn Agglish, cheu-sthie jeh ny Reamyn shoh, ta shin jeeaghyn er myr smoo cooie da’n oik reeoil ain, as nyn ghraih jeean er craueeaght, dy choadey as dy reayll yn Agglish t’er ny choyrt fo nyn gurrym ayns unnanys y chredjue firrinagh, as ayns kianley’n chee, as gyn lhiggey da arganyn, jengleyrys, as feyshtyn neu-ymmyrchagh, dy v’er ny hroggal, oddys coyrt oyr da streu as reynn, chammah ayns yn Agglish as fud y Thea. Ta shin er-y-fa shen, lurg smooniaghtyn dowin, as marish coyrle whilleen aspic as oddys dy cooie v’er nyn jaglym cooidjagh, er yeeaghyn er myr red cairagh dy yannoo yn Slattys shoh. ",,
"That the Articles of the Church of England (which have been allowed and authorized heretofore, and which Our Clergy generally have subscribed unto) do contain the true Doctrine of the Church of England agreeable to God’s Word: which We do therefore ratify and confirm, requiring all our loving Subjects to continue in the uniform Profession thereof, and prohibiting the least difference from the said Articles; which to that end We command to be new printed, and this Our Declaration to be published therewith.","Dy vel Banglaneyn Credjue Agglish Hostyn (va roïe soit magh, as orroo ta ny Aspickyn as ny Saggyrtyn ain er chordail,) goaill stiagh ynsagh firrinagh Agglish Hostyn, cordail rish Goo Yee: as ad shoh ta shin er-y-fa shen dy hickyraghey, coyrt sarey da ooilley yn thea graihagh ain dy hannaghtyn kinjagh ayns goaill roo, as gyn lhiggey daue dy scarrey ayns y thowse sloo veih ny Banglaneyn cheddin: as er-yn-oyr shoh ta shin sarey ad dy ve prentit ass-y-noa, as shoh yn slattys ain dy v’er ny hoiaghey magh maroo.",,
"That We are Supreme Governour of the Church of England: And that if any difference arise about the external Policy, concerning the Injunctions, Canons, and other Constitutions whatsoever thereto belonging, the Clergy in their Convocation is to order and settle them, having first obtained leave under Our Broad Seal so to do: and We approving their said Ordinances and Constitutions; providing that none be made contrary to the Laws and Customs of the Land.","Dy vel shin Ardreiltagh Agglish Hostyn: as my ta streu erbee girree mychione Oardaghyn Cheumooie yn Agglish, mychione ny Leighyn, Canonyn, as Oardaghyn elley bentyn huic, dy vel ny Saggyrtyn ayns y Slane Chaglym cooidjagh oc, dy reaghey as dy hickyraghey ad, lurg daue hoshiaght v’er gheddyn kied fo’n Broad Seal ain dy yannoo myr shen; as shinin soiaghey jeh ny oardaghyn as ny leighyn oc, er conaant nagh bee veg jeu noi leighyn as cliaghtaghyn y Cheer. ","Dy vel shin Ardreiltagh Agglish Hostyn: as my ta streu erbee girree mychione Oardaghyn Cheumooie yn Agglish, mychione ny Leighyn, Canonyn, as Oardaghyn elley bentyn huic, dy vel ny Saggyrtyn ayns y Slane Chaglym cooidjagh oc, dy reaghey as dy hickyraghey ad, lurg daue hoshiaght v’er gheddyn kied fo’n Broad Seal ain dy yannoo myr shen; as shinin soiaghey jeh ny oardaghyn as ny leighyn oc, er conaant nagh bee veg jeu noi leighyn as c?aghtaghyn y Cheer. ",
"That out of Our Princely Care that the Churchmen may do the Work which is proper unto them, the Bishops and Clergy, from time to time in Convocation, upon their humble Desire, shall have Licence under Our Broad Seal to deliberate of, and to do all such Things, as, being made plain by them, and assented unto by Us, shall concern the settled Continuance of the Doctrine and Discipline of the Church of England now established; from which We will not endure any varying or departing in the least Degree.","Veih nyn garail reeoil dy vod Reiltee yn Agglish jannoo yn obbyr ta cair daue, yiow ny Aspickyn as Saggyrtyn, veih traa gy traa, ayns Convocation er nyn accan imlee, kied fo’n Broad Seal ain, dy choyrt nyn aigney dy chielley, as dy yannoo ooilley lheid ny reddyn as, tra vees ad jeant cronnal lioroosyn, as lowit liorinyn, nee bentyn rish cummal seose ny-yei shoh, Ynsagh as Reill Agglish Hostyn, nish er ny hickyraghey liorish y leigh; veih cha jean mayd surranse caghlaa ny chyndaa ayns yn aght sloo.","Veih nyn garail reeoil dy vod Reiltee yn Agglish jannoo yn obbyr ta cair daue, yiow ny Aspickyn as Sagyrtyn, veih traa gy traa, ayns Convocation er nyn accan imlee, kied fo’n Broad Seal ain, dy choyrt nyn aigney dy chielley, as dy yannoo ooilley lheid ny reddyn as, tra vees ad jeant cronnal lioroosyn, as lowit liorinyn, nee bentyn rish cummal seose ny-yei shoh, Ynsagh as Reill Agglish Hostyn, nish er ny hickyraghey liorish y leigh; veih cha jean mayd surranse caghlaa ny chyndaa ayns yn aght sloo.",
"That for the present, though some differences have been ill raised, yet we take comfort in this, that all Clergymen within Our Realm have always most willingly subscribed to the Articles established; which is an argument to Us, that they all agree in the true, usual, literal meaning of the said Articles; and that even in those curious points, in which the present differences lie, men of all sorts take the Articles of the Church of England to be for them; which is an argument again, that none of them intend any desertion of the Articles established.","Ga son y traa t’ayn dy vel caghlaaghyn ennagh er ve dy aggairagh er nyn droggal, ny-yeih te gerjagh dooin dy vel ooilley ny Saggyrtyn cheusthie jeh’n Ream ain, dy kinjagh as dy arryltagh er chordail fo-laue er Banglaneyn Credjue yn Agglish ain soit magh liorish y leigh; cooid ta prowal dy vel ad ooilley goaill ny Banglaneyn cheddin ayns nyn vree[1] firrinagh cadjin, as cronnal: as eer ayns ny ayrnyn follit shen, orroo ta caghlaaghyn smooniaght, ta sleih jeh dy chooilley horch goaill ny Banglanyn Credjue cheddin myr er y cheu ocsyn; as ta shoh prowal sodjey nagh vel aigney ec veg jeu dy choyrt cooyll rish ny Banglaneyn shoh.",,"[1] nyn vree] the first of three cases of lenition where nasalization would be standard. The others are nyn Ven-Rein and er nyn hickyraghey, both in the Ratification. We find correct nyn mree in the next paragraph."
"That therefore in these both curious and unhappy differences, which have for so many hundred years, in different times and places, exercised the Church of Christ, We will, that all further curious search be laid aside, and these disputes shut up in God’s promises, as they be generally set forth to us in the holy Scriptures, and the general meaning of the Articles of the Church of England according to them. And that no man hereafter shall either print, or preach, to draw the Article aside any way, but shall submit to it in the plain and full meaning thereof: and shall not put his own sense or comment to be the meaning of the Article, but shall take it in the literal and grammatical sense.","Shen-y-fa ayns ny caghlaaghyn mee-vaynrey as neu-vondeishagh shoh, ta son whilleen cheead blein, ayns ymmodee imbaghyn as ynnydyn, er voirey Agglish Chreest, yn aigney ain te, dy bee dy chooilley ronsagh sodjey er ny choyrt dy lhiattee, as ny arganeyn shoh ve jeight seose ayns gialdynyn Yee, myr t’ad dy cadjin soit roin ayns ny Scriptyryn Casherick, as bree cadjin Banglaneyn Credjue Agglish Hostyn, cordail roo. As nagh jean dooinney erbee ny lurg shoh eddyr prental ny preacheil dy hayrn veg jeh Banglaneyn Credjue yn Agglish gy-lhiattee raad erbee, agh shegin da goaill ad ayns slane nyn mree, as gyn coyrt bun orroo cordail rish e aigney hene, agh nee eh goaill ad ayns y vree baghtal as cronnal. ","Shen-y-fa ayns ny caghlaaghyn mee-vaynrey as neu-vondeishagh shoh, ta son whilleen cheead blein, ayns ymmodee imbaghyn as ynnydyn, er voirey Agglish Chreest, yn aigney ain te, dy bee dy chooilley ronsagh sodjey er ny choyrt dy lhiatee, as ny arganeyn shoh ve jeight seose ayns gialdynyn Yee, myr t’ad dy cadjin soit roin ayns ny Scriptyryn Casherick, as bree cadjin Banglaneyn Credjue Agglish Hostyn, cordail roo. As nagh jean dooinney erbee ny lurg shoh eddyr prental ny preacheil dy hayrn veg jeh Banglaneyn Credjue yn Agglish gy lhiattee raad erbee, agh shegin da goaill ad ayns slane nyn mree, as gyn coyrt bun orroo cordail rish e aigney hene, agh nee eh goaill ad ayns y vree baghtal as cronnal. ",
"That if any publick Reader in either of Our Universities, or any Head or Master of a College, or any other person respectively in either of them, shall affix any new sense to any Article, or shall publickly read, determine, or hold any publick Disputation, or suffer any such to be held either way, in either the Universities or Colleges respectively; or if any Divine in the Universities shall preach or print any thing either way, other than is already established in Convocation with our Royal Assent; he, or they the Offenders, shall be liable to Our displeasure, and the Church’s censure in Our Commission Ecclesiastical, as well as any other: And We will see there shall be due Execution upon them.","My nee Fer-ynsagh erbee ayns y derrey yeh ny yn jeh elley jeh ny Universiteeyn ain, ny fer erbee elley ayns ny ynnydyn shen, coyrt bun noa er veg jeh Banglaneyn Credjue nyn Agglish, ny lhaih dy foshlit, ny freayll argane erbee mysh ny cooishyn shoh, ny surranse da lheid v’er ny reayll ayns y derrey yeh ny yn jeh elley jeh ny Universiteeyn; ny my nee Saggyrt erbee ayns ny ynnydyn shen prental ny preacheil nhee erbee er y chooish shoh agh shen ta hannah er ny hoiaghey magh ayns Convocation lesh yn aigney reeoil ain; bee eshyn ny adsyn foshlit roish y corree reeoil ain, as briwnys yn Agglish ayns yn Oardagh ain mychione yn Agglish, chammah as fer erbee elley; as gowee mayd carail dy bee kerraghey cooie er ny ghoaill orroo.",,
,,,
ARTICLES OF RELIGION,ENMYN,,
A TABLE OF THE ARTICLES,ny,,
,NUY BANGLANEYN JEIG AS FEED,,
,jeh,,
,CREDJUE AGGLISH HOSTYN.,,
1. Of Faith in the Holy Trinity.,1. Mychione Credjue ayns y Trinaid Casherick.,,
2. Of Christ the Son of God.,2. Mychione Creest Mac Yee.,,
3. Of his going down into Hell.  ,3. Mychione yn Goll-sheesh echey gys Niurin. ,,
4. Of his Resurrection.,4. Mychione yn Irreee-seose-reesht echey.,,
5. Of the Holy Ghost.,5. Mychione yn Spyrryd Noo.,,
6. Of the Sufficiency of the Scriptures.,6. Mychione Foandid ny Scriptyryn.,,
7. Of the Old Testament.,7. Mychione yn Conaant Noa.,,
8. Of the Three Creeds.,8. Mychione ny tree Creaghyn.,,
9. Of Original or Birth-sin.,9. Mychione Loght nyn Ghooghys.,,
10. Of Free-Will.,10. Mychione Reamys yn Aigney.,,
11. Of Justification.,11. Mychione yn Seyrey ain.,,
12. Of Good Works.,12. Mychione Obbraghyn Mie.,,
13. Of Works before Justification.,13. Mychione Obbraghyn roish nyn Seyrey.,,
14. Of Works of Supererogation.,14. Mychione Obbraghyn rait dy ve erskyn nyn Gurrym-kianlt. ,,
15. Of Christ alone without Sin.,15. Mychione Creest ny-lomarcan fegooish Peccah. ,,
16. Of Sin after Baptism.,16: Mychione Peccah lurg Bashtey.,,
17. Of Predestination and Election.,"17. Mychione Carail ro-laue Yee, as Reih yn Vooinjer crauee gys Bea.",,
18. Of obtaining Salvation by Christ.,18. Mychione cosney Saualtys liorish Creest.,,
19. Of the Church.,19. Mychione yn Agglish.,,
20. Of the Authority of the Church.,20. Mychione Pooar yn Agglish.,,
21. Of the Authority of General Councils.,21. Mychione Pooar Choonceilyn Cadjin.,,
22. Of Purgatory.,22. Mychione Purgatory.,,
23. Of Ministering in the Congregation.,23. Mychione Shirveish ayns y Chaglym-cooidjagh.,,
24. Of speaking in the Congregation.,24. Mychione Loayrt ayns y Chaglym-cooidjagh.,,
25. Of the Sacraments.,25. Mychione ny Sacramentyn.,,
26. Of the Unworthiness of Ministers.,26. Mychione Neu-fiuid Shirveishee.,,
27. Of Baptism.,27. Mychione Bashtey.,,
28. Of the Lord’s Supper.,28. Mychione Shibbyr y Chiarn.,,
29. Of the Wicked which eat not the Body of Christ.,29. Mychione yn Vooinjer mee-chrauee nagh vel gee Corp Chreest.,,
30. Of both kinds.,30. Mychione dagh ayrn jeh Shibbyr y Chiarn.,,
31. Of Christ’s one Oblation.,31. Mychione yn Un Oural Creest.,,
32. Of the Marriage of Priests.,32. Mychione Poosey ny Saggyrtyn.,,
33. Of Excommunicate Persons.,33. Mychione Persoonyn giarit jeh veih’n Agglish.,,
34. Of the Traditions of the Church.,34. Mychione Oardaghyn yn Agglish.,,
35. Of the Homilies.,35. Mychione Homileeyn.,,
36. Of Consecrating of Ministers.,"36, Mychione Casherickey Shirveishee gys nyn Oik.",,
37. Of Civil Magistrates.,37. Mychione Fir-oik y Thea.,,
38. Of Christian men’s Goods.,38. Mychione Cooid y Vooinjer Creestee.,,
39. Of a Christian man’s Oath. ,39. Mychione Loo Dooinney Creestee.,,
The Ratification.,Yn Ratification.,,
,,,
,BANGLANEYN CREDJUE,,
,AGGLISH HOSTYN.,,
,,,
I. Of Faith in the Holy Trinity.,1. Mychione Credjue ayns y Trinaid Casherick.,,
"There is but one living and true God, everlasting, without body, parts, or passions; of infinite power, wisdom, and goodness; the Maker, and Preserver of all things both visible and invisible. And in unity of this Godhead there be three Persons, of one substance, power, and eternity; the Father, the Son, and the Holy Ghost.","Cha vel agh un Jee bio as firrinagh, dy bragh beayn, fegooish corp, nagh vod ve er ny rheynn, ny surranse; jeh pooar, creenaght. as mieys erskyn-insh; Fer-croo, as Fer-coadee dy chooilley nhee, chammah ny reddyn t’ayns fakin as gyn fakin. As ayns unnaneys yn Jeeys shoh ta tree Persoonyn jeh un vree, niart, as beaynid, yn Ayr, yn Mac, as y Spyrryd Noo.",,
,,,
"II. Of the Word or Son of God, which was made very Man.","2. Mychione y Goo, ny Mac Yee va jeant ny Ghooinney firrinagh.",,
"The Son, which is the Word of the Father, begotten from everlasting of the Father, the very and eternal God, and of one substance with the Father, took Man’s nature in the womb of the blessed Virgin, of her substance: so that two whole and perfect Natures, that is to say, the Godhead and Manhood, were joined together in one Person, never to be divided, whereof is one Christ, very God, and very Man; who truly suffered, was crucified, dead, and buried, to reconcile his Father to us, and to be a sacrifice, not only for original guilt, but also for all actual sins of men.","Ren y Mac, ta Goo yn Ayr, er ny gheddyn liorish yn Ayr er dy rieau, yn Jee firrinagh as dy bragh farraghtyn, jeh’n un vree marish yn Ayr, goaill er dooghys dooinney ayns breïn y Voidyn Moirrey jeh’n stoo eck: myr shen dy row daa ghooghys slane as firrinagh, ta shen dy ghra, dooghys Yee, as dooghys ghooinney sniemmit cooidjagh ayns un phersoon, gyn dy bragh dy ve er nyn rheynn, jeh ta un Chreest, Jee firrinagh as dooinney firrinagh, ren surranse, v’er ny chrossey, er ny varroo, as er ny oanluckey, dy yannoo coardail eddyr Jee as shinyn, as dy ve ny oural, cha nee ynrican son y peccah ayn va shin ruggit, agh myrgeddin son ny peccaghyn jeant liorish deiney hene.",,
,,,
III. Of the going down of Christ into Hell.,3. Mychione goll-sheesh Chreest gys Niurin.,,
"As Christ died for us, and was buried, so also is it to be believed, that he went down into Hell.","Myr hooar Creest baase er nyn son, as v’eh oanluckit, myr shen myrgeddin te dy ve er ny chredjal dy ren eh goll sheesh gys Niurin, (ny stayd ny merriu).",,
,,,
IV. Of the Resurrection of Christ.,4. Mychione irree-seose-reesht Chreest.,,
"Christ did truly rise again from death, and took again his body, with flesh, bones, and all things appertaining to the perfection of Man’s nature; wherewith he ascended into Heaven, and there sitteth, until he return to judge all Men at the last day.","Ren Creest dy firrinagh girree reesht veih ny merriu, as ghow eh reesht e chorp, lesh feill, craueyn, as dy chooilley nhee bentyn rish slane dooghys dooinney; lhieu hie eh seose gys Niau, as t’eh ny hoie ayns shen derrey hig eh reesht dy vriwnys ooilley sheelnaue ec y laa jerrinagh.",,
,,,
V. Of the Holy Ghost,5. Mychione y Spyrryd Noo.,,
"The Holy Ghost, proceeding from the Father and the Son, is of one substance, majesty, and glory, with the Father and the Son, very and eternal God.","Ta’n Spyrryd Noo, ta cheet magh veih’n Ayr as veih’n Mac, jeh’n un vree, ooashley, as gloyr, rish yn Ayr as y Mac, Jee firrinagh as dy bragh-beayn.",,
VI. Of the Sufficiency of the holy Scriptures for salvation,6. Mychione Ynsagh ny Scriptyryn Casherick myr slane fondagh gys Saualtys.,,
"Holy Scripture containeth all things necessary to salvation: so that whatsoever is not read therein, nor may be proved thereby, is not to be required of any man, that it should be believed as an article of the Faith, or be thought requisite or necessary to salvation. In the name of the holy Scripture we do understand those Canonical Books of the Old and New Testament, of whose authority was never any doubt in the Church.","Ta Scriptyr Casherick goaill stiagh dy chooilley nhee ta ymmyrchagh gys Saualtys: myr shen nagh vel nhee erbee nagh vel er ny lhaih ayns y Scriptyr, ny oddys ve’r ny phrowal liorish, dy v’er ny hirrey jeh dooinney erbee dy lhisagh eh v’er ny chredjal myr banglane dy chredjue, ny ve smooinnit ymmyrchagh gys saualtys. Fo ennym ny Scriptyryn Casherick ta shin toiggal ny lioaryn v’er nyn goyrt liorish bree yn Spyrryd Casherick, as mychione yn firrinys oc ta’n slane Agglish er chordail. ","Ta Scriptyr Casherick goaill stiagh dy chooilley nhee ta ymmyrchagh gys Saualtys: myr shen nagh vel nhee erbee nagh vel er ny lhh ayns y Scriptyr, ny oddys ve’r ny phrowal liorish, dy v’er ny hirrey jeh dooinney erbee dy lhisagh eh v’er ny chredjal myr banglane dy chredjue, ny ve smooinnit ymmyrchagh gys saualtys. Fo ennym ny Scriptyryn Casherick ta shin toiggal ny lioaryn v’er nyn goyrt liorish bree yn Spyrryd Casherick, as mychione yn firrinys oc ta’n slane Agglish er chordail. ",
Of the Names and Number of the Canonical BOOKS,Enmyn as earroo ny Lioaryn v’er nyn goyrt liorish Bree Spyrryd Casherick Yee.,,
,,,
"Genesis,","Genesis,",,
"Exodus,","Exodus,",,
"Leviticus,","Leviticus,",,
"Numbers,","Earrooyn,",,
"Deuteronomy,","Deuteronomy,",,
"Joshua,","Joshua,",,
"Judges,","Briwnyn,",,
"Ruth,","Ruth,",,
"The First Book of Samuel,","1 Samuel,",,
"The Second Book of Samuel,","2 Samuel,",,
"The First Book of Kings,","1 Reeaghyn,",,
"The Second Book of Kings,","2 Reeaghyn,",,
"The First Book of Chronicles,","1 Recortyssyn,",,
"The Second Book of Chronicles,","2 Recortyssyn,",,
"The First Book of Esdras,","Ezra,",,
"The Second Book of Esdras,","Nehemiah,",,
"The Book of Esther,","Esther,",,
"The Book of Job,","Job,",,
"The Psalms,","Psalmyn,",,
"The Proverbs,","Raaghyn Creeney,",,
"Ecclesiastes, or Preacher,","Ecclesiastes,",,
"Cantica, or Songs of Solomon,","Arrane Solomon,",,
"Four Prophets the greater,","Ny kiare Phadeyryn smoo,",,
Twelve Prophets the less.,Yn daa Phadeyr yeig sloo.,,
,,,
And the other Books (as Hierome saith) the Church doth read for example of life and instruction of manners; but yet doth it not apply them to establish any doctrine; such are these following:,"As ny Lioaryn elley (myr ta Hierome gra,) ta’n Agglish lhaih son sampleyr bea, as ynsagh mychione ellyn mie; agh ny-yeih cha vel ee jannoo ymmyd jeu dy phrowal banglane erbee jeh’n chredjue; nyn lheid ta ny Lioaryn shoh:",,
"The Third Book of Esdras,","Yn Trass Lioar jeh Esdras,",,
"The Fourth Book of Esdras,","Yn Kiarroo Lioar jeh Esdras, ",,
"The Book of Tobias,","Lioar Tobias,",,
"The Book of Judith,","Lioar Yudith,",,
"The rest of the Book of Esther,","Yn cooid elley jeh Lioar Esther, ",,
"The Book of Wisdom,","Lioar Creenaght,",,
"Jesus the Son of Sirach,","Jesus Mac Sirach,",,
"Baruch the Prophet,","Baruch yn Phadeyr,",,
"The Song of the Three Children,","Arrane ny Tree Cloan,",,
"The Story of Susanna,","Yn Coontey jeh Susanna,",,
"Of Bel and the Dragon,","Bel as y Dragon,",,
"The Prayer of Manasses,","Padjer Manasses,",,
"The First Book of Maccabees,","1 Maccabeeyn,",,
"The Second Book of Maccabees,.",2 Maccabeeyn.,,
,,,
"All the Books of the New Testament, as they are commonly received, we do receive, and account them Canonical.","Ooilley Lioaryn y Chonaant Noa, myr ta’d dy cadjin er nyn ghoaill, ta shin goaill-rish dy v’er nyn goyrt liorish bree Spyrryd Casherick Yee.",,
,,,
VII. Of the Old Testament.,7. Mychione y Chenn Chonaant.,,
"The Old Testament is not contrary to the New: for both in the Old and New Testament everlasting life is offered to Mankind by Christ, who is the only Mediator between God and Man, being both God and Man. Wherefore they are not to be heard, which feign that the old Fathers did look only for transitory promises. Although the Law given from God by Moses, as touching Ceremonies and Rites, do not bind Christian men, nor the Civil precepts thereof ought of necessity to be received in any Common-wealth; yet notwithstanding, no Christian man whatsoever is free from the obedience of the Commandments which are called Moral.","Cha vel y Chenn Chonaant noi yn Chonaant Noa: son chammah ayns y Chen Chonaant as y Chonaant Noa ta’n vea dy bragh farraghtyn chebbit da sheelnaue liorish Creest, ta’n ynrican Fer ta loayrt eddyr Jee as dooinney, myr t’eh chammah Jee as Dooinney. Shen-y-fa cha vel geill dy ve er ny choyrt dauesyn ta gra nagh ren ny shenn Ayraghyn jeeaghyn ny sodjey na son ghialdynyn y vea shoh. Ga nagh vel yn Leigh va er ny choyrt veih Jee liorish Moses mychione oardaghyn cheumooie, kianley Creesteenyn; chamoo ta ny saraghyn ta er nyn goyrt ayns shen son reill y thea ymmyrchagh dy ve er nyn ghoaill ayns reeriaght erbee; ny-yeih cha vel Creestee erbee feayslit veih coyrt biallys da ny saraghyn ta bentyn rish craueeaght.","Cha vel y Chenn Chonaant noi yn Chonaant Noa: son chammah ayns y Chen Chonaant as y Chonaant Noa ta’n vea dy bragh farraghtyn chebbit da sheelnaue liorish Creest, ta’n ynrican Fer ta loayrt eddyr Jee as dooinney, myr t’eh chammah Jee as Dooinney. Shen-y-fa cha vel geill dy ve er ny cho?rt dauesyn ta gra nagh ren ny shenn Ayraghyn jeeaghyn ny sodjey na son ghialdynyn y vea shoh. Ga nagh vel yn Leigh va er ny choyrt veih Jee liorish Moses mychione oardaghyn cheumooie, kianley Creesteenyn; chamoo ta ny saraghyn ta er nyn goyrt ayns shen son reill y thea ymmyrchagh dy ve er nyn ghoaill ayns reeriaght erbee; ny-yeih cha vel Creestee erbee feayslit veih coyrt biallys da ny saraghyn ta bentyn rish craueeaght.",
,,,
VIII. Of the Three Creeds.,8. Mychione ny Tree Creaghyn.,,
"The Three Creeds, Nicene Creed, Athanasius’s Creed, and that which is commonly called the Apostles’ Creed, ought thoroughly to be received and believed: for they may be proved by most certain warrants of holy Scripture.","Ta ny Tree Creaghyn, Crea Nicene, Crea Athanasius, as shen ta dy cadjin enmyssit Crea ny Hostyllyn, dy ve dy firrinagh er nyn ghoaill as er nyn gredjal: son foddee ad dy slane ve er nyn browal liorish ayrnyn cronnal jeh’n Scriptyr Casherick.",,
,,,
IX. Of Original or Birth-sin.,9. Mychione Loght nyn Ghooghys ny yn Peccah ayn ta shin ruggit. ,,
"Original Sin standeth not in the following of Adam, (as the Pelagians do vainly talk;) but it is the fault and corruption of the nature of every man, that naturally is ingendered of the offspring of Adam; whereby man is very far gone from original righteousness, and is of his own nature inclined to evil, so that the flesh lusteth always contrary to the spirit; and therefore in every person born into this world, it deserveth God’s wrath and damnation. And this infection of nature doth remain, yea in them that are regenerated; whereby the lust of the flesh, called in the Greek, phronema sarkos, which some do expound the wisdom, some sensuality, some the affection, some the desire, of the flesh, is not subject to the Law of God. And although there is no condemnation for them that believe and are baptized, yet the Apostle doth confess, that concupiscence and lust hath of itself the nature of sin.","Cha vel peccah yn dooghys ain shassoo ayns geiyrt er Adam, (myr ta ny Pelagianee dy fardailagh loayrt,) agh te loght as broid dooghys dy chooilley ghooinney ta er ny ruggey jeh sluight Adam, liorish ta dooinney er n’gholl feer foddey veih e chied ynrickys, as dy dooghyssagh lhiantyn gys olk; myr shen dy vel yn eill geearree dy kinjagh noi’n spyrryd; as shen-y-fa ayns dy chooilley unnane ruggit ayns y theihll, te toilliu corree as briwnys Yee. As ta’n vroid shoh dy ghooghys tannaghtyn eer ayndoosyn ta er nyn ruggey reesht, liorish cha vel yeearree yn eill, enmyssit ayns y Ghreek, phronema sarkos, as soilshit liorish paart dy ve creenaght yn eill, liorish feallagh elley saynt ny foalley, liorish feallagh elley yeearree yn eill, fo biallys da Leigh Yee. As ga nagh vel deyrey ny chour ocsyn ta credjal as ta bashtit, ny-yeih ta’n Ostyl goaill-rish dy vel yeearree yn eill, myr te ayn hene, jeh dooghys peccah.","Cha vel peccah yn dooghys ain shassoo ayns geiyrt er Adam, (myr ta ny Pelagianee dy fardailagh loayrt,) agh te loght as broid dooghys dy chooilley ghooinney ta er ny ruggey jeh sluight Adam, liorish ta dooinney er n’gholl feer foddey veih e chied ynrickys, as dy dooghyssagh lhiantyn gys olk; myr shen dy vel yn eill geearree dy kinjagh noi’n spyrryd; as shen-y-fa ayns dy chooilley unnane ruggit ayns y theihll, te tilliu corree as briwnys Yee. As ta’n vroid shoh dy ghooghys tannaghtyn eer ayndoosyn ta er nyn ruggey reesht, liorish cha vel yeearree yn eill, enmyssit ayns y Ghreek, phronema sarkos, as soilshit liorish paart dy ve creenaght yn eill, liorish feallagh elley saynt ny foalley, liorish feallagh elley yeearree yn eill, fo biallys da Leigh Yee. As ga nagh vel deyrey ny chour ocsyn ta credjal as ta bashtit, ny-yeih ta’n Ostyl goaill-rish dy vel yeearree yn eill, myr te ayn hene, jeh dooghys peccah.",
,,,
X. Of Free-Will.,10. Mychione Reamys yn Aigney.,,
"The condition of Man after the fall of Adam is such, that he cannot turn and prepare himself, by his own natural strength and good works, to faith, and calling upon God: Wherefore we have no power to do good works pleasant and acceptable to God, without the grace of God by Christ preventing us, that we may have a good will, and working with us, when we have that good will.","Ta stayd ghooinney neayr’s huit Adam ayns peccah lheid nagh vod eh chyndaa as jannoo eh-hene aarloo liorish niart e ghooghys hene as e obbraghyn mie, dy chredjal as dy eamagh er Jee. Shen-y-fa cha vel niart erbee ain dy yannoo obbraghyn mie taitnyssagh as booisal da Jee, fegooish grayse Yee liorish Creest goll roin dy vod aigney crauee ve ain, as gobbraghey marin tra ta’n aigney crauee shen ain.",,
,,,
XI. Of the Justification of Man.,11. Mychione Seyrey Ghooinney.,,
