Mr JUAN CLUCAISH … Scriptyr. ,Mr JUAN CLUCAS … Scripture. ,
Mr HARRY CALLISTER … Thurot as Elliot. ,Mr HARRY CALLISTER … Thurot and Elliot. ,
Mr JUAN BOYDE … Brig Lily. ,Mr JUAN BOYD … Brig Lilly. ,
Mr RICHARD QUAYLE … Scriptyr. ,Mr RICHARD QUAYLE … Scripture. ,
Mr THOMASE TEAR … Carval. ,Mr THOMASE TEARE … Carval. ,
Mr JUAN CORKEL … Carval. ,Mr JUAN CORKILL … Carval. ,
"Mr HARRY CUBBON , Laxey, dy ghoaill yn stoyll drommey.","Mr HARRY CUBBON , Laxey, to take the chair.",
BLEIN VIE NOE ERRIU OOILLEY. ,A HAPPY NEW YEAR TO YOU ALL . ,
SHEE DY VEA. ,WELCOME . ,
DY BANNEE GEE YN VEN REIN.,GOD BLESS THE QUEEN.,
" Dy row eh feer wooiagh dy row cummyltee Phurt ny-Hingey er ghoaill toshiaght yn chied eallagh dy hoiaghey seose çhengey ny mayrey oc hene. Ren eh prowal myrgeddin veagh Goo Yee chammah yn Shenn Chonnaant as yn Connaant Noa dy row Goo Yee ayns yn nainsh[1] v’eh currit dooin cha aalin as cha gloyroil ayns e ghlare ain hene nagh row red erbee harragh harrish. Phrow ey myrgeddin liorish scrieudeyryn lheid as Adam Clarke as feallagh elley marish va toiggal ny cheid glaaraghyn dy row yn aalid ecki mooar as nagh lhisagh tribe ve caillt ayns Israel. Va dooinney yn stoyll drommey myrgeddin coyrlaghey yn eagid ayn goaill nearey rish yn ghlare oc hene, as geddyn foill daue er yn oyr tra yinnagh fer fenaght nhee erbee jeu ayns Gilk, dy re ansoor Baarlagh yinnagh eh geddyn, goaill nearey rish yn ghlare oc hene. Ren eh myrgeddin lhaih screeenyn scruit liorish Juan Thomase Mac y Chlery, Swansea. Va’d scruit ayns çhengey ny mayrey. V’ad lane dy chreenaght, as jeh aalid vooar. ","That he was very pleased that the residents of Peel had taken a lead as the first folk to uphold their own mother tongue. He also proved from The Word of God, both the Old Testament and the New Testament that God’s Word, in the way it was put down so beautifully and so gloriously in our own language there wasn’t anything that would overcome it. He also proved, by writers such as Adam Clarke, and other wirters with him who understood the original languages by writers such as Adam Clarke and other folk with him who understood the original languages that its beauty was great so that no tribe should be lost in Israel. The chairman was also advising the youth there, who are ashamed of their own language, and criticising them because when he would a man would ask them anything in Manx it’s an English answer he would get, (yes,) ashamed of their own language. He also read letters written by John Thomas Clarke, Swansea. They were written in the mother tongue. They were full of wisdom and of great beauty.","[1] Lewin; ansh [yn nainsh] - a variant pronunciation of aght , cf. ansherbee  [ãː nʃə'biː] for aght erbee  and [aːʃ for aght  (Broderick 1984: 6).]"
,,
"Ta shin booisoil da’n Saggart er e hon. Ren dooinney yn stoyll drommey chyndaa ad dys Baarle, as ad y lhaih ayns clashtyn yn phobble. Va soiagh mooar jeant jeu. Va’n pobble voish dagh ard jeh’n cheer er nyn çhaglym cooidjagh as va laa ayns Purt ny-Hinjey nagh bee dy leah er ny yarrood. Ta faggys yn Balley ooilley er ny aavioaghey, goaill wheesh dy haitnys ayns y shenn ghlare. Ta veg as shenn trooid ooilley ny straidyn goaill boggey as goltagey y cheilley lesh ny goan, “Shoh Ollick gennal as blein vie noa as slaynt dys y Stoyll Drommey. Ta’n Baillee hene er ghoaill lane taitnys ayn, cur er y hoshiaght eh wheesh as t’eh abyl. Ta soiagh mooar jeant jeh trooid y valley. Cha vod mayd rour onner y choyrt da paart dy vraane va ayns shen. Ren ad cur magh yn shenn ghlare lesh taitnys.”","We are grateful to the Parson for it. The chairman translated them to English, and read them for the people to hear. They were greatly enjoyed. The people were from every part of the country, gathered together, there was a day in Peel that won’t be soon forgotten. Almost all the town is revived, taking so much pleasure in the old language. Old and young through all the streets rejoice and great eachother with the words “Here’s a merry Christmas and a good new year and health to the chair. The High Bailiff himself has enjoyed promoting it as much as he can. A great deal is made of it throughout the town. We cannot give a greater honour to some some of the women there. They pronounced the old language with pleasure.”",
Pargys Caillyt,Paradise Lost,
Kirree fo Naightee,Sheep under the snow.,
,,
,,
,,
,,
