Manx,English,EnglishOriginal,Diplomatic
"Rieau roshtyn ny chreggyn, ny choan","Never did reach the rocks, or valley",A wish or a thought after me?,Rieau roshtyn ny chreggyn ny choan
Ny nooghyn y Çhiarn goaill arrane,The saints of the Lord singing,"O tell me I yet have a friend,",Ny nooghyn y Chiarn ghoaill arrane
Tra veagh laa yn doonagh hene ayn.,When it would be the sabbath itself.,Though a friend I am never to see.,Tra vagh laa yn doonagh hene ayn
,,,
Shiuish gheaygyn t’er neiyrt mee ersooyl,"You winds that have driven me away,",How fleet is a glance of the mind!,Shiuish gheaygyn t’er niyt mee ersooyl
Cur shiu lesh gys yn faasagh ayns traa,"Bring to the wilderness in time,","Compared with the speed of its flight,",Cur shiu lesh gys yn faasagh ayns tra
Naigh mie voish yn çheer ta my chooyl,Good news from land that is behind me,"The tempest itself lags behind,",Niagh mie voish yn cheer ta my chooyl
Nagh jeanyms reesht fakin dy bra,That I will never see again,And the swift-wingèd arrows of light.,Nagh jeanyms reesht fakin dy bra
My charjyn vel ad nish as reesht,"My friends, are they now and then","When I think of my own native land,",My charjyn vell ad nish as reesht
Cur yeearree geiyrt orrym dagh laa,Give a desire to follow me each day???,In a moment I seem to be there;,Cur yeearree giyrt orrym dagh laa
Insh dou dy vell charrey aym neesht,"Tell me that I have a friend too,","But, alas! recollection at hand",Insh dou dy vell charrey aym neesht
Gaa charrey nagh vaikym dy bra,Though a friend I will never see.,Soon hurries me back to despair.,Gaa charrey nagh vaikym dy bra
,,,
Feer tappee ta’n aigney rouaill,"Very quickly the mind wanders,","But the sea-fowl is gone to her nest,",Feer thappee t’an aigney rouaill
Cha skibbylt as meekey yn sooil,"As nimble as a blink of the eye,",The beast is laid down in his lair;,Cha skibbylt as meekey yn sooil
Yn sterrym ny lurg t’eh faigail,"The storm, after it leaves, ","Even here is a season of rest,",Yn sterrym ny lyrg te faiggaill
As sideyn yn soiljey ny chooyl,And the arrows of the light behind it,And I to my cabin repair.,As sideyn yn soiljey ny chooyl
Ec smooinaghtyn er çheer my ghooie,At thoughts on my native land,"There's mercy in every place,",Ech smooinaghtyn er chur my ghooie
Ayns thullagh ta m’aigney ayns shen,"In an instant my mind is there,","And mercy, encouraging thought!",Ayns thullagh ta m’aigney ayns shen
Aless myr ta cooinaghtyn roie,"Alas, as my memories run,","Gives even affliction a grace,",Aless myr ta cooinaghtyn roie
Dy siragh ta dooytyn çheet ayn,"Hurriedly, doubts come in.",And reconciles man to his lot.,Dy siragh ta dooytyn cheet ayn
,,,
Ny eenlee t’er sooyl roue dy lhie,The birds that have gone on their way to bed,(not listed),Ny eenlee t’er sooyl roue dy lhie
Ny beishtyn ersooyl fo nyn ghlea,The beasts gone under their roof,,Ny beashtyn ersooyl fo nyn ghlea
As ta mish gholl roym gys my hie,And I am going on my way home,,As ta mish gholl roym gys my hie
O voddym ayns chadley ghoaill fea,"O, I can in sleep take rest,",,O voddym ayns chadley ghoaill fea
As myghin ta gherjagh yn chree,And mercy that comforts the heart,,As myghyn ta gherjagh yn chree
As grayse ta çheet neose veih yn Çhiarn,And grace that comes down from the Lord,,As graase ta cheet neose veih yn Chiarn
Ta jannoo feer taitnysagh ee,That makes it very enjoyable.,,Ta jannoo feer taitnysagh ee
Faragher,Faragher,,Faragher
