English,English Original,Manx,Notes,Page,Page1836,Page70th,Manx Original
THIS LITTLE BOOK IS FOR,,TA’N LIOAR VEG SHOH KIARIT DHYTS!,,1,1,1,
YOU!,,,,1,1,1,
To give you Hope and Comfort; Joy and Peace.,,Dy chur dhyt treishteil as gerjagh; boggey as shee.,,1,1,1,
"Only believe in the willingness of God to forgive every penitent Sinner, and pray earnestly to Him for mercy, and rest assured that he will pardon you, (yes, even you), for the sake of his beloved Son.",,"YNRYCAN jean credjal ayns arryltys Yee dy leih da dy chooilley Pheccagh arryssagh, as gow padjer jeean huggeysyn son myghin, as lhig da shickyrys ve ayd dy jean eh leih dhyt, (dy jarroo dhyts,) er graih e Vac ennoil.",,1,1,1,
"Remember—— “The Lord waits to be gracious,”  therefore put away the temptations of Satan, who would have you distrust the mercies of God, and persuade you to believe that your sins are too great to be pardoned. This is impossible, (even if you have been a murderer;) and the reason is, because the blood of Christ cleanseth from all sin.",,"Cooinee——“Ta’n Chiarn farkiaght dy ve graysoil,” shen y fa scugh void miolaghyn Noid-ny-hanmey, yinnagh stroie nyn marrant er myghinyn Yee, as coyrlaghey oo dy chredjal dy vel dty pheccaghyn ro eajee dy ve er ny phardooney. Ta shoh neu-phossible, as son yn oyr shoh, er y fa dy vel fuill Chreest glenney veih dy chooilley pheccah.",,1,1,1,
"Let not conscience make you linger,",,"Ny lhig sou-aigney oo ’chumrail,",,1,1,1,
Nor of fitness madly dream;,,Baanrey plaiynt nagh vel oo feeu;,,1,1,1,
The only fitness He requireth,,"Ooilley’n feeuid t’eh dy laccal,",,1,1,1,
Is to feel your need of Him.,,Barrant er e ennym noo.,,1,1,1,
,,"Ny lhig da dty chooinsheanse oo y chumrail—chamoo dreamal fardalagh erbee jeh ve aarloo dy heet—Ooilley yn aarlaghey ta Eshyn shirrey, t’eh dy ennaghtyn dty eme Ersyn.[2]",[2] This paragraph is a prose rendering of the preceding verse.,1,1,1,
Secret earnest Prayer is the approved and never failing method of obtaining relief and comfort in seasons of the deepest distress.,,"Ta Padjer follit as jeean yn saase mooar soit jeh ayns shilley Yee, as nagh vel dy bragh failleil dy gheddyn cooney as gerjagh ayns earishyn dy heaghyn trome.",,1,1,1,
"A tender, broken, contrite heart;—a humble consciousness of having merited condemnation;—an earnest application for mercy;—these are things which accompany salvation, and will never be rejected by our gracious God.",,"Cree meiygh, brisht as arryssagh;—ennaghtyn dowin jeh nyn loght;—accan jeean son myghin;—shoh ny reddyn ta bentyn da saualtys, as cha jean Jee graysoil dy bragh soiaghey beg jeu.",,1,1,1,
"** It may (probably) be well to lend or read this Book to persons who are quite ignorant of the way of Salvation. God sometimes works by very humble means,— and who knows what He may be pleased to do by such a trifle as this. Is any thing too hard for the Lord?",,**Veagh eh mie dy eeasagh ny dy lhaih yn lioar shoh da sleih ta mee-hushtagh jeh’n raad dy haualtys. Quoi ec ta fys cre nee Jee y yannoo lesh yn saase annoon shoh? Vel nhee erbee ro ghoillee da Jee?,,1,1,1,
,,,,,,,
,,CHYNDAIT GYS NIURIN!!!,,2,2,2,
"The Wicked shall be turned into Hell, and all the nations that forget GOD! Psalm 9, 17.",,Bee ny drogh-yantee er nyn jyndaa gys Niurin: as ooilley yn sleih ta jarrood Jee! Psalm ix. 17.,,2,2,2,
HOW AWFUL IS THIS SENTENCE!,,CRE CHA ATCHIMAGH AS TA’N FIRRINYS SHOH!,,2,2,2,
TURNED INTO HELL:!![3],,,"[3] In the 70th edn. this exclamation comes at the top of the page, as in the corresponding Manx.",2,2,2,
POOR SINNER—What are you to do in this dreadful case? How are you to escape the doom of wicked persons who will be consigned to endless woe?,,PHECCAGH BOGHT—Cre sherree dhyts ’sy stayd atchimagh shoh? Cre’n aght oddys uss scapail cronney yn sleih mee-chrauee vees er ny hilgey magh gys treihys dy bragh farraghtyn?,,2,2,2,PHECCAGH BOGHT—Cre sherree dhyts y stayd atchimagh shoh? Cre’n aght oddys uss scapail cronney yn sleih mee-chrauee vees er ny hilgey magh gys treihys dy bragh farraghtyn?
"Repent, and believe on the Lord Jesus Christ, and thou shalt be saved. Acts 16, 31.",,"“Gow arrys, as jean credjal ayns y Chiarn Yeesey Creest, as bee oo er dty hauail.” Jannoo xvi. 31.",,2,2,2,
"None of the sins that you have committed shall be mentioned unto you. Ezekiel 33, 16.",,Cha bee veg jeh dty pheccaghyn t’ou er yannoo er ny enmys dhyt. Ezekiel xxxiii. 16.,,2,2,2,
"The Lord saveth in the eleventh hour,—and he saveth to the uttermost; therefore, never DESPAIR. Yet delay not a moment. To morrow,—may be your last.",,"Ta’n Chiarn sauail ayns yn un-oor-jeig,—as t’eh sauail gys y chooid sodjey; shen y fa, ny jean dy bragh mee-hreishteil. Ny-yeih ny lhig shaghey un vinnid. Foddys yn laa mairagh ve dty laa s’jerree.",,2,2,2,
THE DAY OF JUDGMENT will very soon be here.,,Bee laa ny Briwnys dy leah ayns shoh.,,2,2,2,
"[4]Look to the next page, and .read the encouragement given you to trust in the mercy of that gracious God, who hath no pleasure in the death of a sinner, (Ezekiel c. 33, v. 11), and hath promised to cast out none that come to Him (with a humble contrite heart) trusting in the merits of his beloved Son.",,"Jeeagh gys yn naa ghuillag, as lhaih yn choyrle currit dhyts dy hreishteil ayns myghin yn Jee graysoil shen, nagh vel goaill taitnys ayns baase yn pheccagh, (Ezekiel xxxiii. 11,) as t’eh er ghialdyn nagh jean eh jiooldey voish unnane erbee ta cheet Huggey (lesh cree imlee as arryssagh) treishteil ayns toilchinys e Vac ennoil.","[4] The 70th edn. has another paragraph before this one, including a comment on Luke 24, 47, but nothing after this paragraph.",2,2,2,
"Repentance and Forgiveness, are inseparable. Luke 24,47.",,Cha vel Arrys as Leih peccaghyn dy bragh er nyn scarrey. Luke xxiv. 47.,,2,2,2,
REMEMBER AGAIN—,,COOINEE NY SODJEY.,,2,2,2,
"That there is no Sin which may not be pardoned, except the sin against the Holy Ghost. Mark 3, 28-29.",,"Nagh vel peccah erbee agh yn peccah noi yn Spyrryd Noo nagh vod v’er ny leih. Mian xii. 31, 32.[5]","[5] The Gospel references differ in the English and the Manx. Both are correct, however; the same point being made by both evangelists.",2,2,2,
,,,,,,,
NONE CAST OUT.,,CHA VEL UNNANE ERBEE TA CHEET GYS CREEST JIOOLDIT MAGH.,,3,3,3,
"Him that cometh to me I will in no wise cast out. It is the will of him that sent me, that every one who seeth the Son, and believeth on him, may have everlasting life: and I will raise him up at the last day. John 6, 37—40.",,"Eshyn ta cheet hym, cha jean-ym er aght erbee y yiooldey voym. Shoh yn aigney echeysyn ta er my choyrt, dy chooilley unnane ta fakin y Mac as credjal ayn, yn vea dy bragh farraghtyn dy ve echey; as trog-yms seose eh, ec y laa jerrinagh. N. Ean vi. 37–40.",,3,3,3,
"THIS implies an assurance, that no degree of previous guilt, no inveterate habits of vice, no slavery to Satan, no secret decree of God, no involuntary mistake, no feebleness in coming to Christ, would induce him to reject a single person, who applied lo him for the salvation of his soul, with a sincere desire to obtain that blessing, depending on his truth, power, and grace, and using the means which he hath appointed. In this, the Father’s will, which the Son came down from Heaven to perform, perfectly concurs; it is his will that not one of those given to his Son should be rejected or lost, in life or death; but that every one of them should be raised up lo eternal felicity at the last day.",,"LIORISH shoh ta shickyrys er ny chur dooin nagh bee errey erbee dy loght cre-erbee cha trome as oddys eh y ve, ny cliaghtey peccoil erbee cre-theihll choud te er lhiantyn hooin, ny bondiaght erbee jeh Noid-ny-hanmey ta shin er ve fo, ny kiarail follit erbee jeh’n Ooilley-Niartal, ny marranys erbee bentyn dooin hene, ny annooinid erbee ayns cheet gys Chreest, oyr dasyn dy yiooldey veih unnane erbee ta jannoo accan huggey son saualtys e annym, lesh yeearree firrinagh dy gheddyn yn bannaght shen, coyrt barrant er e irriney, e phooar, as e ghrayse, as jannoo ymmyd jeh ny saaseyn t’eh hene er n’oardrail. Ta shoh ooilley-cooidjagh cordail rish aigney Yee, as dy yannoo e aigney haink e Vac veih niau; t’eh yn aigney echeysyn nagh beagh eer unnane jeusyn t’er ny choyrt da yn Mac er ny hilgey jeh ny caillit, eddyr choud’s t’eh bio ny ec oor e vaase; agh dy beagh dagh unnane oc er ny hroggal seose gys maynrys beayn ec y laa jerrinagh.",,3,3,3,
"Jesus not only saves all who believe and obey him, but he delivers them from the guilt, condemnation, dominion and pollution of all their sins; and, finally, he will save them from the very existence, and from the effects of sin, when death shall be swallowed up in victory, and sorrow in everlasting felicity.",,"Ta Yeesey cha nee ynrycan sauail ooilley adsyn ta credjal ayn as coyrt biallys da, agh t’eh myrgeddin livrey ad veih loght, as deyrey, as pooar as broid ooilley nyn beccaghyn; as, er jerrey, nee eh sauail ad dy slane veih peccah, as veih eiyrtyssyn peccah, tra vees baase sluggit seose ayns barriaght, as trimshey chyndait gys maynrys dy bragh farraghtyn.",,3,3,3,
"Sinner! do you hesitate? Do you, for a single moment, reject this glorious offer of mercy? Now is the day of salvation,—and your time is happily come, when all your manifold sins may be blotted out, and your soul everlastingly saved. Jesus yearns over you to do you good. O receive him into your heart, and he will carry you to heaven.",,"Pheccagh! vel uss lurg ooilley shoh lheaystey ayns dty aigney? Vel oo, son tullogh gobbal yn cheb graysoil shoh dy vyghin? Jiu yn laa dy haualtys,—as ta’n traa ayds er jeet, dy vod dty pheccaghyn ga ymmodee ayns earroo v’er nyn gholley ass lioar Yee, as dty annym v’er ny hauail er son dy bragh. Ta Yeesey jeeaghyn lesh chymmey ort dy yannoo mie dhyt. O lhig da Yeesey reill ayns dty chree, as ver eh lesh oo gys niau.",,3,3,3,
"May this portion be as great a blessing and encouragement to all who read it, as it has been to the writer.",,Dy baillish Jee dy beagh yn ayrn shoh er ny yannoo ny vannaght as undin dy hreishteil da dy chooilley unnane ta lhaih eh myr t’eh er ve dasyn t’er scrieu eh.,,3,3,3,
,,,,,,3,
BACKSLIDERS RESTORED.,,ADSYN TA ER CHOOYL-SKYRRAGHTYN GOIT STIAGH REESHT AYNS FOAYR YEE.,,4,4,,
"Return, ye backsliding children, and I will heal your backslidings. Jer. 3, 22: see also Luke 15, 20.— When he was yet a great way off—",,"Chyndaa-jee reesht, shiuish chloan chooyl-skyrraghtyn, as neem’s nyn skyrraghtyn y leih diu. Jer. iii. 22; as myrgeddin Luke xv. 20. Agh tra v’eh foast foddey veih.",,4,4,,
(WHAT TENDER MERCY IS HERE!),,(CRE’N VYGHIN VEIGH T’AYNS SHOH!),,4,4,,
"HEAR therefore the voice of thy loving Father and Shepherd, O thou backsliding child and lost sheep, crying earnestly, Return! Return! Do not run in the broad way with the world any longer. Are you not tired yet of the husks of the world? Do you feel no troubles for your soul? Shall not these drive you to God? Lo! thy Father and Shepherd seeks thee. He is gone forth to call and meet thee already. He will receive thee willingly and joyfully. Come, only praying as the Prodigal Son, and he will freely forgive thee, although thou hast sinned ever so much. He is able to heal and correct the most desperate corruptions of thine heart: he can deliver thee from the very jaws of hell and the devil. Nay, if thou even wert possessed with more than seven devils, he could still cast them out. Begin to call upon him earnestly in prayer, and (poor and wretched as thou art) come to Him as the physician of thy soul; for the physician and the sick, a rich Saviour and a poor sinner, are the best suited to one another.",,"EAISHT er y fa shen rish coraa dty Ayr ghraihagh as dty Vochilley, Oh uss e lhiannoo t’er chooyl-skyrraghtyn, Uss cheyrrey chailjey, eaisht rishyn ta geam dy jeean dhyt, Chyndaa! Chyndaa! Ny roie ayns raad lhean yn seihll ny sodjey. Nagh vel oo foast skee jeh bleaystyn y theihll? Nagh vel oo gennaghtyn seaghyn erbee son dty annym? Nagh jean ny reddyn shoh geginaghey oo dy hea gys Jee son kemmyrk? Cur-my-ner! ta dty Ayr as dty Vochilley shirrey er dty hon. T’eh er gholl magh er dty eiyrts as t’eh geamagh ort. Nee eh goaill rhyt dy arryltagh as lesh boggey. Tar eisht lesh padjer yn Mac stroialtagh, as nee eh dy nastee leih dhyt ooilley dty ymmodee-filley peccaghyn. T’eh pooaral dy lheihys ny doghanyn s’treih jeh dty chree. T’eh pooaral dy livrey oo eer voish beeal niurin as y Jouyl. Dy jarroo, dy beagh aynyd ny smoo na shiaght drogh spyrrydyn t’eh pooaral dy chastey ad. Gow toshiaght dy eamagh er dy jeean ayns padjer, as (eer boght as treih myr t’ou) tar Huggey myr gys Fer-lhee dty annym; son ta’n Fer-lhee ny chour ocsyn ta ching, as Saualtagh berchagh as peccagh boght s’cooie ta yn derrey yeh gys yn jeh elley.",,4,4,,"EAISHT er y fa shen rish coraa dty Ayr ghraihagh as dty Vochilley, Oh uss e lhiannoo t’er chooyl-skyrraghtyn, Uss cheyrrey chailjey, eaisht rishyn ta geam dy jeean dhyt, Chyndaa! Chyndaa! Ny roie ayns raad lhean yn seihll ny sodjey. Nagh vel oo foast skee jeh bleaystyn y theihll Nagh vel oo gennaghtyn seaghyn erbee son dty annym? Nagh jean ny reddyn shoh geginaghey oo dy hea gys Jee son kemmyrk? Cur-my-ner! ta dty Ayr as dty Vochilley shirrey er dty hon. T’eh er gholl magh er dty eiyrts as t’eh geamagh ort. Nee eh goaill rhyt dy arryltagh as lesh boggey. Tar eisht lesh padjer yn Mac stroialtagh, as nee eh dy nastee leih dhyt ooilley dty ymmodee-filley peccaghyn. T’eh pooaral dy lheihys ny doghanyn s’treih jeh dty chree. T’eh pooaral dy livrey oo eer voish beeal niurin as y Jouyl. Dy jarroo, dy beagh aynyd ny smoo na shiaght drogh spyrrydyn t’eh pooaral dy chastey ad. Gow toshiaght dy eamagh er dy jeean ayns padjer, as (eer boght as treih myr t’ou) tar Huggey myr gys Fer-lhee dty annym; son ta’n Fer-lhee ny chour ocsyn ta ching, as Saualtagh berchagh as peccagh boght s’cooie ta yn derrey yeh gys yn jeh elley."
"He healeth all our diseases, and can make possible what may seem most im-possible to thee.",,"T’eshyn slaanaghey ooilley nyn ghoghanyn, as shen ta jeeaghyn dy ve neu-phossible dooinyn, t’eh possible as eer aashagh dasyn.",,4,4,,
"O Jesus,—full of truth and grace,",,"Feer tou uss Yeesey, as graysoil,",,4,4,,
"More full of grace than I of sin,",,Ny s’lane dy ghrayse na mish dy loght;,,4,4,,
"Yet once again I seek thy face,",,Keayrt shirrym reesht dty oaïe graihoil;,,4,4,,
Open thine arms and take me in;,,Foshil dty chleeau da peccagh boght!,,4,4,,
"The ruins of my soul repair,",,Traartys my annym slaanee meïygh;,,4,4,,
Make my heart a house of prayer;,,Ny hie dy phadjer jean my chree:,,4,4,,
"My past backslidings freely heal,",,Dy arryltagh my pheccah leih;,,4,4,,
And love the faithless sinner still.,,As da’n vee-chredjuagh cur graih!,,4,4,,
,,,,4,4,,
THE DRUNKARD RESTORED.,,YN MESHTYLLAGH ER NY YANNOO SHEELT.,,5,,11,
"If a man be overtaken in a fault, ye who are spiritual, restore such an one in the spirit of meekness; considering thyself, lest thou also be tempted. Gal. vi. 1.",,"My ta dooinney taghyrt dy huittym ayns peccah, shiuish ta spyrrydoil gow-jee stiagh eh reesht ayns y spyrryd dy veenid; smooinaghtyn ort hene, er aggle dy vod uss myrgeddin ve miolit. Gal. vi. 1.",,5,,11,
"WHAT a blessed doctrine is the love of Christ to poor fallen, guilty, hell-deserving sinners, who, instead of lifting up their eyes in endless woe, are freely invited to come, again and again, to the Fountain of mercy, that all their sins may be washed away, and their souls made white in the blood of the Lamb.",,"’SBANNIT ta yn ynsagh jeh graih Chreest gys peccee voghtey caillit, oolee, ta, ayns ynnyd troggal seose nyn sooillyn ayns treihys gyn-kione, dy feoilt er nyn guirrey reesht as reesht, dy heet gys yn farrane dy vyghin, dy vod ooilley nyn beccaghyn ve nieet ersooyl as nyn anmeenyn jeant gial ayns fuill yn Eayn.",,5,,11,
"Ah!—says the poor trembling backslider, this may do very well for those who have not sinned so deeply as I have done,—against light,—and against knowledge;—against the dictates of my own conscience,—and even in opposition to my own better judgment: O no,—these gracious promises are not for ME. Not for YOU? WHY not? What! Is the door of mercy so narrow, or the blood of Christ so feeble, as not to meet (and conquer too,) all the difficulties of your case, bad as it may have been, and even if it had been ten thousand times worse?",,"Ah! ta eshyn ta er-creau er coontey e chooyl-skyrraghtyn dy ghra, foddee shoh jannoo feer vie da nyn lheid as nagh vel er roie cha dowin ayns peccah as ta mish, noi soilshey,—noi tushtey,—noi raaueyn my chooinsheanse hene, dy jarroo, noi my vriwnys share hene: O cha vel! cha vel ny gialdynyn graysoil shoh Dooys. Cha vel ad Dhyts? Kys nagh vel? Vel yn dorrys dy vyghin cha coon, ny fuill Chreest cha neu-vreeoil nagh vel ad fondagh cour ooilley doilleeidyn dty stayd, olk myr oddys eh ve, as eer, dy beagh eh jeih thousane keayrt smessey na te.",,5,,11,
"Will you doubt the blessed soul-reviving word of a tender Father, who watches over you with anxious eye, pouring forth a gracious invitation, by saying, “How shall I give thee up, Ephraim? I will not execute the fierceness of mine anger; I will not return to destroy Ephraim; for I am God and not man. Take with you words and turn unto the Lord, and confess your sins;” then, poor sinner, see what God has kindly laid up for his sin-sick child; not the rod;—not a curse;—but, in the sweetest accents of mercy, awaiting thine approach, and cheering thy wounded heart by saying, (Hosea xiv. 4.) “I will heal his backsliding: I will love him freely; for mine anger is turned away from him.”",,"Jean oo dooyteil goo bannit Ayr meiygh ta freayll arrey harrid lesh sooil imneagh, fockley magh cuirrey graysoil ad gra, “Kys oddym scarrey rhyt, O Ephraim? chyndaa uss gys dty Yee son cha jean-ym cooilleeney eulys my yymmoose, cha jean-ym chyndaa dy stroie Ephraim son ta mish Jee as cha nee dooinney.” Gow mayrt goan arryssagh as chyndaa gys y Chiarn, as gow rish dty pheccaghyn: as eisht, pheccagh voght, cur-my-ner cre ta’n Chiarn dy dooie er stoyral seose cour eshyn ta ching lesh peccah;—cha nee slatt, cha nee mollaght agh ayns yn coraa s’miljey dy vyghin farkiaght ort as gerjaghey dty chree guint liorish gra “Neem’s lhiasaghey e loghtyn, ver-ym graih da dy arryltagh son ta my chorree er ny hyndaa voish.”",,5,,11,
"Will you then hesitate a moment,—or refuse the mercy so freely offered by Him who waiteth to be gracious?",,Jean oo eisht lhiggey-shaghey un thullogh ny gobbal yn vyghin ta cha nastee er ny hebbal Liorishyn ta farkiaght dy ve graysoil? ,,5,,11,Jean oo eisht lhiggey-shagey un thullogh ny gobbal yn vyghin ta cha nastee er ny hebbal Liorishyn ta farkiaght dy ve graysoil? 
Will you keep GOD waiting?,,Jean oo freayll Jee farkiaght er dty hon?,,5,,11,Jean oo freayll Jee farkiaght er dty hon
"O my fellow sinner!—cast yourself instantly at his footstool, where Christ himself also waits to receive you with his forgiving love. You can never be too bad for the healing power of Christ, HE heals ALL sicknesses, all sin;—and he is long-suffering, even to the vilest of the vile. He will not cast you off.",,"O my heshey pheccagh! Tilg oo-hene sheese chelleeragh ec stoyl-e-choshey raad ta Creest eh-hene farkiaght dy ghoaill rhyt ayns e ghraih ta leih. Cha vod oo dy bragh ve cha olk as dy ve erskyn pooar Chreest dy dty lheihys. T’eh lheihys dy chooilley hingys, dy chooilley pheccah; as t’eh jeh surranse-foddey eer da ny ard-pheccee. Cha geau eh uss jeh.",,5,,11,"O my heshey pheccagh Tilg oo-hene sheese chelleeragh ec stoyl-e-choshey raad ta Creest eh-hene farkiaght dy ghoaill rhyt ayns e ghraih ta leih. Cha vod oo dy bragh ve cha olk as dy ve erskyn pooar Chreest dy dty lheihys. T’eh lheihys dy chooilley hingys, dy chooilley pheccah; as t’eh jeh surranse-foddey eer da ny ard-pheccee. Cha geau eh uss jeh."
,,,,,,,
[6] PEACE TO A GUILTY CONSCIENCE. ,,SHEE DA COOINSHEANSE OOLEE.,"[6] Page 6 in the 1836 edition is the same, but for a different, shorter, last paragraph.",6,6,6,
Thy faith hath saved thee; go in peace. Luke vii. 50.,,“Ta dty chredjue er dty hauail; immee ayns shee.” Luke vii. 50.,,6,6,6,
"THIS poor woman had performed no previous good works to recommend her to the Lord,—but she came to him the moment she was convinced of sin;—believed in his power to pardon,—and was instantly forgiven,—although her sins were many.",,"CHA row yn ven voght shoh er n’yannoo obbraghyn mie erbee hannah dy voylley ee gys y Chiarn,—agh haink ee huggey cha leah as v’ee er ny gheyrey my-chione peccah; chred ee ayns e phooar dy leih, as v’ee chelleeragh er ny leih, ga dy row e peccaghyn ymmodee.",,6,6,6,
"Now, my fellow sinner,—here is every possible encouragement for you to do the same, in order that you may obtain the same blessing,—the same mercy,—the same forgiveness.",,"Nish my heshey-peccagh, ayns shoh ta dy chooilley ghreinnaghey dhyts dy yannoo yn chooid cheddin, er-chee dy vod oo cosney yn bannaght cheddin,—yn vyghin cheddin,—yn leih cheddin.",,6,6,6,
"Christ is as willing now as he was eighteen hundred years ago, to welcome and pardon every self-condemned sinner who comes to him for shelter and relief; and it is no obstacle that your sins have been of the deepest dye, or have been continued many years;—the power, and love, and mercy of Christ, far exceeds the sins of the whole world.",,"Ta Creest cha arryltagh nish as v’eh hoght cheead yeig blein er-dy-henney dy ghoaill rish as dy leih da dy chooilley pheccagh deyrit ta cheet huggey son fastee as couyr: as cha vel eh lhiettrimys erbee dy vel dty pheccaghyn jeh’n daah s’diuney, ny v’er ny hannaghtyn ymmodee bleayntyn;—ta pooar as graih as myghin Yee foddey erskyn peccaghyn yn slane seihll.",,6,6,6,
"The poor woman, who came to the Lord, had probably been a most notorious sinner, of the lowest kind, for many years, yet she was not reviled nor taunted on this account; her sins were not even mentioned to her.—(Ezekiel 33, 16,) and instead of being driven away in her wickedness, she found nothing but love and mercy, to pardon her guilt bid and her go in peace.",,"Yn ven voght, haink gys y Chiarn v’ee t’eh dy ve smooinit drogh yantagh er ve, jeh’n sorch s’inshley, son ymmodee bleayntyn, foast cha row ee er ny naaraghey, ny er ny oltooan son shoh—cha row e peccaghyn wheesh as enmyssit j’ee—ayns ynnyd ve eiyrit ersooyl ayns e holkys cha dooar ish veg agh graih as myghin dy leih e loght as dy ghra ree “gow royd ayns shee.”",,6,6,6,
"This portion may possibly fall into the hands of some poor woman equally polluted, equally debased by a wicked course of life,—but there is no reason for despair;—Christ is still the same;—full of mercy, full of truth; and “  he saves lo the uttermost all who come to God by him.”",,"Foddee yn lioar veg shoh taghyrt ayns laueyn ben voght ennagh co-laik neu-ghlen, co-laik treih, liorish v’er cheau bea mee-chrauee;—agh cha vel shoh oyr erbee son mee-hreishteil; Ta Creest foast yn Fer-cheddin lane dy vyghin, lane dy irrinys; as T’eh sauail gys y chooid sodjey ooilley ny ta cheet gys Jee ny-hrooidsyn. ",,6,6,6,
"Every poor sinner who seeks forgiveness of sin with a hearty desire to forsake it, will be pardoned, in a moment. The Lord is always willing to forgive. See the case of the poor Leper, Mark 1. 41, 42.",,"Dy chooilley pheccagh boght ta shirrey leih e pheccaghyn lesh yeearree creeoil dy hreigeil ad, bee eh er ny phardooney chelleeragh. Ta’n Chiarn dy kinjagh aarloo dy leih. Cooinee-jee er cooish yn lourane. Mark i. 41, 42.",,6,6,6,
,,,,6,6,6,
THE GUILTY PARDONED.,,YN FER OOLEE ER NY LEIH.,,7,5,,
"Purge me with hyssop, and I shall be clean; wash me, and I shall be whiter than snow, Psalm 51, 7. Hide thy face from my sins, and blot out all mine iniquities, ver. 9. Though your sins be as scarlet, they shall be white as snow; though they be red lake crimson, they shall be as wool, Isa. 1, 18. I have blotted out, as a thick cloud, thy transgressions, and as a cloud thy sins; return unto me for I have redeemed thee, Isa. 44, 22.",,"“Jean mee y ghlenney lesh hyssop, as bee’m glen: jean m’y niee as bee’m ny s’gilley na sniaghtey. Ps. li. 7. Chyndaa dt’ eddin veih my pheccah; as cur ersooyl my ghrogh-yannoo’. ver. 9. Ga dy beagh nyn beccaghyn myr scarleod, bee ad gial myr sniaghtey; ga dy vel ad jiarg myr crimson, bee ad myr yn ollan vane. Isa. i. 18. Ta mee er gholley dty ghrogh-yannoo myr bodjal dorraghey, as dty pheccaghyn myr kay: chyndaa hyms; son mish t’er dty livrey.” Isa. xliv. 22.",,7,5,,
