Manx,English,Diplomatic
"As T’ou er ghra ayns yn ghoo dy irriney, ","And you have said in the Word of truth, ","as tow er ghra ayns yn goo dy irriney, "
Quoi erbee nee geamagh er ennym yn Çhiarn ,"Whoever calls on the name of the Lord, ",Quoi erbee nee geamagh er ennym yn Chiarn 
Dy bee eh er ny hauail. ,That he will be saved. ,dy bee eh er ny hauail. 
,,
"Nish O my Hiarn, saue mish, ","Now, O, my Lord, save me, ","Nish O my Hiarn, saue mish, "
Voish pooar as deyrey peccah ,From and the power and condemnation of sin ,voish pooar as deyrey peccah
"As skeayl yn graih ayd ayns my chree, ","And spread your love in my heart, ",as skeayle yn ghraih ayd ayns my chree. 
"Dy voddym ve graihagh ort, ",That I may love you ,"Dy voddym ve graihagh ort,"
"Erskyn dy chooilley nhee, ","Above all things, ", erskin dy chooilley nhee 
As cummal gys Dty chrosh.,And hold to the cross. ,as cummal gys dy chrosh 
,,
"O Haualtagh Bannit, soilshee Oo hene dou ","O Blessed Saviour, reveal yourself  to me ","O Haualtagh Bannyt, soiljee Oo hene dow "
Er yn aght nagh vel Oo soilshagh Oo hene da’n seihll. ,In the way you don’t reveal yourself to the world. ,er yn aght nagh vel Oo soiljagh Oo hene da’n seihll 
Niartee my credjue as cum seose mee ,Strengthen my faith and uphold me ,Niartee my credjue as cum seose mee 
As bee’m ayns saueçhys ,And I will be in safety ,as bee’m ayns saueshys 
Son cha vod unnane mee y ghoaill ass shen. ,For no one can take me out of there. ,son cha vod unnane mee y ghoaill as shen. 
Ynsee dou dy yannoo Dty aigney ,Teach me to do your will ,Ynsee dow dy yannoo dy aigney 
"Dy voddym gaase ayns graase, as tushtey, ","So that I may grow in grace, and knowledge, ","dy voddym gaase ayns graase, as tushtey, "
jeh my Hiarn Yeesey Chreest. ,of my Lord Jesus Christ. ,jeh my Hiarn Yeesey Chreest. 
,,
"Croo aynym cree glen, O, Yee, ","Create within me a pure heart O God,",Chroo aynym chree glen O Yee 
As jean Oo yn noa spyrryd cairagh (???),And make the new spirit righteous (???),as jean oo yn noa spyrryd cairagh 
Er çheu shtie jee’m. ,Within me.,er cheau stie jee’m 
Gow mee myr ta mee ,"Take me as I am, ",gow mee mor ta mee 
As jean rhym myr t’ou fakin mie. ,And do unto me as you see fit.,"as jean rym mor t’ou fakin mie, "
, ,
"Bee my chemmyrk as my endeilagh, ","Be my shelter and defender, ","be my kimmyrk as my endeealagh, "
Choud as ta mee ayns yn faasagh shoh. ,For as long as I am in this wilderness.,choud as ta mee ayns yn faasagh shoh. 
As jean mee aarloo son yn ynnyd-vaghee,And make me ready for that dwelling place ,As jean mee aarloo son yn ennyd veaghee 
Shen T’ou er gholl dy chiartaghey ,You will be getting ready ,shen tou er gholl dy chartaghey 
"Dausyn ta graihagh Ort, ","For those who love You,",dausyn ta graihagh ort. 
Dy voddym kiauleeaght marish ny nooghyn ,"So that I may sing with the saints, ",dy voddym chiauleeagh marish ny nooghyn
Ta ersooyl thie gys nyn cummalyn syn aer ,"That are away home to their dwellings in the sky,",ta ersooyl thie gys nyn coamalyn syn aer
Er son Dty ghraih yindyssagh ayns choyrt Oo hene ,For the wonderful love in which You gave Yourself , er son dy ghraih yindesagh ayns churt Oo hene 
Son oural son cloan Adam ,As a sacrifice for the children of Adam ,son oural son chloan Adam 
As dy ren Oo surranse baase er yn chrosh er nyn son ,And suffered death on the cross for us ,as dy ren Oo surrans baase er yn chrosh er nyn son
"Tra va shin marroo ayns peccah, fegooish Jee, ","When we were dead in sin; godless, ","tra va shin marroo ayns peccah, fegoish Jee,"
As fegooish triesht ayns yn seihll. ,And without a hope in the world. ,as fegoish triesht ayns yn seihll. 
,,
Ren oo yn shee ain rish Jee liorish deayrtey Dty uill ,You made our peace with God by spilling your blood ,Ren oo yn shee ain reish Jee liorish dheartey dy uill 
"Son cloan sheelnaue, as gymmyrkey nyn beccaghyn ",For the children of man and bearing our sins ,son chloan shelnaue as gymmyrkey ny beccaghyn 
Ayns Dty chorp hene er yn villey.,In your own body upon the tree.,ayns dy chorp hene er yn villey 
,,
"O, Yee cur grayse dou dy ve ynrican bio Dhyt hene ","O, God, give me grace to be only alive for you ",O yee cur graase dow dy ve ynrican bio dhyt hene
"Chouds ta mee ayns shoh wass, ","Whilst I am here below, ",chouds ta mee ayns shoh wass 
Dy voddym shooyl ayns Chreest; ,That I may walk in Christ,Dy voddym shooyl ayns Chreest yn raaid 
"Yn raad, yn irryn as yn vea, ","The way, the truth and the life,",yn irryn as yn vea 
Gys nee oo fakin eh mie dy ghoaill mee ersooyl ,Until you see it fit to take me away ,gys nee oo fakin eh mie dy ghoaill me ersooyl 
"Veih seihll dy voirey as anvea, ","From a world of sorrow and discord, ","veih seihll dy voirrey as anvea, "
"Gys yn fea shen va keayrt cour Dty phobble hene, ","To that rest that once was for your own people, ","gys yn fea shen ta keayrt cour dy phobble hene, "
"As gwee dy bee ooilley adsyn ta faggys as deyr dou, ","And beseeching that all those that are near and dear to me, ","as ghohl dy bee ooilley, adsyn ta faghys as deyr dow, "
Er ny hauail trooid Chreest ,Be saved through Christ ,er ny hauail trooid Chreest 
Dy vod mayd ooilley meeiteil ,That we may all meet ,dy vod mayd ooilley meeitteil 
Ec Dty laue yesh as seyr voish pian. ,At the right hand and free from pain.,ec dy laue yesh as seyr voish pian 
,,
"Cur glooyr da Jee, ","Glory to God, ",chur glooyr da Jee. 
Er coontey toilçhynys nyn Jiarn Yeesey Chreest.,On account of the merits of our Lord Jesus Christ.,Er coontey tolchynys nyn Jiarn Yeesey Chreest
