English,Manx,Notes
"With fear and trembling she obeyed; and no sooner was prayer ended; but putting his hands together· he said, “Now I know that Christ is God, and able to forgive my sins.”","Lesh aggle as er-creau hug ee biallys; as cha row ee agh er chur jerrey er yn phadjer eck; tra hug eh ny laueyn echey gooidjagh[5], as dooyrt eh, “Nish ta fys aym er dy vel Creest yn Jee, as dy vel eh abyl dy leih dou ooilley “[6]my pheccaghyn.”","[5] gooidjagh] — cooidjagh. There is no obvious  reason for eclipsis here.
[6] The <“> here is apparently transferred literally from where <“> appears in the English text in the Arminian Magazine."
"He lived a few days longer, and gave happy evidence of the power and grace of God.","V’eh bio son laghyn lurg shen, as hug eh shickyrys maynrey jeh Pooar as Grayse Yee, ayns eh Haualtys[7].",[7] ayns eh Haualtys] ‘in his Salvation’.
"Let not a living man to boast,",Nagh lhig da dooinney bio boasteil  [8],"[8] First two verses of Hymn 159 (Lewin & Wheeler, 2019) in ‘Manx Hymn Book 1799’ (ed; Lewin & Wheeler) “Nagh lhig da dooinney bio boasteil”—Wesley’s Hymn 422 ““Let nNot the wise their wisdom boast””“."
"   Of strength, or the greatness of his sense,","Ass troshid, ny ass mooads e cheayl,",
"Nor put trust in riches,","Chamoo ayns berchys cur treishteil,",
That melt away; that he cannot keep. ,Ta lheie er-sooyl nagh vod eh reayll.,
"His might lowly brought,","E niart dy injil currit lesh, ",
"And that in a few short years time,",As shen ayns bleeantyn giare dy hraa;,
"And where is all his wisdom then,",As cre vel ooilley ’chreenaght eisht,
When the dust returns to dust?,Tra nee yn joan gys joan chyndaa?,
"Sickness you give for thy servant,","Chingys t’ou coyrt son dty harvaant, [9]","[9] Second verse of Hymn 137 (Lewin & Wheeler, 2019); (120 in 1799)’ Jee jeh my vea bee dou chymmoil ‘God of my life, look gently down’, Watts. I."
To do your work;,Dy yannoo’n obbyr ayd;,
"I would not like grumbling or complaint,","Cha baillym trughanys ny plaiynt,",
When you chastisement my way.,Tra t’ou cur smaght my raad. [10],"[10] Second verse of Hymn 137 (Lewin & Wheeler, 2019); (120 in 1799)’ ‘Jee jeh my vea bee dou chymmoil’—‘God of my life, look gently down’, Watts. I."
"O I am now turning,","O ta mee nish chyndaa, [11]","[11] Verses 2 and 3 of Hymn 162 (Lewin & Wheeler, 2019) ‘As vel my chree cha creoi’"
"I cannot resist,",Cha voddym cummal magh,
"Your love in that which has compelled me,","Dty ghraih ayns[12] baase t’er eignagh mee,",[12] The typo ayn for ayns is found in the first three printed editions of the Hymn Books.
You have full victory.    ,Ta ayd slane barriaght.,
"Though late, completely forsaking,",Ga anmagh slane treigeil,
"My friends and every thing,","My chaarjyn as dagh nhee,",
"Graceful redeemer, take me,","Graysoil er-kionnee jean mee ghoaill,",
And secure for me your peace.,As shick’ree dou dty hee.,
