English,Manx,Notes
MORNING PRAYER,PADJER MOGHREY,
O LORD! my Maker and Redeemer!,"O HIARN! chroo as chionnee mee,",
"I thank Thee for all thy mercies, and especially that I am a Christian, and in the way of salvation.","ta mee cur booise dhyts, son ooilley dty vyghinyn; as erskyn ooilley, son dy vel mee my Chreestee, as ayns raad saualtys;",
"LORD! suffer me not to go astray, or bring me back by such means as to Thee shall seem meet.","Hiarn! ny lhig dou goll ershaghryn er nonney, leeid mee reesht, gys y raad cair, liorish lheid ny aghtyn, as hee oo hene mie.",
"     Let they Grace which is sufficient for me, secure me from the temptations of the world, the flesh, and the devil; that I may not follow nor be led by them [36]","Lhig da’n grayse [38] ayds, ta fondagh, mish y reayll veih miolaghyn y theihll, yn eill, as y drogh-spyrryd; nagh jeanym geiyrt orroo, as nagh bee’m er my leedeil lioroo.",
"Let my belief of thy infinite power, and justice, and goodness, make me to fear, and to love, and to put my whole trust in Thee.","Lhig da’n chredjue t’ayms mychione dty phooar, dty chairys as dty vieys erskyn-insh cur orrym aggle y ghoaill royd, graih y chur dhyt, as my slane treishteil y chur aynyd.",
"Let the goodness of thy commands, incline me in all things to obey they blessed will, that I may love my neighbour as myself, and forgive, and live in charity with all the world.","Lhig da foays dy’ annaghyn mee y hayrn, ayns dy chooilley nhee dy ve biallagh gys dt’ aigney bannyt; dy voddym graih y choyrt da my naboo, myr d’ou hene, as leih da as ve ayns ghiastyllys rish ooilley’n",
That I may obey such as have the rule over me; be just in all my dealings; true and faithful in my words and promises,seihll — Dy voddym ve biallagh dauesyn ta reill harrym; firrinagh as jeeragh ayns my ghoan as my yialdynyn.,
"That I may be temperate, sober, and chaste; lead an honest and godly life; be content with my condition, and never desire to better it by unjust ways.","Dy voddym my hene y smaghtaghey, as ve sheelt as glen; bea onneragh as crauee y leedeil, ve booiagh lesh my stayd hene; as gyn dy bragh shirrey y yannoo ny share eh, liorish raaidyn neu-yeeragh.",
"The LORD preserve me from all evil; from pride, and malice, and idleness, and uncleanness; from deceit and worldly mindedness; and from lying and slandering.","Dy jean y Chiarn my choadey veih dagh olk; veih moyrn as goanlys, as meerioose, as neughlennid, veih foalsaght as aigney seihltagh, as veih breagyn as scammyltyn.",
"     I beseech GOD that his grace may ever be with me, to keep me from all thoughts, words, and actions, that I may have cause to repent of.","[40] Ta mee guee gys Jee e Ghrayse ve, dy bragh, marym; dy my reayll veih dy chooilley smooinaght, raa, as jannoo, ver oyr dou dy ve arryssagh.",
"Defend me in all dangers; comfort me in all afflictions; direct me when I know not what to do; and bring me in his good time to his heavenly kingdom, for Jesus Christ’s sake.—Amen.","Dy saue eh mee ayns dy chooilley ghaue; dy gerjee eh mee ayns dy chooilley hrimshey; dy goyrlee eh mee, tra nagh bee fyss aym, cre nee’m; as dy der eh lesh mee, ayns e earish vie, gys e reeriaght flaunyssagh, er graih Yeesey Chreest.— Amen",
"[37] O Lord! hear me, not according to my weak understanding, but according to the full meaning of that form of prayer which Jesus Christ hath taught us.","     O Hiarn! eaisht ehym, cha nee cordail rish y tushtey annoon ayms, agh cordail rish slane bree y phadjer shen ta Yeesey Chreest, er n’ynshaghey dooin.",
"Our Father, &c.","     Ayr ain t’ayns niau, &c.",
EVENING PRAYER,PADJER FASTYR.,
"BLESSED be GOD, for all his favours, from day to day bestowed upon me.","BOOISE dy row gys Jee son ooilley e vannaghyn, t’eh laa lurg laa dy ghiootal orrym.",
"Lord make me sensible that I wholly depend upon Thee, for life, and health, and prosperity, and comfort; that it may be my delight, as well as my duty, to serve Thee faithfully.","Hiarn! jean tushtagh jeem, dy nee ort’s lhaisin ooilley my varrant y choyrt, son bea as slaynt, as mayryms as gerjagh; dy vod eh ve my voggey chammah as my churrym, uss y hirveish dy firrinagh.",
"Continue to me thy blessings, I beseech Thee, and give me grace never to abuse them","Lhig da dty vannaghtyn ve aym dy kinjagh, ta mee guee ort, as cur [41] grayse dou nagh soieym dy bragh beg jeu.",
— O GOD! Be merciful unto me; for I have walked contrary to thy laws.,"Dy row myghin YEE my chour, son ooilley my veeviallys gys e leighyn;",
"Lord! forgive me, and deliver me from those judgments which my sins deserve.","Hiarn leih dou as livrey mee, veih’n kerraghey shen, ta my pheccaghyn dy hoilchin.",
Give me grace never to consent to any known wickedness; not ever to grieve thy Holy Spirit by which I am sanctified.,"Cur grayse dou, mee hene y reayll, veih dy chooilley pheccah, vees fyss aym er; nagh derrym dy bragh corree er dty Spyrryd’s Noo, liorish ta mee er my chasharickey.",
"Let me see the danger of sin, that I may flee from it; that I may strive against it; that it may never be my ruin.","Lhig dou gaue peccah y akin, dy voddym chea veih, dy voddym streeu noi, nagh dayrn he[1] mee dy bragh gys coayl-anmey.",[1] eh] text gives [he]
"Enlighten my soul with saving truth; correct [38] me in mercy, when I grow careless of my salvation;","Soilshe m’annym, esh dty Ghoo’s firrinagh; smaghtee mee ayns myghin, tra ta mee gaase meerioosagh jeh my haualtys.",
"make me ever mindful of my latter end; from sudden and from eternal death, good Lord deliver me","Freayll mee kinjagh, ayns cooinaghtyn jeh my laa jerrinagh; veih baase doaltattym[2], as coayl anmey dy bragh farraghtyn, Hiarn vie! livrey mee.",[2] Doaltattym] text gives [doatattym]
"— Preserve me from the power and malice of the Devil; grant me a quiet sleep; a happy death, and a joyful resurrection, for Jesus Christ’s sake — Amen.",Freayll mee veih pooar as goanlys y drogh-spyrryd; giall dou cadley feagh; baase bannee; as irreeseose reesht gerjoilagh son graih Yeesey Chreest.—Amen.,
     O LORD! hear me not according to the full meaning of that form of prayer which Jesus Christ taught us.,"     O Hiarn ! eaisht rhym cha nee cordail rish tushtey annoon ayms, agh [42] cordail rish slane bree y phadjer shen, ta Yeesey Chreest er n’ynsaghey dooin.",
"     Our Father, &c.","     Ayr ain t’ayns Niau, &c.",
A short PRAYER to be used by the Children when they come into their seats at Church.,,
The same in MANKS.,,
"GIVE me grace, O merciful GOD! To behave myself now as in thy presence, and let they blessing be amongst us and remain with us forever, through Jesus Christ our Lord — Amen.","CUR grayse dou, O YEE vyghinagh! dy ymmyrkey mee hene nish myr ayns dty enish, as lhig da dty vannaght ve ny mast’ain as tannaghtyn marin er son dy bragh trooid Yeesey Chreest nyn Jiarn — Amen.",
A short PRAYER to be used before the Children leave their seats.,,
The same in MANKS.,,
"O LORD! accept our prayers, and grant that we may all be “doers of thy word, and not hearers only;” that so we may obtain everlasting life, and the merits of our Lord and Saviour Jesus Christ — Amen.","JEAN soiaghey O HIARN! jeh nyn badjeyryn as cur orrin ooilley dy ve “Jeantee jeh’n Goo, as cha nee ny lomaracan clashtyn rish;” myr shen dy vod mayd yn vea dy bragh farraghtyn y chosney trooid toilchinys nyn Jiarn as nyn Saualtagh Yeesey Chreest.—Amen.",
,,
,,
,,
,,
,,
,,
