English,Manx,Original,Notes
You cannot pluck the fruit of happiness off the tree of unrighteousness.,Cha vod shiu teih yn mess dy vaynrys jeh yn billey dy veechairys.,Cha vod shiu teih yn mess dy vaynrys jeh yn billey dy veecairys.,
,,,
,,,
,,,
,,,
Never be ashamed to confess your faults.,Ny bee shiu dy bragh nearagh dy ghoaill rish nyn voiljyn.,Ny bee shiu dy bragh nearagh dy ghoaill rish nyn foaljyn.,
,,,
,,,
,,,
No man can praise God while he steals from his neighbour.,Cha vod dooinney erbee moylley Jee choud as t’eh geid voish e naboo.,Cha vod dhonney erbee moylley Jee choud aste gheig voish y naboo. ,
,,,
,,,
,,,
,,,
The man that is right with God will do right with man.,Yn dooinney ta cairagh rish Jee nee eh cairys rish dooinney.,Yn dhonney ta cairagh rish Jee nee eh cairys rish dhonney.,
,,,
,,,
,,,
,,,
The only holy water is the cup of cold water.,Yn ynrican ushtey casherick yn cappan dy ushtey feayr.,Yn ynrican ushtey casherick yn cabban dy ushtey feeayr.,
,,,
,,,
,,,
Do not toll the bell for prayer and then run away.,Ny jean builley yn kiaullane son padjer as eisht roie ersooyl.,Ny jean bwoolley yn shyllane son padjer as esht roie ersooyl.esht roie ersooyl.,
,,,
,,,
,,,
If you can do good today do not let by until tomorrow.,My oddys shiu jannoo mie jiu ny jean shiu liggey shaghey gys mairagh.,,
,,,
,,,
,,,
,,,
He that tells you the faults of others will tell your faults to them.,Eshyn ta ginsh foiljyn sleih elley diu nee eh ginsh ny foiljyn euish dauseyn.,Eshyn ta ginsh foaljyn sleih elley diu nee eh ginsh ny foaljyn euish dauseyn.,
,,,
,,,
,,,
,,,
The delights of the world is mingled with bitterness.,Ta taitnyssyn yn seihll as sherruid seiyt ny vud oc.,Ta taitnysyn yn seihll as shirrooyd seight ny vud ock.,
,,,
,,,
,,,
,,,
Do not speak before thinking what you intend to say.,Ny jean shiu loayrt gys nee shiu smooinaghtyn cre ta shiu kiart dy ghra.,Ny jean shiu loayrt gys nee shiu smooinaghtyn cre ta shiu kaaryt dy ghra.,
,,,
,,,
,,,
,,,
Don’t expect anything from this world and yoursoul shall enjoy peace.,"Ny jean shiu jerkal rish veg voish yn seihll shoh,as nee yn annym eu goaill solley jeh shee.",Ny jean shiu jerkal rish veg voish yn seihll shohas nee yn annym eu ghoaill solley jeh shee.,
,,,
,,,
,,,
,,,
A gift is double when it is given with a smiling countenance.,Ta gioot dooble tra te currit lesh eddyn ghennal.,Ta gooyt goit doubyl tra te currit lesh eddyn gennal.,
,,,
,,,
,,,
,,,
A noble man is nothing unless held up by good works.,Cha vel dooinney ooasle veg mannagh vel eh cummit seose liorish obbraghyn mie.,Cha vell dhonney ooisle veg myr nagh vell eh cummyrt seose liorish aberaghyn mie.,
,,,
,,,
,,,
,,,
The whitest lie that ever was told is as black as its father the devil.,"Ta’n breag s’baney va rieau er ny insh cha dooas yn ayr ec, yn jouyll.","T’an breg s’bane va rieu er ny insh cha dhooas yn ayr ec, yn jowl.",
,,,
,,,
,,,
,,,
It is easier to get in bother than to get out.,Te ny s’aasagh [= s’assey] dy gheddyn ayns boirey na dy gheddyn ass.,Ta ny saasagh dy gheddyn ayns boirey ne dy gheddyn ass.,
,,,
,,,
However steady as you may be in your own mind never read a bad book.,"Cre-erbee cha lajer as t’ou ayns dty aigney hene, ny jean bragh lhaih drogh lioar.","Cre erbee cha lajer as tou ayns dy aigney hene, ny jean braagh lheih droght lioar.",
,,,
,,,
,,,
,,,
,,,
When a child wins the goodwill of his father and mother it is right for him to get it.,Tra ta lhiannoo cosney aigney mie e ayr as e voir te cairagh da dy gheddyn eh.,Tra ta lhannoo cosney aigney mie y ayr as y voir te cairagh da dy gheddyn eh.,
,,,
,,,
,,,
,,,
When a man cuts for himself he often cuts his fingers.,Tra ta dooinney giarrey da hene t’eh dy mennick giarrey y vair hene.,Tra ta dhonney gairey da hene te dy mennick gairey y vair hene. ,
,,,
,,,
,,,
,,,
"Suffer wrongs with meekness, everyone of them shall be made right in eternity.",Bee shiu meen fo aggairyn bee dy-chooilley unnane jeu jeant kiart ayns beaynid.,Bee shiu meen fo aggairagh be dy chooilley unnane jiu jeant kart ayns beaynyd.,
,,,
,,,
,,,
,,,
Prayer is the vessel in which we carry water from the rock.,Padjer yn saagh ta shin cur lesh [= cur lhien]ushtey veih yn creg ayn.,Padjer yn sagh ta shin cur lesh ushtey veih uncreg ayn.,
,,,
,,,
,,,
,,,
It is good to be knowledgeable but better to be lovable.,"Te mie dy ve toiggalagh, agh te ny share dy ve graihagh.","Te mie dy ve toigalagh, agh te ny share dy vegraihagh. ",
,,,
,,,
,,,
,,,
"Sorrow grows by nursing, sorrow kills sooner than work.","Ta seaghyn gaase liorish boandyrys, ta seaghyn marroo ayns traa s’girrey na obbyr.","Ta seaghyn gaase liorish bonderys, te seaghynmarrou ayns tra skirjey ny obbyr. ",
,,,
,,,
,,,
,,,
Do not open your mouth in other people’s secrets.,Ny jean shiu foshley nyn meeal ayns folliaghtyn sleih elley.,Ny jean shiu fosley nyn meeal ayns folliaghtyn sleih elley.,
,,,
,,,
,,,
Joseph’s steadfastness in righteousness set him on the throne of Eygpt.,Ren shickerys Yoseph son yn chairys troggal eh gys stoyl reeoil Egypt.,Ren shickerys Yoseph son yn chairys throggal eh gys stoal reeoil Egypt.,
,,,
,,,
,,,
,,,
Faith saves us but assurance satisfies.,Ta credjue sauaill shin agh ta shickerys jannoo shiu magh.,Ta credjue sauaill shin agh ta shickerys jannoo shiu magh.,
,,,
,,,
,,,
"It is not that which we take up, but that which we give up that makes us rich.","Cha nee shen ny ta shin goaill seose, agh shen ny ta shin cur seose ta jannoo shin berçhagh.","Cha ne shen ny ta shin ghoaill seose, agh shen ny ta shin cur seose ta jannoo shin berchagh.",
,,,
,,,
,,,
,,,
"Labour and wait, time ripens the corn, but will not plough the fields.","Jean shiu laboraght as farkaght; ta traa creenagh yn arroo, agh cha jean eh traaue ny magheryn.","Jean shiu laboragh as farkiagh ta tra chreenagh yn arroo, agh cha jean eh traue ny magheryn.",
,,,
,,,
The money we are dealing with we may lose but our treasure in heaven will be in safety.,Yn argid ta shin dellal lesh foddee mayd y choayl agh bee yn tashtey ain ayns niau ayns sauçhys.,Yn argid ta shin dellal lesh foddee mayd y choall agh bee yn tastey ain ayns niau ayns sauchys.,
,,,
,,,
,,,
,,,
Fear nothing but unbelief.,Gow shiu aggle ynrican dy yannoo mee-chredjue.,Gow shiu aggle ynrican dy yannoo meecredjue.,
,,,
The master will not put us out of the school however stupid we are.,Cha jean yn mainshter cur shin ass yn schooyl cre erbee cha stagilagh as ta shin.,,
,,,
,,,
,,,
,,,
"Far from my eye, but near to my heart.","Foddey voish my hooil, agh faggys da my chree.",Foddey voish my hooil agh faggys da my chree.,
,,,
,,,
"There is wholesome food promised to the travellers of Zion, barley bread and water from the well-spring.","Ta beaghey follan er ny yoaldyn da throaltee Zion, arran oarn as ushtey veih yn chibbyr gell.",,
,,,
,,,
,,,
,,,
One truth that a man holds up in his life is betterthan thousands that he has spoken.,Ta un irriney ta dooinney cummal seose ayns y vea ny share na thousane t’eh dy loayrt.,Ta un irriney ta dhonney cummal seose ayns y vea ny share ny thousanen te dy loayrt.,
,,,
,,,
,,,
,,,
When the sun is gone all the candles in the world cannot make daylight.,"Tra ta’n ghrian ersooyl, cha vod ooilley ny cainleyn ayns yn seihll jannoo soilshey yn laa.",Tra t’an ghrian ersooyl cha vod ooilley ny cinleyn ayns yn seihll jannoo soiljey laa.,
,,,
,,,
,,,
,,,
There is no safety if we go one inch over the boundary.,Cha vell sauchys erbee my ta shin gholl orlagh harrish yn chaglagh.,,
,,,
,,,
,,,
,,,
Myr smoo vess er yn taley shen myr smoovess yn eeck. ,"Myr smoo vees er yn tailley, shen myr smoovees yn eeck. - Fargher.",,
,,,
,,,
The more that’s on the tally the more will be the pay.,"Ny smoo vees er y tailley, ny strimmey vees yn eeck.  - Cashen.",,
,,,
,,,
It is easier to see a black sheep in the night than a white one,Te ny s’aashagh dy akin kerrey ghoo ayns yn oie ny keyrrey vane.,Te ny saashagh dy akin kerrey ghoo ayns yn oie ny kerrey vane.,
,,,
,,,
,,,
,,,
St. Mary’s day,"Laa’l Moirrey ny gianle,Lieh foddyr, lieh aile.","Laa Moirrey ny ginle,",
"half fire, half hay.","Lieh foddyr, lieh aile.","Lhea foddyr, lhea aile.",
,,,
,,,
,,,
In old times there was men going about to see if the farmers had fodder enough for the cattle but there is no such thing now.,,V’ad ayns shen-trayn gholl mygeayrt jeaghyn row foddyr dy-lioor ock d’an maase er laa Moirrey.,
,,,
,,,
,,,
,,,
,,,
Irish men used to go about trashing for the farmerswith flails. (lesh soostyn),Va Yernee claghtey gholl mygeayrt tasteragh da ny erinee.,,
,,,
,,,
,,,
,,,
,Va Juan bogh ny veshtal,,
,Cha rou eh rieu mie,,
,Ve nish cheau yn traa,,
,Marish Joney ny lhie.,,
, ,,
Ash Wednesday Eve your runnet* will be full.,Oie ennyd bee dy vinnyd laane.,,
,,,
,,,
"When a candle burns at both ends, it will not last but a short time.",Tra ta kiap [cainle] lostey ec dagh kione cha jean ee shassoo agh tra gherrid.,Tra ta cile lostey ec dagh kione cha jean ee jean shassoo agh tra gerryd.,
,,,
,,,
,,,
,Ver oo enney er drogh inneen liorish e sooill daney; freayll [ freill] fo ee as ny cur rouyr reamys j’ee ny ver ee lesh [lh’ee] oo gys nearey.,Ver oo enney er droght inneen liorish y sooil ganey; freeal fo ee as ny cur rouyr remiys jee ganey; freeal fo ee as ny cur rouyr remiys jee nor ver ee lesh oo gys nearey.,
,,,
,,,
,,"You will know a bad girl by her impudent eye. Keep her under, and don’t give her too much liberty or she will bring you to shame.",
,,,
,,,
,,,
Many a man have been dancing and another paying the fidler.,Ta dooinney ny ghaa er ve daunsyn as fer elley geeck yn fiddler.,Ta dhonney ny gha er ve daunsyn as fer elley geeck yn fidler.,
,,,
,,,
,,,
,,,
There is not much happiness at a man who is in the world alone.,Cha vell monney maynrys eck dhoinney ta ayns yn seihll ny lomyrken.,,
,,,
,,,
,,,
,,,
The blacker the lovinger.,Myr s’dhoo s’graihagh.,,
,,,
,,,
The nearer the bone the sweeter the flesh.,"Myr snessey d’an craue, s’millish yn eayl.",,
,,,
,,,
Though we do not love weaknesses we must love the weak.,Gha nagh vell shin graihagh er faasnygyn shegin dosin ve graihagh er yn fallagh faase.,,
,,,
,,,
,,,
,,,
Our greatest dangers lie hidden in little things.,Ta ny dangeeryn smoo ain lie follyt ayns reddyn beggey.,,
,,,
,,,
,,,
It is only when sin is dead that we begin to live.,"She ynrican tra ta peccah marroo, ta shin ghoaill toshiaght dy ve bio.","She ynrican tra ta peccah marroo, ta shin ghoaill toshaght dy ve bio.",
,,,
,,,
,,,
A man is not a saint for speaking saints’ words.,Cha vel dooinney ny noo liorish loayrt goan nooghyn.,Cha vel dhonney ny noo liorish loayrt ghoan noogyn.,
,,,
,,,
,,,
Put off the old man and do not clothe him with a new garment.,Cur jeed yn çhenn ghooinney as ny jean eh y choamrey lesh garmad noa.,Cur jeed yn çhen ghonney as ny jean eh y coamrey lesh garmad noa.,
,,,
,,,
,,,
,,,
The wisdom of this world is the best tool that fits the devil.,"Creenaght yn seihll shoh, yn greie share ta fittal yn joul.",Creenagh yn seihll shoh yn greie share ta fittal yn joul.,
,,,
,,,
,,,
,,,
To believe in God is the holiest wisdom.,Dy credjal Jee ta shen yn keeayll smoo casherick.,Dy credjal Jee ta shen yn keel smoo casherick.,
,,,
,,,
The remembrance of the heart is better than the remembrance of the head.,Ta cooinaghtyn yn chree ny share na cooinaghtyn yn chione.,Ta cooinaghtyn yn chree ny share ny cooinaghtyn yn chione.,
,,,
,,,
,,,
Whosoever may be the preacher you can listen to God.,Quoi erbee sallish ve yn preçhoor foddee shiu geashtagh rish Jee.,,
,,,
,,,
,,,
Whatsoever the Lord commands man is bound to do.,Cre erbee t’an Chiarn gordraill ta dhonney kialt dy yannoo.,,
,,,
,,,
,,,
"Wherefore I perceive there is nothing better than that a man should rejoice in his own works, that a man should rejoice in his own works, for that is his portion. ",Shen y fa ta mee cur tastey nagh vel nhee erbee share ne son dhonney dy ghoaill gerhagh ayns y obraghyn hene son shen y chronney. ,,
For who shall bring him to see what shall be after him.,Son quoi lesh eh dy akin shen ny vees ny yei.,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Black as the raven is he will find his fellow.,Myr s’dhoo yn feeagh yow eh sheshey.,,
,,,
,,,
Wild as the hare is he will find his fellow.,"Myr s’koie yn mwaagh, fuirree eh rish y heshey.",Myr s’koie yn mwagh furree eh rish y heshey.,
,,,
,,,
The dark night is the best time to go a courting.,Oie dorraghey yn traa share dy gholl dy hooree.,,
,,,
,,,
When the south wind comes in gusts it is a sign of storm.,Tra ta’n gheay jiass cheet ayns thummaghyn te cowrey jeh sterrym.,Tra ta’n gheay jass çheet ayns thummagyn te cowrey jeh styrym.,
,,,
,,,
,,,
When the sky is red in the east in the morning it is a sign of wind and rain.,"Tra te jiarg ayns yn shiar ayns y voghrey, te cowrey jeh fliaghey as geay.","Tra te jirg ayns yn shiar ayns y voghrey, te cowrey jeh fliaghey as gheay.",
,,,
,,,
,,,
,,,
When it is red in the west at sunset it is a sign of a fine day tomorrow.,Tra te jiarg ayns yn sheear ec croymmey ny greiney te cowrey jeh laa aalin laa ny vairagh.,Tra te jiarg ayns yn sheer eck cronney ny ghreiney te cowrey jeh laa aalin laa ny vairagh.,
,,,
,,,
,,,
,,,
,,,
Evening red and morning grey,Fastyr jiarg as moghrey glass,Fastyr jiarg as moghrey glass,
Is a sign of a fine day.,Cowrey jeh aalid as çhiass.,Cowrey jeh aalid as çhasse.,
,,,
,,,
,,,
Sin never destroys but the place where it reigns.,Cha vel peccah dy bragh cur naardey agh yn boayl te reill.,Cha vel peccah dy bragh cur naardey agh yn boayl te riell.,
"To sin against law is impudence,","Dy yannoo peccah noi leigh, te daanys, ","Dy yannoo peccah noi lheih te daanys, ",
But to sin against love is hateful.,agh dy yannoo e noie graih te dwoaieagh.,agh dy yannoo e noie graih te dooieagh.,
,,,
,,,
,,,
One sin does not save from another.,Cha vel un peccah sauail voish peccah elley.,Cha vel un peccah sauail voish peccah elley.,
,,,
,,,
The bitter cups we strove to remove from us holds the medicine we are most in need of.,"Ny cappanyn sharroo va shin streeu dy scughey ersooyl voin, ta cummal ny medshin smoo ta shin feme jeh.","Ny cabbanyn sharroo va shin strew dy scaaghey ersooyl voon, ta cummal ny medjyn smoo ta shin ayns feme jeh.",
No man can do much harm to your good name but yourself.,Cha vod  deiney erbee yannoo laue assee da’n ghoo mie ayd agh oo hene.,Cha vod  dooinney erbee jannoo laue assee da’n goo mie ayd agh oo hene.,
For everything there is a season.,Ta imbagh cour dy chooilley nhee.,Ta imbagh cour dy chooilley nhee.,"“Son dy chooilley nhee ta imbagh cooie.”
Ecc. iii. i"
,,,
,,,
,,,
You cannot do good to other people without doing good to yourself.,Cha vod shiu jannoo mie da sleih elley fegooish jannoo mie diu-hene.,Cha vod shiu jannoo mie da sleih elley fegooish jannoo mie diu hene. ,
,,,
,,,
,,,
,,,
If the devil has rocked you to sleep ask God to turn over the cradle.,"My ta’n jouyll er leaystey shiu dy chadley, brie shiu jeh Jee dy hyndaa harrish yn chlean.","My ta’n joul er leastey shiu dy chadley, bry shiu jeh Jee dy hyndaa harrish yn chlian.",
,,,
,,,
,,,
The newspapers tells every week that the way of transgressors is hard.,Ta ny pavyren skeeal ginsh dooin dy chooilley hoghtyn dy vel raaid ny droght yantee dhollee.,,
,,,
,,,
,,,
,,,
Never part with those you love without loving words.,Ny jean shiu dy bragh pardaill roosyn ta shiu graihagh orroo fegooish focklyn graihagh.,Ny jean shiu dy bragh pardaill roosyn ta shiu graihagh orroo fegooish focklyn graihagh.,
,,,
,,,
,,,
,,,
Perhaps you will not meet them again.,Foddee ny jean shiu meeiteil ad arragh.,Foddee ny jean shiu meeiteil ad arragh.,
,,,
,,,
,,,
An old widow said in her little house alone. The best way to remember God is to forget ourselves.,"Dooyrt shenn ven-treoghe ayns y thie beg ny lomarcan:- yn aght share dy chooinaghtyn er Jee, te dy yarrood shin-hene.","Dooyrt shen-ven throagh ayns y thie beg ny lomarkyn, yn aght share dy coonaghtyn er Jee, te dy yarrood shin hene.",
,,,
,,,
,,,
,,,
,,,
,,,
Sins trampled underfoot makes a ladder to climb to heaven.,Ta peccah stampit fo chosh jannoo aarey dy chlamberagh gys niau.,Ta peccah [peccaghyn] stambyrt fo chosh jannoo aarey dy clamberagh gys niau.,
,,,
,,,
,,,
,,,
A man that is not wise in his works is not wise in his faith.,Dooinney nagh vel creeney ayns e obbraghyn cha vel eh creeney ayns e chredjue.,Dooinney nagh vel creeney ayns y obbraghyn cha vel eh creeney ayns y credjue. ,
,,,
,,,
,,,
,,,
A preacher that delights men is also a destroyer of souls.,Yn preaçhoor ta jannoo taitnys da deiney t’ehh myrgheddin stroieder anmeeyn.,Yn prechoor ta jannoo taitnys da deiney te margheddyn stroieder anmeeyn. ,
,,,
,,,
,,,
,,,
