English,Manx,Page,EnglishPage,Notes
"3. His love is patient. Why does He bear over and over again with the wicked who slight His love ? Because He is a patient God, and of great longsuffering. He has no delight in the death of a sinner. “As I live, saith the Lord God, I have no pleasure in the death of the wicked, but that the wicked turn from his way and live.” His justice and His mercy are on the side of those who turn from their sins. If we confess our sins He is faithful and just to forgive us our sins and to cleanse us from all unrighteousness.” He cometh to take vengeance on all those who will not repent and forsake their sins. He did so upon the inhabitants of the old world, and on Sodom. “ Behold this was the iniquity of thy sister Sodom : pride, fulness of bread, and abundance of idleness was in her and in her daughters, neither did she strengthen the hand of the poor and the needy.” (Ezekiel xvi. 49.) “'Even as Sodom and Gomorrha and the cities about them . . . are set forth for an example, suffering the vengeance of eternal fire.” (Jude 7.) Now then, “ How shall we escape if we neglect so great salvation ?”“ Except ye repent ye shall all likewise perish.”","3. Meenid eh graih. Cren oyr t’ehl gymmyrky harrish as harrish lesh yn mee-chrauee ta soiaghey beg jeh e graih. Son t’eh JEE dy veenid, as surrance foddey. Cha vel taitnys echey ayns baase jeh peccagh, agh dy jinnagh ny mee-chrauee chyndaa veih nyn raad as ve bio. Ta eh cairys as eh vyghin, er cheu adsyn ta chyndaa veih nyn beccaghyn. My ta shin goaill risli nyn beccaghyn t'eshyn firrinagh,as cairagh, dy leih dooin nyn beccaghyn, as dy ghlenney shin veihi dy chooilley neu-ynrickys. Te cheet dy goaill kerragheyer ooilley ny gow arrys as hreigeil nyn beccaghyn. Ren eh shoh er cummaltee yn shenn seihll, as er Sodom. Cur-my-ner shoh va loght dy huyr Sodom ; moyrn, sonnys arran, as litcheraght lhome va aynjee, as ayns ny inneenyn eck, chamoo ren ee laueyn yn voght, as yn ymmyrchagh y niartaghey. (Ezekiel 16 chap, v 49.) Myr Sodom as Gomorrha as ny ard-valjyn mygeayrt-y-moo soiaghey magh son sampleyr surranse cerraghcy dowil yn aile dy bragh farraghtyn. (Yude, 7 verse.) Kys oddys shinyn scapail my nee mayd meerioose er saualtys cha gloyroil. Agh mannagh gow shiuish arrys nee shiu ooilley myrgeddin cherraghtyn.",2,6,
4. God’s love is true love. It is according to His law ; it is in agreement with all His attributes. A God all mercy would be a God unjust. He is bound to make good His threatenings as well as His promises. The whole Trinity is at work for the salvation of the soul. The consistency of His love is seen in his righteous separation at last of the just and the unjust. He saves all those who repent and believe the Gospel.,"4. Ta graih JEE graih firrinagh. Ta graih YEE coardail rish e leigh. As te myrgeddin coardail rish ooilley eh attributeyn. Veagh JEE ooilley myghin, Jee meechairagh. Te kianlt dy yannoo mie e baggyrtaghyn, cha mie as e gialdynyn. Ta yn slane Trinaid ec obbyr dy hauaii yn annym. Bee eh cairys er na akin ec yn jeerey ayns scarrey yn chloan-chairagh veih yn neuchairagh. Te sauail ooilley ta ghoaill arrys, as credjal yn sushtal.",2,6,
II.. In the second place we will consider the operations of His love UPON THE HEART AND LIFE.,II. Lhig dooin ayns yn nah voayl smooinaghtyn er obbyr eh graih ayns yn chree as ayns yn bea.,3,6,
"1. It is beautiful in its working. The heart in its natural state, is deceitful above all things. Who can know it? The prophet Isaiah says : “But the wicked are like the troubled sea, when it cannot rest, whose waters cast up mire and dirt.” Like the needle in the mariner’s compass cannot rest until it points due north, neither can the heart of man rest until it returns to God, the centre of its happiness. The human countenance is often an index or the soul. When the penitent turns from his sins seeking mercy, we have seen sorrow marked upon the lace by the rolling tears, as soon as he believes with the heart upon the Lord Jesus Christ The love of God is then shed (spilt) abroad in his heart by the Holy Ghost, which is given unto him. The change of heart breaks forth on the countenance, the Love of God warms the heart inwardly. Filled with love! Glory to God!","1. Ta eh graih aalin ayns e obbyr. Ta’n chree ayns yn stayd dooghyssagh molteyragh erskyn dy chooilley nhee as meechrauee erskyn towse. Quoi oddys toiggal eh. Ny-sodjey ta yn ’adeyr Isaiah graa. Ta ny meechrauee myr yn aarkey seiyt tra naght vod ee fea y ghoaill, ta ny ushtaghyn ec tilgey seose laagh as broid. As myr yn snaid ayns combaase yn shiaulteyr na gow fea derrey t’eh cheet gys yn twoaie. Chamoo cha vel chree dooinney eck fea derrey te chyndaa dys JEE, bun e voggey. Ta yn eddin cowraghey jeh stayd yn annym. Tra ta’n annym arryssagh chyndaa veih peccah yeearree myghin, ta shin er akin yn seaghin cr yn eddin liorish yn jeir roie, cha leah as te lesh y chree credjal er yn Chiarn Yeesey Creest. Ta graih Yee deayrtit ayns yn chree liorish yn Spyrryd-Noo, er ny choyrt da. Ta yn caghlaa ayns yn chree brishey magh er yn eddin. Graih YEE chiow yn chree er cheu-sthie. Yn chree lheint lesh graih! Gloyr da Jee !",3,6,
"How happy are they who the Saviour obey,","T'ad maynrey erskyn insh, ta credjal ayns Creest,",3,7,
"And have laid up their treasure above,","As niau son nyn eiraght er reih,",3,7,
Tongue cannot express the sweet comfort and peace,Cha vod chengey er bee ginsh boggey as shee,3,7,
Of the soul in its earliest love.,Yn annym ta hoshiaght cur graih.,3,7,
"2. His love bestows upon us great honour. The men of the world consider it to be great honour to be Governor, a member of the House of Keys, a Deemster, or Justice of the Peace. But it is a greater honour to be a child of God. Herein is true nobility to be like God, partaking of His Divine nature — just, merciful, pure. The greatest honour is that which cometh from God : To be kings and prie-ts unto God and His Father for ever. Earthty distinctions are lost sight off at the glory which surrounds the Christian. Child of God rejoice, there lies before you the heavenly inheritance incorruptable, undefiled, and that fadeth not away, reserved in heaven for you. “ To him that overcometh will I grant to sit with Me on My throne, even as I also overcame, and am set down with My Father in His throne.” What an honour to be thus associated with Abraham, Isaac, and Jacob, and all the arictocracy of heaven.","2. Ta eh graih stowal orrin ooashley mooar. Ta deiney yn seihll jeeaghyn er dy ve ooashley mooar dy ve Kiannoort, nane jeh yn Kiare-as-feed, Briw, nonney Briw-yn-chee. Te ooashley smoo dy ve lhiannoo da Yee. Ayns shoh ta stayd ooasle dy ve goll-rish JEE , goaill ayrn jeh yn dooghys flaunyessagh ; Ynrick, Myghinagh Glen. Te ooashley mooar, yn onnor ta cheet veih JEE. Dy vee Reeaghyn, as saggyrtyn, gys JEE yn ayr erson dy bragh. Ta onnor yn seihll caillit ass shilley ec yn gloyr, ta mygeayrt-y-mysh yn Creestee. Lhiannoo dy YEE, gow-boggey, ta nyn cour eiraght shickyr, as casherick, as nagh vel lheie ersooyl, kiarit ayns niau nyn gour euish. Dasyn ta geddyn y varriaght, low-yms dy hoie marym er my stoil-reeoil, myr hooear mish myrgeddin yn varriaght, as ta mee er hoie sheese rnarish my Ayr, er y stoil-reeoil echeysyn. Cre’n onnor dy reayll sheshaght marish Abraham Isaack as Jacob as ooilley yn sleih ooasle ayns niau.",3,7,
"What are these arrayed in white,","Quoi ad shoh ta cha gloyroil,",3,7,
Brighter than the noonday sun ;,Sollys myr y ghrian vunlaa :,3,7,
Foremost of the sons of light,Adsyn sniessey gys y stoyl,3,7,
Nearest the eternal throne ?,Jeu ta heose syn eiraght vra ?,3,7,
"These are they who bore the cross,","Shoh ad ren er coontey Chreest,",3,7,
"Nobly for their Master stood,","Surrance seaghyn as tranlaase,",3,7,
"Sufferers in His righteous cause,","Ren nyn mioys y chur sheese,",3,7,
Followers of the dying God.,Eiyrtyssee da’n Eayn hur baase.,3,7,
"3. His love is comforting in trouble. There is no state in this life that will exempt us from trouble, man is born unto trouble as the sparks fly upward. Every character we bear, every office we fill, every relationship we sustain, is a fruitful source of trouble.. Everything around us says “ Hapiness is not in me.” Where does the men of the world go for comfort in the day of trouble ? Many go to the public-house and drink fiery waters to drown their sorrow, but bring upon themselves greater sadness.","3. Ta e graih gherjaghey ayns seaghyn. Cha vel stayd erbee ayns yn seihll nee livrey shin veih seaghyn. Ta dooinney er ny ruggey gys seaghyn, myr ta smayln yn aile getlagh lesh yn yrjid. Dy chooilley cummey ta shin yinrnyrkey, dy chooilley currym ta shin lhieeney, dy chooilley mooinjerys ta shin chummal seose bun messoil dy heaghyn. Ta dy chooilley nhee gra cha vel maynrys aynym. Cre yn voayl ta deiney yn seihll gholl son gerjagh ayns yn laa dy heaghyn. Ta ymmodee gholl gys yn thie-oast, as giu ushtaghyn aileaght dy vaih nyn seaghyn, as ta’d hayrn harrystoo ny smoo dy trimshey. ",3,7,
"True happiness is not to be found in the pleasures of sin. Others retire from business to be free from trouble. But happiness cannot be found there. All alike feel their need of something to sweeten life. It is comforting in trouble to think that there is one who loves us. Thank God there is no trouble that heaven cannot heal. Where does the Christian go for comfort in times of sorrow ? God is our refuge and strength, a very present help in trouble. The love of God in the heart is powerful. Who can seperate us from such love ? The Apostle Paul says : “ Shall tribulation or distress, or persecution, or famine, or nakedness, or peril, or sword. Nay, in all these things we are more than conquerors, through Him that loved us. For I am persuaded, or I have the full assurance that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come, nor height, nor depth, nor any other creature shall be able to separate us from the love of God which is in Christ Jesus our Lord.”","Cha vel gerjagh firrinagh dy geddyn ayns eunys peccah. Ta feallagh elley coyrt seose yn seihll dy ve eck fea veih seaghyn. Cha vol er ny geddyn ayns shen. Ta ooilley gennaghtyn nyn feme jeh red ennagh dy yannoo millish nyn bea. Te gerjagh ayns seaghyn dy smooinaghtyn dy vel nane ta graihagh orrin. Booise da JEE cha vel seaghyn erbee nagh vod niau y lanaghey. Cre yn voayl ta yn Creestee goll son gerjagh ayns yn laa dy heaghyn.. She JEE nyn dreishteil as niart, cooney feer faggys ayns seaghyn. Ta graih YEE ayns yn chree niartal. Quoi nee scarrey shin veih lheid yn graih. Ta yn ostyl Paul gra : Jean seaghyn, ny chennid, ny tranlaase, ny gortey, ny rooishtid, ny gaue ny cliwe. Agh ta shin er n’gheddyn ny smoo na’n varriaght ayns ooilley ny reddyn shoh ny hrooidsyn hug graih dooin Son ta slane shickyrys aym, nagh bee edyr baase ny bioys, ny ainleyn, ny ard-reilltee, ny pooaraghyn seihltagh, ny reddyn ta nish ayn, ny reddyn ta ry-heet, ny yrjid, ny diunid, ny cretoor erbee elley abyl shinyn y scarrey veih graih Yee, t’ayns Creest Yeesey nyn Jiarn.",4,7,
"4. His love is true riches. The happiness of man does not consist in the abundance of the things which he possesses. The soul cannot be satisfied with riches, though his lot may be cast in a pleasant land, for riches make to themselves wingsand fly away. Riches are taken away from them, or they are taken away from the riches. Oh! the deceitfulness of riches. What shall it profit a man if he gain the whole world and lose his own soul. Gold cannot purchase pardon for sin. What would Queen Elizabeth have given upon her death-bed for an hour of time ? She would have given all her riches “ Doctor! doctor! must I die,” she said, “Can you save me ? must I, must I die?” Even thus it is appointed. God's love is the greatest treasure when leaving the world. “Hath not God chosen the poor of this world, rich in faith and heirs of the kingdom which he hath promised to them that love him? ” The love of God in the soul is the earnest of the riches of heaven--which are everlasting riches—a sure inheritance—many mansions—a throne-a city, the streets thereof are of pure gold. The gold is in the right place in heaven—under the feet of the saints. And they want it nowhere else. Men may die possessing thousands and thousands here, without the love of God in the heart. Better far to die, like one of old at the rich man’s gate, a beggar covered with sores. As soon as the soul left the body the angels carried him to Abraham’s bosom to be rich for evermore.","4. Ta e graih berchys firrinagh. Son cha vel maynrys vea yn dooinney lhie ayns mooarane e chooid seihlt. Cha vod yn annym ve jeant-magh lesh berchys ga da beagh e cronney eck ayns cheer aalin. Ta berchys dy shickyr, jannoo skianyn daue bene, t’ad getlagh ersooyl. Yn berchys goit ersooyl vouesyn, nonney adsyn goit veih yn berchys. O! yn molteyrys berchys. Son cre’n vondeish vees ec dooinney, chosnys eh yn seihll ooilley, as e annym y choayl. Cha vod airh chionnaght pardoon son peccah. Cre va Ben-rein Elizabeth er coyrt er e lhiabbee vaaish Son oor dy traa ooilley ee berchys. Ferlhee, dooyrt ee, nhegin dou, nhegin dou geddyn baase. Myr shoh te oardrit. Graih YEE yn berchys smoo eck faagail yn seihll. Nagh vel Jee er reih boghtyn yn theihll, berchagh ayns credjue, as eiraghyn y reeriagh, t’eh ghialdyn dauesyn ta graihagh er. Graih Yee ayns yn annym, yn eearlys jeh yn berchys, ta ayns niau. Son t’eh berchys dy bragh-farraghtyn, eiraght shickyr, ymmodee ynnydyn-vaghee, stoyl-reeoil, ard-valley, as ta straid yn ard-valley airh ghlen. Ta yn airh ayns yn boayl cair ayns niau. Fo cassyn ny nooghyn. Cha vel ad ayns feme jeh boayl eliey. Foddee dooinney geddyn baase mainshter jeh thonsane dy thousanyn ayns shoh, fegooish graih YEE ayns yn chree. Te ny share dy geddin baase, goll-rish nane dy row eck giat yn dooinney berchagh, jeirkagh boght, lane dy hingyn. Cha leah as ren yn annym hreigeilyn callin, dy dug ny ainleyn lhieu eh gys oghrish Abraham, dy ve berchagh son dy bragh-farraghtyn.",4,8,
"5. His love is enduring. All things around us are subject to change. The fondest ties may be severed. Lather, mother, sister, brother, are dear names. But from these we must part here. God’s love knows no change. It comforts in sorrow, temptation, death, and to all eternity. Have you tasted of His love in your heart ? To taste the love ot God is a reality. Do you know your sins forgiven ? Then you’ll feel the love of God filling your heart. The Father, Son, and Holy Ghost will come in and flood your heart with love. God commendeth his love towards us. Accept as you are the gift of His love, and it will be heaven on the way to heaven. If you neglect accepting it, punishment is certain. The soul that sinnneth it shall die the death that never dies even the hell of fire. Turn ye! turn ye! for why will ye die ?","5. Ta eh graih tannaghtyn. Ta dy chooilley nliee mygeayrt-y-mooin ny lhie roish caghlaa. Yn carrey sniessey er ny scarrey veih-my cheilley. Ayr, moir, braar, shuyr, enmyn deyr. Agh veih ad shoh shegin dooin scarrey. Agh ta graih Yee gyn caghlaa. To gerjaghey ayns seaghin, miolaght, baase, as-trooid beaynid. Vel shin eh blashtyn jeh eh graih ayns nyn chree. Dy blaystn er graih Yee, t’eh shickrys. Vel ain tushtey dy vel nyn beccaghyn er ny leih dooin. Eisht nee shin gennaghtyn graih Yee lhieeney yn chree. Nee yn Ayr Mac as yn Spyrryd-Noo cheet stiagh myr thooilley as lhieeney yn chree lesh graih. Agh ta JEE soilshaghey e graih hooinyn. Gow myr ta. shiu gioot eh graih, as bee niau ain er ya raad gys niau. My nee shiu meerioose eck ghoaill eh, bee yn kerraghey shickyr. Yn annym ta jannoo peccah yiow eh baase yn baase dy bragh farraghtyn yn aile niurin. Chyndaa-jee, chyndaa-jee, cren fa ta shin tayrn baase erriu hene.",4,8,
Oh Love Divine how sweet thou art!,O ’smillish t’ou ghraih flaunyssagh!,5,8,
When shall I find my willing heart,Cuin vees my chree ta arryltagh,5,8,
All taken up by thee?,Goit seose lesh shen ny t’ou.,5,8,
"I thirst, I faint, I die to prove",Annoon as geddyn baase lesh paa,5,8,
"The greatness of redeeming love, .","Dy hoiggal mooads dty graih ayns baase,",5,8,
The love of Christ to me.,Yn ghraih hug Yessey dou.,5,8,
,,5,8,
"Stronger His love than death or hell,",E graih ny stroshey ta na’n baase,5,8,
"Its riches are unsearchable,","Diunid dy verchys nagh vel saase,",5,8,
The first-born sons of light,Ec ny Ard-ainleyn beayn,5,8,
"Desire in vain its depth to see,",Dy ronsagh folliagh ta wheesh.,5,8,
"They cannot reach the mystery,","Lhiurid as lhead as diunid neesht,",5,8,
"The length, and breadth, and height.",Graih yindysagh yn Eayn.,5,8,
"PRINTED AT THE “MANXMAN”  OFFICE, REGENT STREET. DOUGLAS.",,,8,
