Manx,English,Manx Original,Notes
"We may learn also in these books to know God’s will and pleasure, as much as, for this present time, is convenient for us to know. ",     Foddee mayd gynsaghey myrgeddin ayns ny lioaryn shoh wheesh jeh aigney Yee as ta cooie dooin dy hoiggal ’sy stayd ta shin nish ayn. ,,
"And as the great Clerk and godly Preacher, St. John Chrysostom, saith, whatsoever is required to the salvation of man, is fully contained in the Scripture of God. He that is ignorant, may there learn and have knowledge.","As, myr ta’n Chirveishagh tushtagh as Preachoor crauee Juan Chrysostom gra, Cre erbee ta ymmyrchagh gys saualtys dooinney te goit stiagh ayns Scriptyryn Yee:",,
"He that is hard-hearted, and an obstinate sinner, shall there find everlasting torments, prepared of God’s justice, to make him afraid, and to mollify, or soften him. He that is oppressed with misery in this world, shall there find relief in the promises of everlasting life, to his great consolation and comfort.","foddee eshyn ta mee-hushtagh, gynsaghey as geddyn tushtey ayns shen; nee yn drogh-yantagh roonagh feddyn ayns shen torchagh dy bragh farraghtyn cairyt liorish cairys Yee dy agglaghey eh, ny dy veenaghey eh; nee eshyn ta trome-laadit lesh seaghyn y vea shoh, feddyn kemmyrk ayns gialdynyn y vea dy bragh farraghtyn, gys e gerjagh mooar;",,
"He that is wounded by the Devil unto death, shall find there medicine, whereby he may be restored again unto health.","nee eshyn ta guint liorish y drogh-spyrryd eer gys baase, feddyn ayns shen saasyn lheihys lioroo oddys eh e lhiant[3] y chosney reesht.",,[3] lhiant] i.e. lhaynt
"If it shall require to teach any truth, or reprove false doctrine, to rebuke any vice, to commend any virtue, to give good counsel, to comfort, or exhort, or to do any other thing requisite for our salvation; all those things, saith St. Chrysostom, we may learn plentifully of the Scripture.","My vees eh ymmyrchagh dy ynsaghey firrinys erbee, ny dy gheyrey ynsagh erbee foalsey, dy chur oghsan da olk, dy voylley craueeaght, dy choyrt coyrle vie, dy gherjaghey, ny dy choyrlaghey, ny nhee erbee elley y yannoo ta ymmyrchagh gys nyn saualtys, —ooilley ny reddyn shoh foddee mayd gynsaghey veih ny Scriptyryn ayns slane towse.",,
"There is, saith Fulgentius, abundantly enough, both for men to eat, and children to suck. There is whatsoever is meet for all ages and for all degrees and sorts of men","Ta palchey, myr ta Fulgentius gra, chammah son deiney dy ee, as son cloan dy yiole. Ta dy chooilley nhee ayns shen ta cooie son dy chooilley eash as sorch as stayd dy leih.",,
What commodities and profits the knowledge of Holy Scripture bringeth.,Ny vondeishyn ta tushtey jeh ny Scriptyryn Casherick coyrt lesh marish.,,
"These books, therefore, ought to be much in our hands, in our eyes, in our ears, in our mouths, but most of all in our hearts.","     Lhisagh ny lioaryn shoh eisht ve dy mennic ayns nyn laueyn, ayns nyn sooillyn, ayns nyn gleayshyn, as ayns nyn meeal, agh erskyn ooilley ayns nyn greeaghyn.",,
"For the Scripture of God is the heavenly meat of our souls: the hearing and keeping of it maketh us blessed, sanctifieth us, and maketh us holy; it turneth our souls; it is a light lantern to our feet; it is a sure, stedfast, and everlasting instrument of salvation; it giveth wisdom to the humble and lowly hearts; it comforteth, maketh glad, cheereth, and cherisheth our conscience, it is a more excellent jewel, or treasure, than any gold or precious stone; it is more sweet than honey or honey-comb; Matt. iv. Luke xi. John xvii. Psalm xix.","Son ta Goo Yee beaghey flaunyssagh nyn anmeenyn: ta’n clashtyn as freayll eh jannoo shin maynrey, as casherickey shin; te chyndaa nyn anmeenyn; te londeyr sollys da nyn gassyn; te greï dy haualtys ta fondagh, shickyr, as dy bragh farraghtyn; te coyrt creenaght da ny creeaghyn imlee as injil; te gerjaghey, jannoo gennal, ooraghey, as niartaghey nyn gooinsheanse;. te berchys shiare na airh, ny clagh erbee costal; te ny s’miljey na mill as y chere-volley. (Mian iv. 4; Luke xi. 28; Ean xvii. 17; Ps. xix. 10.)",,
"it is called the best part, which Mary did choose; Luke x. for it hath in it everlasting comfort. The words of Holy Scripture be called words of everlasting life: John vi. for they be God’s instrument, ordained for the same purpose.","Te enmyssit ""yn ayrn shiare,"" ren Moirrey y reih (Luke x. 42) son te goaill stiagh gerjagh dy bragh farraghtyn. Ta goan ny Scriptyryn Casherick enmyssit goan y vea dy bragh farraghtyn (Ean vi. 68): son t’ad greï Yee cairit son yn oyr shen.",,
"They have power to turn, through God’s promise; and they be effectual through God’s assistance; and being received in a faithful heart they have ever an heavenly spiritual working in them.","T’ad breeoil ayns chyndaa yn annym, trooid gialdyn Yee; as t’ad fondagh trooid cooney Yee; as, er nyn goaill ayns cree firrinagh, t’ad dy kinjagh gobbraghey lesh bree spyrrydoil as flaunyssagh.",,
"They are lively, quick, and mighty in operation, and sharper than any two-edged sword, and enter through, even unto the dividing asunder of the soul and the spirit, of the joints and the marrow. Coloss. i. Heb. iv."," “Ta Goo Yee bioal as breeoil, as ny s’geyrey na cliwe erbee dy ghaa foyr, roie trooid gys yn eer rhenn veih my-cheilley yn annym as y spyrryd, as ny juntyn as y smuirr.” (Heb. iv. 12)",,
"Christ calleth him a wise builder, that buildeth upon his word, upon his sure and substantial foundation. Matt. vii.","Ta Creest genmys eshyn ny ard-vasoonagh creeney, ta troggal er y Ghoo echeysyn, er e undin shickyr as fondagh (Mian vii. 24.)",,
"By this word of God we shall be judged: for the word that I speak, saith Christ, is it that shall judge in the last day. John xii.","Liorish yn Goo shoh dy Yee bee mayd er nyn mriwnys: son y Goo ta mish er loayrt (ta Creest gra,) nee shen y vriwnys ec y laa jerreynagh. (Ean xii. 48.)",,
"He that keepeth the word of Christ, is promised the love and favour of God, and that he shall be the dwelling-place or temple of the blessed Trinity. John xiv.","Dasyn ta freayll Goo Chreest ta gialdyn jeant jeh graih as foayr Yee, as dy bee eh ynnyd-vaghee as chiamble yn Trinnaid Bannit. (Ean xiv. 23–26.)",,
"This Word, whosoever is diligent to read, and in his heart to print that he readeth, the great affection to the transitory things of this world shall be minished in him, and the great desire of heavenly things, that be therein promised of God, shall increase in him.","Yn Goo shoh quoi-erbee ta tastagh dy lhaih, as dy hashtey seose ayns e chree shen ny t’eh lhaih, bee graih jeean da reddyn fardailagh y thelhll er ny choyrt naardey ayn, as nee yeearree jeean lurg reddyn flaunyssagh giallit ayns shen liorish Jee bishaghey ayn.",,
"And there is nothing that so much strengtheneth our faith and trust in God, that so much keepeth up innocency and pureness of the heart, and also of outward godly life and conversation, as continual reading and recording of God’s Word.","As cha vel nhee erbee ta wheesh niartaghey nyn gredjue as nyn dreishteil ayns Jee, ta wheesh cummal seose ônid as glennid cree, as myrgeddin ymmyrkey-bea crauee, as lhaih Goo Yee as smooinaghtyn er dy dowin:",,
"For that thing which by continual use of reading of Holy Scripture, and diligent searching of the same, is deeply printed and graven in the heart, at length turneth almost into nature.","son ta shen, ta liorish dy kinjagh lhaih ny Scriptyryn Casherick as ronsaghey ad dy tastagh, er ny ghrainney dy dowin ayns y cree, ec y jerrey cheet dy ve myr dooghys.",,
"And, moreover, the effect and virtue of God’s word, is to illuminate the ignorant, and to give more light unto them that faithfully and diligently read it; to comfort their hearts, and to encourage them to perform that which of God is commanded.","     As, ny sodjey, ta bree Goo Yee er ny akin ayns soilshaghey ny mee-hushtee, as ayns choyrt soilshey smoo dauesyn ta dy firrinagh as dy tastagh lhaih eh, dy gherjaghey nyn greeaghyn, as dy ghreinaghey ad dy chooilleeney shen ta Jee er harey:",,
"It teacheth patience in all adversity, in prosperity humbleness; what honour is due unto God; what mercy and charity to our neighbour.","te gynsaghey meenid fo dy chooilley heaghyn, as injillid-aigney ayns maynrys seihltagh; cre’n ooashley ta cair da Jee, cre’n myghin as graih da nyn naboo:",,
"It giveth good counsel in all doubtful things. It sheweth of whom we shall look for aid and help in all perils; and that God is the only giver of victory in all battles and temptations of our enemies, bodily and ghostly. 1 Sam. xiv. 2 Chron. xx. 1 Cor.xv. 1 John v.","te coyrt coyrl vie ayns dy chooilley chooish: te soilshaghey c’raad ta shin dy yeeaghyn son cooney as kymmyrk ayns dy chooilley gaue; as dy vel Jee yn ynrican fer ta coyrt y varriaght ayns dy chooilley hoiagh orrin jeh nyn noidyn seihltagh as spyrrydoil. (1 Sam xiv. 6–16; 2 Recor. xx. 22–24; 1 Cor. xv. 56, 57; 1 Ean v. 4.)",,
Who most profit in reading God’s word.,Quoi ad ta geddyn yn vondeish smoo ayns lhaih Goo Yee.,,
"And in reading of God’s word, he not always most profiteth, that is most ready in turning of the book, or in saying of it without the book; but he that is most turned into it; that is most inspired with the Holy Ghost; most in his heart and life altered and changed into that thing which he readeth; he that is daily less and less proud, less wrathful, less covetous, and less desirous of worldly and vain pleasures; he that daily, forsaking his old vicious life, increaseth in virtue more and more.","     Ayns lhaih Goo Yee, cha vel eshyn dy kinjagh geddyn yn vondeish smoo, s’mennic ta chyndaa duillagyn y lioar, ny loayrt jeh veih cooinaghtyn, agh eshyn smoo ta gennaghtyn y phooar vreeoil echey er e chree, smoo fo leeileilys y Spyrryd Noo, as smoo er ny caghlaa cheu-sthie as cheu-mooie gys shen ny t’eh lhaih; eshyn ta gagh-laa ny s’imlee, ny s’meen, ny s’giastyllee, as ny ’seyre veih graih jeh eunyssyn seihltagh as fardailagh; eshyn ta gagh-laa coyrt cooyl rish e henn cliaghtaghyn peccoil, as goll er e hoshiaght ny smoo as ny smoo ayns craueeaght bea.",,
What incommodities the ignorance of God’s word bringeth.,,,
"And to be short, there is nothing that more maintaineth godliness of the mind, and driveth away ungodliness, than doth the continual reading or hearing of God’s word, if it be joined with a godly mind, and a good affection to know and follow God’s will.","     As, ayns fockle, cha vel nhee erbee ta ny smoo cummal seose craueeaght ayns yn aigney, as geiyrt ersooyl mee-chraueeaght, na lhaih as clashtyn Goo Yee, my ta aigney crauee as yeearree jeean dy hoiggal as dy yannoo aigney Yee goll marish.",,
"For without a single eye, pure intent and good mind, nothing is allowed for good before God. And on the other side, nothing more darkeneth Christ and the glory of God, nor bringeth in more blindness and all kinds of vices, than doth the ignorance of God’s Word. Isa. v. Matt. xxii. 1 Cor. xiv.","Son fegooish sooill gyn foill,[4] carail casherick, as aigney glen, cha vel veg coontit mie ayns shilley Yee. As, er y cheu elley, cha vel nhee erbee ta oyr smoo jeh mee-hushtey jeh Creest as jeh gloyr Yee, ny coyrt lesh dellid smoo as dy chooilley cheint dy vee-chraueeaght, na mee-hushtey jeh Goo Yee. (Is. v. 13: Mian xxii.29; 1 Cor. xiv.)",,[4] foill] text fooill
THE SECOND PART OF THE SERMON OF THE KNOWLEDGE OF HOLY SCRIPTURE.,Yn nah ayrn jeh’n Sharmane mychione tushtey jeh ny Scriptyryn Casherick.,,
1,,,
PART. 2,,,
"In the first part of this sermon, which exhorteth to the knowledge of Holy Scripture, was declared wherefore the knowledge of the same is necessary and profitable to all men; and that by the true knowledge and understanding of Scripture, the most necessary points of our duty towards God and our neighbours are also known.","Ayns y chied ayrn jeh’n Sharmane shoh, ta coyrlaghey dy gheddyn tushtey jeh ny Scriptyryn Casherick, ve inshit cre hon va’n tushtey shen ymmyrchagh as vondelishagh da dy chooilley ghooinney, as liorish toiggal fondagh jeh ny Scriptyryn ta tushtey s’ymmyrchee jeh nyn gurrym gys Jee as nyn naboonyn myrgeddin er ny chosney.",,
Now as concerning the same matter you shall hear what followeth.,Nish mychione y chooish cheddin nee shiu clashtyn ny sodjey.,,
God’s word excelleth all sciences.,Ta Goo Yee erskyn dy chooilley ynsagh elley.,,
"If we profess Christ, why be we not ashamed to be ignorant in his doctrine, seeing that every man is ashamed to be ignorant in that learning which he professeth?","     My ta shin goaill-rish Creest, cre hon nagh vel shin goaill nearey dy ve mee-hushtagh jeh e ynsagh, fakin dy vel dy chooilley ghooinney neayragh dy ve gyn tushtey ’syn ynsagh shen t’eh goaill rish?","     My ta shin goaill-rish Creest, cre hon nagh vel shin goaill nearey dy ve mee-hushtagh jeh e ynsagh, fakin dy vel dy chooilley ghooinney neyragh dy ve gyn tushtey ’syn ynsagh shen t’eh goaill rish?",
"That man is ashamed to be called a Philosopher which readeth not the books of philosophy; and to be called a Lawyer, an Astronomer, or a Physician, that is ignorant in the books of law, astronomy, and physic.","Ta’n dooinney shen goaill neayrey dy ve enmyssit fer-ynsagh, nagh vel lhaih lioaryn dy ynsagh; as dy ve enmyssit ny leighder, astronomer, ny fer-lhee ta mee-hushtagh jeh ny lioaryn dy leigh, astronomy, as medshin.",,
"How can any man, then, say that he professeth Christ and his religion, if he will not apply himself, as far forth as he can or may conveniently, to read and hear, and so to know, the books of Christ’s Gospel and doctrine?","Kys eisht oddys dooinney gra dy vel eh goaill-rish Creest as e ynsagh, mannagh jean eh streeu (choud as ta caa echey) dy lhaih as dy chlashtyn, as myr shen dy gheddyn tushtey jeh lioaryn Sushtal Chreest as e ynsagh?",,
"Although other sciences be good, and to be learned, yet no man can deny but this is the chief, and passeth all other incomparably. What excuse shall we therefore make at the last day, before Christ, that delight to read or hear men’s fantasies and inventions, more than his most holy Gospel?","Ga dy vel ynsagh elley mie, ny-yeih cha vod dooinney erbee gobbal nagh nee shoh yn ard-ynsagh, as foddey s’costal na ynsagh erbee elley. Cre’n leshtal eisht oddys mayd coyrt stiagh ec y laa jerrinagh fenish Chreest, my ta shin goaill taitnys smoo dy lhaih as dy chlashtyn skeeallyn fardailagh deiney, na e hushtal smoo casherick;","Ga dy vel ynsagh elley mie, ny-yeih cha vod dooinney erbee gobbal nagh nee shoh yn ard-ynsagh, as foddey s’costal na ynsagh erbee elley. Cre’n leshtal eisht oddys mayd coyrt stiagh ec y laa jerrinah fenish Chreest, my ta shin goaill taitnys smoo dy lhaih as dy chlashtyn skeeallyn fardailagh deiney, na e hushtal smoo casherick;",
"and will find no time to do that, which chiefly, above all things, we should do; and will rather read other things than that, for the which we ought rather to leave reading of all other things?",as mannagh jean mayd traa y gheddyn dy yannoo shen lhisagh shin erskyn dy chooilley nhee y yannoo; as my ta shin ny s’aggindee dy lhaih reddyn elley na shen er y hon lhisagh shin ve aarloo dy chur seose dy chooilley ynsagh elley?,,
"Let us therefore apply ourselves, as far forth as we can have time and leisure, to know God’s word, by diligent hearing and reading thereof, as many as profess God and have faith in him.","Lhig dooin eisht tastey y choyrt, choud’s ta traa as caa ain dy hoiggal Goo Yee, liorish dy charailagh clashtyn as lhaih eh, whilleen j’in as ta goaill-rish Jee, as ta credjue as treishteil ain aynsyn.",,
Vain excuses dissuading from the knowledge of God’s word.,Leshtallyn fardailagh ta lhiettal veih tushtey Goo Yee.,,
"But they that have no good affection to God’s word, to colour this their fault, allege commonly two vain and feigned excuses.","Agh t’adsyn nagh vel veg y ghraih oc er Goo Yee, dy choodaghey yn foill oc, dy mennic coyrt stiagh daa leshtal fardailagh.",,
The first.,Yn chied leshtal.,,
"Some go about to excuse them by their own frailness and fearfulness, saying, that they dare not read Holy Scripture, lest through their ignorance they should fall into any error.","Ta paart goaill ayns laue dy yannoo leshtal er nyn son liorish coyrt stiagh nyn annooinid as aggle, gra nagh bhloys daue lhaih ny Scriptyryn Casherick, er-aggle, trooid nyn almoraght, yinnagh ad tuittym ayns marranys ennagh.",,
The second.,Yn nah leshtal.,,
"Others pretend that the difficulty to understand it, and the hardness thereof, is so great, that it is meet to be read only of Clerks and learned men.","Ta feallagh elley lhiggey orroo dy vel yn dooilleeys dy hoiggal ny Scriptyryn wheesh shen dy vel ad cooie dy ve’r nyn lhaih ynrican liorish saggyrtyn, as deiney ard-ynsit.",,
"How most commodiously, and without all peril the Holy Scripture is to be read",Cre’n aght oddys ny Scriptyryn Casherick v’er ny lhaih lesh ny smoo dy vondeish as ny sloo dy gaue.,,
"As touching the first: ignorance of God’s word is the cause of all error; as Christ himself affirmed to the Sadducees, saying that they erred, because they knew not the Scripture. Matt. xxii.","     Mychione y chied leshtal: Ta mee-hushtey jeh Goo Yee oyr jeh dy chooilley shaghrynys, myr dooyrt Creest hene rish ny Sadduceeyn, gra dy row ad fo marranys er-yn-oyr nagh row ad toiggal ny Scriptyryn. (Mian xxii. 29.)",,
"How should they then eschew error, that will be still ignorant?",Cre’n aght eisht oddys adsyn shaghrynys y haghney ta tannaghtyn ayns mee-hushtey jeh nyn yione?,,
"And how should they come out of ignorance, that will not read nor hear that thing which should give them knowledge?",As kys oddys adsyn choyrt cooyll rish mee-hushtey nagh jean lhaih ny clashtyn shen lhisagh tushtey y choyrt daue?,,
"He that now hath most knowledge, was at the first ignorant, yet he forbare not to read, for fear he should fall into error; but he diligently read lest he should remain in ignorance, and, through ignorance, in error.","Eshyn ta nish yn tushtey smoo echey, v’eh ec y toshiaght mee-hushtagh: ny-yeih cha dob eh dy lhaih, er-aggle dy jinnagh eh tuittym ayns marranys; agh ren eh lhaih dy tastagh, er-aggle dy jinnagh eh tannaghtyn ayns mee-hushtey, as trooid mee-hushtey dy beagh eh fo marranys.",,
"And if you will not know the truth of God –a thing most necessary for you– lest you fall into error, by the same reason you may then lie still, and never go, lest, if you go, you fall into the mire; nor eat any good meat, lest you take a surfeit; nor sow your corn, nor labour in your occupation, nor use your merchandise, for fear you lose your seed, your labour, your stock; and so, by that reason, it should be best for you to live idly, and never to take in hand to do any manner of good thing, lest peradventure some evil thing may chance thereof.","As mannagh jean shiu shirrey lurg yn irriney ta Jee er hoilshaghey, (yn chooish s’ymmyrchee diu dy hoiggal,) er-aggle dy jean shiu tuittym fo marranys; son-yn-oyr cheddin foddee shiu cummal dy feagh, as gyn dy bragh gleashagh, er-aggle, liorish shooyl, dy duittagh shiu ayns y laagh; ny gee beaghey erbee follan, er-aggle dy bee eh skeeagh diu; ny cuirr rass, ny gobbraghey ayns y cheird eu, ny geiyrt er marchantys, er-aggle dy galliagh shiu nyn rass, nyn obbyr, as nyn gooid; as myr shen, son-yn-oyr cheddin, veagh eh ny share diu ve lhiastey, as gyn dy bragh goaill ayns laue dy yannoo nhee erbee mie, er-aggle, liorish taghyrt, dy jig red ennagh olk gy’ kione.",,
"And if you be afraid to fall into error by reading of Holy Scripture I shall shew you how you may read[5] without danger of error. Read it humbly, with a meek and a lowly heart, to the intent you may glorify God, and not yourself, with the knowledge of it: and read it not without daily praying to God, that he would direct your reading to good effect; and take upon you to expound it no further than you can plainly understand it: for as St. Augustine saith, the knowledge of Holy Scripture is a great, large and a high place,[6] but the door is very low, so that the high and arrogant man cannot run in, but he must stoop low and humble himself, that shall enter into it.","As my ta shiu ayns aggle jeh tuittym fo marranys liorish lhaih ny Scriptyryn Casherick, soilshee-ym diu cre’n aght oddys shiu lhaih fegooish gaue erbee jeh shaghrynys: lhaih-jee dy imlee, lesh cree meen as injil, dy vod shiu Jee y ghloyraghey, as cha nee shiu hene, liorish yn tushtey eu; as ny lhaih-jee eh fegooish padjer gagh-laa gys Jee dy jinnagh eh bannaghey yn lhaih eu; as ny gow-jee erriu dy choyrt bun er ny sodjey na ta shiu dy slane toiggal eh: son, myr ta Augustin gra, ta tushtey jeh ny Scriptyryn Casherick ynnyd mooar, lhean, as ard: agh ta’n dorrys feer injil, myr shen nagh vod yn dooinney moyrnagh as ard-chreeagh goll stiagh: agh shegin dasyn ta aggindagh goll stiagh, crommey as ginjillaghey eh-hene.",,"[5] read 1810] 1817 read it
[6] Most editions have place here (= Manx ynnyd) not palace, as Thomson read."
"Presumption and arrogancy is the mother of all error; and humility needeth to fear no error. For humility will only search to know the truth: it will search, and will bring together one place with another; and where it cannot find out the meaning, it will pray, it will ask of others that know, and will not presumptuously and rashly define any thing which it knoweth not.","Voish daanys as moyrn ta dy chooilley shaghrynys cheet; as cha lhiass da injillid-aigney ve ayns aggle dy huittim fo marranys; son nee injillid-aigney shirrey ynrican dy gheddyn magh yn irriney; nee eh shirrey, as soyllaghey un ayrn rish ayrn elley; as raad nagh vod eh gheddyn magh yn bun as bree, nee eh padjer y ghoaill: nee eh briaght jeusyn ta toiggal, as cha jean eh dy daaney as dy siyragh fockley magh nhee erbee nagh vel eh toiggal:",,
"Therefore the humble man may search any truth boldly in the Scripture, without any danger of error. And if he be ignorant, he ought the more to read and to search Holy Scripture, to bring him out of ignorance. ","shen-y-fa foddee yn dooinney imlee ronsaghey magh firrinys erbee ayns ny Scriptyryn Casherick fegooish gaue erbee jeh marranys; as my t’eh mee-hushtagh, lhisagh eh tastey smoo y choyrt da ny Scriptyryn Casherick dy ghoaill ersooyl e vee-hushtey. ",,
"I say not nay, but a man may profit with only hearing; but he may much more profit with both hearing and reading.","Cha vel mee gra, nagh vod dooinney vondeish y gheddyn liorish clashtyn ny-lomarcan; agh foddee eh vondeish foddey smoo y gheddyn liorish chammah clashtyn as lhaih.",,
"This have I said as touching the fear to read, through ignorance of the person.",Shoh ta mee er loayrt mychione yn aggle trooid y vee-hushtey echeysyn ta lhaih.,,
"Scripture in some places is easy, and in some places hard to be understood.","Ta’n Scriptyr ayns ayrnyn aashagh dy v’er nyn doiggal,[7] as doilley ayns ayrnyn elley.",,"[7] er nyn doiggal] plural, as if the sentence had started with ny Scriptyryn (as it does in the main text)."
"God leaveth no man untaught, that hath good will to know his word.",Cha vel Jee fagail dooinney erbee fegooish ynsagh ta aggindagh dy ve ynsit ayns e Ghoo.,,
How the knowledge of the Scripture may be attained unto.,Cre’n aght oddys mayd cosney tushtey ny Scriptyryn Casherick.,,
A good rule for the under-standing of Scripture.,,,
No man is excepted from the knowledge of God’s word.,Cha vel chied ec dooinney erbee dy hannaghtyn ayns meehushtey jeh Goo YEE.,,
