Speaker,Manx,English,SubStart,SubEnd,Notes
WR,Fuirree derrey vees yn arragh ayn.  As eisht ...,Wait until the spring is here. And then ...,77,80,
JK,Ta.,Yes.,79.5,80.5,
WR,"... bee eh cooie, cooie goll magh.","...it will be suitable, suitable to go out.",79,82,
JK,"Oh bee, bee yn earish couyral.","Oh the weather will, will get better.",82,86,
WR,"Bee, ta shin treishteil bee, ansherbee.","Yes, we hope it will, anyway.",86,89,
JK,"Eisht ta'n kay as, yn grian geddyn ny ...","Then the mist and, the sun gets ...",89,96,
WR,Ny stroshey.,Stronger.,96,97.5,
JK,"Ny stroshey ghooinney, as ...","Stronger man, and ...",97.5,100,
,,,,,
DF,She. Ta ram geay ayns ny sleityn jiu.,Yes. There is a lot of wind in the mountains today.,113,120,
JK,Ram geay?,A lot of wind?,120,121.5,
DF,"Oh va, geay ass cooinsheanse.","Oh yes, extreme wind. (Lit. out of conscience)",121.7,125,
JK,Dy jarroo ghooinney?,Indeed man?,124.5,126,
DF,Ta.,Yes.,126,127,
JK,Troggal oo jeh'n thalloo bunnys.,Lifting you off the ground nearly.,127,129.8,
DF,Jeh'n thalloo bunnys.,Off the earth nearly.,129.5,131.2,
JK,Dy jarroo?,Indeed?,131,131.8,
DF,Va mee bunnys ayns Sostyn! Ta. Agh cha row monney fliaghey jeant riyr edyr.,I was nearly in England! Yes. But there wasn't much rain done last night at all.,131,137.6,
JK,"Cha row, cha row.","No, no.",137.5,138.7,
DF,Cha row monney.,Not much.,138.7,140,
JK,Va geay lajer my ta ayn.,There was a strong wind though.,139.5,141.1,
DF,Oh va? Va.,Oh was there? Yes.,141,143,
JK,Ta mee shein ta'n geay ny stroshey ayns Balley Laghey ny boayl erbee elley.,I suppose the wind is stronger in Ballaugh than anywhere else.,144.5,152.7,
DF,Vel eh?,Is it?,152.7,153.5,
JK,Ta.,Yes.,153.4,154,
DF,Oh foddee dy vel.,Oh maybe so.,154.1,156,
WR,"Cha nel eh cha olk ayns shoh. Ta, ta, ta fastee braew ayn ayns shoh t'ou toiggal.",It's not as bad here. There's good shelter here you understand. ,156,160.5,
JK,"Ta, ta.","Yes, yes.",160,161,
WR,"Ta, ta.","Yes, yes.",161,162.5,
JK,"V'ad ginsh dom aght erbee ta, ta Balley Laghey yn boayl, feer olk son geay.","They were telling me anyway that, that Ballaugh is the place, very bad for wind. ",162.5,170.4,JK regularly says 'dom' instead standard Manx dou. Cf. Irish dom.
DF,Vel eh?,Is it?,170.2,172,
WR,Oh as ta mee credjal dy vel Jurby ny smessey.,Oh and I believe that Jurby is worse.,172,175,
JK,"Cha's aym, cha's aym er shen.  Balley Laghey t'ad gra ny smelley.","I don't know, I don't know about that. Ballaugh they say is worse.",175,180,"Note smelley 'slowest' is often confused with smessey 'worst', probably due to moal acquiring the general meaning of 'bad, poor, rubbish'."
WR,Vel?,Do they?,180,181,
JK,Ta.,Yes.,180.5,182,
,,,,,
DF,Ta ram saaghyn ayns baie Rhumsaa y laa jiu.,There are lots of boats in Ramsey bay today.,189,192.5,The plural of saagh in Classical Manx would be siyn.
JK,C'red t'ayn?,What is there?,192,193.5,
DF,"Ta, ta ram saaghyn, ram saagh, ayns baie Rhumsaa ...","There are, there are lots of boats, lots of boat, in Ramsey bay ...",193.3,199,
JK,Vel?,Are there?,198,199,
DF,"... goaill, goaill fastee.","... taking, taking shelter.",199,200,
JK,Oh dy jarroo ghooinney?,Oh indeed man?,200,201.6,
DF,"Ta, ram jeu. T'ad ceau ny laghyn piandagh ny lhie ayns baie Rhumsaa.","Yes, lots of them. They spend the painful days lying in Ramsey bay.",201.5,209,
JK,Ta.,Yes.,209,209.7,
DF,"Shen t'ad gra, v'ad gra ayns ny shenn laghyn, shenn arrane.","That's what they say, what they were saying in the old days, old song.",209.6,214,
WR,As va'n purt lane jeu er y Nollick.,And the harbour was full of them at Christmas.,215,218,
JK,Yn vaie!,The bay!,218,220,
WR,Yn baie as y purt neesht.,The bay and the harbour too.,220,222,
JK,"Oh dy jarroo? As y purt, vel ad cheet stiagh?","Oh indeed? And the harbour, are they coming in?",222,226,
WR,Ta. Oh va mysh dussan jeu ayns shen.,Yes. Oh there were about a dozen of them there.,226,229.6,
JK,Dy jarroo?,Indeed?,229.5,232,
WR,Ta. Hmm. Jeh dy chooilley horch.,Yes. Hmm. Of every sort.,231,234,
JK,Dy chooilley sorch jeh ad.,Every sort of them.,234,236,
WR,She.,Yes.,235.5,237,
JK,Vel ad feallee eeastagh s'ayd?,Are they fisher folk do you know?,237,239.6,
WR,"Oh va feallee, g... ta geeastagh, as feallee elley ta, ta goaill y stoo ersooyl dys Sostyn.  Joarreeyn, ram jeu ayns shen.","Oh there were folk, that fish, and other folk that, that take the stuff away to England. Strangers, lots of them.",240,250.6,
JK,Oh dy jarroo?,Oh indeed?,250.5,251.5,
WR,Ta.,Yes.,251.7,253,
JK,"Shegin dy bee yn earish olk, ayns, ayns y keayn.","The weather must be bad, in, in the sea.",253,257.6,
WR,"Oh, ayns dy chooilley voayl.","Oh, everywhere.",257.5,261,
JK,Ta.,Yes.,261,262,
DF,Ta.,Yes.,262,262.6,
WR,"Ayns Sostyn, as Nalbin as Nerin as dy chooilley boayl elley.","In England, and Scotland and Ireland and everywhere else.",262.5,267.6,
JK,Mygeayrt.,Around.,267.6,269,
WR,Dy chooilley boayl mygeayrt. Yn un red ooilley trooid ny cheeraghyn.,Everywhere around. The same thing through the countries.,269,275,
JK,Oh dy jarroo ghooinney? Cha row eh ayns Mannin ny lomarcan edyr.,Oh indeed man? It wasn't in Mann only at all.,275,280.8,
WR,"Oh cha nel, t'eh, ayns dy chooilley voayl.","Oh no, it's, everywhere.",280.3,283.6,
JK,Ta.,Yes.,283.3,285,
WR,"Shen yn aght t'eh, myr, ec, ec traa ny Nollick.","That's the way it is, as, at, at Christmas time.",289,293.5,
JK,Traa y Nollick.,Christmas time.,293.4,294.6,
DF,Oh she. Agh ...,Oh yes. But ...,294.5,296.7,
WR,"Cha bee mayd foddey nish derrey vees yn vlein noa ayn as foddee bee yn, bee yn earish caghlaa.",We won't be long now until the new year is here and maybe the weather will be changing.,296.5,302,
JK,"Foddee, foddee bee eh chyndaa. Ah well feer vie. T'eh, t'eh ooilley laccalit. Nagh vel?","Maybe, maybe it will be turning. Ah well very good. It's, it's all wanted. Is it not?",302,318,
JK,...in order now?,... in order now?,317.3,318.5,
WR,I'll give you a little sign.,I'll give you a little sign.,318.3,319.7,
JK,"Aye, aye, ah well, don't be in no hurry, ah.","Aye, aye, ah well, don't be in no hurry, ah.",319.5,323,
WR,"T'eh kiart nish, t'eh aarloo as t'eh goll.","It's right now, it's ready and it's going.",325,327.2,
JK,Well va mee ruggit ayns Skyll Andreays.  Ayns Skylley Creest dy jarroo.,Well I was born in Kirk Andreas. In Kirk Christ indeed.,329,336,
WR,Cre'n boayl v'ou ruggit ayn?,What place were you born in?,338,340,
JK,As ...,And ...,338.5,339.5,
JK,Ayns Skylley Creest.,In Kirk Christ.,340.3,341.6,
WR,Ayns Skylley Creest?,In Kirk Christ?,341.5,343,
JK,"She.  As eisht ren ad cur lesh shin dys Skyll Andreays, as ren mee baghey red gollrish shey blein ayns Skyll Andreays as eisht ren shin goll dys Jurby.  As, yn traa va mee, well red gollrish annan-jeig, ny red ennagh myr shen, ren mee goll son, son dy gynsagh my keird, son gaaue.  As, err, as va mee gobbyr as gaaue son, oh, red gollrish three feed blein, dy licklee.  Ooilley my laghyn. As va shen ayns, ayns Jurby. As eisht nish ta mee er, er goaill my aash, as ta mee baghey ayns Balley Laghey ayns ny Curraghyn.","Yes. And then they brought us to Kirk Andreas, and I lived something like six years in Kirk Andreas and then we went to Jurby. And, the time I was, well something like eleven, or something like that, I went for to, for to learn my trade, for a smith. And, err, and I was working as a smith form oh, something like sixty years, probably. ALl my days. And that was in, in Jurby. And then now I have, have taken my ease, and I am living in Ballaugh in the Curraghs.",342.6,423,
WR,Vel oo foddey ayns ny Curraghyn?,Are you long in the Curraghs?,423,425,
JK,Ta.,Yes.,425,426,
DF,Hmm.,Hmm.,426,427,
JK,Shen ta mee baghey nish.,That's where I live now.,427,429,
DF,Uh hmm.,Uh hmm.,428.7,430,
WR,Vel oo er ve ayns shen son foddey?,Have you been there for long?,430,432.5,
JK,"Oh ta mee ayns shen nish, nane-jeig blein.","Oh I'm there now, eleven years.",433,441.5,
WR,Nane-jeig?,Eleven?,441.4,442.5,
JK,Nane-jeig blein.,Eleven years.,442.5,443.9,
WR,Oh dy jarroo.,Oh indeed.,443.9,446,
JK,Shen va mee.,That I was.,446,447,
WR,"As v'ou ec, v'ou ec y Laane gobbyr neesht.","And you were at, you were at the Lhen working too.",447,450,
JK,"Oh va, oh va mee, va mee geirinagh er y, er y, er y glion vooar.","Oh yes, oh I was, I was farming on the, on the, on the big glen (Sulby Glen).",450,455.7,
WR,Oh v'ou geirinagh ayns shen?,Oh you were farming there?,455.7,457.3,
JK,"Va mee geirinagh, va. Cha row mee, cha row mee ...","I was farming, yes. I wasn't, I wasn't ...",457,460.5,
WR,As jannoo obbyr gaaue neesht?,And doing smith work too?,459,461,
JK,"Cha row mish geirinagh edyr, va'n guillyn.","I wasn't farming at all, the boys were.",460.5,463,
WR,Oh ny guillyn?,Oh the boys?,463,464,
JK,She.  Va'n three guillyn.,Yes. The three boys were.,464,468,
WR,As v'ou gobbyr yn mwyllin ayns shen neesht.,And you were working the mill there too.,467.5,470,
JK,"As, va nane jeh ad gobbyr yn mwyllin. As va mish, freayll yn caardee goll mee hene.","And, one of them was working the mill. And I was, keeping the smithy going myself.",470,479,
WR,Oh v'ou freayll yn caardee.,Oh you were keeping the smithy.,479,480.5,
JK,"Ta. As eisht ren shin cheet back ren shin cheet dys Jurby reesht. As ren shin cheet voish Jurby dys Balley Laghey.  As dy licklee, nee mee cur my laghyn stiagh ayns Balley Laghey neesht.","Yes. And then we came back we came to Jurby again. And we came from Jurby to Ballaugh. And probably, I'll put my days in in Ballaugh too.",480.4,504.2,
WR,"Cur my ... ta, foddee, foddee.","Put my ... yes, maybe, maybe.",504,506.5,
JK,"Son ta mee kiare feed, as hoght-jeig.",For I am ninety-eight.,506.3,516,
WR,Nish?,Now?,516,516.7,
JK,Nish.,Now.,516.5,517.5,
DF,She.,Yes.,517.3,518,
WR,Oh cha nel oo feer foddey veih'n keead nish.,Oh you're not very far from the hundred now.,518,521,
JK,"Cha nel feer foddey jeh'n keead, ta mee shein nee mee ?hayrtyn? yn keead, my ta.","I'm not very far from the hundred, I suppose that I will ?catch? the hundred, so I will.",521.2,525.6,
WR,"Oh bee, bee, bee my vees oo goll gollrish nish bee oo kiart son yn keead ghooinney.","Oh yes, yes, if you will be going like now you'll be right enough for the hundred man.",525,530.5,
JK,Ta mee shein nee mee ?hayrtyn? yn keead son ta mee lajer foast goll.,I suppose I'll ?catch? the hundred because I am still going strong.,530.4,535.6,
WR,"Oh lajer foast, she. Cha nel monney feallee gollrish oo hene mygeayrt, noadyr.","Oh still strong, yes. There aren't many folks like you around, not at all.",535.4,542.3,
JK,"Cha nel, t'ad ooilley marroo ghooinney. Feallee va goll mygeayrt marym ayns y laghyn aeg, cha nel nane jeh ad bio.","No, they are all dead man. Folks that were going around with me the young days, not one of them is alive.",542.3,550.5,
WR,Nagh vel?,Are they not?,550.1,552,
JK,"Cha nel, cha nel nane nish ta mee enn er, yn traa va mee aeg, goll mygeayrt.","No, there isn't one now I know, the time I was young, going around.",551.2,559,
WR,Ooilley ersooyl.,All gone.,559,559.8,
JK,T'ad ooilley ersooyl.,They are all gone.,559.8,562,
WR,T'ou y fer s'jerree jeu ooilley.,You are the last of them all.,564,566,
JK,"Well shen yn aght ghooinney, shen yn aght.","Well that's the way man, that's the way.",570,574,
,,,,,
JK,"Cha nel shin ooilley geddyn yn un traa dy bee er, ayns y seihll shoh, nagh vel?","We don't all get the same time to be on, in this world, don't we?",580,585.7,
WR,"Oh cha nel, cha nel shin ooilley cheet ec yn un traa as cha bee mayd ooilley goll ec yn un traa.","Oh no, we don't all come at the same time and we won't all be going at the same time.",585.3,591.5,
JK,"Cha nel, cha nel edyr.","No, not at all.",591.3,594,
,,,,,
WC,"Row shiu ec yn schoill ec Skyll Andreays, tra va shiu aeg?","Were you at school at Kirk Andreas, when you were young?",599.5,604,
JK,"Oh cha row mee ayns Skyll Andreays edyr, well va mee rey lesh yn feallee elley, ny shinney, va mee aeg, cha row mee agh shey blein ren mee cheet voish Skyll Andreays dys Jurby.","Oh I wasn't in Kirk Andreas at all, well I was done with the other folks, older, I was young, I was only six years when I came from Kirk Andreas to Jurby.",604,623,
WR,As row oo goll dy schoill ayns Jurby?,And were you going to school in Jurby?,623,625.5,
JK,"Va. Va mee goll dy schoill dys, dys yn sheear Jurby, dys shenn dooinney v'ad gra Dan y Craader/Quaker, Dan Caley.","Yes. I was going to school to, to the West Jurby, to an old man they were calling Dan the shaker/Quaker, Dan Caley.",625.5,647,
WR,Oh dy jarroo?,Oh indeed?,647,648.5,
,"Va, as va daa cassey club er.","Yes, and he had two club feet.",648.5,653,
WR,Daa chass club echey?,He had two club feet?,653,654.5,
JK,"Va.  As v'eh soie ayns, ayns, ta mee fakin eh foast, v'ou smooinaghtyn, v'eh soie ayns stoyll-dreeym mooar as kip echey.","Yes. And he was sitting in, in, I see him still, you were thinking, he was sitting in a big chair and he had a whip.",654,669.5,
WR,Kip dy jarroo!,A whip indeed!,669.5,671,
JK,"As fer nagh row jannoo cairagh, v'eh cur yn kip er eh.","And a fellow who wasn't doing right, he was putting the whip on him.",671,676,
WR,Freayll rick orroo gollrish shen.,Keeping them in order like that.,678,679.5,
JK,"Shen v'eh, shen va'n, v'eh cur smaght er, lesh yn kip.","That's what he was, that's what the, he was disciplining, with the whip.",679.5,685.8,
WR,Yn kip! Ta.,The whip! Yes.,685.8,688,
JK,Cha row mee agh stuggey y traa shen ...,I was only a lad at that time ...,689.2,693,
WR,Ta.,Yes.,693,693.8,
JK,"... but va'n feallee mooar ayn va jannoo dy chooilley sorch dy gamman jeh eh. V'ad ny cheayrtyn jeigh yn dorrys er eh, tra v'eh goll magh, as v'ad jeigh eh magh, as v'ad ooilley geam, 'ta shin laccal laa jeh, laa jeh, mannagh jean oo cur dooin laa jeh cha jean oo geddyn stiagh' v'ad gra.","... but there were the big folks who were doing every kind of game of him. They were sometimes shutting the door on him, when he was going out, and they were shutting him out, and they were all calling, 'we want a day off, if you don't give us a day off you won't get in' they were saying.",693.5,723,
WR,She.,Yes.,723,724,
JK,"But, mygeayrt yn traa shen, ren ad jannoo schoill noa ayns Jurby.","But, about that time, they made a new school in Jurby.",728,734.5,
WR,Oh ren?,Oh did they?,734.2,736,
JK,As eisht va'n shenn deiney ooilley goll dy goll dys aash.,And then all the old men were going to go to ease. (retire?),737,744,
WR,As ren oo goll dys yn schoill noa oo hene?,And did you go to the new school yourself?,744,747,
JK,"Ren. Ren mee goll dys y schoill. Va mainshter ayn v'ad gra, c'red v'ad gra?, 'Wallers'. Ta, v'eh dooinney lesh un, un cass echey.","Yes. I went to the school. There was a master they were calling, what were they saying, 'Wallers'. Yes, he was a man with one, one leg.",747,763,
WR,Un cass.,One leg.,763,763.9,
JK,"Ta, as cha ren eh shen feer, cha ren eh fuirraght feer foddey ayn my row fer elley cheet.","Yes, and he didn't do that very, he didn't stay very long there before another fellow was coming.",764,777,
WR,Quoi va'n fer elley ren cheet?,Who was the other fellow who came?,778,780,
JK,"Oh va'n fer elley va, v'eh Sostnagh neesht.","Oh the other fellow was, he was an Englishman too.",780,786,
WR,She?,Yes?,786,788,
JK,"C'red va'n ennym echey? Cha nel mee toiggal, t'eh jarroodit aym.","What was his name? I can't understand (sic. = remember), I have forgotten.",788,797.5,Yn Gaaue always used toiggal to mean 'remember' rather than its usual meaning of 'understand'.
WR,"Jarroodit, vel?","Forgotten, is it?",797.5,799,
,,,,,
WR,"As cre'n eash v'ou, tra ren oo faagail yn schoill?","And how old were you, when you left the school?",804,807.5,
JK,"Oh mygeayrt, mygeayrt, jeih blein dy licklee.  Cha row mee laikal goll dy schoill edyr.","Oh about, about, ten years probably. I wasn't liking going to school at all.",807.5,816.8,
WC,Ha ha ha.,Ha ha ha.,816.5,818,
JK,"Va mee g..., va mee goll, jannoo red va'n shenn sleih gra cloie truant.","I was g..., I was going, doing what the old people were saying playing truant.",818,825,
WR,"She, cloie truant.","Yes, playing truant.",825,827,
JK,"As ren my jishig cur orrym cheet dys y caardee marish, yn aght bee eh abyl smaghtey mee.","And my dad made me come to the smithy with him, that way he will (sic. = would) be able to control me.",827,835,
WR,"She, ta mee toiggal, she.","Yes, I understand, yes.",835,838,
JK,"?Ooilley my laghyn? va mee goll mygeayrt yn, sheidey yn bollaghyn as, as glenney yn caardee as cur yn reddyn v'ad gobbyr lesh, ayns yn boaylyn cair, jannoo reddyn myr shen.","?All my days? I was going about the, blowing the bellows and, and cleaning the smithy and putting the things they were working with, in the right places, doing things like that.",837,853,
WR,Freayll rick er y caardee.,Keeping the smithy in order.,853,855,
JK,Va.  As va'n jishig aym dooinney keoie my ta.,Yes. And my dad was a wild man so he is.,854.5,860.8,
WR,Vel eh?,Is he?,860.6,861.4,
JK,"Oh va, v'eh dooinney keoie, v'eh cur y madjey er y dreeym aym.","Oh yes, he was a wild man, he was putting the stick on my back.",861.3,865,
WR,Row eh?,Was he?,865,866,
WC,As quoid va shiu geddyn ec y traa shen?,And how much were you getting at that time?,869,871.3,
JK,Huh?,Huh?,871.3,872,
WC,Quoid va shiu geddyn ec y traa shen?,How much were you getting at that time?,872,874,
JK,"Shen, c'red va mee geddyn?","That, what was I getting?",874,875.5,
WC,Ta.,Yes.,875.5,876.2,
JK,Cha row mee geddyn veg ...,I wasn't getting anything ...,876,877.5,
WC,Nagh row?,Weren't you?,877.2,878,
JK,... as my vee.,... but my food.,878,879.6,
WC,Dy jarroo ghooinney?,Indeed man?,879.6,880.5,
JK,"Well, va mee geddyn eaddagh, son va my jishig yn dooinney va freayll yn caardee goll.","Well, I was getting clothes, because my dad was the man who was keeping the smithy going.",880.5,888,
WC,Oh cha row argid ayd eisht?,Oh you didn't have money then?,890,892,
JK,Huh?,Huh?,892,892.5,
WC,"Cha row, cha row argid.","No, no money.",892.5,894.2,
JK,"Cha row argid erbee goll, cha row yn feallee va gynsagh yn keird, yn traa shen ghooinney, cha row veg, cha row ad geddyn veg.","There wasn't any money going, the people who were learning the trade, at that time man, not anything, they weren't getting anything.",894,904.5,
WC,Dy jarroo.,Indeed.,903.5,905.5,
DF,Row monney gaaueyn mygeayrt?,Were many smiths about?,905,908,
JK,Huh?,Huh?,908,908.5,
DF,Row monney gaaueyn mygeayrt ec y traa shen?,Were many smiths about at that time?,908.5,911,
JK,Guillyn?,Boys?,911,911.7,
DF,Gaaueyn.,Smiths.,911.5,912.6,
JK,Gaaueyn?,Smiths?,912.2,913.4,
DF,Va. Row monney mygeayrt y twoaie?,Yes. Were many about on the north?,913.4,916,
JK,"Oh, er y twoaie ayns shoh. Red ennagh gollrish jeih as feed dy licklee jeh ad.","Oh, on the north here. Something like thirty of them probably.",916,922.5,
DF,Dy jarroo ghooinney!,Indeed man!,922.5,923.5,
JK,Boaylyn caardee.,Smithy places.,923.5,925,
DF,Hmm va ram jeu ayn.,Hmm there were lots of them.,924,926,
JK,Va.,Yes.,926.2,927,
DF,Va.,Yes.,927.5,928.5,
JK,"As v'ad ooilley gobbyr creoi, va mysh daa dooinney dys queig dys shey dooinney, deiney gobbyr ayn.","And they were all working hard, and about two men to five to six man, men working there.",928.4,938,
DF,Row?,Were there?,938,939,
JK,Ayns ad ooilley.,In them all.,939,941,
DF,"She obbyr creoi, nagh vel eh?","It's hard work, isn't it?",941,944,
JK,"V'ad jannoo keeaght son uss, jannoo cleain as, shen y traa ren y, ren y, yn cleain yiarn as yn keeaght yiarn cheet y-magh, as dy chooilley red va roish shen ghooinney v'eh ooilley fuygh.","They were making a plough for you, making harrows and, that's the time that the, the iron harrows and the iron plough came out, and everything that was before that man, it was all wood.",944,962.5,"The 'y' in 'y-magh' might be a filled pause i.e. 'err' or it could be a survival of the lost prefixed syllable as in Irish 'amach', Scot. 'a-mach'."
DF,Ooilley fuygh.,All wood.,962.5,963.5,
JK,"Va'n keeaght jeant jeh fuygh as va'n cleain jeant jeh fuygh, as, va'n cleain ... As dy chooilley red myr shen v'eh jeant jeh fuygh.  Eisht ren ad, ren ad cur yn fuygh dys un cheu as ren ad jannoo yn yiarn, cleain as keeaghtyn as cleain drag as cha row, cha row veg ayns, cha row monney ayns yn, ayns yn traa shen as yn keeaght son gobbyr yn thalloo. Cha row ?gob-harrowyn? as cha row red erbee agh yn keeaght.  Ren ad laccal jannoo yn thalloo son dy cur yn praasyn ayn as y turnipyn as arroo cha row veg goll as yn cleain as yn keeaght.  V'ad traaue yn thalloo oh red gollrish three traaghyn ayns y vlein.","The plough was made of wood and the harrows were made of wood, and, the harrows ... And everything like that it was made of wood. Then they, they put the wood aside and they made the iron, harrows and ploughs and drag harrows and there wasn't, there wasn't anything in, there wasn't much at, at that time, but the plough for working the land. There weren't ?spike-harrows? and there was only the plough. They wanted to make the land to put the potatoes in and the turnips and corn there was nothing but the harrows and the plough going. They were ploughing the land oh something like three times in the year.",963.5,1036,
WR,"Three traaghyn ayns yn, ayns y vlein.","Three times in the, in the year.",1036,1038,
JK,"Ta, va.  Son cha row veg agh y ... as eisht ren ad jannoo ooilley yn reddyn yiarn ghooinney son gobbyr yn thalloo as, ?gobbaghyn? hoshiaght ren cheet, ren ad cheet voish Olbynee as v'ad reddyn feer, feer quaagh.","Yes, yes. For there wasn't anything but the ... and then they made all the iron things man for working the land and, ?spikes? came first, they came from Scotland and they were very, very strange things.",1038,1060,
WR,"Oh, credjym shen mie dy liooar.","Oh, I believe that well enough.",1060,1062.2,
JK,"V'ou er smooinaghtyn v'ad reddyn son dy cur lhieen er son dy, jannoo eh chirrym.","You had thought they were things to put the net on to, make it dry.",1061.8,1069,
WR,She.,Yes.,1069,1070,
JK,"Daa ?cheeaght? mooar as va daa dooinney goll geiyrt er son va piyr laccalit son dy cur eh mygeayrt er y, er y kione, yn magher, as va fer elley geiyrt yn cabbyl.  Shen yn sorch dy reddyn ren cheet magh hoshiaght.","Two big ?ploughs? and a man was following it because a pair were needed to put it around on the, on the end, the field, and another fellow was driving the horse. That is the sort of things that came out first.",1070,1093,
,,,,,
WR,"As va ram cabbil ayn, ayns ny traaghyn shen neesht.","And there were lots of horses in, in those times too.",1108,1111.5,
JK,"As va'n gaaueyn jannoo ooilley yn greppyn as yn gollageyn as ooilley yn reddyn, corranyn son dy giarrey conney as ooilley yn reddyn myr shen va'n gaaue jannoo ad.  As v'ad kerragh yn keeaght as v'ad kerragh yn, reddyn ooilley va ayns boaylyn geirinagh.  Eisht v'ad crou yn cabbil. V'ad jannoo crouyn ghooinney, as lheieal, as cur ad er y cabbil, myr shen v'ad mooar ayns y, ayns y, ayns y keird yn gaaue, as nish cha nel cabbyl bio er y, bunnys er y twoaie.","And the smiths were making all the manure forks and the pitchforks and all the things, sickles for cutting gorse and all the things like that the smith was making them. And they were mending the plough and they were mending the, all the things that were in farming places. Then they were shoeing the horses. They were making shoes man, and melting, and putting them on the horses, so they were big in the, in the, in the trade of a smith, and now there is a horse alive on the, nearly on the north. ",1112,1176.5,
WR,Oh ta ny cabbil braew goan neesht.,Oh horses are very rare too.,1176,1178.5,
JK,"T'ad bunnys ooilley marroo, ass.","They are nearly all dead, gone.",1177.8,1181,
DF,Hmm.,Hmm.,1181,1182,
JK,"Ta, t'ad bunnys ooilley ersooyl.","Yes, they are nearly all gone.",1182.5,1185,
WR,Bunnys ooilley.,Nearly all.,1185,1186,
JK,Ta.,Yes.,1186,1187,
WR,As quoid v'ou geddyn son cur kiare crouyn er y cabbil?,And how much were you getting for putting four shoes on the horses?,1187,1192.5,
JK,"Oh va mee geddyn daa skillin as kiare pingyn son cur kiare crouyn er y cabbyl. Va'n dooinney cur yn argid ayns y laue yn traa v'eh jeant, v'ou jannoo eh son daa skillin as kiare pingyn as v'ou cur eh ayns y lioar, v'eh daa skillin as three phingyn.","Oh I was getting two shillings and four pence for putting four shoes on the horse. The man was putting the money in the hand the time it was done, you were doing it for two shillings and four pence and you were putting it in the book, it was two shilling and three pence.",1192.5,1220,
WR,She.,Yes.,1220,1221,
JK,Shen va shin geddyn.,That's what we were getting.,1221,1223,
WC,Cha row shen monney.,That wasn't much.,1223,1224.8,
JK,"Cha row eh feer monney edyr.  But shen va shin geddyn son ram bleeantyn roish ren eh girree dys kiare skillin, as ta mee er fakin eh jeih skillin as, v'ad ayns yn baljyn, oh ny smoo na shen.","It wasn't very much at all. But that is what we were getting for many years before it rose to four shillings, and I have seen it ten shillings and, they were in the towns, oh more than that.",1225,1253,
WC,Cre'n traa sy voghrey row shiu goaill toshiaght dy jannoo obbyr?,What time in the morning were you starting to do work?,1255,1260,
JK,C'red?,What?,1258.5,1259.5,
WC,Cre'n traa sy voghrey row shiu geddyn er cosh?,What time in the morning were you getting up?,1260,1264,
JK,"Oh, oh, shiaght er y chlag. Dy chooilley voghree.  As va shin gobbyr dys hoght er y chlag er yn oie.","Oh, oh, seven o'clock. Every morning. And we were working to eight o'clock at night.",1262,1277,
WC,Dy jarroo?,Indeed?,1276,1278.5,
WR,"As row oo geddyn laa feailley, er y chiaghtin?","And were you getting a holiday, in the week?",1278,1281.4,
JK,"Oh cha row laa feailley, cha row ad smooinaghtyn er laa feailley ayns ny laghyn shen!","Oh there wasn't a holiday, they weren't thinking of a holiday in those days!",1281.4,1287,
WR,Ooilley gobbyr.,All working.,1288,1289,
JK,Ooilley gobbyr.,All working.,1289,1291,
DF,"Va margey ny jees ayn, nagh row?","There was a market or two, wasn't there?",1297,1299.6,
