English,Manx,Manx Orginal,Page,Notes
"A. They did promise and vow three Things in my Name. First, That I should renounce the Devil and all his Works, the Pomps and Vanity of this wicked World, and all the sinful Lusts of the Flesh. Secondly, That I should believe all the Articles of the Christian Faith. And thirdly, That I should keep God’s holy Will and Commandments, and walk in the same all the Days of my Life.","A. Yiall ad as vreear ad three reddyn ayns my ennym. Hoshiaght, Dy dreigin y drogh-spyrryd as ooilley e obbraghyn, moyrn as fardail y theihll vee-chrauee shoh, as ooilley saynt peccoil ny foalley. Yn nah ynnyd, Dy greidin ooilley banglaneyn y Chredjue Creestee. As ayns y trass ynnyd, Dy vreillin aigney casherick Yee as e annaghyn, as dy nhimmeeyn ayndoo ooilley laghyn my vea. ","A. Yiall ad as vreear ad three reddyn ayns my ennym. Hoshiaght, Dy dreigin y drogh-spyrryd as ooilley e obbraghyn, moyrn as fardail y theihll vee-chrauee shoh, as ooilley saynt peccoil ny foalley. Yn nah ynnyd, Dygreidin ooilley banglaneyn y Chredjue Creestee. As ayns y trass ynnyd, Dy vreillin aigney casherick Yee as e annaghyn, as dy nhimmeeyn ayndoo ooilley laghyn my vea. ",8,
Q. What is it you here promise to renounce?,Q. Cre t’ow ayns shoh gialldyn dy hreigeil?,,8,
"A. I promise to renounce the three spiritual Enemies of my present and future Happiness; which are the Devil, the World, and the Flesh.","A. Ta mee gialldyn dy hreigeil ny three noidyn spyrrydoil gys my vaynrys ‘sy traa t’ayn nish chammah as ny lurg shoh; ta shen, yn Drogh-Spyrryd, yn Seihll, as yn Eill.",,8,
Q. What is it to renounce them? ,Q. Cre te dy hreigeil ad shoh?,,8,
"A. It is inwardly to hate, and actually to reject them, so as not to follow, or to be led by them.","A. Te dy chur dwoaie daue cheu-sthie j’in hene, as dy-bollagh dy jilgey ad ersooyl voïn, myr shen gyn dy eiyrt orroo, ny dy ve er nyn leeideil lioroo.",,8,
Q. What mean you by the Word Devil?,Q. Cre tow toiggal liorish y fockle Drogh-Spyrryd?,,8,
"A. By that general Word the Devil, is meant all the fallen Angels, who are under their Prince combined for our Ruin.","A. Liorish y fockle cadjin shen Drogh-Spyrryd, ta er ny hoiggal ooilley ny ainlyn ren tuittym, ta fo nyn ard reilltagh er chiangley ad hene dy chur shin mow.",,8,
Q. What is meant by renouncing him :,Q. Cre t’er ny hoiggal liorish treigeil eh?,,8,
"A. The refusing all Familiarity and Contracts with the Devil, whereof Witches, Conjurers, and such as resort to them, are guilty.","A. Gobbal dy-chooilleyu ainjys as barganeyn rish y Drogh-Spyrryd, jeh t’adsyn ta cur  rish butcheraght, fir-obbee, as lheid as ta thaaghey huc, foiljagh.",,8,
Q. What is meant by the Works of the Devil?,Q. Cre ta er ny hoiggal liorish obbraghyn y Drogh-Spyrryd?,,9,
"A. All Sin; particularly those Sins which the Devil himself is especially charged with; such as Murder, Cruelty, and Malice; Pride, Envy, and Lying, and seducing others to Sin.","A. Dy-chooilley vonney dy pheccah; er-skyn ooilley ny peccaghyn shen ta er-skyn ooilley er ny choyrt gys lieh yn Drogh-Spyrryd hene; lheid as dunverys, dewlys, as goanlys; moyrn, troo as breagyn, as tayrn feallagh elley gys peccah.",,9,
Q. Why is Sin called the Work of the Devil?,Q. Cre’n-fa ta peccah er ny enmys obbyr y Drogh-Spyrryd?,,9,
"A. Because he first sinned, then seduced Men to sin, and doth still tempt to it.","A. Er-yn-oyr dy nee eshyn hoshiaght ren peccah, eisht hayrn eh deiney, as t’eh kinjagh miolaghey ad gys peccah. ","A. Er-yn-oyr dy nee eshyn hoshiaght ren peccah, eisht hayrn eh deiney, as t’eh kinjagh miolaghey ad peccah. ",9,
Q. What Proof have you from Scripture of your Obligation thus to renounce the Devil and all his Works?,Q. Cre’n phrowal t’ayd veih’n Scriptyr dy vel oo myr shoh kainlt dy hreigeil y Drogh-Spyrryd as ooilley e obbraghyn?,Q. Cre’n phrowal t’ayd veih’n Scriptyr dy vel oo myr shoh kainlt dy hreigeil y Drogh-Spyrryd as ooilley e obbraghyn,9,
"A. From 1 John iii. 8. He that committeth sin is of the devil; for the devil sinneth from the beginning. For this purpose the Son of God was manifested, that he might destroy the works of the devil.","A. Veih 1 Ean. iii. 8. Eshyn ta jannoo peccah t’eh jeh’n Drogh-Spyrryd; son ta’n Drogh-Spyrryd kyndagh jeh peccah er dyn toshiaght. Son yn oyr shoh va Mac Yee er ny hoilshaghey, dy voddagh eh cur mow obbraghyn y Drogh-Spyrryd.",,9,
"1 John v. 18. We know that whosoever is born of God, sinneth not; but he that is begotten of God, keepeth himself, and that wicked one toucheth him not.","1 Ean. v. 18. Ta fys ain, quoi-erbee ta ruggit jeh Jee, nagh vel eh cur rish peccah; agh eshyn ta er ny yentyn jeh Jee, t’eh freayll arrey er hene, as cha vel yn drogh er bennaylt rish.",,9,
2 Tim. ii. 19. Let every one that nameth the name of Christ depart from iniquity.,"2 Tim. ii. 19. Lhig da dy-chooilley unnane ta genmys ennym Chreest, chea veih mee-chraueeaght.",,9,
Q. What is the second Enemy you are to renounce?,Q. Cre ta’n nah noid t’ow dy hreigeil?,,10,
"A. This wicked World, with its Pomps and Vanities.","A. Yn seihll mee-chrauee shoh, marish moyrn as ny fardailyn echey.",,10,
Q. Why do you call it this wicked World?,Q. Cre’n-fa t’ow genmys eh yn seihll mee-chrauee shoh?,,10,
"A. Because of the Evil it tempts to, and the evil Use it is put to by bad Men.","A. Kyndagh rish yn olk te miolaghey huggey, as y drogh-ymmyd t’er ny yannoo jeh liorish drogh gheiney.",,10,
Q. What do you mean by Pomps?,Q. Cre t’ow toiggal liorish moyrn?,,10,
A. Honour and worldly Glory.,A. Ooashley as gloyr seihlltagh.,,10,
Q. What is it to renounce the Pomps of this world?,Q. Cre te dy hreigeil moyrn y theihll shoh?,,10,
"A. It is to refrain from all immoderate Desires of the Honour and Glory of this World, and from all Pride and Ostentation in what we enjoy of it.","A. Te dy hea veih dy-chooilley yeearree mee-lowal jeh ooashley as gloyr y theihll shoh, as veih dy-chooilley voyrn as mooaralys ayns ny ta shin goaill soylley jeh.",,10,
"Q. How do you prove from Scripture, that you are obliged thus to renounce the Pomps of the World?","Q. Kys t’ow prowal veih’n Scriptyr, dy vel oo myr shoh kainlt dy hreigeil moyrn y theihll?",,10,
"A. From 1 John ii. 16. The pride of life is not of the Father, but is of the world.","A. Veih 1 Ean. ii. 16. Moyrn y vea, cha vel eh jeh’n Ayr, agh jeh’n seihll.",,10,
"Phil. ii. 3. Let nothing be done through vain-glory, but in lowliness of mind, let each esteem other better than themselves.","Phil. ii. 3. Ny lhig da nhee erbee ve jeant trooid anvea, ny mooaralys, agh ayns injillid-aigney lhig da dagh unnane soiagh yannoo jeh feallagh elley roish hene.",,10,
Q. What do you understand by the Vanity of the World?,Q. Cre t’ow toiggal liorish fardail y theihll?,,10,
A. I understand by it Covetousness and all ungodly and vain Customs of the World.,"A. Ta mee toiggal liorish saynt, as ooilley  cliaghtaghyn mee-chrauee as fardalagh y theihll.",,10,
Q. What is it to renounce the Vanities of the World?,Q. Cre te dy hreigeil fardailyn y theihll?,,11,
"A. It is to reject all unlawful means of gaining Riches, to refuse to follow the sinful Ways, Customs, or Fashions of the World, and to avoid all wicked Company which would lead us to them.","A. Te dy aagail voïn dy chooilley haase mee-lowal jeh geddyn berchys, gobbal dy eiyrt er raaidyn, cliaghtaghyn, ny aghtyn peccoil y theihll, as dy hea veih dy-chooilley ghrogh heshaght yinnagh shin y leeideil gys ny drogh chliaghtaghyn cheddin.",,11,
Q. What Proof have you of being obliged to avoid all covetous Desires of the World?,Q. Cre’n phrowal t’ayd dy vel oo kainlt dy haghney ooilley yeearreeyn sayntoilagh y theihll?,,11,
"A. From 1 John ii. 15. Love not the world, neither the things that are in the world. If any man love the world, the love of the Father is not in him.","A. Veih 1 Ean. ii. 15. Ny cur-jee graih da’n seihll, ny da nheeghyn y theihll. My ta dooinney erbee cur graih da’n seihll, cha vel graih yn Ayr aynsyn. ",,11,
Luke xii. 15. Take heed and beware of covetousness.,Luke xii. 15. Gow-jee tastey as cur-jee twoaie jeh saynt.,,11,
"Q. What Proof have you of being obliged to refuse to follow the sinful Ways, Customs, or Fashions of the World?","Q. Cre’n phrowal t’ayd dy vel oo kainlt dy obbal dy eiyrt er raaidyn, cliaghtaghyn, ny aghtyn peccoil y theihll?",,11,
A. From Rom. xii. 2. Be not conformed to this world.,A. Veih Rom. xii. 2. Ny jean-jee shiu hene y chummey gys (cliaghtaghyn) y theihll shoh.,,11,
Q. What Proof have you of your being obliged to avoid all wicked Company?,Q. Cre’n phrowal t’ayd dy vel oo kainlt dy hea veih dy-chooilley ghrogh heshaght?,,11,
"A. From 1 Cor. v. 11. Now I have written unto you, not to keep company; if any man that is called a brother [Christian] be a fornicator, or covetous, or an idolater, or a railer, or a drunkard, or an extortioner; with such an one, no not to eat.","A. Veih 1 Cor. v. 11. Nish ta mee er scrieu hiu, gyn sheshaght y reayll, my ta dooinney erbee ta enmyssit braar (creestee), ny vaarderagh, ny sayntoilagh, ny jallooder, ny fer scammyltagh, ny meshtyllagh, ny ny  hranlaasagh, marish lheid y fer wheesh as gyn dy ghoaill bee.",,11,
"Eph. v. 11. Have no fellowship with the unfruitful works of darkness, but rather reprove them.","Eph. v. 11. Ny lhig da sheshaght erbee ‘ve eu rish obbraghyn neu-vessoil y dorraghys, agh ny-sleaie cur oghsan daue.",,12,
Q. What do you understand by the sinful Lusts of the Flesh?,Q. Cre t’ow toiggal liorish sayntyn peccoil ny foalley?,,12,
"A. I understand by them, all unlawful Pleasures to which we are provoked by our sensual Inclinations; such as Uncleanness, Drunkenness, &c.","A. Ta mee toiggal lioroo, dy-chooilley haitnys mee-lowal huggey ta shin er nyn ghreinnaghey liorish nyn yeearreeyn foalley; lheid as neu-ghlennid, meshtylys, &c.",,12,
Q. What is it to renounce these?,Q. Cre te dy hreigeil ad shoh?,,12,
"A. It is to resist all Desires of them, to tame and regulate my disorderly Inclinations to them, and my corrupt Nature inwardly delighting in them.","A. Te dy hassoo noi dy-chooilley yeearree jeu, dy smaghtaghey as dy reayll fo my yeearreeyn mee-reilltagh huc, as my ghooghys broghe er cheu-sthie ta goaill taitnys ayndoo.",,12,
Q. What Proof have you of your being obliged to this?,Q. Cre’n phrowal t’ayd dy vel oo kainlt gys shoh?,,12,
"A. From Gal. v. 24. They that are Christ’s have crucified the flesh, with the affections and lusts.","A. Veih Gal. v. 24. Adsyn ta lesh Creest t’ad er grossey yn eill, marish ny yeearreeyn as ny sayntyn.",,12,
"Rom. viii. 13. If ye live after the flesh ye shall die; but if ye through the Spirit do mortify the deeds of the body, ye shall live.","Rom. viii. 13. My ta shiu beaghey lurg yn eill, yiow shiu baase: agh my ta shiu trooid y Spyrryd cur naardey obbraghyn y challin, bee shiu bio.",,12,
"1 Pet. ii. 11. I beseech you as strangers and pilgrims, abstain from fleshly lusts, which war against the soul.","1 Phed. ii. 11. Ta mee guee erriu myr joarreeyn as troailltee, dy reayll shiu hene veih sayntyn ny foalley, ta caggey noi yn annym. ",,12,
Q. What is the second Duty you were at your Baptism obliged to perform? ,Q. Cre ta’n nah churrym vou ec dty vashtey kainlt dy chooilleeney?,,13,
A. To believe all the Articles of the Christian Faith.,A. Dy chredjal ooilley banglaneyn y Chredjue Creestee.,A. Dy credjal ooilley banglaneyn y Chredjue Creestee.,13,
Q. What Proof have you of your being obliged to do so?,Q. Cre’n phrowal t’ayd dy vel oo kainlt dy yannoo shoh?,Q. Cre’n phrowal t’ayd dy vel oo kalnlt dy yannoo shoh?,13,corrected in Errata p. 91.
"A. From John iii.36. He that believeth on the Son, hath everlasting life: and he that believeth not the Son, shall not see life; but the wrath of God abideth on him.","A. Veih Ean. iii. 36. Eshyn ta credjal ayns y Mac, ta’n vea ta dy-bragh farraghtyn echey: as eshyn nagh vel credjal yn Mac, cha vaik eh yn vea; agh nee corree Yee tannaghtyn er.",,13,
"John xvii. 3. This is life eternal, that they might know thee, the only true God, and Jesus Christ whom thou hast sent.","Ean. xvii. 3. Shoh yn vea veayn, tushtey y ve oc jeed’s yn ynrycan Jee firrinagh, as jeh Yeesey Creest t’ow er ny choyrt.",,13,
"Mark xvi. 16. He that believeth and is baptized, shall be saved; but he that believeth not, shall be damned.","Mark xvi. 16. Bee eshyn ta credjal as t’er ny vashtey, er ny hauail; agh bee eshyn nagh vel credjal er ny gheyrey.",,13,
Q. What is the third Duty you promised at your Baptism to do?,Q. Cre ta’n trass churrym ren oo gialdyn ec dty vashtey dy chooilleeney?,,13,
"A. To keep God’s holy Will and Commandments, and to walk in the same all the Days of my Life.","A. Dy vreillin aigney casherick Yee as e annaghyn, as dy nhimmeein ayndoo ooilley laghyn my vea.",,13,
Q. What Proof have you of your being obliged to this?,Q. Cre’n phrowal t’ayd jeh ve kainlt gys shoh?,,13,
A. From Matt. xxviii. 20. Teaching them to observe all things whatsoever I have commanded you.,A. Veih Mian xxviii. 20. Gynsaghey daue dy reaylley dy-chooilley nhee cre-erbee ta mish er chur ayns saarey diu.,A. Veih Mian xxviii. 20. Gynsaghey daue dy reaylley dy-chooilley nhee ere-erbee ta mish er chur ayns saarey diu.,13,
"Eph. ii. 10. We are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them.","Eph. ii. 10. Ta shin yn obbyr echeysyn, er nyn groo ayns Creest Yeesey gys obbraghyn mie, ta Jee er n’oardaghey ro-laue dy jinnagh shin gimmeeaght ayndoo. ",,13,
"Luke i. 74, 75. That we being delivered out of the hands of our enemies, might serve him without fear, in holiness and righteousness before him, all the days of our life.","Luke i. 74, 75. Dy-beagh shin er nyn livrey veih laueyn nyn noidyn, as dy shirveishagh shin eh fegooish aggle, ayns craueeaght as cairys kiongoyrt rish, ooilley laghyn nyn mea. ",,14,
"Q. Dost thou not think that thou art bound to believe, and to do as they have promised for thee?","Q. Nagh vel oo smooinaghtyn dy vel oo kainlt dy chredjal, as dy yannoo myr t’ad er yialdyn er dty hon?",,14,
"A. Yes, verily; and by God’s help so I will. And I heartily thank our heavenly Father, that he hath called me to this State of Salvation, through Jesus Christ our Saviour. And I pray unto God, to give me his Grace, that I may continue in the same unto my Life’s end.","A. Ta mee dy-firrinagh; as marish cooney Yee shen nee’m. As ta mee cur booise creeoil da nyn Ayr flaunyssagh, dy vel eh er n’eamagh orrym gys y stayd shoh dy haualtys, trooid Yeesey Creest nyn Saualtagh. As ta mee guee gys Jee dy der eh e ghrayse dou, dy voddym tannaghtyn ayns y stayd cheddin gys jerrey my vea.",,14,
Q. Why do you think yourself bound to believe and do what your Godfathers and Godmothers promised for you?,Q. Cre’n-fa t’ow smooinaghtyn oo hene kainlt dy chredjal as dy yannoo ny ren dty Ghedjaghyhn as dty Vimmaghyn gialdyn er dty hon?,,14,
"A. Because they acted in my stead, and what they promised was in my Name.",A. Er-yn-oyr dy hass ad raanteenyn er my hon as shen ny ren ad y yialdyn ve ayns yn ennym ayms.,,14,
Q. Are you resolved to do what they promised for you?,Q. Vel oo kiarit dy yannoo ny t’ad er yialdyn er dty hon?,,14,
A. Yes; by God’s Help; for otherwise I shall forfeit the Blessing of that State which I was by my Baptism admitted into.,"A. Ta mee, liorish cooney Yee; son er aght elley caillym bannaghtyn y stayd shen huggey va mee er my ghoaill stiagh liorish my Vashtey.",,14,
Q. What is that State?,Q. Cre ta’n stayd shen?,,14,
A. It is a State of Salvation.,A. Te stayd dy Haualtys. ,,14,
Q. Why do you call it a State of Salvation?,Q. Cre’n-fa t’ow genmys eh stayd dy Haualtys?,,15,
A. Because I have thereby all the means necessary to Salvation.,A. Er-yn-oyr dy vel aym liorish shen ooilley ny saaseyn ta ymmyrchagh gys Saualtys.,,15,
Q. How do you prove this from Scripture?,Q. Kys t’ow prowal shoh veih’n Scriptyr?,,15,
"A. From Rom. i. 16. The gospel is the power of God unto salvation, unto every one that believeth.","A. Veih Rom. i. 16. Yn sushtal pooar Yee gys saualtys, da dy-chooilley unnane ta credjal.",,15,
"2 Tim. iii. 15. From a child thou hast known the holy scriptures, which are able to make thee wise unto salvation.","2 Tim. iii. 1. Neayr’s vow dty lhiannoo dy vel oo er ve ynsit ayns ny scriptyryn casherick, oddys oo y yannoo creeney gys saualtys."," 2 Tim. iii. 1. Neayr’s vow dy lhiannoo dy vel oo er ve ynsit ayns ny scriptyryn casherick, oddys oo y yannoo creeney gys saualtys.",15,
Q. How came you into this State of Salvation?,Q. Kys haink oo gys y stayd shoh dy haualtys?,Q. Kys haink oo gys y stayd shoh dy haualtys,15,
"A. Our heavenly Father called me to it, through Jesus Christ our Saviour, and instated me into it by Baptism.","A. Nyn Ayr flaunyssagh deïe orrym huggey trooid Yeesey Creest nyn Saualtagh, as ren m’y ghoaill stiagh gys y stayd shoh liorish Bashtey.",,15,
Q. How do you prove this from Scripture?,Q. Kys t’ow prowal shoh veih’n Scriptyr?,,15,
"A. From Titus iii. 4, 5. The kindness and love of God our Saviour towards man appeared; not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the holy Ghost.","A. Veih Titus iii. 4, 5. Va kenjallys as graih Yee nyn saualtagh gys deiney er ny hoilshaghey; cha nee liorish obbraghyn dy chairys, ta shin er n’yannoo, agh cordail rish e vyghin t’eh er hauail shin liorish niee y nah-yiennaghtyn (ayns bashtey), as jannoo shin ass-y-noa liorish y Spyrryd Noo;",,15,
"2 Tim. i. 9. God who hath saved us, according to his own purpose and grace, which was given us in Christ Jesus, before the world began.","2 Tim. i. 9. Jee ta er hauail shin, cordail rish e chiarail hene as grayse va er ny choyrt dooin ayns Creest Yeesey, er dy hoshiaght y theihll.",,16,
"Eph. ii. 8. For by grace are ye saved, through faith; and that not of yourselves; it is the gift of God.",Eph. ii. 8. Son liorish grayse ta shiu er nyn sauail trooid credjue; as shen cha nee jiu hene; she gioot Yee eh.,,16,
"Q. How do you think to be enabled to do, and to continue in the performance of this which you are obliged to?","Q. Kys t’ow smooinaghtyn dy v’er ny niartaghey dy yannoo, as dy hannaghtyn ayns cooilleeney shoh ny t’ow kainlt huggey?","Q. Kys t’ow smooinaghtyn dy v’er ny niartaghey dy yannoo, as dy hannaghtyn ayns cooilleeney shoh ny t’ow kainlt huggey",16,
"A. I depend on God’s Grace to prevent, assist and confirm me.","A. Ta mee cur my varrant er grayse Yee dy gholl roym, dy chooney lhiam as dy my niartaghey.",,16,
Q. What Reason have you for so doing?,Q. Cre’n oyr t’ayd son jannoo myr shen?,,16,
"A. From John xv. 5. Without me, ye can do nothing.",A. Veih Ean. xv. 5. My egooish’s cha vod shiu nhee erbee y yannoo.,,16,
"2 Cor. iii. 5. Not that we are sufficient of ourselves to think any thing as of ourselves, but our sufficiency is of God.",2 Cor. iii. 5. Cha nee dy vel shin fondagh j’in hene dy smooinaghtyn nhee erbee myr j’in hene; agh ta’n phooar ain veih Jee.,,16,
