English,Manx,Notes
"Over 1,000 young people take part in friendly competitions which focus more on participation than on winning – what an amazing way to introduce students to Manx culture.","a ny shlee na 1,000 dy leih-aegey goaill ayrn ayns cohirraghyn caarjoil ta ny smoo mychione cloie cooidjagh na cosney yn varriaght – cre’n aght yindyssagh dy chur lesh stiagh studeyryn ayns cultoor Vannin.",
We are so grateful to the amazing teachers who help guide these young stars of the future.,Ta shin lane booisal da ny ynseyderyn yindyssagh ta cooney lesh as leeideil ny rollageyn aegey shoh jeh’n traa ry-heet.,
"We are proud to be able to work with so many talented and engaged people and organisations in the Manx cultural communities, in the Isle of Man more generally, and around the world.","Ta shin goaill moyrn dy vod mayd gobbragh marish wheesh dy leih as sheshaghtyn aghtal as jeean ayns y phobble cultooroil Manninagh, ayns Ellan Vannin hene, as feiy ny cruinney.",Re-paired: the Manx column runs a sentence behind the English in the original
"We know that a strong, vibrant Manx culture makes the Isle of Man a better place to live, work and visit.","Ta fys ain dy vel cultoor Manninagh lajer as breeoil jannoo Mannin ny boayl share dy vaghey, dy obbraghey as dy chur shilley er.",
"Manx culture is finding new audiences all of the time, it is being recognised as something which underpins much of what Isle of Man Government does, but moreover, it is at the heart of our nation and whoever wants to join or celebrate these green hills by the sea.","Ta cultoor Vannin roshtyn eaishtaghtyn noa dy chooilley hraa, as t’eh mie er-enn nish myr yn undin ta cummal seose ymmodee jeh ny reddyn ta Reiltys Vannin jannoo, agh erskyn ooilley, t’eh ec cree yn ashoon ain as peiagh erbee ta geearree ve marin as jannoo mooar jeh ny crink glassey rish y cheayn.",
Who we are and what we do,Quoi shin as cre ta shin jannoo,
"The Manx Heritage Foundation trading as Culture Vannin is a registered charity established by the Manx Heritage Foundation Act (1982). We support and promote Manx culture by partnering with the community, Government agencies and business in order to fulfil the objects of our founding legislation.","Ta Undinys Eiraght Vannin, dellal fo’n ennym Culture Vannin, ny sheshaght yiastyllagh recortyssit va currit er undin liorish Slattys Undinys Eiraght Vannin (1982). Ta shin cummal seose as cur er y hoshiaght cultoor Ellan Vannin liorish jannoo parteeassyn marish y cho-phobble, rheynnyn Reiltys as dellalyn dy chooilleeney ny currymyn ain ta imraait sy clattys.",
"Communication, education and accessibility are key to our remit, and our development work for Manx language, Manx music and dance, and online and educational resources makes sure that is possible.","Ta co-loayrtys, ynsaghey as roshtynys feer scanshoil ayns cooilleeney ny currymyn shoh, as ta’n obbyr ain son glare, daunsey as kiaull Ellan Vannin, marish ny couryn er-linney as cooid-ynsee ain, jannoo shickyr dy vodmayd jannoo shoh.",
"We support grassroots projects through a grants scheme, knowing the multiplier effect of the knowledge, skill and enthusiasm of those involved with our culture has on what are often modest grants.","Ta shin cummal seose shaleeyn grassroots trooid system dy hoyrtyssyn, as ta shin goaill boggey ayns kys ta leagh ny toyrtyssyn shoh, ta dy mennick beg, er ny mooadaghey liorish yn tushtey, schlei, jeeanid as traa jeusyn ta gobbragh dy jeidjagh son y chultoor ain.",
Our cultural centre,Yn ynnyd cultooroil ain,
Our cultural centre in St John’s houses our offices as well as an exhibition space relating to Manx culture and to Tynwald in particular.,"Ta’n ynnyd cultooroil ain ayns Balley Keeill Eoin cummal offishyn, shapp, as shamyr haishbynys mychione cultoor Manninagh, as er-lheh mychione Tinvaal.",
"Moreover, the space is used in evenings and at weekends as a venue for adult language classes, music rehearsal space for young people, and much, much more. It is a place to come to find out about Manx culture; it is a destination for our intangible cultural heritage.","Marish shen, ta’n ynnyd er ny usal syn astyr as ec yn jerrey shiaghtin cour brastyllyn Gaelgagh son sleih aasit, myr boayl da sleih aegey dy chliaghtey kiaull, as caghlaaghyn red elley. She boayl son gynsagh mychione cultoor Manninagh t’ayn, as boayl feer scanshoil son nyn eiraght cultooroil.",
Celebrating our community’s voices,Jannoo mooar jeh coraaghyn y phobble ain,
We have been recording and sharing our Island’s voices for decades.,Ta shin er ve recortyssey as cur magh coraaghyn yn Ellanyn ain rish bleeantyn.,
Our online oral history collection documents the changing face of the Isle of Man and brings together so many interesting stories.,Ta’n chaglym er-linney ain dy hennaghys loayrit soilshaghey magh ny caghlaaghyn t’er daghyrt ayns Mannin as cur lesh dy-cheilley whilleen dy skeealyn symoil.,
"You’ll find everything from everyday life to major events, as well as conversations on various themes or about specific organisations. By listening to and valuing our community’s voices, memories, knowledge and experience are carried forward for future generations.","Nee oo geddyn magh dy chooilley red veih bea chadjin dys taghyrtyn mooarey, chammah’s coloayrtyssyn er caghlaaghyn cooish ny mychione sheshaghtyn er-lheh. Liorish geaishtagh rish as coontey feeu jeh coraaghyn y phobble ain, ta cooinaghtyn, tushtey as cliaghtaghyn currit lesh er nyn doshiaght dys sheelogheyn noa.",
We were particularly humbled to collect together interviews with those connected to the tragedy that was the Summerland Fire in 1973. These recordings empower us to better remember and understand the fire and its lasting legacy.,She onnor mooar v’ayn dy haglym dy-cheilley quaaltyssyn maroosyn va kianlt rish y chragh enmyssit Aile Summerland ayns 1973. Ta ny recortyssyn shoh lhiggey dooin cooinaghtyn as toiggal ny share yn aile shen as y leggad foddey-farraghtyn jeh.,
Development work highlights,Obbyr lhiasee smoo imraagh,
"We have a small but talented team of development officers who support Manx language, music and dance, and online and educational resources.","Ta skimmee beg agh aghtal ain dy oaseiryn-lhiasee ta cummal seose y Ghaelg, kiaull as daunsin, as cooid er-linney as cooid-ynsee.",Re-paired: the Manx column runs a sentence behind the English in the original
"Their work has impact in our Island’s schools, throughout the community, and around the world.","Ta bree yn obbyr oc ry-gheddyn ayns scoillyn nyn Ellan, fud yn phobble ain, as feiy ny cruinney.",
"We are committed to sharing, supporting, and telling people about Manx culture in ways that are effective and enjoyable.","Ta shin slane son rheynn, cummal seose, as cur fys da sleih mychione cultoor Vannin er aghtyn ta fondagh as cur taitnys.",
"We share specialist knowledge, excellent teaching skills, and a passion for the Isle of Man, celebrating the sense of place that culture holds.","Ta shin rheynn tushtey er-lheh, schleiyn ynsee feer vie, as graih jeean son Ellan Vannin, jannoo mooar jeh ny kianglaghyn er-lheh eddyr cheer as pobble t’er ny chummal liorish cultoor.",
Some highlights:,Cooilleenaghyn smoo imraagh:,
Manx language,Yn Ghaelg,
"The Manx language is a remarkable story of international interest – this year we worked with CBS ’60 Minutes’ to contribute a segment that was broadcast to millions of viewers across North America, BBC2’s Great Railway Journeys, BBC Radio Scotland’s ‘Travelling Folk’ as well as continuing to tell our story at home through our wonderful national media in the Isle of Man.","Ta skeeal imraagh y Ghaelg tayrn geill sleih fud y theihll – myleeaney ren shin gobbragh marish ’60 Minutes’ er CBS dy chur daue ayrn jeh’n chlaare va scaalheanit dys millioonyn dy yeeagheyderyn feiy America Hwoaie, Great Railway Journeys er y VBC, ‘Travelling Folk’ er BBC Radio Scotland chammah’s tannaghtyn dy insh y skeeal ain ayns Mannin hene trooid ny meanyn ashoonagh yindyssagh ain.",
"We are proud of our adult language learners and speakers – we teach 150 students all year round, offer pop-up online sessions for advanced speakers, and attracted new learners and improvers to our first Scoill Souree Summer School.","Ta shin goaill moyrn jeh ynseyderyn as loayreyderyn aasit y Ghaelg ain – ta shin gynsaghey 150 dy studeyryn car ny bleeaney ooilley, ta shin chebbal seshoonyn ‘clistal neose’ er-linney son loayreyder ta gaase ny s’flaoil, as haink ynseyderyn noa as ynseyderyn meanagh dys y chied Scoill Souree ain.",
"We support the language community through standalone resources on www.learnmanx.com – this year, we uploaded another 1,000 audio files, including support for parents.","Ta shin cur cooney da’n phobble Gaelgagh trooid cooid er cooishyn er-lheh ta ry-gheddyn er www.learnmanx.com – myleeaney, ren shin laadey neese 1,000 coadan sheean, goaill stiagh cooney son paarantyn.",
Online and educational resources,Cooid er-linney as cooid ynsee,
"The publication of A Guide to the Folklore of the Isle of Man met with great success, with two print-runs and a launch event selling out quickly. The book connects people with stories in the landscape gathered from thousands of sources across hundreds of years.","Va cur magh y lioar A Guide to the Folklore of the Isle of Man feer speeideilagh, as va daa roie-prental as lunney yn lioar ooilley creckit magh dy tappee. Ta’n lioar co-chiangley sleih rish skeealyn soit ayns cheer Vannin v’er nyn jaglym voish thousaneyn dy farraneyn car keeadyn dy vleeantyn.",
"Culture Vannin films have passed the 4 million view mark on YouTube – we uploaded 272 videos this year, which makes over 1,400 films currently available.","Ta filmyn Culture Vannin er goll er fakin erskyn 4 millioon keayrt er YouTube – ren shin laadey neese 272 feeshan sy vlein shoh, as nish ta erskyn 1,400 filym ry-gheddyn ooilley-cooidjagh.",
"We were privileged to put together Summerland Remembered oral history interviews as part of the national commemoration of a tragic fire in 1973. We spoke to survivors, the bereaved, fire fighters, nurses, police officers, visitors, witnesses and employees.","Va shin onnorit dy chur dy-cheilley Cooinaghtyn er Summerland, quaaltyssyn shennaghys loayrit va ny ayrn jeh’n cho-chooinaghtyn ashoonagh jeh aile baasoil ayns 1973. Loayr shin roosyn ren scapail yn aile, sleih-mooinjerey ny meriu, fir-aile, boandyryn, meoiryn-shee, turryssee, feanishyn as failleydee.",
Music and dance,Kiaull as daunsin,
"We take Manx music into the schools, but we also work with our talented youth groups, Bree and Scran. We were delighted to record Scran’s second album in preparation for their appearance at Festival Interceltique de Lorient in Brittany in August 2024.","Ta shin cur lhien kiaull stiagh ayns ny scoillyn, agh ta shin gobbragh neesht marish ny possanyn dy leih-aegey aghtal ain, Bree as Scran. By haittin lhien recortys y yannoo jeh’n nah albym ec Scran va jeant oc myr aarlys son cloie ec y Feailley Eddyr-Cheltiagh ayns Lorient ayns y Vritaan ayns Mee Luanistyn 2024.",
"We worked to redesign and update www.manxmusic.com as an online resource. It hosts free resources for schools and for adults, and holds the archive of our monthly Kiaull Manninagh Jiu newsletters which are read around the world.","Ren shin gobbragh dy aa-chiaddey as jannoo ass y noa www.manxmusic.com myr cooid er-linney. T’eh cummal cooid-ynsee nastee son scoillyn as sleih-aasit, as tashtey-recortys jeh ny screeunyn-naight meeoil ain Kiaull Manninagh Jiu ta goll er lhaih feiy ny cruinney.",
"It’s important to learn from other cultural communities whilst sharing Manx music and dance with them. This year, we travelled to Dublin to teach Manx dance to Balfolk Dublin, to participate in the Stoneybatter Community Festival, and to teach Manx songs to students at the Gaelscoil Bharra.","T’eh scanshoil dy ynsaghey veih pobbleyn cultooroil elley chammah’s rheynn kiaull as daunsin Manninagh maroo. Sy vlein shoh, hie shin dys Divlyn dy ynsaghey daunsin Manninagh da Balfolk Divlyn, dy ghoaill ayrn ayns Feailley Pobble Stoneybatter, as dy ynsaghey arraneyn Manninagh da studeyryn ec Gaelscoil Bharra.",
Highlights from grants awarded,Toyrtyssyn smoo imraagh,
Awards are made to groups and individuals for a wide variety of purposes relating to the culture of the Isle of Man and its people. Grants and underwriting are considered within the framework of our policies and founding legislation.,Ta toytyssyn currit da possanyn as sleih er-lheh son caghlaa keint dy oyryn bentyn da cultoor Vannin as e pobble. Ta toyrtyssyn argidoil as raanteenys noi coayl currit magh rere ny reillyn as polaseeyn jeant fo’n clattys undinagh ain.,
"34 grants totalling over £67,000 were approved during this financial year. Taking into account write-backs and cancelled projects, the balance awarded is just over £51,000.","Va 34 dy hoyrtyssyn argidoil ta feeu ny smoo £67,000 coardit sy vlein argidoil shoh. Lurg coontey argid nagh row ceaut as shaleeyn va scryssit, ta’n cormid currit magh beggan ny smoo na £51,000.",
Festivals and events,Feaillaghyn as taghyrtyn,
"We are proud to support the volunteer committees, community arts venues and event organisers, who help to brighten Manx life each year:","Ta shin goaill moyrn jeh cur cooney da bingaghyn arryltagh, ynnydyn ellynyn y phobble as reagheyderyn taghyrtyn, ta jannoo bea Vannin ny smoo sollys dagh blein:",
Shennaghys Jiu,Shennaghys Jiu,
Yn Chruinnaght Celtic Gathering,Yn Chruinnaght,
Peel Carnival,Carnival Phurt ny Hinshey,
Manx LitFest,LitFest Vannin,
Isle of Man Traditional Music Weekend,Jerrey Shiaghtin Kiaull Tradishoonagh Vannin,
Underwriting for Creeaght performance at Mananan Festival 2023,Raanteenys noi coayl argid son cloieys liorish Creeaght ec Feailley Vananan 2023,
Underwriting for Bunscoill Ghaelgagh performance in Manx ‘Lioar y Doofyr’,Raanteenys noi coayl argid son cloieys liorish y Vunscoill Ghaelgagh ayns Gaelg jeh ‘Lioar y Doofyr’,
Arrane son Mannin 2023 competition,Yn cohirrey Arrane son Mannin 2023,
"Film, book, online and CD","Fillym, lioar, er-linney as CD",
We are delighted to support new contributions to Manx culture:,S’taittin lhien cooney lesh toyrtyssyn noa da cultoor Vannin:,
A History of Eating Out on the Isle of Man book,Shennaghys jeh Goll Magh dy EE ayns Mannin,
2nd edition of Space for Dark Skies,Yn nah chur-magh jeh Spoar son Speyryn Dorraghey,
IOM RNLI story documentary film,Fillym fysseree ginsh skeeal yn RNLI ayns Mannin,
Catalogue for solo sculpture exhibition,Catolog son taishbynys jeh jallooderys liorish un pheiagh,
Printing EP ‘Na Sruth an EP Seo’,Prental yn EP ‘Na Sruth an EP Seo’,
Make Good Ltd Manx Almanac Calendar printing costs,Costyn prental Feaillere Almanac Manninagh liorish Make Good Chiarmaanit,
Post-production for ‘The Black Dog’ short film,Obbyr ‘lurg filmal’ son y fillym giare ‘Yn Moddey Doo’,
Poetry collection printing costs,Costyn bentyn da prental chaglym dy vardaght,
Artwork for new album by TRIP,Obbyr Ellyn son albym noa liorish TRIP,
IOM Poetry Society Manx Reflections printing cost,Cost bentyn da prental ‘Manx Reflections’ liorish Sheshaght Vardaght Vannin,
Skills and community,Schleiyn as pobble,
Even a modest grant award can make a difference to projects in the community:,Foddee eer toyrtys veg ve feer foayssagh da shaleeyn y theay:,
IOM Church Recorders – printing costs re St Thomas’s Chapel and training costs,Recortysseryn Killagh Vannin – costyn prental bentyn da Cabbal Noo Thomase as costyn traenal,
Manx shop fronts project – Onchan and Castletown,Shalee Eddinyn Shapp Vannin – Kiondroghad as Balley Chashtal,
Summerland commemorative exhibition,Taishbynys ayns cooinaghtyn jeh Summerland,
Supporting Possan Cloie parent toddler group using Manx,"Cooney lesh y phossan paarant as paitchey, Possan Cloie, gymmydey Gaelg",
Refurbishment of Knox designed grave,Karraghey as glenney oaie kiaddit liorish Knox,
Event programme activating Kneale sculpture ‘Eelips’,Claare y taghyrt dy chur ayns bree yn jallooderys ‘Eelips’ liorish Bryan Kneale,
Manx Youth Bard stipend,Lowanse son Bard Sleih Aegey Vannin,
Manx Birdlife – Manx schools birdwatch scheme,Eeanlee Vannin – skeim dy vishaghey tushtey jeh ushagyn ayns scoillyn Vannin,
Gena’s Dance Academy – choreography of new Manx dance piece,Academee Daunsin Gena – croo peesh dy ghaunsin Manninagh noa,
Research Projects,Shaleeyn Ronsee,
Research is important to the development of an understanding of the Isle of Man and Manx Studies internationally:,Ta ronsaghey scanshoil myr aght dy vishaghey tushtey jeh Mannin as studeyrys Manninagh ayns cheeraghyn elley:,
Research trip ‘Illuminating young Medieval lives on the Isle of Man’,Turrys ronsee ‘Ceau soilshey er bea sleih aegey ny Eashyn Meanagh ayns Mannin’,
Analysing Neolithic and Bronze Age Ceramics from Berk Farm,Jannoo Myn-scrutaghey jeh Pashyn-craie yn Eash Chloaie Noa as yn Eash Ooha voish balley Berk,
From the Mouth of Manx Mothers – research and symposium costs,Ass Beeal Moiraghyn Manninagh – costyn ronsaghey as cummal symposium,
Digital transfer and audio restoration of Manx folk life tape archive,Cur ayns cummey bun-earrooagh as jannoo ny share sheean y tashtey dy recortyssyn tape jeant ec Creearey Seihll Theay Vannin,
Gaelic Broadcasting Committee Annual Report,Tuarastyl Vleinoil y Ving Ymskeaylley Gaelgagh,
"The Gaelic Broadcasting Committee is a full sub-committee of Culture Vannin, following the Appointed Day Order for the Communications Act 2021, which was brought into effect in late 2022. The committee is funded and chaired by Culture Vannin.","Ta’n Ving Ymskeaylley Gaelgagh ny fo-ving oikoil jeh Cultoor Vannin, geiyrt er Oardagh y Laa Pointit son Slattys Eddyrinsh 2021, va currit ayns bree ec jerrey’n vlein 2022. Ta’n ving geddyn yn argid eck voish Culture Vannin.",
"The committee represents public broadcasters, Manx language broadcasters, and Culture Vannin. The current members are: Robert Corteen Carswell, Christy DeHaven, Phil Gawne, Ruth Keggin Gell, Fiona McArdle, Catherine Nicoll, Daniel Quayle and Christopher Williamson (Chair).","Ta ynnydyn er y ving son scaalheaneyderyn theayagh, scaalheaneyderyn Gaelgagh, as Culture Vannin. She Robard y Carsalagh, Christy DeHaven, Phil Gawne, Ruth Keggin Gell, Fiona McArdle, Catherine Nicoll, Daniel Quayle as Christopher Williamson (Caairliagh) ta nyn olteynyn ec y traa t’ayn.",
International links,Co-chianglaghyn Eddyr-ashoonagh,Grants list; falls within the Gaelic Broadcasting Committee report in the original layout
"Our culture is enjoyed around the world, and has connections to other cultures, too. We helped celebrate these links by supporting:","Ta sleih feiy ny cruinney goaill taitnys ayns y chultoor ain, as ta co-chianglaghyn echey rish cultooryn elley, neesht. Ren shin cooney lesh jannoo mooar jeh ny co-chianglaghyn shoh liorish cur cooney da:",
Art exhibition linked to live music performance at Festival Interceltique de Lorient 2023,Taishbynys ellyn va co-chianlt rish cloieys kiaull bio ec y Festival Interceltique de Lorient 2023,
Visit from Raidio Failte to produce tri-lingual content as part of Colmcille project,Turrys dys yn Ellan liorish Raidio Failte dy yannoo cooid-chlaare three-hengagh son claare myr ayrn jeh’n çhalee Colmcille,
Claasagh trip to Tionlol yong harp festival in Ireland,Turrys liorish Claasagh dys feailley claasagh Tionlol yong ayns Nerin,
Visa costs for Manx performers at Australian Celtic Festival,Costyn visa son cloiederyn Manninagh ec yn Feailley Celtiagh Austrailagh,The Manx column repeats the English of this line before giving the Manx in the original
"In recent years, the main focus of the Committee has been to support Manx language programming. The committee’s current focus is to think strategically about the future and to supporting the Manx Language Strategy. They continue to undertake a wide-reaching review of Manx Gaelic broadcasting needs for the future in order to better understand listening and viewing habits, the objective being to inform the development of a strategy for Manx Gaelic Broadcasting.","Ayns ny bleeantyn jeeragh chaie, she cummal seose y skedjal dy chlaareyn Gaelgagh t’er ve dean mooar y Ving. Ec y traa t’ayn ta’n ving cur geill smoo da smooinaghtyn dy strateyshagh mychione y traa ry-heet as cummal seose deanyn y Strateysh son y Ghaelg. T’ad foast gobbragh er aavriwnys jeh femeyn Ymskeaylley Gaelgagh sy traa ry-heet dy vod ad toiggal ny share cliaghtaghyn ny eaishteyderyn as jeeagheyderyn, as y dean oc dy gheddyn fys oddys cooney lesh croo strateysh son Ymskeaylley Gaelgagh.",
"In turn, this will influence content created and encourage new broadcasting talent with the aim of reaching wider audiences. Additionally, connections have been made with relevant organisations in Scotland, Ireland and Wales to learn from the experience already gained in those countries.","Nee shoh eisht cooney lhieu reih yn cheint dy chooid-chlaare vees crooit as greinnaghey scaalheaneyderyn aghtal noa dy heet stiagh as cooilleeney y dean dy gheddyn caghlaays shlea dy eaishteyderyn. Chammah’s shen, ta co-chianglaghyn er ve jeant rish sheshaghtyn ayns Nalbin, Nerin as Bretin dy vod y ving gynsaghey veih’n tushtey cosnit ayns ny cheeraghyn shen.",
Manx Radio continues to support the Manx language and has now introduced a ‘hub’ for Manx Gaelic broadcasting:,Ta Radio Vannin foast cummal seose y Ghaelg as t’eh er chur lesh stiagh nish ‘mol’ son ymskeaylley Gaelgagh:,
Manx Radio continues to make use of greetings and short phrases throughout the day. Bob Carswell continues to host Claare ny Gael on a weekly basis and Shiaght Laa in a series of around 26 programmes per year.,Ta Radio Vannin foast jannoo ymmyd jeh bannaghtyn as raaghyn giare feiy’n laa. Ta Bob Carswell tannaghtyn myr fer-oast Claare ny Gael dagh shiaghtin as Shiaght Laa ayns strane jeh mysh 26 claareyn dagh blein.,
"Manx Radio also provides the platform on its AM1368 frequency for the BBC/Manx Radio co-productions, Traa dy Liooar and Kiaull as Cooish (formerly Jamys Jeheiney). These programmes are available from Manx Radio’s website on demand for a week after first broadcast.","Ta Radio Vannin cur neesht yn ardane er yn venkid AM1368 echey son ny claareyn ta jeant ec y VBC as Radio Vannin cooidjagh, Traa dy Liooar as Kiaull as Cooish (enmyssit roïe Jamys Jeheiney). Ta ny claareyn shoh ry-gheddyn ‘on demand’ er ynnyd-eggey Radio Vannin son shiaghtin lurg y chied scaalheaney.",
