Manx,English,
"     Loayrt mychione y fockleyr aym, ta mee screeu magh yn lettyr “W” nish as cha nel agh beggan beg ry yannoo dy chur jerrey er y chied dreaght (draft).","     Talking about my dictionary, I am writing out the letter “W” now and there is only a small little bit to do to finish the first draft.",
"Tra vees shen ec kione bee eh orrym dy ghoaill toshiaght reesht voish yn lettyr “A” dy charraghey ny marranyn as aascreeu kuse d’ocklyn as raghyn, agh, son y chooid smoo ta’n obbyr cooilleenit.","When that will be completed I will have to begin again from the letter “A” to fix the mistakes and rewrite some words and phrases, but, for the most part, the job is completed.",
Nish ta sheshaght enmyssit Masaw Enterprises er ve currit er bun dy hroggal yn argid dy chlou as cur magh y lioar.,"Now, a company called Masaw Enterprises has been established to raise the money to print and publish the book.",
"Er lhiam dy vel ny smoo na 65,000 focklyn Baarlagh ’syn ’ockleyr as Gaelg orroo ooilley. Oddagh Reiltys Vannin cur magh y lioar gyn smooinaghtyn er yn argid, lesh screebey penney oddagh ad cur yn £15,000 dooin ayns queig minnidyn.","I think it there is more than 65,000 English words in the dictionary and Manx for them all. The Isle of Man Government could publish the book without thinking about the money, with penny scraping they could give us the £15,000 in five minutes.",
"Cha jinnagh ny Shauneenyn t’ayn nish agh, lurg y Reihys? Foddee!","The jackeens (‘self assertive worthless fellow’ / ‘Anglocentric person’) that are in now won’t, but, after the election? Maybe!",
SHIRVEISH,SERVICE,
Nar jean-jee jarrood yn shirveish vees goll y chummal[2] fastyr mairagh ec tree er y chlag ayns Skylley Maayl.,Do not forget the service that will be held tomorrow afternoon at three o’clock in Kirk Michael.,[2] goll y cummal] goll er cummal
Ta treisht orrym[3] dy jig shiu ooilley. Ta sleih ennagh ’sy Cheshaght Ghailckagh gaccan nagh vel monney sleih cheet ny laghyn shoh gys ny shirveishyn Gaelgagh.,I hope that you will all come. Some people in Yn Cheshaght Ghailckagh are complaining that there aren’t many people coming these days to the Manx services.,"[3] Ta treisht orrym] literally ‘There is a trust / hope upon me’, an idiom unattested in Classical Manx — [Ta mee treishteil], or [Ta treisht aym] would be expected here."
BRASTYL AYNS LAKSEY,A CLASS IN LAXEY,
     Aigh vie er Adrian lesh y brastyl echey ayns Laksey. Cheayll mee dy vel ny smoo na feed son cheet gys y vrastyl shen.,"     Good luck on Adrian with his class in Laxey, I heard that more than twenty can come to that class.",
She tammylt neayr’s va brastyl Gaelgagh ayns y valley beg cheerey shen. Oie Jecrean ayns Colaashtey yn Edjaghys s’odjey raad ta mish gynsaghey ta daa vrastyl elley ayn myrgeddin.,It is a while since there was a Manx class in that village. Wednesday night in the College of Further Education where I teach there is another class too.,
Ta nane fo stiureydey Bnr Burgess as nane elley ayn fo stiureydys Leslie MacIlliam. Vel naight erbee voish ny ayrnyn elley jeh’n Ellan?,One is under the direction of Mrs Burgess and another under the direction of Leslie Quilliam. Is there any news from the other parts of the Island?,
NATIONALIST OPPORTUNITY,,
     Ayns Brialtagh Ellan Vannin jea va naight feer vie as feer ymmydoil da Mec Vannin ’sy chaggey reihyssagh.,In the Isle of Man Examiner yesterday there was very good news and very useful to Mec Vannin in the election fight.,
Rish tree bleeaney jeih ta shinyn nyn ashoonagheyryn er ve geam magh son slane seyrsnys da Mannin.,For threeteen  years we who are nationalists have been calling out for complete independence for the Isle of Man.,
Nish ta “P.A. Consultants” er ghraa ooilley ny reddyn va shinyn gra ymmoddee bleeantyn er dy henney.,Now “P.A. Consultants” have said the same things that we were saying many years ago.,
,"The choice before the Manx electorate in this coming election is simple, Nation or Province? Which do they want? Any Manxman with the minimum of intelligence knows in his heart that Manx prosperity is directly proportional to Manx independence. For years our week delegations have stood cap in hand in front of their masters in Whitehall. The nect five years will be the opportunity we all have been awaiting for years., the chance to break the English connection once and for all and the the opportunity to stand on our own feet as a proud member of L’Europ Des Nations, not as an extension of the English ”mainland”.[4]","[4] This section (above) appears in the article, in English only."
"     Kys ta ny Manninee dooie cur feoh da’n ’ockle shen! Cha beagh boirey erbee ayn ayns Ullee nish, dy beagh slane seyrsnys currit da ny Yernee ayns 1922.","     How the native Manx hate that word! There wouldn’t be any trouble in Ulster now, had complete independence been given to the Irish in 1922.",
,We in Mann cannot be both “Manx” and “English” at the same time. [5],"[5] This section (above) appears in the article, in English only."
