English,Manx,Page,Manx Original,Notes
"M. Yes, all of them. Have you never loved any worldly thing more than God and his favour? nor feared any thing more than his displeasure, so as to neglect a known duty rather than draw upon yourself some temporal inconvenience? This was a breach of the first commandment. The second commandment respects the manner of expressing the devotion of the heart; and therefore whatever in your service has been unbecoming, such as wandering thoughts, carelessness and irreverence, as well as using images, is a breach of this commandment: so is also neglect of God’s service. And here you will not pretend, I suppose, to be not guilty. Consequently, your coming to church and sacrament in this careless unthinking manner, deserves rather to be reckoned among your sins, than trusted to for justification before God. But a few minutes ago, in my hearing, you took the Lord’s name in vain, using it needlessly, and without an awful sense of his majesty, of whom you spake. You have done the same perhaps ten thousand times in your life. This is a breach of the third commandment. Whenever you have neglected to attend on God’s worship on the sabbath without a necessary hindrance, suffered worldly thoughts to unfit you for God’s service, done worldly business on that day that might have been done on another, and neglected to devote the whole to God, by reading, hearing, prayer, meditation, and useful conversation —you have profaned the Lord’s day. The substance of these commandments is, thou shalt love the Lord thy God with all thy heart: But you have come short of this whenever you have not acted to the glory of God. Now what think you of your innocence with respect to the duties of the first table of the commandments?","B. Dy firrinagh t’ou er ve oolee jeu ooilley. Nagh vel oo rieau er choyrt graih smoo da nhee erbee ’sy theihll na da Jee as e oayr; ny er ghoaill aggle smoo roish nhee erbee na roish y corree echeysyn, myr shen dy vel oo er lhiggey-shiaghey dty churrym dy haghney seaghyn ennagh seihltagh; Va shoh dy vrishey yn chied anney. Ta’n nah anney loayrt mychione yn aght dy hoilshaghey ooashley as ammys crauee yn chree, as shen-y-fa cre erbee: t’er ve neucooie ayns dty hirveish spyrrydoil myr smooinaghtyn fardalagh, meerioose as mee-arrym; t’ou liorish lheid ny reddyn er vrishey yn anney shoh, as myrgeddin liorish ve meerioosagh er shirveish Yee. Shickyr cha jean oo gobbal dy vel oo er ve foiljagh ayns yn ayrn shoh; as shen-y-fa ta cheet gys thie Yee as gys boayrd y Chiarn ayns lheid yn aght eddrym as dyn smooniaght ny s’cair dy ve er ny earroo mastey dty pheccaghyn na dy ve jeant undin dty hreishteil gys Jee. Eer neayr’s gow shin toshiaght dy loayrt ry-cheilley ren oo goaill ennym y Chiarn ayns fardail, jannoo ymmyd jeh fegooish feme, as fegooish ennaghtyn arrymagh jeh yn Ard-Ooashley echeysyn mychione v’ou loayrt. T’ou er choyrt raad da’n drogh cliaghtey shen foddee jeih thousane keayrt roïe; Liorish shoh t’ou er vrishey yn trass anney. Keayrt erbee t’ou er n’uirraght woish thie Yee er y doonaght fegooish oyr fondagh er y hon, er lhiggey da smooinaghtyn seihltagh dy yannoo oo neu-cooïe son shirveish y Chiarn, er n’yannoo obbyr seihltagh er y laa shen oddagh ve jeant er laa  elley, as nagh vel oo er hebbal yn slane laa gys Jee liorish lhaih ny clashtyn e ghoo, liorish padjer, smooinaghtyn crauee as taggloo vondeishagh, t’ou er vrishey yn doonaght. Ta bun as bree ny annaghyn shoh “Ver oo graih da’n Chiarn dty Yee lesh ooilley dty chree,” agh t’ou er jeet giare jeh shoh cha mennic as nagh vel oo er n’ymmyrkey oohene dys gloyr Yee. Nish, cre t’ou smooinaghtyn jeh’n aght t’ou er reayll yn chied voayrd jeh ny annaghyn.",3,"B. Dy firrinagh t’ou er ve oolee jeu ooilley. Nagh vel oo rieau er choyrt graih smoo da nhee erbee ’sy theihll na da Jee as e oayr; ny er ghoaill aggle smoo roish nhee erbee na roish y corree echeysyn, myr shen dy vel oo er lhiggey-shiaghey dty churrym dy haghney seaghyn ennagh seihltagh; Va shoh dy vrishey yn chied anney. Ta’n nah anney loayrt mychione yn aght dy hoilshaghey ooashley as ammys crauee yn chree, as shen-y-fa cre erbee: t’er ve neucooie ayns dty hirveish spyrrydoil myr smooinaghtyn fardalagh, meerioose as mee-arrym; t’ou liorish lheid ny reddyn er vrishey yn anney shoh, as myrgeddin liorish ve meerioosagh er shirveish Yee. Shickyr cha jean oo gobbal dy vel oo er ve foiljagh ayns yn ayrn shoh; as shen-y-fa ta cheet gys thie Yee as gys boayrd y Chiarn ayns lheid yn aght eddrym as dyn smooniaght ny s’cair dy ve er ny earroo mastey dty pheccaghyn na dy ve jeant undin dty hreisteil gys Jee. Eer neayr’s gow shin toshiaght dy loayrt ry-cheilley ren oo goaill ennym y Chiarn ayns fardail, jannoo ymmyd jeh fegooish feme, as fegooish ennaghtyn arrymagh jeh yn Ard-Ooashley echeysyn mychione v’ou loayrt. T’ou er choyrt raad da’n drogh cliaghtey shen foddee jeih thousane keayrt roïe; Liorish shoh t’ou er vrishey yn trass anney. Keayrt erbee t’ou er n’uirraght woish thie Yee er y doonaght fegooish oyr fondagh er y hon, er lhiggey da smooinaghtyn seihltagh dy yannoo oo neu-cooïe son shirveish y Chiarn, er n’yannoo obbyr seihltagh er y laa shen oddagh ve jeant er la elley, as nagh vel oo er hebbal yn slane laa gys Jee liorish lhaih ny clashtyn e ghoo, liorish padjer, smooinaghtyn crauee as taggloo vondeishagh, t’ou er vrishey yn doonaght. Ta bun as bree ny annaghyn shoh “Ver oo graih da’n Chiarn dty Yee lesh ooilley dty chree,” agh t’ou er jeet giare jeh shoh cha mennic as nagh vel oo er n’ymmyrkey oohene dys gloyr Yee. Nish, cre t’ou smooinaghtyn jeh’n aght t’ou er reayll yn chied voayrd jeh ny annaghyn.",
P. I cannot pretend to justify myself with respect to God; but I am sure I have done no hurt to man.,F. Son my churrym gys Jee cha noddym dy jarroo mee hene y heyrey; agh ta mee shickyr nagh vel mee er n’yannoo aggair erbee da dooinney.,4,,
"M. You would not say so, if you understood the spirituality and extent of God’s commandments, as explained by our Lord in his Sermon on the Mount. There you find that wantonness in the eye or heart is esteemed (Matt. v. 28.) adultery in the sight of God; and causeless (Matt. v. 22.) anger, and especially injurious language, is accounted a degree of murder: and who can acquit himself of these? ","B. Cha jinnagh oo loayrt myr shen dy beagh oo toiggal liurid as dooghys spyrrydoil jeh’n leigh myr t’eh soit magh liorish nyn Jiarn ayns y Sharmane echey er y clieau. Ayns shen t’ou feddyn dy vel eshyn ta jeeaghyn er ben dy chur saynt j’ee er vrishey poosey r’ee hannah ayns e chree, as dy vel corree gyn oyr, as erlheh goan brasnee coontit myr keint dy ghunverys, as quoi oddys eh hene y heyrey veih lheid ny loghtyn. ",4,,
"If you take the same method to understand the other commandments, all parts of your behaviour that are unsuitable to the station in which Providence hath placed you, all irreverence and proud censuring of your superiors, and all unkind and injurious treatment of those that are beneath you, will appear to be breaches of the fifth commandment. All evil speaking, rash censuring, and repeating of stories injurious to the character of others, are contrary to the ninth: and all murmuring and discontent, envy and greediness, are sins forbidden by the tenth.","My t’ou goaill yn aght cheddin dy hoiggal ny annaghyn elley nee dy chooilley ayrn jeh dty ymmyrkey nagh vel cooie gys y stayd huggey t’ou er dty eam, dy chooilley vee-arrym dauesyn t’ayns stayd s’yrjey na oo hene, as dy chooilley hranlaase orroosyn t’ayns stayd s’inshley, nee ooilley shoh jeeaghyn dy ve noi yn queiggoo anney; dy chooilley scammylt as skeeal ta jannoo aggair da ennym mie dty naboo noi yn nuyoo anney; as dy chooilley phlaiynt as tallagh, troo, as drogh-vian er ny lhiettal liorish y jeihoo anney.",4,,
P. Then it seems there is but one commandment against which I have not sinned.,F. Eisht t’eh jeeaghyn nagh vel ny smoo na un anney nagh vel mee er vrishey.,4,,
"M. If you rightly knew yourself and the law of God, you would not acquit yourself of that neither. Be not offended, I speak out of love to your soul. I do not think you a thief or a robber: yet, have you never concealed the faults and bad properties of what you sold, when you knew that ignorance of these faults was the very thing that induced the person to buy? Nay, have you not often recommended your goods in such general terms, as were inconsistent with strict truth? Have you not cruelly taken advantage of the necessity of a needy seller, and beat down his ware much below its real value? These will certainly witness against you.","B. Dy beagh tushtey fondagh ayd jeed hene as jeh leigh Yee, yinnagh oo my-ner dy vel oo er vrishey yn anney shen myrgeddin, Ny bee corree rhym. She ass graih gys dty annym ta mee loayrt. Cha vel mee goaill oo dy ve dty väarliagh [sic] ny roosteyr; ny-yeih nagh vel oo rieau er cheiltyn foiljyn ny reddyn t’ou er chreck, tra va fys ayd dy row yn kionneyder er ny hayrn dy kionnaghey liorish yn vee-hushtey echey jeu? Ny sodjey, nagh vel oo er voylley dty cooid ayns lheid ny goan as nagh row kiart cordail rish yn irriney? Nee ny reddyn shoh dy shickyr gymmyrkey feanish dt’oi.—",4,"B. Dy beagh tushtey fondagh ayd jeed hene as jeh leigh Yee, yinnagh oo my-ner dy vel oo er vrishey yn anney shen myrgeddin, Ny bee corree rhym. She ass graih gys dty annym ta mee loayrt. Cha vel mee goaill oo dy ve dy väarliagh ny roosteyr; ny-yeih nagh vel oo rieau er cheiltyn foiljyn ny reddyn t’ou er chreck, tra va fys ayd dy row yn kionneyder er ny hayrn dy kionnaghey liorish yn vee-hushtey echey jeu? Ny sodjey, nagh vel oo er voylley dty cooid ayns lheid ny goan as nagh row kiart cordail rish yn irriney? Nee ny reddyn shoh dy shickyr gymmyrkey feanish dt’oi.—",
"P. Why, Sir, after this rate you condemn all the world. According to your account, there is not a good man upon earth. ",F. Kammah! Er yn aght shoh ta shiu deyrey ooilley sheelnaue; liorish y coontey euish cha vel un dooinney cairal er y thalloo.— ,4,,
"M. It is not my account, but the scripture account: There is none that doth good, no not one, Rom. iii. 12."," B. Cha nee yn coontey ayms eh, agh yn coontey ta’n Scriptyr choyrt, “Cha vel fer hene ta jannoo dy mie, cha vel unnane.” (Rom. iii. 12)",5,,
"P. I am glad then you do not think me worse than my neighbours. I hope I shall do as well as others, for all are sinners. ","F. ’S’mie lhiam eisht nagh vel shiu jeeaghyn orrym’s dy ve ny smessey na my Naboonyn. Ta mee treishteil dy jiggym jeh chammah as feallagh elley, fakin dy nee peccee shin ooilley.",5,,
"M. Therefore you think you need not be greatly troubled, if you are so too; but hope to pass in the crowd. Does not some such thought as that lurk at the bottom? But what signify numbers with God, whose all-searching Eye no man can lie concealed from, and whose Arm none can resist or escape? Had you lived in Sodom or the old World, this fame thought might have lulled you asleep in the prevailing abominations, but would not save you from the overflowing deluge, nor the streams of fire.","B. Shen-y-fa t’ou smooniaght nagh vel oyr ayd dy ve slane seaghnit my t’ou hene neesht peccoil, agh dy vod oo ve er ny chieltyn fud ny earrooyn mooarey dy pheccee. Nagh vel lheid y smooniaght shoh lhie follit ayns dty chree? Agh cre sheeu earrooyn marish Jee, yn sooil echey ta ronsaghey dy chooilley nhee, as fakin dy chooilley ghooinney er feaie ny cruinney, as yn roih echey cha vod fer erbee chea veih ny shassoo noi? Dy beagh oo er cummal ayns Sodom ny Gomorrah oddagh yn smooniaght cheddin er chur ort ve ec fea, as dy chadley ayns ny peccaghyn cadjin agh cha noddagh oo er ve er dty choadey veih ny strooanyn dy aile liorish. ",5,"B. Shen-y-fa t’ou smooniaght nagh vel oyr ayd dy ve slane seaghnit my t’ou hene neesht peccoil, agh dy vod oo ve er ny chieltyn fud ny earrooyn mooarey dy pheccee. Nagh vel lheid y smooniaght shoh lhie follit ayns dty chree? Agh cre sheu earrooyn marish Jee, yn sooil echey ta ronsaghey dy chooilley nhee, as fakin dy chooilley ghooinney er feaie ny cruinney, as yn roih echey cha vod fer erbee chea veih ny shassoo noi? Dy beagh oo er cummal ayns Sodom ny Gomorrah oddagh yn smooniaght cheddin er chur ort ve ec fea, as dy chadley ayns ny peccaghyn cadjin agh cha noddagh oo er ve er dy choadey veih ny strooanyn dy aile liorish. ",
P. After this rate you damn all the world.,F. Er yn aght shoh ta shiu deyrey ooilley sheelnaue dys coayl-anmey dy bragh farraghtyn.,5,,
"M. Damn! What a word is that! It signifies to adjudge to eternal torment, to do which belongeth only to the righteous Judge. I would with all my soul rescue all men from this misery. And with that view I now speak plainly and faithfully to you, and agreeably to the word of God.",B. Coayl-anmey dy bragh farraghtyn! Cre’n fockle atchimagh shen? T’eh ghoaill stiagh torchagh nagh bee dy bragh ec kione; as t’eh bentyn gys y Briw cairagh ny lomarcan dy ockley magh yn briwnys agglagh shen. Yinnin lesh ooilley my chree sauail dy chooilley ghooinney veih’n treihys shen; as lesh lheid y yeearree ta mee nish loayrt dy baghtal as dy firrinagh as cordail rish ghoo Yee.,5,,
"P. Who then can be saved? Not you yourself. Pray, Sir, did you never sin?",F. Quoi eisht oddys ve er ny hauail? Cha nod shiu hene saualtys y cosney. Lhig dou briaght Nagh vel shiuish rieau er chur rish peccah?,5,,
"M. Friend, be serious. The subject we are now upon is of the utmost importance. I have sinned as well as you; I have greatly sinned, and my sins have deserved eternal damnation: but God hath been pleased to awaken me to repentance; he hath shewn me my danger, and stirred me up to flee from the wrath to come. He hath shewn me also the way of escaping the wages of sin, opened in the blessed gospel. The offer of salvation there made, I trust Ihave embraced, and obtained forgiveness through faith in Jesus Christ. ","B. My Charrey, ny jean craid. Ta’n cooish ta shin nish loayrt er jeh’n trimmid smoo. Ta mish er chur rish peccah chammah rhyt hene. Ta mee er ve feer peccoil, as ta my pheccaghyn er hoilloo coayll-anmey dy bragh farraghtyn; agh ta Jee ayns e vyghin er ghoostey mee gys arrys; t’eh er hoilshaghey dou my gaue, as er my ghriennaghey dy hea veih’n jymmoose ta ry-heet; T’eh er hoilshaghey dou myrgeddin yn aght dy scapaill faill peccah myr t’eh soit roïn ayns y  Sushtal bannit. Ta mee treishteil dy vel mee er ghoaill greme er y taualtys ta chebbit ayns shen, as er gheddyn leih my pheccaghyn trooid credjue ayns Yeesey Chreest.",5,,
"P. I hope I have repented too: I am sure, if I offend God, I am sorry for it afterwards. And as for faith—why, we are all christians, I hope, are we not?","F. Ta mee treishteil dy vel mish er ghoaill arrys neesht. Ta mee shickyr my ta mee coyrt corree er Jee ta mee trimshagh er y hon—as son Chredjue, ta shin ooilley Chreesteenyn, ta mee treishteil; nagh vel shin?",6,,
"M. If your repentance is sincere, and your faith lively and saving, your state is safe and happy. But many persons deceive themselves by a dead faith and imperfect repentance. Are you willing to have the sincerity of yours tried? ","B. My ta dty arrys firrinagh as dty chredjue bioal as breeoil, t’ou ayns stayd sauchey as maynrey; agh shimmey ta molley ad hene liorish chredjue marroo, as arrys neu-vessoil. Vel aigney ayd dy ronsaghey as dy phrowal dty chredjue as dty arrys.",6,,
"P. I am; for the trial can do me no hurt: If I am safe it is well; If I am not, I hope it is not too late to amend.","F. Ta dy firrinagh. Cha nod eh skielley erbee y yannoo rhym dy phrowal ad. My ta mee ayns stayd sauchey ’smie shen, as mannagh vel mee ta mee treishteil nagh vel eh foast ro-anmagh dy lhiassaghey my vea.",6,,
"M. You say very right. First, then, let us examine your repentance. Now[4] true repentance implies a sense of sin, its odiousness and deformity, a hatred of it, a humiliation and self-loathing on account of it, an actual forsaking of it, and a turning to God by newness of life. Is your repentance such as this?","B. T’ou gra dy mie. Hoshiaght eisht, lhig dooin prowal dty arrys. Ta arrys firrinagh goaill stiagh ennaghtyn dowin jeh peccah, jeh’n dooghys broghe as feohdoil echey—choyrt dwoaie da,—chea veih—as chyndaa gys Jee liorish bea noa. Vel yn arrys ayds lheid shoh?",6,,[4] In the 1790 text the words up to Now are absent.
P. I hope it is.,F. Ta mee treishteil dy vel.,6,,
"M. The wages of sin is death, eternal death. Do you think you deserve this death?",B. Ta “faill peccah baase”—baase dy bragh farraghtyn. Vel oo smooinaght dy vel uss toilloo yn vaase shoh?,6,,
"P. As much as other men, for all are sinners: but God is merciful.","F. Myr ta feallagh elley er hoilloo eh; son ta ooilley peccee, agh ta JEE myghinagh—",6,,
M. Do not now talk of other men. Do you A. B. think that you deserve eternal death?,B. Ny loayr veg jeh feallagh elley. Vel oo smooinaght dy vel oo hene toilloo baase dy bragh farraghtyn?,6,,
"P. If God should deal with me according to strict justice, I do:[5] But, as I think God is merciful, so I hope I shall do well enough.","F. Dy beagh JEE dy my vriwnys dy cairagh as dy geyre, ta mee; agh myr ta fys aym dy vel JEE myghinagh, myr shen ta mee jerkal dy bee ooilley dy mie marym.",6,"F. Dy beagh JEE dy my ?riwnys dy cairagh as dy geyre, ta mee; agh myr ta fys aym dy vel JEE myghinagh, myr shen ta mee jerkal dy bee ooilley dy mie marym.",[5] I do:] 1790 I do not:
"M. I fear your notions of God’s mercy are such as prevent true repentance. You seem to have entertained hopes of mercy, without being deeply sensible of your utter misery without it; to have applied the healing balsam, before you were wounded. This is what the Almighty styles healing the wound of his people slightly. Now you seem in this manner to have deceived yourself. You never saw yourself in a state of sin and death; you never saw sin odious; you were never greatly afraid of perishing, nor saw that there was no help or strength in yourself: therefore you never fled to him who is a Refuge from the storm. And, if you have never fled thus to Christ, as helpless and undone without him, it is plain that you are still without any saving interest in him.","B. Ta mee ghoaill aggle dy vel ny smooinaghtyn t’ayds jeh myghin YEE lheid as ta lhiettal arrys firrinagh. T’ou jeeaghyn dy hreishteil son myghin choud’s t’ou dyn ennaghtyn jeh dty hreihys n’egooish, as t’ou er n’yannoo ymmyd jeh ny saaseyn lheihys  roish t’ou er n’ennaghtyn oo hene ching. Shoh eh ta JEE genmys “scryssey harrish lhott e phobble.” Nish ayns y cooish shoh t’ou er volley oo hene. Cha vel oo rieau er n’akin oo hene ayns stayd dy pheccah as dy vaase; cha vel oo rieau er n’akin peccah dy ve feohdoil; cha row oo rieau fo atchim as aggle jeh cherraghtyn son dy bragh, ny er ve dy dowin tushtagh nagh row cooney ny niart aynyd hene; as shen-y-fa cha ren oo rieau chea huggeysyn ta “kemmyrk veih’n sterrym.” As mannagh vel oo rieau er jeet er yn aght shoh dys Chreest, myr boght as treih as caillit fegooish yn cooney echeysyn, t’eh cronnal nagh vel ayrn ayd whoast ayns y taualtys gloyroil t’eh er chionnaghey er nyn son. ",6,,
"See how it was with those converts mentioned in the Acts of the Apostles; St. Peter’s hearers were pricked in their hearts, and said, Men and brethren, what shall we do? The Jailor came trembling, through a sense of his miserable condition before he was baptized, and received forgiveness of sins. St. Paul was struck to the ground.","Jeeagh er y coontey t’ain jeh ny arryssee ayns Jannoo ny Hostyllyn. Va’n vooinjer va geaishtagh rish sharmane y Noo Peddyr “guint ayns nyn gree as dooyrt ad, Gheiney as “vraaraghyn cre bailliu shin dy yannoo?” Haink Arreyder y phryssoon er-creau fo ennaghtyn jeh e stayd hreih, roish ve er ny vashtey; as va e pheccaghyn er nyn leih da. Va Noo Paul bwoailt gys y thalloo.",7,,
"P. All there were infidels. I was baptized in my infancy, and bred up to know good things, and always believed.","F. V’ad ooilley shen ny  Anchredjuee. Er my hon’s va mee er my vashtey tra va mee my lhiannoo, as er my hroggal ayns tushtey jeh reddyn mie; as cha vel mee rieau er choyrt raad da meechredjue.",7,,
