English,Manx,Page,Manx Original,Notes
"To display the power and sovereignty of this grace, the Apostle tells us, that God hath chosen the foolish things of the world to confound the wise, and the weak things of the world to confound the things that are mighty, for the express purpose, that no flesh should glory in his presence, but that he that glorieth should glory only in the Lord. This is very different from the general views of men. There is a proneness in the human mind when convicted of sin, to do something in order to escape the wrath of God and merit his favour. Many go about to establish a righteousness of their own, not submitting to the righteousness of God ; while others endeavour by their own exertions to make their hearts better, and so prepare them for the reception of Christ. Joseph had no idea of such a way of salvation When asked about his heart, if there was no token for good about it, no saving change there ? “Ah no, (said he) Joseph can act nothing—Joseph has nothing to say for himself, but just that he is the chief of sinners, “ &c.",,3,,
,,3,,
,,3,,
,,3,,
,,3,,
,,3,,
,,3,,
,,3,,
,,3,,
,,3,,
,,3,,
,,3,,
,"Dy vel Jee er reih reddyn ommijagh y theihll, dy choyrt fo-chosh ny reddyn creeney; as dy vel eh er reih reddyn faase y theihll, dy naaraghey ny reddyn niartal, nagh jinnagh dooinney erbee boggyssagh ayns yn enish echeysyn, agh dy jinnagh eshyn ta boggyssagh, boggyssagh ynrycan ayns y Chiarn. Ta lane lhiettrimys eddyr shoh, as smooinaghtyn cadjin deiney. Ta aigney dooinney tra t’eh gennaghtyn errey e pheccaghyn, aarloo dy yannoo red ennagh ayns e niart hene dy haghney jymmoose Yee, as dy hoilloo e oayr. Shimmey ta shirrey dy hoiaghey seose yn cairys oc hene, agh cha vel ad er injillaghey ad hene gys cairys Yee; choud ’s ta feallagh elley streeu liorish nyn niart hene dy yannoo nyn greeaghyn ny share, as myr shen dy yannoo ad aarloo dy ghoaill stiagh Creest. Cha row veg y treishteil ec Joseph dy ve er ny hauail er lheid yn aght. Tra ren ad fênaght jeh mychione e chree; nagh row cowrey mie erbee ayn, nagh row caghlaa firrinagh obbrit ayn? Row eh er jeet gys Creest, liorish credjal ayn? Ah treih! cha vel, (dooyrt eshyn,) cha vod Joseph veg y yannoo—cha vel veg ec Joseph dy ghra er e hon hene, agh ynrycan dy vel eh ny ard peccagh; ny-yeih myr te raa firrinagh, dy daink Yeesey, eshyn chroo dy chooilley nhee, gys y theihll dy hauail peccee, cre’n fa nagh vod Joseph, lurg ooilley, ve er ny hauail?[2]",3,,"[2] The Manx expands ‘&c.’, repeating Joseph’s words from the second paragraph."
"2. The gospel produces love to God and his people. Joseph had received the word, not as the word of men, but (as it is in truth) the word of God; and it wrought effectually in him believing it. He experienced the truth of the Apostle's assertion, “We love him because he first loved us.” “O pray, (said he,) to that Jesus for me ; pray that he may save me! tell him that Joseph thinks that he loves him for coming into the world to save such sinners as Joseph.” Whatever may be said about loving God for what he is in himself, it was a sense of the love of Christ manifested in saving sinners, that first attracted his attention, drew forth his warmest affections, and occupied all his thoughts. Thus it is with every sinner saved by sovereign grace. A sense of the love of Christ shed abroad in the heart by the Holy Spirit, infallibly produces love, and this is shewn by universal obedience to the will of God, and studying to adorn the doctrine of God by a life and conversation becoming the gospel. Joseph could not now manifest his love to God in this way, but he does it by shewing love to his people, and that because they were the friends of Jesus. When he heard Dr. Calamy's voice, he exclaimed, “O, sir, you are the friend of the Lord Jesus, whom I heard speak so well of him, and whom I love for what you said of him;” and to this profession of love he added a substantial proof, in giving to the poor friends of Jesus all he possessed in the world.","2. Ta’n sushtal gobbraghey ayndooosyn ta dy firrinagh credjal eh, graih da Jee as da e phobble. Va Joseph er ghoaill yn goo, cha nee myr goo deiney, agh (myr te ayns firrinys) goo Yee; as dobbree eh dy breeoil aynsyn liorish credjue. Ren eh gennaghtyn firrinys goan yn Ostyl, “Ta shin graihagh ersyn er-yn-oyr dy dug eshyn hoshiaght graih dooinyn.” “O gow padjer, (dooyrt eshyn) gys yn Yeesey shen er my hon; gow padjer dy jean eh mish y hauail! insh da dy vel Joseph smooinaghtyn dy vel eh graihagh ersyn, son dy daink eh gys y theihll dy hauail lheid ny peccee as Joseph.” Cre-erbee oddys ve er ny ghra mychione coyrt graih da Jee son ny t’eh ayn hene, she’n ennaghtyn jeh graih Creest er ny hoilshaghey ayns sauail peccee, ghow greme hoshiaght er e aigney, ren ghreinnaghey e ghraih s’jeean, as sluggey seose ooilley e smooinaghtyn. Shoh myr te marish dy chooilley ghooinney peccoil t’er ny hauail liorish grayse. Ta ennaghtyn graih Chreest deayrtit magh ayns y chree liorish y Spyrryd casherick, dy shickyr gymmyrkey magh graih, as ta shoh er ny hoilshaghey liorish slane biallys da aigney Yee, as streeu dy hoiaghey magh ynsagh Yee liorish ymmyrkey bea cordail rish y sushtal. Cha row niart ec Joseph nish dy phrowal e ghraih da Jee er yn aght shoh, agh t’eh jannoo eh liorish soilshaghey graih da e phobble, as shen er-yn-oyr dy row ad caarjyn Yeesey. Tra cheayll eh coraa Saggyrt Calamy, deïe eh, “O Vainshter! T’ou uss carrey yn Chiarn Yeesey, oo cheayll mee loayrt cha mie jeh, as ersyn ta mee graihagh son shen dooyrt oo my-e‑chione;” as cha ren eh ynrycan goaill rish y ghraih shoh, agh hug eh prował fondagh jeh firrinys e ghraih ayns coyrt da caarjyn boghtey Yeesey ooilley e chooid seihlt.",3,"2. Ta’n sushtal gobbraghey ayndooosyn ta dy firrinagh credjal eh, graih da Jee as da e phobble. Va Joseph er ghoaill yn goo, cha nee myr goo deiney, agh (myr te ayns firrinys) goo Yee; as dobbree eh dy breeoil aynsyn liorish crejue. Ren eh gennaghtyn firrinys goan yn Ostyl, “Ta shin graihagh ersyn er-yn-oyr dy dug eshyn hoshiaght graih dooinyn.” “O gow padjer, (dooyrt eshyn) gys yn Yeesey shen er my hon; gow padjer dy jean eh mish y hauail! insh da dy vel Joseph smooinaghtyn dy vel eh graihagh ersyn, son dy daink eh gys y theihll dy hauail lheid ny peccee as Joseph.” Cre-erbee oddys ve er ny ghra mychione coyrt graih da Jee son ny t’eh ayn hene, she’n ennaghtyn jeh graih Creest er ny hoilshaghey ayns sauail peccee, ghow greme hoshiaght er e aigney, ren ghreinnaghey e ghraih s’jeean, as sluggey seose ooilley e smooinaghtyn. Shoh myr te marish dy chooilley ghooinney peccoil t’er ny hauail liorish grayse. Ta ennaghtyn graih Chreest deayrtit magh ayns y chree liorish y Spyrryd casherick, dy shickyr gymmyrkey magh graih, as ta shoh er ny hoilshaghey liorish slane biallys da aigney Yee, as streeu dy hoiaghey magh ynsagh Yee liorish ymmyrkey bea cord?l rish y sushtal. Cha row niart ec Joseph nish dy phrowal e ghraih da Jee er yn aght shoh, agh t’eh jannoo eh liorish soilshaghey graih da e phobble, as shen er-yn-oyr dy row ad caarjyn Yeesey. Tra cheayll eh coraa Saggyrt Calamy, deïe eh, “O Vainshter! T’ou uss carrey yn Chiarn Yeesey, oo cheayll me loayrt cha mie jeh, as ersyn ta mee graihagh son shen dooyrt oo my-e‑chione;” as cha ren eh ynrycan goaill rish y ghraih shoh, agh hug eh prował fondagh jeh firrinys e ghraih ayns coyrt da caarjyn boghtey Yeesey ooilley e chooid seihlt.",
"3. The gospel is sufficient to support the mind in the immediate prospect of death. Joseph did not comfort himself with the thought that he was no worse than his neighbours; and therefore, as God was merciful, he would be safe enough. The atonement of Christ was the only and exclusive ground of his hope and confidence in the view of death, judgment, and eternity. Being justified by faith, he had peace with God through the Lord Jesus Christ, and rejoiced in hope of the glory of God.","3. Ta’n sushtal fondagh dy chummal seose yn cree eer er broogh beaynid. Cha nee nagh row eh veg smessey na e naboonyn hug gerjagh da Joseph; as er-yn-oyr shen myr va Jee myghinagh, nagh row veg echey dy ghoaill aggle roish. She lhiassaghey Chreest va ynrycan undin e hreishteil ayns eddin baase, briwnys, as beaynid. Er ny heyrey liorish credjue, va shee echey rish Jee trooid yn Chiarn Yeesey Creest, as gow eh boggey ayns treishteil jeh gloyr Yee.",4,,
"Death is a subject of the last importance. It is appointed unto men once to die, but after death the judgment. Think of this, ye that forget God, and put far from you the day of death. Remember that your breath is in your nostrils; perhaps this night your soul may be required of you, and what then would be your situation? Be entreated then to consider your ways, and flee for refuge to the hope set before you in the gospel. It still remains a faithful saying, that Jesus, he who made all things, came into the world to save sinners, even the chief. And there is no other name given under heaven by which any can be saved.","Ta baase cooish jeh trimmid erskyn-insh. “Te er ny phointeil da deiney un cheayrt dy gheddyn baase, as ny lurg shen yn Briwnys.” Smooinee-jee er shoh, ooilley shiuish ta jarrood Jee, as ta coyrt baase foddey veue. Cooinee-jee dy vel yn ennal eu ayns ny stroinyn eu: eer yn oie noght foddee nyn annym v’er ny hirrey veue, as eisht—cre’d veagh nyn stayd? Bee-jee er nyn goyrlaghey er-y-fa shen dy smooinaghtyn er nyn raaidyn, as dy hea son kemmyrk gys y treishteil shen ta soit kiongoyrt riu ’sy tushtal. Te foast raa firrinagh, dy daink Yeesey, eshyn chroo dy chooilley nhee, stiagh ’sy theihll dy hauail peccee, eer ny peccee smessey ta cheet gys Jee liorishyn. As “cha vel ennym, erbee elley fo niau er ny choyrt mastey deiney, liorish oddys fer erbee ve er ny hauail.”",4,,
,________________________________________,4,,
"Liverpool: Printed and Sold for The Liverpool Religious Tract Society, by H. Greenough at the Tract and Sunday School Depository, 68, Circus-street. ","Printed by R. Tilling, Circus-street, Liverpool.",4,,
[Price 1s. 4d. per 100.],,4,,
"Good Allowance to Shopkeepers,  to Subscribers, and to Booksellers.",,4,,
