Manx,English,,Diplomatic,1872 Transliteration
"Tra ta caslys vie goll, as yn eeast cheet er-ash, ","When a good sign is going, and the fish reappear,",,"Tra ta caslys vie goll, as yn eeast cheet er-ash, ","When fish multiplies, and foretells a good take, "
Çhelleeragh ta’n dooan soit son y vock-ghlass[2].,The hook is set immediately for the hake.,"[2] Dwelly gives 1. ‘Large dogfish’ 2. ‘Shark’. For boc glas. ‘Hake’, is commercial fish, traditionally caught using hooks on ‘baulks’ (long lines).",Chelleeragh ta’n dooan soit son y vock-ghlass. ,The line and the hook are prepared for the hake.
"Te shilley vondeishagh, goaill prowal vie stiagh, ","It is a positive sight, taking in a good ‘proof’,",,"Te shilley vondeishagh, goaill prowal vie stiagh, ","’Tis pleasant to witness good hauls coming in, "
"As s’eunyssagh y laa, dy chreck yn eeast magh ; ",And the day is so delightful; to sell the fish on;,,"As s’eunyssagh y laa, dy chreck yn eeast magh ; ",And so a fine day is to sell it again ; 
"Dy chreck eh dy gennal rish kionneyder vie, ","To sell it happily to a good buyer,",,Dy chreck eh dy gennal rish kionneyder vie ,"To sell to good buyers with beer at command, "
"Goaill jough lesh arrane, as craa-laue ben-y-thie.","To take a drink with a song, and shake hands with the landlady.",,"Goaill jough lesh arrane, as craa-laue ben-y-thie. ",And sing with a shake of the landlady’s hand. 
"Lesh cappan dy yough as greme veg dy veer, ","With a cup of drink and little bite of piece of bread,",,"Lesh cappan dy yough as greme veg dy veer, ","With an honest got morsel, and a cup of good beer, "
Nee mayd beaghey cha souyr as eirrinee yn cheer ; ,"We will live as comfortably as country farmers,",,Nee mayd beaghey cha souyr as eirrinee yn cheer ; ,"As snug as our farmers, we'll live the whole year; "
Lhig dooin giu dy creeoil gys y cheshaght ain hene ,"Let us drink heartily to our own crew,",,Lhig dooin gin dy creeoil gys y cheshaght ain hene ,"We'll heartily drink to the health of our men, "
"Mastey deiney, shin s’gennal fud immanee yn lieen.","Amongst men, we are most happy amongst ‘the drivers of the net’.",,"Mastey deiney, shin s’gennal fud immanee yn lieen. ",And none are more cheerful who tug at the train. 
"Nish jerrey dy choyrt er ny ta mee er ghra,","Now to put an end on what I have to say,",,Nish jerrey dy choyrt er ny ta mee er ghra ,"And now my dear Mona, to finish my rhyme, "
D’row (dy row) palçhey dy Skeddan ec Mannin dy braa ; ,"May Mann forever have plenty of Herring,",,D’roon palchey dy Skeddan ec mannin dy braa ; ,May plenty of herrings forever be thine ; 
"Freill, freill dooin yn vannaght, O Chrootagh y theihll, ","Keep, keep the blessing for us, O Creator of the world,",,"Fraill, freill dooin yn vannaght, O Chrootagh y theihll, ","Preserve the great blessing, thou God of all grace, "
As ayns booise lhig da Manninee fosley nyn meeal.,And let the Manx open their mouths in thanks.,,As ayns booise lhig da manninee fosley nyn meeal.,And may it redound to thy glory and praise.
