English,Manx,Manx Original,English Original,Notes,Page
"With all our life; that is to say, that our chief joy and delight be set upon him and his honour; and our whole life given unto the service of him above all things, with him to live and die, and to forsake all other things rather than him: for he that loveth his father or mother, son or daughter, house or land, more than me, saith Christ, is not worthy to have me. Matt. x.","Lesh ooilley nyn mea: ta shen dy ghra dy bee nyn ard moggey[4] as eunys soit ersyn as er e ooashley, as nyn slane mea er ny choyrt seose gys y chirveish echeysyn erskyn dy chooilley nhee; marishyn dy veaghey as dy gheddyn baase, as dy scarrey rish dy chooilley nhee elley ny sleaïe na rishyn; son, “eshyn ta coyrt graih smoo da ayr ny moir, mac ny inneen, thie ny thalloo na dooys (ta Creest gra) cha vel eh feeu jeem.” (Mian x. 37.)[5]","Lesh ooilley nyn mea: ta shen dy ghra dy bee nyn ard moggey[4] as eunys soit ersyn as er e ooashley, as nyn slane mea er ny choyrt seose gys y chirveish echeysyn erskyn dy chooilley nhee; marishyn dy veaghey as dy gheddyn baase, as dy scarrey rish dy chooilley nhee elley ny sleaïe na rishyn; son, “eshyn ta coyrt graih smoo da ayr ny moir, mac ny inneen, thie ny thalloo na dooys (ta Creest gra) cha vel eh feu jeem.” (Mian x. 37)[5]",,"[4] moggey] Thomson: ‘leg. voggey: (the translator may have written nyn moggey first, then inserted ard- ‘chief joy’, without making the necessary alteration.)’
[5] The quotation is not exact, and the Gospel does not include thie ny thalloo ‘house or land’.",2
"With all our powers; that is to say, that with our hands and feet, with our eyes and ears, our mouths and tongues, and with all other parts and powers both of body and soul, we should be given to the keeping and fulfilling of his commandments. ","Lesh ooilley nyn niart, ta shen dy ghra, dy lhisagh shin freayll as cooilleeney ny annaghyn echey lesh nyn laueyn as nyn gassyn, lesh nyn sooillyn, as nyn gleayshyn, lesh nyn meeal as nyn jengaghyn, as lesh ooilley ny ayrnyn as pooaraghyn elley chammah jeh corp as annym.  ",,,,2
The love of thy neighbour.,Graih dty naboo.,,,,3
"This is the first and principal part of charity; but it is not the whole: for charity is also to love every man, good and evil, friend and foe; and whatsoever cause be given to the contrary, yet nevertheless to bear good will and heart unto every man: to use ourselves well unto them, as well in words and countenance, as in all our outward acts and deeds: for so Christ himself taught, and so also he performed in deed.","Ta shoh yn chied as yn ard ayrn jeh ghiastyllys; agh cha vel eh yn slane, son ta Ghiastyllys myrgeddin dy choyrt graih da dy chooilley ghooinney, mie as sie, carrey as noid, as cre erbee yn oyr t’er ny choyrt son dwoaie, dy hoilshaghey aigney mie as kenjallys, da dy chooilley ghooinney, dy ymmyrkey shin hene dooie daue, chammah ayns ooilley nyn ghoan, as ayns ooilley nyn yannoo; son myr shen dynsee Creest, as myr shen myrgeddin ren eh eh hene y ymmyrkey.","Ta shoh yn chied as yn ard ayrn jeh ghiastyllys; agh cha vel eh yn slane, son ta Ghiastyllys myrgeddin dy choyrt graih da dy chooilley ghoinney, mie as sie, carrey as noid, as cre erbee yn oyr t’er ny choyrt son dwoaie, dy hoilshaghey aigney mie as kenjallys, da dy chooilley ghooinney, dy ymmyrkey shin hene dooie daue, chammah ayns ooilley nyn ghoan, as ayns ooilley nyn yannoo; son myr shen dynsee Creest, as myr shen myrgeddin ren eh eh hene y ymmyrkey.",,,3
"Of the love of God he taught in this wise unto a Doctor of the law, that asked him which was the great and chief commandment in the Law: Love thy Lord God, said Christ, with all thy heart, with all thy soul and with all thy mind. Matt. xxii.","Mychione graih Yee dynsee eh er yn aght shoh Fer-ynsee jeh’n leigh ren fenaght jeh cre va’n ard anney ’sy leigh: “Cur graih da’n Chiarn dty Yee,” dooyrt Creest, “lesh ooilley dty chree, lesh ooilley dty annym, as lesh ooilley dty aigney.” (Mian xxii. 37).","Mychione graih Yee dynsee eh er aght shoh Fer-ynsee jeh’n leigh ren fenagh jeh cre va’n ard anney ’sy leigh: “Cur graih da’n Chiarn dty Yee,” dooyrt Creest, lesh ooilley dty chree, lesh ooilley dty annym, as lesh ooilley dty aigney. (Mian xxii. 37).",,,3
"And of the love that we ought to have among ourselves each to other, he teacheth us thus: You have heard it taught in times past, Thou shalt love thy friend, and hate thy foe: but I tell you, Love your enemies; speak well of them that defame and speak evil of you; do well to them that hate you; pray for them that vex and persecute you; that you may be the children of your Father that is in heaven: for he maketh his sun to rise both upon the evil and good, and sendeth rain to just and unjust. For if you love them that love you, what reward shall you have? Do not the Publicans likewise? Matt. v","As mychione y ghraih lhisagh ve ain yn derrey yeh gys y jeh elley, t’eh gynsaghey shin er yn aght shoh: Ta shiu er chlashtyn dy row eh er ny ghra, Ver oo graih da dty naboo, as feoh da dty noid; agh ta mish gra riu, Bee-jee dooie da nyn noidyn, bannee-jee adsyn ta gwee mollaght diu; jean-jee mie dauesyn ta cur dwoaie diu, as gow-jee padjer er nyn son ocsyn ta dy goanlyssagh jannoo tranlaase erriu; dy vod shiu ve cloan nyn Ayr t’ayns Niau, son t’eshyn cur er e ghrian girree er mie as sie, as cur fliaghey neose er y vooinjer chairagh as neu-chairagh. Son my ta shiu graihagh orroosyn ta graihagh erriuish, cre’n leagh ta nyn gour? Nagh vel eer ny publicanee jannoo yn lheid cheddin? My she da nyn Mraaraghyn ny-lomarcan ta shiu coyrt oltaghey bea, cre smoo ta shiu dy yannoo na feallagh elley? Nagh vel ny eer publicanee jannoo myr shen?” (Mian v. 43–49.)","As mychione y ghraih lhisagh ve ain yn derrey yeh gys y jeh elley, t’eh gynsaghey shin er yn aght shoh: Ta shiu er chlashtyn dy row eh er ny ghra, Ver oo graih da dty naboo, as feoh da dty noid; agh ta mish gra riu, Bee-jee dooie da nyn noidyn, bannee-jee adsyn ta gwee mollaght dui; jean jee mie dauesyn ta cur dwoaie diu, as gow-jee padjer er nyn son ocsyn ta dy goanlyssagh jannoo tranlaase erriu; dy vod shiu ve cloan nyn Ayr t’ayns Niau, son t’eshyn cur er e ghrian girree er mie as sie, as cur fliaghey neose er y vooinjer chairagh as neu-chairagh. Son my ta shiu graihagh orroosyn ta graihagh erriuish, cre’n leagh ta nyn gour? Nagh vel eer ny publicanee jannoo yn lheid cheddin? My she da nyn Mraaraghyn ny-lomarcan ta shiu coyrt oltaghey bea, cre smoo ta shiu dy yannoo na feallagh elley? Nagh vel ny eer publicanee jannoo myr shen?” (Mian v. 43–49.)",,,3
"And if you speak well only of them that be your brethren and dear beloved friends, what great matter is that? Do not the Heathen the same also? These be the very words of our Saviour Christ himself, touching the love of our neighbour. And forasmuch as the Pharisees, with their most pestilent traditions and false interpretations and glosses, had corrupted and almost clearly stopped up this pure well of God’s lively word; teaching that this love and charity pertained only to a man’s friends, and that it was sufficient for a man to love them which do love him, and to hate his foes: therefore Christ opened this well again; purged it and scowered it by giving unto his godly law of charity a true and clear interpretation, which is this; that we ought to love every man, both friend and foe: adding thereto what commodity we shall have thereby, and what incommodity by doing the contrary.","Shoh goan nyn Saualtagh hene mychione graih er nyn Naboo. As er-yn-oyr dy row ny Phariseeyn liorish nyn oardaghyn aggairagh, as liorish coyrt bun foalsey er ny Scriptyryn er villey as faggys er yeigh seose yn chibber ghlen shoh jeh Goo bioal Yee, gynsaghey dy row yn ghraih as y ghiastyllys shoh bentyn ynrycan gys caarjyn dooinney, as dy row eh dy liooar da dooinney dy ve graihagh orroosyn va graihagh ersyn, as dy choyrt dwoaie da e Noidyn, shen-y-fa ren Creest yn chibbyr shoh y osley reesht, as ren eh eh y ghlenney liorish coyrt bun firrinagh as baghtal er e leigh crauee dy ghiastyllys, ta shen dy ghra, dy lhisagh shin graih y choyrt da dy chooilley ghooinney, chammah carrey as noid, gynsaghey dooin cre’n vondeish yiow mayd liorish jannoo myr shen, as cre’n skielley hig orrin liorish jannoo er aght elley.",,,,4
"What thing can we wish so good for us, as the eternal heavenly Father to reckon and take us for his children? And this shall we be sure of, saith Christ, if we love every man without exception. And if we do otherwise, saith he, we be no better than the Pharisees, Publicans, and Heathen: and shall have our reward with them; that is, to be shut out from the number of God’s chosen children, and from his everlasting inheritance in heaven.","Cre’d oddys mayd geearree ny s’vondeishee er nyn son na’n Ayr dy bragh farraghtyn dy ghoaill shin son e chloan hene? As jeh shoh foddee mayd ve shickyr, ta Creest gra, my ta shin coyrt graih da dy chooilley ghooinney fegooish lhiettrimys erbee. As my ta shin jannoo er aght elley, t’eh gra, cha vel shin veg share na ny Phariseeyn, Publicanee, as ny Ashoonyn quaagh; as bee’n cronney ain maroosyn, ta shen dy ghra dy ve jeiht mooie veih earroo cloan reiht Yee, as veih e eiraght dy bragh farraghtyn ayns Niau.","Cre’d oddys mayd geearree ny s’vondeishee er nyn son na’n Ayr dy bragh farraghtyn dy ghoaill shin son e chloan hene? As jeh shoh foddee mayd ve shickyr ta Creest gra, my ta shin coyrt graih da dy chooilley ghooinney fegooish lhiettrimys erbee. As my ta shin jannoo er aght elley, t’eh gra, cha vel shin veg share na ny Phariseeyn, Publicanee, as ny Ashoonyn quaagh; as bee’n cronney ain maroosyn, ta shen dy gra dy ve jeiht mooie veih earroo cloan reiht Yee, as veih e eiraght dy bragh farraghtyn ayns Niau.",,,4
"Thus of true charity Christ taught, that every man is bound to love God above all things; and to love every man, friend and foe. ","Myr shoh dynsee Creest mychione graih firrinagh, dy vel dy chooilley ghooinney kianlt dy choyrt graih da Jee erskyn dy chooilley nhee, as dy choyrt graih da dy chooilley ghooinney, carrey as noid. ","Myr shoh dynsee Creest mychione graih firrinagh, dy vel dy chooilley ghooinney kiant dy choyrt graih da Jee erskyn dy chooilley nhee, as dy choyrt graih da dy chooilley ghooinney, carrey as noid. ",,,4
"And thus likewise he did use himself, exhorting his adversaries, rebuking the faults of his adversaries; and when he could not amend them, yet he prayed for them.","As myr shoh myrgeddin ren eh eh-hene y ymmyrkey, coyrt raue as oghsan da e noidyn; as tra nagh voddagh eh ad y hyndaa veih nyn ghrogh raaidyn, gow eh padjer er nyn son.",,,,5
"First, he loved God his Father above all things; so much, that he sought not his own glory and will, but the glory and will of his Father.","Hoshiaght hug eh graih da Jee e Ayr erskyn dy chooilley nhee, ayns wheesh as nagh ren eh shirrey e gloyr as e aigney hene, agh gloyr as aigney e Ayr.",,,,5
"I seek not, said he, mine own will, but the will of him that sent me. John v.","“Cha vel mee shirrey my aigney hene, as eshyn, agh yn aigney echeysyn t’er my choyrt.” (Ean v. 30.)","“Cha vel mee shirrey my aigney hene, as eshyn, agh yn aigney echeysyn t’er my choyrt. (Ean v. 30.)",,,5
"Nor refused he to die, to satisfy his Father’s will; saying, If it may be, let this cup of death pass from me; if not, thy will be done, and not mine.","Chamoo dob eh dy gheddyn baase dy chooilleeney aigney e Ayrey, gra, “My she dty aigney’s eh scugh yn cappan shoh voym, agh cha nee my aigney’s agh dty aigney’s dy row jeant.” (Mian xxvi. 39.)[6]",,,[6] Only the last clause here is an exact quotation of the evangelist.,5
"He loved not only his friends, but also his enemies; which in their hearts bore exceeding great hatred against him, and with their tongues spake all evil of him, and in their acts and deeds pursued him with all their might and power, even unto death:","Hug eh graih cha nee ynrycan da e chaarjyn, agh da e noidyn ren freayll dwoaie erskyn towse eulyssagh noi echeysyn ayns ny creeaghyn oc, as lesh nyn jengaghyn ren loayrt dy chooilley cheint dy olk jeh, as ayns nyn yannoo deiyr ad er lesh ooilley nyn niart eer gys baase:",,,,5
"yet all this notwithstanding, he withdrew not his favour from them; but still loved them, preached unto them of love, rebuked their false doctrine, their wicked living, and did good unto them, patiently taking whatsoever they spake or did against him.","agh ny yeih, son ooilley shoh cha hyndaa eh e oayr voue: agh foast hug eh graih daue, ren eh preacheil daue mychione graih, hug eh oghsan daue son nyn ynsagh foalsey, as nyn ymmyrkey bea mee-chrauee, as ren eh mie daue, goaill dy meen cre-erbee loayr ad ny ren ad n’oi.",,,,5
"When they gave him evil words, he gave none evil again; when they did strike him, he did not smite again; and when he suffered death, he did not slay them, nor threaten them, but prayed for them and did put all things to his Father’s will.","Tra v’eh oltooanit, cha doltooan eh reesht, tra ren ad eh y woalley, cha ren eh ad y woalley reesht; as tra hur eh baase cha ren eh ad y varroo ny baggyrt, agh ghow eh padjer er nyn son, as hug eh seose dy chooilley nhee gys aigney e Ayr.",,,,5
"And as a sheep that is led unto the shambles to be slain, and as a lamb that is shorn of his fleece, maketh no noise nor resistance; even so went he to his death without any repugnance, or opening of his mouth to say any evil. Isaiah liii. Acts viii.","As myr ta keyrrey er ny leeideil gys y skynn, as yn eayn roish e lommyrtagh balloo; myr shen hie eshyn gys e vaase fegooish streeu erbee, ny fosley e veeall dy loayrt veg yn olk; (Is. liii. 7; Jannoo viii. 32.)[7]",,,[7] Here the Manx paraphrases both the English text and the Bible passages referred to.,6
"Thus have I set forth unto you what charity is, as well by the doctrine as by the example of Christ himself: whereby also every man may without error know himself, what state and condition he standeth in; whether he be in charity, and so the child of the Father in heaven, or not. For although almost every man persuadeth himself to be in charity, yet let him examine none other man but his own heart, his life and conversation; and he shall not be deceived, but truly discern and judge whether he be in perfect charity or not.","Myr shoh ta mee er hoiaghey reue, cre ta graih, chammah liorish ynsagh as sampleyr Creest hene, liorish myrgeddin foddee dy chooilley ghooinney fegooish marranys gheddyn tushtey firrinagh jeh hene as jeh e stayd, eddyr eh ve ayns ghiastyllys, as myr shen lhiannoo jeh’n Ayr t’ayns Niau ny mannagh vel. Son ga dy vel faggys dy chooilley ghooinney smooiniaghtyn dy vel eh ayns ghiastyllys; ny yeih ny lhig da feysht fer erbee elley, agh e chree hene, e immeeaght as e vea, as cha bee eh mollit, agh nee eh dy firrinagh fakin as briwnys vel eh ayns ghiastyllys firrinagh ny mannagh vel.","Myr shoh ta mee er hoiaghey reue, cre ta graih, chammah liorish ynsagh as sampleyr Creest hene liorish myrgeddin foddee dy chooilley ghooinney fegooish marranys gheddyn tushtey firrinagh jeh hene as jeh e stayd, eddyr eh ve ayns ghiastyllys, as myr shen lhiannoo jeh’n Ayr t’ayns Niau ny mannagh vel. Son ga dy vel faggys dy chooilley ghooinney smooiniaghtyn dy vel eh ayns ghiastyllys; ny yeih ny lhig da feysht fer erbee elley, agh e chree hene, e immeeaght as e vea, as cha bee eh mollit, agh nee eh dy firrinagh fakin as briwnys vel eh ayns ghiastyllys firrinagh ny mannagh vel.",,,6
"For he that followeth not his own appetite and will, but giveth himself earnestly to God, to do all his will and commandments, he may be sure that he loveth God above all things: and else, surely he loveth him not, whatsoever he pretend; as Christ said, If ye love me, keep my commandments.","Son eshyn nagh vel geiyrt er e yeearree as e aigney hene, agh coyrt eh-hene seose dy jeean gys Jee dy yannoo ooilley e aigney as e annaghyn, foddee eh ve shickyr dy vel eh coyrt graih da Jee erskyn dy chooilley nhee; er-nonney, shickyr cha vel eh graihagh er, cre-erbee t’eh goaill er dy ve; myr ta Creest gra, “My ta shiu graihagh orrym’s freill-jee my annaghyn.",,,,6
"For he that knoweth my commandments and keepeth them, he it is, saith Christ, that loveth me. And again he saith, He that loveth me, will keep my words: and my Father will love him; and we will both come to him, and dwell with him: and, he that loveth me not, will not keep my words. John iii.","Son, eshyn ta my annaghyn’s echey, as ta freayll ad, eshyn eh ta graihagh orryms.” As reesht t’eh gra, “My ta dooinney graihagh orrym freillee eh my ghoan; as ver my Ayr graih da, as hig mayd huggey, as nee mayd tannaghtyn mârish: Eshyn nagh vel graihagh orryms cha vel eh freayll my ghoan.” (Ean xiv. 23, 24.)",,"For he that knoweth my commandments and keepeth them, he it is, saith Christ, that loveth me. And again he saith, He that loveth me, will keep my word: and my Father will love him; and we will both come to him, and dwell with him: and, he that loveth me not, will not keep my words. John iii.",,6
"And likewise he that beareth good heart and mind, and useth well his tongue and deeds unto every man, friend and foe, he may know thereby that he hath charity.","As myrgeddin eshyn ta cree as aigney crauee echey, as gymmyrkey eh-hene dy mie ayns goo as jannoo rish dy chooilley ghooinney, carrey as noid, foddee eh toiggal liorish shen dy vel graih echey.",,,,6
"And then he is sure also that Almighty God taketh him for his dear beloved son; as St. John saith, Hereby manifestly are known the children of God from the children of the devil; for whosoever doth not love his brother, belongeth not unto God.","As eisht t’eh shickyr myrgeddin dy vel Jee Ooilley-niartal goaill eh son e vac-ennoil: myr ta Noo Ean gra, “Liorish shoh ta cloan Yee er nyn gronnaghey voish cloan y drogh-spyrryd son eshyn nagh nhynney lesh e vraar cha vel eh jeh Jee.” (1 Ean iii. 10. ) [8]",,,"[8] The second clause here paraphrases the epistle: Quoi erbee nagh vel jannoo cairys, cha vel eh jeh Jee, ny foast eshyn nagh nhynney lesh e vraar.",7
THE SECOND PART OF THE SERMON OF CHARITY.,Yn nah ayrn jeh’n Charmane mychione graih.,,,,7
"You have heard a plain and a fruitful setting forth of charity, and how profitable and necessary a thing charity is; how charity stretcheth itself both to God and man, friend and foe, and that by the doctrine and example of Christ; and also who may certify himself whether he be in perfect charity or not.","Ta shiu er chlashtyn coontey cronnal as vondeishagh jeh graih, as cre cha vondeishagh as ymmyrchagh te; Kys ta graih roshtyn gys Jee as dooinney, carrey as noid, as shen liorish ynsagh as sampleyr Chreest; as myrgeddin quoi oddys ve shickyr vel eh ayns graih firrinagh ny dyn.",,,,7
"Against carnal men, that will not forgive their enemies.",Noi deiney foalley nagh jean leih da nyn noidyn.,,,,7
"Now as concerning the same matter it followeth. The perverse nature of man, corrupt with sin, and destitute of God’s word and grace, thinketh it against all reason, that a man should love his enemy; and hath many persuasions which bring him to the contrary.","Nish mychione y chooish cheddin ta dooghys camlaagagh dooinney, broghe lesh peccah, as fegooish goo as grayse Yee, smooiniaghtyn dy vel eh ooilley-cooidjagh neu-resoonagh dy yinnagh dooinney coyrt graih da e noid, as shimmey oyr er-lheh dy vel echey dy yannoo er aght elley.","Nish mychione y chooish cheddin ta dooghys camlaagagh dooinney, broghe lesh peccah, as fegooish goo as grayse Yee, Smooiniaghtyn dy vel eh ooilley-cooidjagh neu-resoonagh dy yinnagh dooinney coyrt graih da e noid, as shimmey oyr er-lheh dy vel echey dy yannoo er aght elley.",,,7
"Against all which reasons, we ought as well to set the teaching as the living of our Saviour Christ; who loving us, when we were his enemies, doth teach us to love our enemies.","Noi ooilley lheid ny oyryn lhisagh shin soiaghey chammah ynsagh as ymmyrkey nyn Saualtagh Creest; eshyn ta liorish ve graihagh orrin tra va shin ny noidyn echey, gynsaghey dooin “dy choyrt graih da nyn noidyn.”",,,,
He did patiently take for us many reproaches; suffered beating and most cruel death:,"Ghow eh ymmodee oghsanyn dy meen er y graih ainyn, ren eh surranse bwoaillaghyn as baase sharroo;",,,,7
"therefore we be no members of him, if we will not follow him. Christ, saith St. Peter, suffered for us, leaving us an example that we should follow him. 1 Pet. ii.","shen-y-fa cha vel shin ny oltyn echeysyn, mannagh jean mayd geiyrt er. “Ta Creest,” ta noo Peddyr gra, “er hurranse er nyn son, faagail sampleyr dooinyn, dy jinnagh shin geiyrt er ny kesmadyn echeysyn.” (1 Ped. ii. 21.)",,,,7
"Furthermore, we must consider, that to love our friends is no more but that which thieves, adulterers, homicides and all wicked persons do: insomuch that Jews, Turks, Infidels, and all brute beasts, do love them that be their friends; of whom they have their living, or any other benefits.","Ny sodjey, shegin dooin smooiniaghtyn nagh vel coyrt graih da nyn gaarjyn ny smoo na ta maarlee, marderee, dunveryn as ooilley yn vooinjer vee-chrauee jannoo, myr shen dy vel Hewnyn, Turkyn, Ancredjuee, as ooilley maase y vagher graihagh orroosyn ta nyn gaarjyn, voue t’ad geddyn nyn meaghey ny vondeish erbee elley.",,,,8
"But to love enemies, is the proper condition only of them that be the children of God, the disciples and followers of Christ.","Agh dy choyrt graih da Noidyn shoh’n stayd chooie ocsyn ny-lomarcan ta cloan Yee, ynseydee as eiyrtyssee Chreest.",,,,8
Notwithstanding man’s froward and corrupt nature weigheth over deeply many times the offence and displeasure done unto him by enemies; and thinketh it a burden intolerable to be bound to love them that hate him.,"Ga dy vel dooghys frouyrtagh dooinney dy mennic smooiniaghtyn rouyr jeh’n aggair jeant da liorish e noidyn, as jeeaghyn er myr errey ro-hrome dy ve[9] er ny ymmyrkey, dy ve kianlt dy ve graihagh orroosyn ta coyrt dwoaie da.",,,[9] ve] text vel,8
"But the burden should be easy enough, if, on the other side, every man would consider, what displeasure he hath done to his enemy again, and what pleasure he hath received of his enemy. ","Agh veagh yn errey eddrym dy liooar, my yinnagh dy chooilley ghooinney er y laue elley, cur tastey cre’n corree t’eh hene er choyrt er e noid reesht; as cre’n vondeish t’eh er gheddyn veih e noid.",,,,8
"And if we find no equal or even recompence, neither in receiving pleasures of our enemy, nor in requiting displeasures unto him again; then let us ponder the displeasures which we have done against Almighty God; how often and how grievously we have offended him: whereof if we will have of God forgiveness, there is none other remedy but to forgive the offences done unto us; which be very small in comparison of our offences done against God.","As mannagh vel shin feddyn cooilleen corrym, eddyr ayns ny vondeishyn ta shin geddyn veih nyn noid, ny ayns coyrt corree er neesht; eisht lhig dooin smooiniaghtyn er ny loghtyn ta shin er n’yannoo noi Jee Ooilley-niartal; cre cha mennic as cre cha trome as ta shin er choyrt corree er; jeh my ta shin geearree leih y gheddyn veih laue Yee, cha vel saase arragh agh dy leih dauesyn t’er n’yannoo aggair dooinyn; as ta shen feer veg ayns co-soylaghey jeh nyn loghtyn noi Jee.",,,,8
And if we consider that he which hath offended us deserveth not to be forgiven of us; let us consider again that we much less deserve to be forgiven of God.,"As my ta shin smooinaghtyn nagh vel eshyn t’er n’yannoo aggair dooin toilliu dy v’er ny leih liorin, lhig dooin smooinaghtyn reesht, dy vel shin toilliu foddey sloo dy v’er nyn leih liorish Jee.","As my ta shin smooinaghtyn nagh vel eshyn t’er n’yannoo aggair dooin toilliu dy ver ny leih liorin, lhig dooin smooinaghtyn reesht, dy vel shin toilliu foddey sloo dy v’er nyn leih liorish Jee.",,,8
"And although our enemy deserve not to be forgiven for his own sake, yet we ought to forgive him for God’s love; considering how great and many benefits we have received of him without our deserts; and that Christ hath deserved of us, that for his sake we should forgive them their trespasses committed against us. ","As ga nagh vel nyn noid toilliu dy v’er ny leih er e ghraih hene, ny-yeih lhisagh shin leih da er graih Yee: fakin dy vel shin er gheddyn whilleen vondeish ooasle veih e laueyn nagh vel shin er hoilliu, as dy vel Creest er hoilliu voin dy lhisagh shin er y graih echeysyn dauesyn y leih t’er n’yannoo loghtyn nyn oï.",,,,9
A question.,Question.,,,,9
"But here may rise a necessary question to be dissolved. If charity require to think, speak, and do well unto every man, both good and evil; how can Magistrates execute justice upon malefactors or evil-doers with charity? ","Agh ayns shoh foddee eh v’er ny vriaght. My ta graih kianley shin dy smooniaghtyn, loayrt, as jannoo mie da dy chooilley ghooinney chammah mie as sie; cre’n aght oddys Fir-oik cooilleen y ghoaill er kimmee ny drogh yantee lesh graih? ","Agh ayns shoh foddee eh v’er ny vriaght. My ta graih kianley shin dy smooniaghtyn, loayrt, as jannoo mie da dy chooilley ghooinney chammah mie as sie; cre’n aght oddys Fir-oik cooilleen y ghooill er kimmee ny drogh yantee lesh graih? ",,,9
"How can they cast evil men in prison, take away their goods, and sometimes their lives, according to laws, if charity will not suffer them so to do?","Cre’n aght oddys ad ceau drogh gheiney ayns pryssoon, goaill ersooyl nyn gooid, as ny-cheayrtyn nyn mioys, cordail rish leighyn y theay, mannagh der graih reamys daue dy yannoo myr shen?",,,,9
Answer.,Ansoor.,,,,9
"Hereunto is a plain and a brief answer; That plagues and punishments be not evil of themselves, if they be well taken of the harmless: and to an evil man they are both good and necessary; and may be executed according to charity, and with charity should be executed. ","Gys shoh ta ansoor cronnal as giare; nagh vel surranse as kerraghey olk ayndoo hene, my ta’d er nyn ghoaill er aght cooie lioroosyn ta gyn loght: as gys drogh ghooinney t’ad vondeishagh as ymmyrchagh neesht; as foddee ad ve cooilleenit lesh graih, as lesh graih lhisagh ad ve cooilleenit.",,,,9
Charity hath two offices.,Ta daa oik ec graih.,,,,9
"For declaration whereof, you shall understand that charity hath two offices; the one contrary to the other, and yet both necessary to be used upon men of contrary sort and disposition. ","Dy hoilshaghey shoh shegin diu toiggal dy vel daa oik ec graih; yn derrey yeh noi yn jeh elley, as foast nyn-neesht ymmyrchagh ymmyd ve jeant jeu er deiney jeh caghlaaghyn dy spyrryd-aigney.","Dy hoilshaghey shoh shegin dui toiggal dy vel daa oik ec graih; yn derrey yeh noi yn jeh elley, as foast nyn-neesht ymmyrchagh ymmyd ve jeant jeu er deiney jeh caghlaaghyn dy spyrryd-aigney.",,,9
