English,Manx,Notes
"•    Our musical commission, Creeaght, by Isla Callister explored the lives and legacies of courageous Manx women through history, and was premiered at Yn Chruinnaght Inter-Celtic Festival together with artwork by Jo Davies.","•    Ren ‘Creeaght’, ennym yn obbyr chiaullee jeant er nyn son liorish Isla Callister, soilshaghey magh bea as eiraght mraane dunnal Vannin sy traa chaie as v’ee cloiet hoshiaght ec yn Feailley Eddyr-Cheltiagh, Yn Chruinnaght, marish obbyr ellyn liorish Joe Davies.",
"•    Scran, Claasagh harpists, the Manx Fiddle Orchestra, competition winners, composers and performers of all ages helped us with our 40th anniversary concert, ‘A Manx Celebration’.","•    Ren Scran, ny claaseyryn Claasagh, Orchestra Fiddyl Vannin, cosneyderyn co-hirrey, scrudeyryn kiaull as cloiederyn jeh dagh eash cloie er nyn son sy chuirraghan ain ‘Flurt Manninagh’, v’er ny chummal dy yannoo ardeailley jeh’n 40oo vlein ain.",
Manx language,Yn Ghaelg,
"•    We taught students, faith leaders, Tynwald members, and more besides, reaching students in the Isle of Man, UK, Singapore, Georgia, New Zealand and North America.","•    Ren shin gynsaghey studeyryn, leeideilee chrauee, olteynyn Tinvaal, chammah’s ymmodee sleih elley, as shinyn roshtyn studeyryn ayns Mannin, y Reeriaght Unnaneyssit, Singapore, Yn Teelan Noa as America Hwoaie.",
•    The Cooish Manx Language Festival had 14 events over 5 days.,"•    Va 14 taghyrtyn er ny chummal car ny queig laghyn jeh’n Feailley Gaelgagh, Yn Chooish.",
"•    We created and published new resources in print and online, helping all levels of learners and speakers.","•    Ren shin croo as cur magh cooid noa prentit as er-linney, dy chur cooney da ynseydee ec dy chooilley cheim.",
Online and educational resources,Couryn er-linney as couryn ynsee,
•    Twisting the Rope – a recording of Kathleen Killip’s classic book read by Ian Cottier TH – was published online and as a CD.,•    ‘Twisting the Rope’ – recortys jeh’n lioar ennymoil liorish Kathleen Killip er ny lhaih magh liorish Ian Cottier TH – v’eh currit magh er-linney as myr CD.,
"•    We passed the milestone of 1,000 films on YouTube, including a release of 40 archive and previously unseen films for the 40th anniversary.","•    Hie shin shaghey yn chlagh-veeilley dy 1,000 fillym er YouTube, as myr ayrn jeh’n 40oo feailley bleeaney ain hug shin magh 40 shenn fillym voish ny tashtaghyn-recortys, paart jeu nagh row rieau er ve fakinit roïe.",
"•    Our films and social media took the stories of the Isle of Man to millions of people worldwide, and we made sure we gave talks in the community, too.","•    Ren ny filmyn as meanyn sheshoil ain cur-lesh skeealyn mychione Mannin dys millioonyn dy leih feiy ny cruinney, as ren shin shickyr dy ren shin cummal loayrtyssyn sy cheer ain, neesht.",
Highlights from grants awarded,Toyrtyssyn smoo imraagh,
Awards are made to groups and individuals for a wide variety of purposes relating to the culture of the Isle of Man and its people. Grants and underwriting are considered within the framework of our policies and founding legislation.,Ta cooney currit da possanyn as sleih er-lheh son caghlaaghyn shalee bentyn da culture Ellan Vannin as e pobble. Ta toyrtyssyn as raanteenys noi coayl currit magh rere ny reillyn as polaseeyn jeant fo’n clattys undinagh ain.,
"31 grants totalling over £59,000 were awarded during this financial year.","Va 31 toyrtys currit magh sy vlein argidoil shoh, ta shen ny smoo na £59,000 ooilley cooidjagh.",
Festivals and events,Feaillaghyn as taghyrtyn,
"The lifting of Covid restrictions in early 2022 resulted in an increase in applications from and awards made to festivals and events. The tireless work and commitment shown by the volunteer organisers to plan, facilitate and develop these festivals and events is remarkable, and Culture Vannin was delighted to provide financial support to the following:","Kyndagh rish cheet gys jerrey jeh ny reillyn noi Covid ayns toshiaght y vlein 2022 va ny smoo aghinyn son, as toyrtyssyn currit da feaillaghyn as taghyrtyn. S’yindyssagh y mooadys dy obbyr as jeeanid ta ny reagheyderyn arryltagh cur stiagh ayns plannal, livrey as cur er e hoshiaght ny feaillaghyn as taghyrtyn shoh, as by haittin lesh Culture Vannin cur cooney argidoil da:",
•    Shennaghys Jiu Festival,•    Yn feailley Shennaghys Jiu,
•    Yn Chruinnaght Celtic Gathering Festival,"•    Yn feailley eddyr-Cheltiagh, Yn Chruinnaght",
•    Peel Carnival,•    Carnival Phurt ny Hinshey,
•    Manx LitFest,•    LitFest Vannin,
•    Isle of Man Traditional Music Weekend,•    Jerrey Shiaghtin Kiaull Tradishoonagh Vannin,
"•    Chris Killip 1946-2020 retrospective exhibition, Photographer’s Gallery, London","•    Taishbynys cooyl-reayrtagh er obbyr Chris Killip 1946-2020, Photographer’s Gallery, Lunnin",
•    Original Manx music for Manannan’s Winterfest,•    Kiaull Manninagh noa son ‘Manannan’s Winterfest’,
"•    University of Galway, Language and Society in the Isle of Man conference, Douglas","•    Cohaggloo Ollooscoill Ghailliu, ‘Glare as Sheshaght ayns Mannin’, va cummit ayns Doolish",
"•    Association of Celtic Studies, annual student conference, Glasgow","•    Co-heshaght Studeyrys Celtiagh, cohaggloo bleinoil ny studeyryn, Glasgow",
"Film, book, online and CD","Fillym, lioar, er-linney as CD",
We are proud to support our exciting creative community to produce new contributions to Manx culture:,S’taittin lhien cooney lesh y cho-phobble crootagh breeoil ain ta jannoo toyrtyssyn noa da cultoor Vannin:,
•    Mona’s Isle podcast series about Manx myths and legends,•    Mona’s Isle as ny podcastyn oc mychione shenn skeealyn Vannin,
"•    Ten Years On, a photography project of Port St Mary shopfronts","•    Ten Years On, shalee dy yallooyn shamraig mychione eddinyn shapp Phurt le Moirrey",
"•    Manx Dance with Me, a book of new Manx dances","•    Manx Dance with Me, lioar daunseeyn Manninagh noa",
"•    Isle of Man Poetry Society booklets, Manx Reflections Vol. 13 & 14","•    Lioaranyn Sheshaght Bardaght Vannin, Manx Reflections Vol. 13 & 14",
"•    Biskee Brisht, second studio album","•    Biskee Brisht, y nah album studio oc",
"•    Romance of the River, a heritage audio trail of the Colby River","•    Romance of the River, skeeal ayns sheean mychione cassan eiraght Awin Cholby",
"•    Celebrating and Recording Key Milestones for Manx Nature, publishing ornithological data from the Calf of Man","•    Jannoo Mooar as Cur Coontey jeh Claghyn-meeilley Mooarey ayns Dooghys Feie Vannin, cur magh fysseree er eeanlee voish y Cholloo",
"•    Graphic novella, A Brief History of UFOs on the Isle of Man","•    Oor-skeeal beg jallooagh, A Brief History of UFOs on the Isle of Man",
Skills and community outreach,Schleiyn as kiangley rish y cho-phobble,
"Even a small grant award can make a significant impact on the development of skills, as well as creating new ways to reach new audiences:","Foddee eer toyrtys veg ve feer foayssagh myr saase dy lhiasaghey schleiyn, chammah’s croo aghtyn noa dy chiangley rish lughtyn eaishtagh noa:",
"•    Manx Marine Conservation in a Global Context, conference attendance and delivery of community workshops on the Isle of Man","•    ‘Coadey Bea-Varrey Vannin ayns Co-heks y Slane Seihll’, costys jeh ve kionfenish ec y chohaggloo as cummal keirdlannyn mychione Mannin son y cho-phobble",
•    Skills workshop and subsequent creation of a Manx fungus checklist,•    Keirdlann dy vishaghey schleiyn as eisht croo list-shickyree jeh fungus Vannin,
•    Light overhaul and new steam chest for locomotive Bee,"•    Karraghey beg jeh, as jannoo kishtey gaal noa son y jeshaght ghaal ‘Bee’",
"•    Support for Possan Cloie, a Manx language playgroup in St Johns","•    Cooney son Possan Cloie, possan cloie Gaelgagh ayns Balley Keeill Eoin",
"•    Conference attendance for three invited Manx language speakers at the International Congress of Celtic Studies, Utrecht","•    Costys jeh ve kionfenish son three loayrtee Ghaelgagh v’er ny cuirrey dys y Cohionnal Eddyr-Ashoonagh er Studeyrys Celtiagh, Utrecht",
•    Purchase of a travel harp for student,•    Kionnaghey claasagh troailt son studeyr,
"•    Adapting to Climate Change: Heritage and its Sustainable Future conference attendance, bringing back skills and knowledge relating to the built environment to the Isle of Man","•    ‘Jannoo aarloo son Caghlaa Emshyraght: Eiraght as Traa ry-heet Farraghtyn’, costys jeh ve kionfenish, cur-lesh er-ash schleiyn as tushtey bentyn da’n chymmyltaght troggit ayns Mannin",
•    Manx Youth Bard stipend and resources,"•    Bard Sleih Aegey Vannin, cur lowanse as couryn",
"•    The Silver Cup mural, part of an outdoor art trail in Castletown","•    Caslys voalley ‘Yn Cappan Argid’, ayrn jeh cassan ellyn cheumooie ayns Balley Chashtal",
•    Acquisition of WW1 gallantry medals relating to the Isle of Man,•    Geddyn medallyn dunnallys sy Chied Chaggey Mooar ta bentyn da Mannin,
Research Projects,Shaleeyn Ronsee,
Research is important to the development of an understanding of the Isle of Man and Manx Studies internationally:,Ta obbyr-ronsee scanshoil myr aght dy gheddyn toiggal share jeh Mannin as son cur er e hoshiaght Studeyrys Vannin dy eddyr-ashoonagh:,
•    Research trip for a student from the University of Bern looking at English on the Isle of Man,•    Turrys ronsee son studeyr voish Ollooscoill Bern ta jeeaghyn er Baarle ayns Mannin,
•    Research trip for PhD on the Isle of Man in English historical literature c.1648-1776,•    Turrys ronsee son PhD mychione Mannin ayns shenn lettyraght Vaarlagh c.1648-1776,
Gaelic Broadcasting Committee Annual Report,Tuarastyl Vleinoil y Ving Ymskeaylley Gaelgagh,
"The Gaelic Broadcasting Committee is now a full sub-committee of Culture Vannin, following the Appointed Day Order for the Communications Act 2021, which was brought into effect in late 2022. The committee continues to be funded by Culture Vannin.","Ta’n Ving Ymskeaylley Gaelgagh nish ny fo-ving oikoil jeh Cultoor Vannin, geiyrt er Oardagh y Laa Pointit son Slattys Eddyrinsh 2021, va currit ayns bree ec jerrey’n vlein 2022. Ta’n ving foast geddyn yn argid eck voish Culture Vannin.",
"Following transfer of responsibility to Culture Vannin, membership of the committee changed in January 2023. The new committee represents public broadcasters, Manx language broadcasters, and Culture Vannin. The current members are Christy DeHaven (Manx Radio), Catherine Nicoll (BBC IOM), Manx language broadcasters Robert Carswell, Phil Gawne and Fiona McArdle, and Ruth Keggin Gell and Christopher Williamson (Chair) from Culture Vannin.","Lurg y livrey harrish jeh’n churrym shoh da Culture Vannin, ren olteynys y ving caghlaa ayns Jerrey Geuree 2023. Ta ynnydyn er y ving noa son scaalheaneyderyn theayagh, scaalheaneyderyn Gaelgagh, as Culture Vannin. She Christy DeHaven (Radio Vannin), Catherine Nicoll (BBC Vannin), ny scaalheaneyderyn Gaelgagh Robert Carswell, Phil Gawne and Fiona McArdle, as Ruth Keggin Gell as Christopher Williamson (Caairliagh) voish Culture Vannin ta nyn olteynyn ec y traa t’ayn.",
"In recent years, the main focus of the Committee has been to support Manx language programming. The newly-formed committee is committed to thinking strategically about the future and to supporting the Manx Language Strategy. The Terms of Reference have been refined and the logo was refreshed so that the Manx name was more prominent. The Committee purchased items for a small loan equipment collection which aims to broaden the range of voices heard in Gaelic broadcasting, through widening access to audio recording equipment. They are currently undertaking a wide-reaching review of Manx Gaelic broadcasting needs for the future starting with a survey of the Manx language community, KS4 and KS5 students and young people in their early 20s, in order to better understand listening and viewing habits and needs. The survey objective is to inform the development of a new strategy for Manx Gaelic Broadcasting.  In turn this will influence content created, with the aim of reaching wider audiences. Work will begin later in 2023.","Ayns ny bleeantyn jeeragh chaie, she cummal seose y skedjal dy chlaareyn Gaelgagh t’er ve dean mooar y Ving. Ta’n ving noa-chrooit slane soit er smooinaghtyn dy strateyshagh mychione y traa ry-heet as cummal seose deanyn y Strateysh son y Ghaelg. Ta Cagleeyn y Churrym eck er ve lhiasit beggan as va’n logo jeant ass y noa dy beagh eh ny sassey fakin yn ennym Gaelgagh. Ren y ving kionnaghey chaglym beg dy ghreieyn oddys ve currit magh er eeasaght dy chur er e hoshiaght y dean oc dy lheanaghey yn caghlaa dy choraaghyn ta ry-chlashtyn ayns scaalheaney Gaelgagh, liorish cur ny smoo caaghyn dy yannoo ymmyd jeh greieyn recortys sheean. Ec y traa t’ayn t’ad goaill ayns laue aa-scrutaght lhean jeh femeyn scaalheaney Gaelgagh son y traa ry-heet, goaill toshiaght lesh towse-barel jeh Gaelgeyryn, studeyryn KS4 as KS5 as sleih aegey mysh feed blein dy eash, dy vod toiggal share ve ayn jeh cliaghtaghyn as femeyn eaishteyderyn as jeeagheyderyn. She dean y towse-barel eh dy jean eh cur fys vees cooney lesh cummey strateysh noa son Ymskeaylley Gaelgagh. Nee shoh eisht cooney lesh reih cre cooishyn claare vees crooit, dy vod caghlaa shlea dy eaishteyderyn ve er ny roshtyn. Nee yn obbyr shoh goaill toshiaght ayns y nah lieh ayrn jeh 2023.",
Manx Radio continues to support the Manx language with use of greetings and short phrases throughout the day. Bob Carswell continues to host Claare ny Gael on a weekly basis and Shiaght Laa in a series of around 26 programmes per year.,Ta Radio Vannin foast cummal seose y Ghaelg trooid yn ymmyd jeh bannaghtyn as raaghyn giare feiy’n laa. Ta Bob Carswell tannaghtyn myr fer-oast Claare ny Gael dagh shiaghtin as Shiaght Laa ayns strane jeh mysh 26 claareyn dagh blein.,
"Manx Radio also provides the platform on its AM1368 frequency for the BBC/Manx Radio co-productions, Traa dy Liooar and Kiaull as Cooish (formerly Jamys Jeheiney). These programmes are available from Manx Radio’s website on demand for a week after first broadcast.","Ta Radio Vannin cur neesht yn ardane er yn venkid AM1368 echey son ny claareyn ta jeant ec y VBC as Radio Vannin cooidjagh, Traa dy Liooar as Kiaull as Cooish (enmyssit roïe Jamys Jeheiney). Ta ny claareyn shoh ry-gheddyn ‘on demand’ er ynnyd-eggey Radio Vannin son shiaghtin lurg y chied scaalheaney.",
"Goll as Gaccan, the weekly eclectic cultural show co-hosted by Phil Gawne and Simon Clarke, provides an entertaining mix of Manx language, culture and heritage content. The programme is aimed at a mainstream audience giving people an introduction to Manx Gaelic and hopefully encouraging them to learn more.","Ta Goll as Gaccan co-oastit liorish Phil Gawne as Simon Clarke as she claare cultooroil eclectagh t’ayn dagh shiaghtin ta cur magh mestey taitnyssagh dy chooishyn mychione y Ghaelg, cultoor as eiraght. Ta’n claare kiaddit dy chur da’n chooid vooar dy eaishteyderyn cadjin paart dy ’ys mychione y Ghaelg as dy ghreinnaghey ad, te jerkit, dy ynsaghey tooilley.",
"Kiaull as Cooish remains the only radio show delivered entirely in Manx, supporting both beginners and more fluent speakers by providing an opportunity to hear the language spoken in an informal and unrehearsed form outside of the classroom or conversational group. The format of the show has changed a number of times over the years to maintain a variety of content and language use.","She Kiaull as Cooish ta foast yn ynrican claare er y radio ta livreit dy bollagh ayns Gaelg, cur cooney da toshiaghteyryn chammah’s loayrtee smoo flaaoil liorish cur daue caa cheumooie jeh’n chamyr vrastyl ny possan coloayrtys dy chlashtyn y ghlare goll er loayrt er aght neuformoil as gyn cliaghtey rolaue. Ta cummey yn chlaare er chaghlaa keayrt ny ghaa car ny bleeantyn dy chur lesh stiagh eieyn as aghtyn noa dy ymmydey yn ghlare er y radio.",
"Claare ny Gael and Shiaght Laa are also made available as podcasts, with an extensive online archive of past editions of each programme. Manx content of most of these programmes is also compiled in a weekly podcast, Abbyr Shen Reesht, available on Manx Radio’s website and also through tunein, Apple, Google and Spotify. Listeners can subscribe to download podcasts to their mobile.","Ta Claare ny Gael as Shiaght Laa ry-gheddyn neesht myr podcastyn, as ta tashtey-recortys mooar er-linney dy chooid currit magh sy traa chaie son dagh claare. Ta’n chooid smoo jeh ny cooishyn Gaelgagh ayns ny claareyn shoh currit dy-cheilley ayns podcast shiaghtinoil, Abbyr Shen Reesht, ta ry-gheddyn er ynnyd-eggey Radio Vannin as trooid tunein, Apple, Google as Spotify. Foddee eaishteyderyn fo-screeu dy laadey neose podcastyn dys y chellvane shooylagh oc.",
"News items in Manx continue to be recorded and posted with a full transcript on Manx Radio’s website. Payment for these items is made on an occasional basis from the Gaelic broadcasting budget established by Culture Vannin. Apart from those items appearing on the website at any one time, there is access to an extensive archive of past items.","Ta meeryn dy naight ayns Gaelg foast goll er recortyssey as postal marish slane mac-screeu er ynnyd-eggey Radio Vannin. Ta eeck jeant son ny meeryn shoh nish as reesht voish budjad ymskeaylley Gaelgagh va currit er bun liorish Culture Vannin. Chammah’s ny meeryn noa ta ry-akin er yn ynnyd-eggey gagh laa, ta tashtey-recortys mooar dy henn veeryn dy naight ry-gheddyn neesht.",
"Whilst the Committee no longer offers financial support for programming outside of the news, the Committee is very supportive any broadcaster choosing to produce Manx Gaelic content and programming.","Ga nagh vel y Ving chebbal cooney argidoil arragh son jannoo claareyn cheumooie jeh’n naight, ta’n Ving feer arryltagh dy chur cooney erbee oddys ee da scaalheaneyder erbee ta geearree jannoo claareyn er cooishyn Gaelgagh.",
RBV awarded to Fiona McArdle,RBV er ny chur da Fiona McArdle,
The Reih Bleeaney Vanannan 2023 has been awarded to Fiona McArdle for her lifelong commitment to and continued involvement in so many facets of Manx culture.,"Ta Reih Bleeaney Vanannan 2023 er ve currit da Fiona McArdle son yn obbyr vooar t’ee er n’yannoo car e bea, as t’ee foast jannoo jiu, ayns whilleen ayrn jeh cultoor Vannin.",
