English,Manx,Manx Original,Notes,Page
"when the grass is withered, the flower falleth away, when the wind of the Lord bloweth upon it. The people surely is grass, the which drieth up and the flower fadeth away.","T’an faiyr fioghey, ta’n blaa tuittym; son dy vel geay yn Chiarn sheidey er. Shickyr ta’n pobble faiyr. Ta’n faiyr fioghey, ta’n blaa tuittym; agh nee Goo yn Jee ain shassoo shickyr er son dy bragh.”[9] (Is. xl. 6).","T’an faiyr fioghey, ta’n blaa tuittym; son dy vel geay yn Chiarn sheidy er. Shickyr ta’n pobble faiyr. Ta’n faiyr fioghey, ta’n blaa tuittym; agh nee Goo yn Jee ain shassoo shickyr er son dy bragh.”[9] (Is. xl. 6).","[9] The Manx completes the quotation, with the last clause of v. 8.",3
"And the holy man Job, having in himself great experience of the miserable and sinful estate of man, doth open the same to the world in these words:","As ta’n dooinney crauee Job, myr v’eh gennaghtyn ayn hene, stayd treih as peccoil deiney, fosley yn chooid cheddin da’n seihll ayns ny goan shoh:",,,3
"Man, saith he, that is born of a woman, living but a short time, is full of manifold miseries: he springeth up like a flower, and fadeth again; vanisheth away as it were a shadow, and never continueth in one state.","“Dooinney,” (as eshyn, cab. xiv. 1, 2), t’er ny ruggey jeh ben, t’eh giare-heihltagh, as lane dy hreihys: t’eh cheet seose myr blaa, as t’eh giarit sheese: t’eh chea ersooyl myrgeddin myr scadoo, as cha vel eh tannaghtyn ayns un stayd.","“Dooinney,” (as eshyn, cab. xiv. 1, 2), t’er ny ruggey jeh ben, t’eh giare-heiltagh, as lane dy hreihys: t’eh cheet seose myr blaa, as t’eh giarit sheese: t’eh chea ersooyl myrgeddin myr scadoo, as cha vel eh tannaghtyn ayns un stayd.",,3
"And dost thou judge it meet, O Lord, to open thine eyes upon such a one, and to bring him to judgment with thee? Who can make him clean, that is conceived of an unclean seed?","As vel Uss, O Hiarn, fosley dty hooillyn er y lheid, as dy my choyrt lhiam[10] ayns briwnys kiongoyrt rhyt? Quoi oddys red glen y chur lesh ass red neu-ghlen?”","As vel Uss, O Hiarn, fosley dty hoillyn er y lheid, as dy my choyrt lhiam[10] ayns briwnys kiongoyrt rhyt? Quoi oddys red glen y chur lesh ass red neu-ghlen?”","[10] lhiam] Thomson points at the lhiat would be expected. But it is lhiam in the Bible. Christopher Lewin suggests (p.c.) ‘ Perhaps confusion with the passive construction er my choyrt lhiam, where there is a strong tendency for lesh to agree with the patient rather than the agent.’",3
"And all men, of their evilness, and natural proneness, be so universally given to sin, that, as the Scripture saith, God repented that ever he made man.","Cha vod fer erbee.[11] As ta ooilley sheelnaue, jeh nyn ghooghys peccoil, cha aarloo gys olk, dy “ghow Jee arrys (myr ta’n Scriptyr gra,) dy ren eh rieau dooinney y chroo.”",,"[11] Again the Manx supplements with the last sentence of v. 4, though set outside the “ ”, rather than inside.",3
"And by sin his indignation was so much provoked against the world, that he drowned all the world with Noah’s flood, except Noah himself and his little household.","As liorish peccah, va e yymmoose wheesh er ny vrasnaghey noi yn seihll, dy ren eh ooilley yn seihll y vaih liorish y thooilley, erlhimmey jeh Noah hene as e lught-thie. (Gen. vii. 23.)","As liorish peccah, va e ymmoose wheesh er ny vrasnaghey noi yn seihll, dy ren eh ooilley yn seihll y vaih liorish y thooilley, erlhimmey jeh Noah hene as e lught-thie. (Gen. vii. 23.)",,3
"It is not without great cause that the Scripture of God doth so many times call all men here in this world by this word, earth. O thou earth, earth, earth, saith Jeremiah, hear the word of the Lord.","Cha nee dyn oyr dy vel Scriptyr Yee cha mennic geamagh er ooilley sheelnaue ’sy theihll shoh liorish yn fockle shoah, Ooir: “O ooir, ooir, ooir, (ta Jeremiah gra, xxii. 29), clasht rish goo yn Chiarn.”",,,3
"This our right name, calling and title – earth, earth, earth – pronounced by the prophet, sheweth what we be indeed, by whatsoever other style, title, or dignity men do call us. Thus He plainly named us, who knoweth best, both what we be, and what we ought of right to be called.","Ta shoh, nyn ennym cairagh, “Ooir, ooir, ooir,” soilshaghey cre ta shin ayns firrinys, liorish cre erbee yn ennym ooasle elley ta sleih genmys shin. Myr shoh ren eshyn dy baghtal genmys shin, share va toiggal echey cre ta shin, as liorish cre’n ennym lhisagh shin v’er nyn eam.",,,3
"And thus he setteth us forth, speaking by his faithful Apostle St. Paul: All men, Jews and Gentiles, are under sin: there is none righteous, no, not one.","As myr shoh, t’eh soiaghey shin magh, loayrt liorish e Ostyl firrinagh, y Noo Paul: “Ta ooilley sheelnaue, Hewnyn as Ashoonee, fo peccah; cha vel fer hene ta jannoo dy mie, cha vel unnane.",,,4
"There is none that understandeth; there is none that seeketh after God: they are all gone out of the way; they are all unprofitable; there is none that doth good, no, not one.",[12],,"[12] It is likely that this sentence was omitted from the Manx, the translator’s, or the printer’s, eye having skipped from the first cha vel unnane ‘no, not one’ to the second.",4
Their throat is an open sepulchre: with their tongues they have used craft and deceit; the poison of serpents is under their lips; their mouth is full of cursing and bitterness: their feet are swift to shed blood; destruction and wretchedness are in their ways; and the way of peace have they not known: there is no fear of God before their eyes.,Ta’n scoarnagh oc oaie foshlit: lesh nyn jengey t’ad er chliaghtey molteyrys: ta pyshoon ard-nieughyn fo nyn meillyn: ta’n beeal oc laane dy ghueeaghyn as dy herriuid: ta ny cassyn oc gastey dy gheayrtey fuill: ta toyrt-mow as treihys ayns nyn raaidyn; as raad y chee cha bione daue: cha vel aggle Yee eddyr roish nyn sooillyn.” (Rom. iii. 13–18).,,,4
"And in another place St. Paul writeth thus; God hath wrapped all nations in unbelief, that he might have mercy on all. ","As ayns ynnyd elley ta Noo Paul scrieu er yn aght shoh: “Ta Jee er yeih seose oollley fo mee-chredjue, dy voddagh eh myghin y hoilshaghey er ooilley.” (Rom. xi. 32.) ",,,4
"The Scripture shutteth up all under sin, that the promise by the faith of Jesus Christ should be given unto them that believe.","“Ta’n Scriptyr er ghoaill stiagh ooilley fo peccah, dy voddagh y ghialdyn liorish credjue ayns[13] Yeesey Creest ve er ny choyrt dauesyn ta credjal.” (Gal. iii. 22.)","“Ta’n Scriptyr er ghoaill stiagh ooilley fo peccah, dy voddagh y ghialdyn liorish [13] Yeesey Creest ve er ny choyrt dauesyn ta credjal.” (Gal. iii. 22.)",[13] credjue ayns] omitted from the quotation.,4
"St. Paul in many places painteth us out in our colours, calling us the children of the wrath of God, when we be born; saying also, that we cannot think a good thought of ourselves, much less can we say well, or do well of ourselves.","Ta Noo Paul, ayns ymmodee ynnydyn, soiaghey shin magh chiart myr ta shin, genmys shin, “nyn gloan dy yymmoose,” tra va shin er nyn ruggey: (Eph. ii. 3): gra myrgeddin, “nagh vel shin fondagh j’in hene dy smooinaghtyn nhee erbee myr j’in hene;”[14] foddey sloo oddys mayd loayrt mie, ny jannoo mie, jin hene.",,"[14] Where the English paraphrases, the Manx quotes from 2 Cor. iii. 5.",4
"And the Wise Man saith in the Book of Proverbs, The just man falleth seven times a day.","As ta’n dooinney ereeney gra, ayns ny Raaghyn Creeney, “Ta’n dooinney cairagh tuittym shiaght keayrtyn ’sy laa.”[15] (xxiv. 16.)",,"[15] ’sy laa] This phrase is in the Homily, but not in the Proverbs passage referred to.",4
The most tried and approved man Job feared all his works.,"Ta Job, va wheesh er ny phrowal, as wheesh soit jeh, agglagh mychione ooilley e obbraghyn.",,,4
"St. John the Baptist, being sanctified in his mother’s womb, and praised before he was born, being called an angel, and great before the Lord; filled even from his birth with the Holy Ghost; the preparer of the way for our Saviour Christ; and commended of our Saviour Christ to be more than a prophet, and the greatest that ever was born of a woman; yet he plainly granteth that he had need to be washed of Christ: he worthily extolleth and glorifieth his Lord and Master Christ; and humbleth himself as unworthy to unbuckle his shoes; and giveth all honour and glory to God.","Ta Ean Bashtey, v’er “ny lhieeney lesh y Spyrryd Noo, veih eer brein e vayrey,” (Luke i. 15), as er ny voylley roish v’eh ruggit, enmyssit ny Ainle, as ooasle ayns shilley yn Chiarn, yn fer va dy yannoo aarloo raad nyn Saualtagh Creest, as er ny voylley liorishyn dy ve ny smoo na Phadeyr, as yn fer ’sooasle rieau va er ny ruggey jeh ben (Luke vii. 28), ny-yeih t’eh dy foshlit goaill-rish dy row feme echey dy v’er ny niee liorish Creest: t’eh dy cooie moylley as gloyraghey e Hiarn as e Vainshter Creest, as ginjillaghey eh-hene myr neu-feeu dy eaysley kianley e vraagyn, as coyrt dy chooilley ooashley as gloyr da Jee. (Mian iii. 11.)","Ta Ean Bashtey, v’er “ny lhieeney lesh y Spyrryd Noo, veih eer brein e vayrey,” (Luke i. 15), as er ny voylley roish v’eh ruggit, enmyssit ny Ainle, as ooasle ayns shilley yn Chiarn, yn fer va dy yannoo aarloo raad nyn Saualtagh Creest, as er ny voylley liorishyn dy ve ny smoo na Phadeyr, as yn fer ’sooasle rieau va er ny ruggey jeh ben (Luke vii. 28), ny-yeih t’eh dy foshlit goaill-rish dy row feme echey dy v’er ny niee liorish Creest: t’eh dy cooie moylley as gloyraghey e Hiarn as e Vainshter Creest, as ginjillaghey eh-hene myr neu-feu dy eaysley kianley e vraagyn, as coyrt dy chooilley ooashley as gloyr da Jee. (Mian iii. 11.)",,4
"So doth St. Paul both oft and evidently confess himself, what he was of himself; ever giving, as a most faithful servant, all praise to his Master and Saviour. So doth blessed St. John the Evangelist, in the name of himself, and of all other holy men –be they never so just– make this open confession ","Myr shoh ta Noo Paul, dy mennic as dy foshlit, goaill-rish c’red v’eh jeh hene: dy kinjagh coyrt myr sharvaant firrinagh, dy chooilley voylley gys e Vainshter as e Haualtagh. Er yn aght cheddin ta Noo Ean yn Sushtallagh bannit, ayns e ennym hene as ayns ennym ooilley ny deiney crauee er y thalloo, cre-erbee cha ynric as t’ad, goaill-rish myr shoh: “My ta shin gra dy vel shin gyn peccah, ta shin molley shin-hene, as cha vel yn irriney ain. ",,,5
": If we say we have no sin, we deceive ourselves, and the truth is not in us: if we acknowledge our sins, God is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness. If we say we have not sinned, we make him a liar, and his word is not in us.","My ta shin goaill-rish nyn beccaghyn, t’eshyn firrinagh as cairagh dy leih dooin nyn beccaghyn as dy ghlenney shin veih dy chooilley neu-ynrickys. My ta shin gra, nagh vel shin er n’yannoo peccah, ta shin jannoo eshyn ny vreagerey, as cha vel e Ghoo aynin.” (1 Ean i. 8–10.).",,,5
"Wherefore the Wise Man, in the book called Ecclesiastes, maketh this true and general confession, There is not one just man upon the earth that doth good, and sinneth not.","Shen-y-fa ta’n dooinney creeney, ayns y lioar enmyssit Ecclesiastes, fockley magh yn goaill-rish firrinagh as cadjin shoh: “Cha vel dooinney cairal er yn ooir ta jannoo mie, as nagh vel jannoo peccah:” (vii. 20.)",,,5
"And David is ashamed of his sin, but not to confess his sin. How oft, how earnestly, and lamentably doth he desire God’s great mercy for his great offences, and that God should not enter into judgment with him!","As ta David neayragh jeh e pheccah agh cha vel eh neayragh dy ghoaill-rish e pheccah. (Ps. li.) Cre cha mennic, cre cha jeean, as cre cha imlee t’eh shirrey myghin vooar Yee son e loghtyn mooarey, as nagh jinnagh Jee goll er e hoshiaght gys briwnys rish! (Ps. cxliii. 2.)",,,5
"And again, how well weigheth this holy man his sins, when he confesseth that they be so many in number, and so hid, and hard to understand, that it is in manner impossible to know, utter, or number them.","As reesht, cre cha kiart as ta’n dooinney crauee shoh towse e pheccaghyn tra t’eh goaill-rish, dy vel ad wheesh ayns earroo, as cha follit, as cha dooillee dy v’er nyn doiggal, dy vel ad faggys erskyn roshtyn tushtey, goan, ny earroo!",,,5
"Wherefore, he having a true, earnest, and deep contemplation and consideration of his sins, and yet not coming to the bottom of them, he maketh supplication to God to forgive him his privy, secret, hid sins: the knowledge of the which he cannot attain unto.","Shen-y-fa, myr va ennaghtyn firrinagh, jeean, as dowin echey jeh e pheccaghyn, ga nagh row slane toiggal echey jeu, t’eh guee gys Jee dy leih da e pheccaghyn follit, nagh voddagh eh ronsaghey magh. (Ps. xix. 12.)",,,6
"He weigheth rightly his sins from the original root and spring-head; perceiving inclinations, provocations, stirrings, stingings, buds, branches, dregs, infections, tastes, feelings, and scents of them to continue in him still. ","T’eh coyrt tastey cooie da e pheccaghyn veih’n fraue oc, gennaghtyn dy row yeearreeyn, gleashagh, blaaghyn, banglanyn, blass as soar jeu, foast cheu-sthie j’eh. ",,,6
"Wherefore he saith, Mark and behold, I was conceived in sins: he saith not sin, but in the plural number, sins, forasmuch as out of one, as fountain, springeth all the rest.","Shen-y-fa t’eh gra, “Cur-my-ner, va mee er my chummey ayns olkys, as ayns peccah ren my voir m’y yiennaghtyn.” (Ps. li. 5.)[16]",,"[16] Because the Manx version of the Psalm has ‘sin’ not ‘sins’, the Manx text here enlarges the quotation, and omits the comment explicating the plural..",6
"Our Saviour Christ saith, There is none good but God; and that we can do nothing that is good without him; nor can any man come to the Father but by him.","Ta nyn Saualtagh Creest gra, “Cha vel ayn ny ta mie agh unnane, ynrican Jee”: (Mark x. 18; Luke xviii. 19): as nagh vod mayd veg ny ta mie y yannoo negooish, chamoo oddys “fer erbee cheet gys yn Ayr agh liorishyn.” (Ean xv.[17] 5.)","Ta nyn Saualtagh Creest gra, “Cha vel ayn ny ta mie agh unnane, ynrican Jee”: (Mark x. 18; Luke xvii. 19): as nagh vod mayd veg ny ta mie y yannoo negooish, chamoo oddys “fer erbee cheet gys yn Ayr agh liorishyn.” (Ean xv.[17] 5.)",[17] xv.] text xvi.,6
"He commandeth us also to say, that we be unprofitable servants, when we have done all that we can do.","T’eh coyrt sarey dooin myrgeddin dy ghra, dy nee “sharvaantyn neu-frioosagh shin, lurg dooin v’er n’yannoo ooilley ny t’er ny harey dooin.” (Luke xvii. 10.)",,,6
"He preferreth the penitent Publican before the proud, holy, and glorious Pharisee. He calleth himself a Physician, but not to them that be whole, but to them that be sick, and have need of his salve for their sore.","T’eh soiagh jeh yn Publican arryssagh, roish yn Pharisee moyrnagh as boggyssagh ass e ynrickys hene. (Luke xviii. 14.) T’eh genmys eh-hene ny “Er-lhee,” agh cha nee dauesyn ta slane, agh dauesyn ta ching, as ta feme oc er e haasyn-lheihys. (Mian ix. 12.)",,,6
"He teacheth us in our prayers to acknowledge ourselves sinners, and to ask righteousness and deliverance from all evils, at our heavenly Father’s hand. He declareth that the sins of our own hearts do defile our own selves.","T’eh gynsaghey dooin ayns nyn badjeryn dy ghoaill-rish, dy nee peccee shin, as dy hirrey ynrickys as livrey-ys veih dy chooilley olk, ec laueyn nyn Ayr Flaunyssagh. T’eh fockley magh dy vel peccaghyn nyn gree hene jannoo shin neu-ghlen.",,,6
"He teacheth that an evil word or thought deserveth condemnation, affirming, that we shall give an account for every idle word. He saith, He came not to save but the sheep that were utterly lost and cast away.","T’eh gynsaghey dy vel drogh ockle, ny drogh smooinaght tooilloo[18] dy v’er ny gheyrey; gra, “dy negin dooin coyrt coontey son dy chooilley ghrogh ockle.” (Mian xii. 36.) T’eh gra, “nagh daink eh dy hauail agh ny kirree va ooilley-cooidjagh cailt.” (Mian xv. 24.)",,"[18] tooilloo] ‘deserve’ is usually spelt toilliu or thoilliu; there are a few examples of toilloo in the Manx Homilies; the <oo>in the first syllable may be an error, but there are three more examples in the Homileeyn. The /u/ implied by this spelling would be historical, Ir. tuill (dil.ie/18463).",6
"Therefore few of the proud, just, learned, wise, perfect, and holy Pharisees were saved by him; because they justified themselves by their counterfeit holiness before men. ","Shen-y-fa, cha nhimmey jeh ny Phariseeyn moyrnagh as ard-ynsit, va ayns nyn shilley hene cha creeney as cha cairal, va er nyn sauail liorish, er-yn-oyr dy ren ad seyrey ad-hene liorish nyn graueeaght foalsey kionfenish deiney. ",,,7
"Wherefore, good people, let us beware of such hypocrisy, vain-glory, and justifying of ourselves.","Shen-y-fa lhig dooin ve er nyn dwoaie noi lheid y chraueeaght-oalsey, moyrn fardailagh as seyrey shin hene.",,,7
THE SECOND PART OF THE SERMON OF THE MISERY OF MAN.,Yn Nah Ayrn jeh’n Charmane mychione Treihys Dooinney.,,,7
"Forasmuch as the true knowledge of ourselves is very necessary to come to the right knowledge of God, ye have heard in the last reading, how humbly all godly men always have thought of themselves; and so to think and judge of themselves, are taught of God their Creator, by his holy word.","Er-yn-oyr dy vel tushtey firrinagh j’in hene feer ymmyrchagh gys tushtey firrinagh Yee;  ta shin[19] er chlashtyn ayns y chied ayrn jeh’n Homily shoh, cre ny smooinaghtyn imlee jeu hene t’er ve ec ooilley yn vooinjer chrauee: as dy vel ad ynsit liorish Jee nyn Er-chroo, ayns e Ghoo casherick, myr shen dy smooinaghtyn jeu hene.",,[19] shin] l. shiu ?,7
"For of ourselves we be crab-trees, that can bring forth no apples. We be of ourselves of such earth, as can bring forth but weeds, nettles, brambles, briers, cockle, and darnel. Our fruits he declared in the fifth chapter to the Galatians.","J’in hene ta shin biljin feïe nagh vod gymmyrkey ooylyn erbee. Ta shin j’in hene jeh lheid yn ooir nagh vod cur magh veg agh coggyl, undaagagh, onnaneyn, drineyn, as dressyn. Ta’n mess ain soit magh ayns y wheiggoo chabdyl jeh yn Screeuyn gys ny Galatianee: (ver. 19–21;)","J’in hene ta shin biljin feïe nagh vod gymmyrkey ooylyn erbee. Ta shin j’in hene jeh lheid yn ooir nagh vod cur magh veg agh coggyl, undaagagh, onnaneyn, drineyn, as dressyn. Ta’n mess ain soit magh ayns y wheiggoo chabdyl jeh yn Screeyn gys ny Galatianee: (ver. 19–21;)",,7
"We have neither faith, charity, hope, patience, chastity, nor anything else that good is, but of God; and therefore these virtues be called there the fruits of the Holy Ghost and not the fruits of man.","Cha vel ain eddyr credjue, graih, treishteil, surranse, glennid, ny nhee erbee elley ta mie, agh veih Jee: as shen-y-fa, ta ny graysyn shoh enmyssit ayns shen, “Messyn y Spyrryd Casherick,” as cha nee messyn dooinney.",,,7
Let us therefore acknowledge ourselves before God –as we be indeed– miserable and wretched sinners. ,"Lhig dooin eisht goaill-rish fenish Jee, dy vel shin, myr ta shin ayns firrinys, peccee hreih as cailt. ",,,7
"And let us earnestly repent, and humble ourselves heartily, and cry to God for mercy.","As lhig dooin dy jeean goaill arrys, as ginjillaghey shin hene dy creeoil, as geamagh gys Jee son myghin.",,,7
"Let us all confess with mouth and heart, that we be full of imperfections. Let us know our own works, of what imperfection they be: and then we shall not stand foolishly and arrogantly in our own conceits; nor challenge any part of justification by our merits or works.","Lhig dooin oollley goaill-rish lesh beeal as cree, dy vel shin lane dy almoraght as annoonid: lhig dooin toiggal nyn obbraghyn hene, cre cha neu-feeu as t’ad; as eisht cha bee mayd sheidyt seose lesh smooinaghtyn ommijagh as moyrnagh, ny jerkal dy v’er nyn seyrey ayns yn ayrn sloo liorish nyn doilchinys ny nyn obbraghyn hene.","Lhig dooin oollley goaill-rish lesh beeal as cree, dy vel shin lane dy almoraght as annoonid: lhig dooin toiggal nyn obbraghyn hene, cre cha neu-feu as t’ad; as eisht cha bee mayd sheidyt seose lesh smooinaghtyn ommijagh as moyrnagh, ny jerkal dy v’er nyn seyrey ayns yn ayrn sloo liorish nyn doilchinys ny nyn obbraghyn hene.",,7
"For truly there be imperfections in our best works: we do not love God so much as we are bound to do, with all our heart, mind, and power; we do not fear God so much as we ought to do; we do not pray to God, but with great and many imperfections; we give, forgive, believe, live, and hope imperfectly; we speak, think, and do imperfectly; we fight against the devil, the world and the flesh imperfectly.","Son ayns firrinys, ta neu-feeuid ayns nyn obbraghyn share: cha vel shin coyrt wheesh dy ghraih da Jee as ta shin kianlt dy chur da, lesh ooilley nyn gree, aigney, as niart: cha vel shin goaill aggle roish Jee myr lhisagh shin: cha vel shin goaill padjer gys Jee, agh lesh lane annoonid: ta shin coyrt, ta shin leih, ta shin credjal, ta shin coyrt graih,[20] as treishteil, ayns aght neu-cooie: ta shin loayrt, smooniaght, as jannoo ayns aght neu-cooie, ta shin caggey noi yn seihll, yn eill, as y drogh-spyrryd, ayns aght neu-cooie.",,"[20] coyrt graih] The translator evidently read, or understood, ‘love’, not ‘live’.",8
"Let us therefore not be ashamed to confess plainly our state of imperfection: yea, let us not be ashamed to confess imperfection, even in all our best[21] works. ","Ny lhig dooin er-y-fa shen ve neayragh dy ghoaill-rish dy foshlit, nyn stayd dy almoraght: dy-jarroo, ny lhig dooin ve neayragh dy ghoaill-rish nyn neu-feeuid, eer ayns nyn obbraghyn share. ","Ny lhig dooin er-y-fa shen ve neayragh dy ghoaill-rish dy foshlit, nyn stayd dy almoraght: dy-jarroo, ny lhig dooin ve neayragh dy ghoaill-rish nyn neu-feuid, eer ayns nyn obbraghyn share. ",[21] our best] 1817 our own best,8
"Let none of us be ashamed to say, with holy Saint Peter, I am a sinful man.","Ny lhig da fer-erbee ny mast’ ain ve neayragh dy ghra marish y Noo Peddyr, “Ta mee my ghooinney peccoil.” (Luke v. 8.)","Ny lhig da fer-erbee ny mast’ ain ve neyragh dy ghra marish y Noo Peddyr, “Ta mee my ghooinney peccoil.” (Luke v. 8.)",,8
"Let us all say, with the holy Prophet David, We have sinned with our fathers; we have done amiss; and dealt wickedly. ","Lhig dooin ooilley gra, marish y Phadeyr crauee David, “Ta shin er n’yannoo peccah marish nyn ayraghyn; ta shin er chur-rish aggair, as er ghellal dy olk.” (Ps. cvi. 6.) ",,,8
"Let us all make open confession; with the Prodigal son, to our Father, and say with him, We have sinned against Heaven, and before thee, O Father: we are not worthy to be called thy sons.","Lhig dooin ooilley goaill-rish dy foshlit, marish y mac stroialtagh, gys nyn Ayr, as gra marishyn, “Ta shin er n’yannoo peccah noi niau, as kiongoyrt rhyts, O Ayr Flaunyssagh; as cha vel shin ny-sodjey feeu dy ve enmyssit dty Vec.” (Luke xv. 18, 21.)",,,8
"Let us all say, with holy Baruch, O Lord our God, to us is worthily ascribed shame and confusion, and to thee righteousness: we have sinned, we have done wickedly, we have behaved ourselves ungodly in all thy righteousness.",[22],,"[22] The Manx omits the quotation from Baruch, as that book was not included in the Manx Old Testament + Apocrypha.",8
