Speaker,Manx,English,SubStart,SubEnd,Notes
NM,"Oh ta, t'eh gaase feer bow- bouyr.","Oh yes, he's getting very de-, deaf.",245,248,
WC,Ta.,Yes.,247,249,
WR,Ta.,Yes.,247,249,
DF,"Va shin, va shin pleadeil ayns Gailck rish.","We were, we were chatting in Manx to him.",248.5,251.5,
WC,Ta.,Yes.,250.7,252.2,
WR,Ta.,Yes.,252,253,
WC,"Ta, oh va.","Yes, oh yes.",252,254,
DF,"She, she.","Yes, yes.",252,254,
NM,Oh ta Gailck mie echey.,Oh he has good Manx.,254,255.5,
DF,Oh Gailck mie.,Oh good Manx.,255,257,
WR,Dooyrt eh ...,He said ...,255.6,257,
NM,"Cha nel, cha nel coraa mie echey son, son yn red shen edyr.","He doesn't, doesn't have a good voice for, for that thing at all.",256,259.6,
WC,"Cha nel, cha nel, cha nel goll-rish shiu hene edyr.","No, no, he's not like yourself at all.",259,261.6,
NM,"Cha, cha nel, cha nel.","No, no.",260.9,263,
WC,"Cha nel, cha nel.","No, no.",261.4,263.7,
DF,Ta'n coraa ayd's ny share na ...,Your voice is better than ...,263,265,
NM,"Oh ta, ta coraa mie aym's son jannoo shen.","Oh yes, my voice is good for doing that.",264,268,
WC,"T'eh yindyssagh, t'eh, t'eh feer yindyssagh yn coraa ayd's (unclear) shen. She.","It's wonderful, it's, it's very wonderful your voice (unclear) that.",265.5,272,
NM,She.,Yes.,271,272.2,
WR,Va'n contractor ginsh dooin dy vel eh bunnys kiare-feed as nane-jeig nish.,The contractor was telling us that he is almost ninety one now.,272,277,The Contractor = John Kinvig
NM,"Quoi yn, yn, ven ec, err, John Kinvig?","Who the, the, wife of, err, John Kinvig?",276.7,280,
WR,"Eh hene, she.","Himself, yes.",279.5,281,
WC,Ta.,Yes.,279.5,281,
DF,She.,Yes.,281,282.3,
WR,"As ayns tammylt beg son Mee Houney, bee ad three-feed blein poost.","And in a little while for November, they will be sixty years married.",282,287,
NM,Nee? Shen traa liauyr.,Is it? That's a long time.,286.7,288.7,
WR,Hmm.,Hmm.,288,289,
WC,Ta. Traa liauyr.,Yes. A long time.,289,291,
NM,Cre'n aght ren eh ... (unclear),How did he ... (unclear),290,291.5,
WC,Dooyrt eh tra v'eh aeg v'eh goll er y eeastagh heose ayns Shetland.,He said that when he was yonig he was going to the fishing up in Shetland.,291,297.2,
NM,She.,Yes.,297,298,
DF,Ren eh goll dys Shetland.,He went to Shetland.,297,299,
WC,Ayns Lerwick v'eh.,In Lerwick he was.,298,300,
NM,"She, ta, ta mee er clashtyn eh gra shen neesht.","Yes, yes, I have heard him say that too.",299.6,302.4,
WC,Ta. Vel eh goll er yn breck ayns shen?,Yes. Is he going on the mackerel there?,301.4,304,
NM,"Oh, nee, geiyrt er ny .... (unclear) ...va shin goll ...","Oh, he will, follow the ... (unclear) ... we were going ...",303.5,306,
WC,(unclear) ... er shen.,(unclear) ... on that.,306,307,
WR,She.,Yes.,307,307.8,
NM,"Geiyrt er ny vreck, oh, ayns, err, ec, ec, err.","Following the mackerel, oh, in, err, at, at, err.",307.4,312,
WC,"Kin-, Kinsale?",Kinsale?,312,313,
NM,"Ec Kinsale, she.","At Kinsale, yes.",313,314.8,
DF,As Crookhaven?,And Crookhaven?,314,315,
NM,Kinsale as Crookhaven.,Kinsale and Crookhaven.,315,317,
WC,"Ayns, she.","In, yes,",315,317,
DF,"As mygeayrt yn, yn creg Fastnet.","And around the, the Fastnet rock.",316.8,319,
NM,"She, (unclear).","Yes, (unclear).",318.8,320.6,
WC,C'raad v'ad geddyn yn scarrag?,Where were they getting the skate?,320,322,
NM,Scarrag?,Skate?,323,324.7,
WC,"Scarrag, she.","Skate, yes.",324,326,
NM,Oh mygeayrt ayns shoh.,Oh around here.,325,326.5,
WC,Ayns shoh?,Here?,325.5,327,
NM,She.,Yes.,327,328,
WC,Mygeayrt yn Ellan ayns shoh?,Around the Island here?,327,329,
DF,"Wart, Ny Wartyn? The Warts?","Wart, The Warts? The Warts?",327,329.6,
NM,"Mygeayrt, y Colloo.","Around, the Calf.",329.2,331,
WC,Oh ta.,Oh yes.,331,331.8,
DF,Mygeayrt y Colloo hmm.,Around the Calf hmm.,331,333,
WC,Hmm.,Hmm.,332.3,333.6,
NM,"Ta, yeah, she [coughs]","Yes, yeah, yes. [coughs]",331.7,335,
WR,Va Mainshter Kinvig gra dy vel eshyn yn dooinney shinney ayns Skyll Carbrey,Mr Kinvig was saying that he is the oldest Man in Arbory.,334.8,340,
NM,Nee?,Is he?,340,342,
DF,Yeah.,Yeah.,341.3,341.8,
WC,As ta Tommy Leece yn dooinney shinney ayns ...,And Tommy Leece is the oldest man in ...,341.5,344.5,
NM,"Ayns, ayns Malew?","In, in Malew?",344.5,345.8,
WR,Ayns Skyll Malew.,In Malew.,345.5,347,
NM,Ta.,Yes.,347,348.6,
WC,Ta.,Yes.,347,348.6,
NM,"Quoi yn dooinney err, y dooinney shinney ayn-, ayns, ayns yn, err Skylley Creest?","Who is the err, the oldest man in, in, in the, err Kirk Christ?",348,355,
WR,"Skylley Creest Rushen, ny?","Kirk Christ Rushen, or?",354.5,356,
NM,Hmm?,Hmm?,356,357,
WR,"Skylley Creest Rushen, ny ...?","Kirk Christ Rushen, or ...?",356.6,358.1,
NM,"She. Well, she aye, as, she Skylley Creest Rushen.","Yes. Well, yes aye, and, yes Kirk Christ Rushen.",358,362,
WR,As.,And.,362,363,
NM,"Cha row, cha row ad gra Skylley Creest Ru- Rushen edyr.","They weren't, they weren't saying Kirk Christ Ru- Rushen at all.",362,366,
WR,"Oh, hmm.","Oh, hmm.",365,366.5,
NM,Skylley Creest v'ad gra mygeayrt ayns shoh.,Kirk Christ they were saying around here.,365.6,368,
WR,"T'ad gra, t'ad gra Skylley Creest ayns yn Twoaie, neesht [laughs].","They say, they say Kirk Christ in the North, too [laughs].",367.6,371,
NM,"Oh ta, ta fys aym's er shen! Ta.","Oh I, I know that! Yes.",370.5,374,
WC,Ta.,Yes.,373,374,
WR,Oh cha s'aym quoi bee yn dooinney shinney ayns shen edyr.,Oh I don't know who the oldest man there will be at all.,374,377,
DF,Cha s'aym's edyr.,I don't know at all.,376.6,378,
WC,Cre'n eash ta shiuish nish eisht?,What age are you now then?,377.3,379.1,
NM,Mish?,Me?,379,379.6,
WC,She.,Yes.,379.4,380,
NM,"Ta mee bunnys, err, three-feed as queig-jeig.","I am nearly, err, seventy five.",380,387,
WR,Dy jarroo!,Indeed!,386.6,387.6,
WC,Three-feed as queig-jeig dy jarroo.,Seventy five indeed.,386.6,389,
WR,"Cha nel oo jeeaghyn cha aeg, cha shenn as shen.","You don't look as young, as old as that.",388,391.4,
WC,Cha nel oo jeeaghyn shen.,You don't look that.,389.6,391.4,
NM,"Aye shen, err, mysh three ny kiare dy meeaghyn voish nish bee'm ...","Aye that's, err, about three or four months from now I'll be ...",391,397,
WC,Bee?,Will you?,397,398,
NM,... three-feed as queig-jeig.,... three score and fifteen.,397.6,400,(I.e. Seventy five)
DF,As queig-jeig mmm.,And fifteen mmm.,399.6,402,
WC,"Three-feed as jeih, queig-jeig.",Seventy five.,399.6,402,
WR,Va shin briaght jeh Mainshter Kinvig cre voish ren eh geddyn yn Gailck echey ...,We were asking Mr Kinvig where he got his Manx from ...,401,407,
NM,She?,Yes?,407,408,
WR,"... as v'eh ginsh dooin nagh row yn jishig ny yn mummig echey, echey rieau loayrt yn Baarle rish.","... and he was telling us that his father and mother, would never speak English to him.",407.7,413.5,
NM,Nee?,Is it?,413.5,414.6,
WR,Ooilley yn traa v'eh aeg.,All the time ...,414,416,
NM,Ooilley Gailck?,All Manx?,415,417,
WR,Ooilley Gailck v'oc.,All Manx they had.,415.5,416.7,
NM,Ah ah.,Ah ah.,416,417,
WR,As ren eh gynsagh yn Baarle tra ren eh goll dy schoill.,And he learnt the English when he went to school.,417,420,
NM,Ta.,Yes.,420,422,
WC,"As dooyrt ee hene err, cha row fys eck c'raad hooar ee yn Gailck. ","And herself said err, that she didn't know where she got the Manx.",422,428,
DF,"She, Benaishter Kinvig.","Yes, Mrs Kinvig.",427,429.5,
WC,Benaishter Kinvig.,Mrs Kinvig.,429,430.2,
NM,She?,Yes.,430,431,
WC,Cha nel fys eck cre hooar eh [sic] yn Gailck edyr.,She doesn't know where he [sic] got the Manx at all.,430.5,434,
NM,Aha.,Aha.,432,433,
DF,She.,Yes.,434,435.6,
NM,"Well cha row, cha row yn, ny, ny, ny, my vummig, my vummig as my yishig rieau, rieau loayrt monney Gailck ayns, kiongoyrt rooin. Agh err, ren mish geddyn eh voish shenn naunt ta mee er, ta mee er ginsh shen dhyt.","Well my mother, my mother and my father wouldn't ever, ever speak much Manx in, in our presence. But err, I got it from a great aunt I have, I have told you that.",435,452.6,
DF,Shenn naunt.,A great aunt.,435.6,451.4,
WC,Ta.,Yes.,452.5,454,
WR,"Ta, ta.","Yes, yes.",452.5,454,
NM,... keayrt ny ghaa.,... many a time.,454,455,
DF,Keayrt ny ghaa.,Many a time.,455,456,
WC,Mmm.,Mmm.,455,456,
NM,Ta.,Yes.,456,457,
WC,Ta dy jarroo.,Yes indeed.,457,458.6,
NM,"[coughs] ah ta feayraght ayns my scoarnagh, ugh. [laughs]","[coughs] ah I have a cold in my throat, ugh. [laughs]",458.4,464,
DF,Vel?,Do you?,464,465,
NM,Ta.,Yes.,465,466,
DF,Mmm.,Mmm.,465,466,
WC,Ta?,Yes?,465,467,
NM,Ta my coraa gaase feer rastagh.,My voice is getting very rough.,467,470.4,
DF,"Oh cha nel, cha nel, dy jarroo, t'eh mie dy liooar!","Oh no, no, indeed, it's good enough.",470,473,
WC,"Ta mee er clashtyn, ta'n, ta'n shenn baatey elley goll nish ...","I've heard, the, the other old boat, is going now ...",471,476,
NM,Quoi?,Which?,475.4,476.1,
WC,"Yn shenn baatey, err, v'eh cheet voish Nerin dys yn Ellan shoh, t'eh enmyssit yn 'Gaelic', vel oo er clashtyn jeh'n baatey shen, v'eh schooner?","The old boat, err, it was coming from Ireland to this Island, it's called the 'Gaelic', have you heard of that boat, it was a schooner?",476,486.6,
NM,Cha ren.,No.,486.5,487.7,
WR,Va.,Yes.,487,488,
NM,Cu- cuin va shen?,Wh- when was that?,487.8,489.6,
WC,"Oh mysh, ... Kys foddey err, v'eh ayns Rhumsaa?","Oh about ... how long err, was it in Ramsey?",489,494,
DF,Oh ...,Oh ...,489,490,
WR,"Ta mee er nakin eh ayns, ayns Rhumsaa, mysh ...","I have seen it in, in Ramsey, about ...",493,496.2,
WC,"Mysh, mysh shey shiaghtin er dy henney, nagh row? V'eh ayns Rhumsaa agh ...","About, about six weeks ago, wasn't it? It was in Ramsey, but ...",494,501,
NM,C'red v'ee jannoo ayns shoh eisht?,What was she doing here then?,500,502,
DF,Cur lesh sollan ta mee smooinaghtyn.,Bringing salt I think.,502,504,
WC,"V'eh cur lesh sollan, as reddyn myr shen, as ...","It was bringing salt, and things like that, and ...",501.5,505,
NM,"Oh v'ee, v'ee cur lesh sollan voish Rhumsaa gys Nerin. ","Oh she was, she was bringing salt from Ramsey to Ireland.",504.5,508.7,
WC,"Hmm. Voish Nerin, ta.","Hmm. From Ireland, yes.",506,509.3,
DF,Ta.,Yes.,509,510,
NM,Aha.,Aha.,509,510,
WC,"Agh hie eh er yn, creg, err.","But he went on the, rock, err.",509,514,
DF,C'raad va'n creg Walter?,Where was the rock Walter?,514,515.5,
WC,"Err, ayns Nerin boayl ennagh.","Err, in Ireland somewhere.",515,518.5,
DF,Nerin.,Ireland.,517,519,
WC,"Ta, yn yiass, ta mee credjal.","Yes, the south, I believe.",518,520.5,
DF,"Hmm, hmm.","Hmm, hmm.",519.8,521,
WR,"Cheayll mee dy, ren ee goll fo.","I heard that, she sank.",520.5,523,
WC,"T'eh fo yn, t'eh fo yn keayn nish ansh erbee.","It's under the, it's under the sea now anyway.",521,525,
WR,Mmm.,Mmm.,524.5,525.5,
DF,Walter.,Walter.,525,526,
WR,Fo yn ...,Under the ...,525.4,527,
NM,As c'red va'n ennym eck?,And what was her name?,526,527.7,
WC,Yn 'Gaelic'.,The 'Gaelic'.,527.5,528.6,
DF,Yn 'Gaelic'.,The 'Gaelic'.,527.5,528.6,
NM,Gaelic?,Gaelic?,528.3,529.3,
WC,Gaelic.,Gaelic.,529,530,
WR,She.,Yes,529,530,
NM.,Aha.,Aha.,530,531,
WC,"V'eh jeant jeh yiarn, va.","It was made of iron, yes.",530.5,534,
NM.,Ah cha nel mish fak-,Ah I'm not see-,534,535.5,
WC,"Cha row eh jeant jeh fuygh edyr, fuygh, v'eh yiarn.","It wasn't made of wood at all, wood, it was iron.",534,538,
NM,"Oh cha veagh ee, cha veagh ee, stiagh ayns Purt le Moirrey edyr.","Oh she wouldn't be, she wouldn't be, in Port St. Mary at all.",536.3,540.4,
WC,Mmm.,Mmm.,540.7,542,
DF,Mmm.,Mmm.,540.7,542,
NM,Cha beagh.,She wouldn't be.,541.5,544,
WR,"Tra v'ou aeg, Ned, as tra v'ou goll eeastagh, um, bollanyn, mygeayrt ayns shoh ...","When you were young, Ned, and when you were going fishing, um, wrasse, around here ...",544,552,
NM,"Oh, cha (ren mee) monney jeh.",Oh I didn't do much of it.,550.2,552,Tape jump cutting out part of sentence??
WR,Nagh ren?,Didn't you?,552,553,
NM,"Cha ren, cha ren.","No, no.",552.5,554,
WR,"Va Mnr Kinvig ginsh dooin jiu dy row yn, yn traa share dy tayrtyn bollanyn mie, as ta'n eeastagh mie, v'eh ec y lhiggin.","Mr Kinvig was telling us today that the, the best time to catch good wrasse, and the fishing is good, it was at the slackwater.",554,564,
NM,Well ta mee er clashtyn shen mee hene neesht.,Well I have heard that myself too.,564,567,
WC,Mmm.,Mmm.,566,567.6,
DF,Mmm.,Mmm.,566,567.6,
WR,As va'n geay share yn geay jiass.,And the best wind was the southern wind.,567,570.4,
NM,Nee?,Is it?,570.4,571.3,
WR,Son eeastagh mie.,For good fishing.,571,572.3,
NM,"She. Va, va ...",Yes. Was ...,572,576,
WR,"As tra va'n geay, yn geay ayns y twoaie cha row eh feeu goll magh.",When the wind was in the north it wasn't worth going out.,573.2,578.4,
NM,"Cha row, well, err, err, ta mee er clashtyn shen roïe, son v'eh ro feayr eisht.","No, well, err, err, I have heard that before, for it was too cold too.",578,583.5,
WR,Aye err.,Aye err.,583,584,
DF,Ro feayr?,Too cold?,583.6,585,
NM,Ro feayr.,Too cold.,584.5,585.5,
WR,"Mmm, mmm.","Mmm, mmm.",585,587,
NM,"Ta, ta mee, ta mee, ta mee er nakin shen tra va shin geiyrt er y vreck as scaddan.",I have seen that when we were following the mackerel and herring.,587,594.5,
WC,Dy jarroo? ,Indeed?,593.9,594.7,
NM,Ta.,Yes,594.7,595.5,
WR,Mmm.,Mmm.,595,596,
WC,"Cha nel ad goll geiyrt er yn, ny boadee ayns y Jiass edyr, cre'n fa va shen?","They don't go following the, the cod in the South at all, why was that?",595.7,602.2,
NM,"Va, magh ayns shoh?","Yes, out here?",602,603.5,
WR,[?]Ta.,Yes.,604,605,
DF,[?]Ta.,Yes.,604,605,
WC,"Ta, cha row monney jeu goll.","Yes, not many of them were going.",603.3,606,
NM,"Cha row mish rieau goll, goll, err, goll geiyrt er boadee noadyr.","I was never going, going, err, going following the cod at all.",605.5,609,
WC,Ta.,Yes.,608,609,
DF,She ayns Rhumsaa t'ad jannoo ooilley shen bunnys.,It's in Ramsey they do all that nearly.,609,611.6,
WC,"Ayns, ayns yn ...","In the, in the ...",610,611,
NM,"She, she ayns [?}Rhumsaa t'ad jannoo yn argid[?] son shen.","Yes, it's in Ramsey they make the money for that.",610.5,613.5,(Rhumsaa with a jump in the tape?)
DF,She.,Yes.,612.6,614.2,
WC,She? Ta.,Yes?,612.6,614.2,
NM,She. [laughs],Yes. [laughs],613.7,617,
WC,Ayns y Twoaie v'ad jannoo eh.,In the North they were doing it.,614,617,
DF,Hmm.,Hmm.,616.7,618,
WC,Oh ta'n jees mie.,Oh both are good.,617,619.2,
DF,Hmm.,Hmm.,618,620,
WC,Ta'n scarrag ...,The skate ...,619,620,
NM,"Oh ta, ta.","Oh yes, yes.",619,620.4,
WC,Ta'n scarrag eeast mie neesht.,The skate is a good fish too.,620,621.9,
NM,"Oh ta, cha jean eh jannoo, cha jean eh jannoo dooys son dy goaill rour eh, cha jean eh d- err jannoo dooys ...","Oh yes, it won't do, it won't do for me to have too much of it, it won't do ...",621.8,628,
WC,"T'eh, t'eh, t'eh mie dy liooar ...","It's, it's, it's good enough ...",622.6,624.5,
WC,T'eh cur roud [sic] bree aynjeed ...,It gives you too much energy ...,628,629.7,
NM,[laughs],[laughs],629,631.5,
WR,Mmm.,Mmm.,629,630,
DF,Ah.,Ah.,629,630,
WC,... vel shen kiart?,... is that right?,630,631.2,
WR,Yeah.,Yeah.,631,632,
NM,Foddee dy jinnagh eh jannoo jeeill.,Maybe it would do damage.,632,634,
WC,"She, she shen eh, ta mee er clashtyn shen.","Yes, that's it, I have heard that.",634,636,
DF,Cha s'aym's edyr.,I don't know at all.,635,637,
NM,Eh?,Eh?,636.5,637.2,
WR,Oh ta ...,Oh yes,637,638.4,
DF,[cough] Cha gredjym shen edyr.,[cough] I don't believe that at all.,637,640,
WR,"Ta'n scarrag mie dy cur bree aynyd, t'ad gra.","The skate is good to give you energy, they say.",639.7,642.2,
NM,"Oh ta, ta.","Oh yes, yes.",641.4,642.2,
DF,Vel ad? [coughs],Do they? [coughs],642.4,645,
WC,Oh ta (unclear) oh ta.,"Oh yes, (unclear) oh ta.",642.9,646,
DF,[coughs] Ta mee gousternee goll-rish moddey.,[coughs] I'm barking like a dog.,645,647.7,
NM,Vel?,Are you?,647.5,648.2,
DF,Ta ...,Yes...,648,649,
NM,[?]cur lesh[?]...,[?]bringing[?] ...,649,650,
DF,"... ta feayraght err, ayns scoarnagh aym's neesht.","... there's a cold err, in my throat too.",649,652,
WR,Vel?,Is there?,650,651,
NM,"(unclear) [?]Well, ta feayraght aym's neesht.","(unclear) [?]Well, I have a cold too.",651,653,
WR,Ta.,Yes.,653,654,
DF,Mmm.,Mmm.,653,654,
WC,Oh ta mee er clashtyn ny shenn eeasteyryn gra ny jean gee roud [sic] scarrag edyr.,"Oh I have heard the old fishermen say don't eat too much skate at all, yes.",654,660,
DF,Ta.,Yes.,659.8,660.4,
NM,"Oh ta, ta, ta mish, ta mish er, cha row mee rieau err, cha row mee rieau eeastagh scarrag edyr.","Oh yes, yes, I have, I wasn't ever err, I wasn't ever fishing skate at all.",660.5,669,
WC,Nagh row? Mmm.,Weren't you? Mmm.,668.7,670.1,
NM,"Cha row, cha row.",No.,669.2,671,
WC,Oh va d- ...,Oh there were ...,672,673,
NM,Oooh va mish le- lesh ny lieenyn va mish eeastagh.,"Oooh I was w-, with nets I was fishing.",672.4,677,
DF,Vel eh?,Is it?,676.4,677.5,
WC,Mmm.,Mmm.,677,679,
WR,Hmm.,Hmm.,677,679,
NM,"Ta. Cha row mee rieau ja-, cha ren mee rieau jannoo monney lesh ny dugganyn (dooanyn).","Yes. I was never d-, I didn't ever do much with hooks.",677.6,682.8,
WC,Nagh ren?,No?,682.5,683,
DF,Hmm.,Hmm.,683.2,684,
NM,Oh yes.,Oh yes.,683.5,684.5,
WC,"Oh t'eh ooilley err, dugganyn (dooanyn) ayns y Twoaie. Bunnys ansh erbee.","Oh it's all err, hooks in the North. Nearly anyway.",684,689,
