English,Manx,Manx Original,Notes,Page
" The sacred writers do not set themselves directly to prove it, yet it is abundantly asserted in the book of God. ",,,,2
"Our Saviour maintains the future existence of the soul, from God’s calling himself the God of Abraham, Isaac, and Jacob, many years after their death; “ for God,” saith he, “is not a God of the dead, but of the living; for all live unto him.” The same divine Teacher asserts, that though men may kill the body, they cannot kill the soul: ","Ta nyn Saualtagh hene prowal dy bee yn annym bio ’sy theihll ta ry-heet veih beeayll Jee hene tra t’eh genmys eh hene Jee Abraham, as Jee Isaac, as Jee Yacob, “son cha vel Jee,” te’h gra, “Jee ny merriu agh Jee ny bioee son ta ooilley bio huggeysyn.” Ta’n fer-ynsee flaunyssagh cheddin fockley magh ga dy vod deiney marroo yn corp nagh vod ad yn annym y varroo.","Ta nyn Saualtagh hene prowal dy bee yn annym bio ’sy theihll ta ry-heet veih beeayll Jee hene tra t’eh genmys eh hene Jee Abraham, as Jee Isaac, as Jee Yacob, “son cha vel Jee,” te’h gra, “Jee ny merriu agh Jee ny bioee son ta ooilley bio huggeysyn.” Ta’n fer-ynsee flaunyssagh cheddin fockl?y magh ga dy vod deiney marroo yn corp nagh vod ad yn annym y varroo.",,2
"but if the soul died with the body, or ceased to think and act after death, they might kill the soul as well as the body. The Apostles speak of being unclothed—putting off the body, or the tent in which the soul resides. They speak of giving up the ghost (or spirit); of the spirits of wicked men being in prison; and of the spirits of just men being made perfect.",,,,2
"The scriptures also speak of two future states; a state of happiness in heaven, and a state of misery in hell; and affirm that each of these is eternal. Holy souls, when removed from this world, are admitted into heaven, which is undoubtedly a state of glory and happiness, and the principal stress laid on this is, that it is an eternal state. Thus we frequently read of eternal life—eternal redemption, and eternal glory. The house to which good men shall be removed is eternal in the heavens. The kingdom which they shall possess is an everlasting kingdom. Their happiness is called an eternal weight of glory, and, it is said, they shall be for ever with the Lord.","Ta ny Scriptyryn myrgeddin loayrt jeh daa stayd ta ry-heet; stayd dy vaynrys ayns Niau, as stayd dy horchagh ayns Niurin, as t’ad fockley magh lesh slane shickyrys dy vel ad nyn neesht farraghtyn son dy bragh. Ta anmeenyn casherick tra ta’d er nyn scarrey veih yn seihll shoh, er nyn ghoaill stiagh ayns Niau, ta gyn dooyt ny stayd dy ghloyr as dy vaynrys, agh shen er ta ny Scriptyryn soilshaghey dy vel trimmid y chooish lhie, she dy vel eh stayd dy bragh farraghtyn. Myr shoh ta shin dy mennic lhaih jeh bea dy bragh farraghtyn—Saualtys dy bragh farraghtyn, as gloyr dy bragh farraghtyn. Ta’n thie huggey vees deiney mie er nyn goyrt lhieu dy bragh farraghtyn ayns ny Niaughyn. Ta’n reeriaght nee ad goaill soylley jeh reeriaght dy bragh farraghtyn. Ta’n vaynrys oc enmyssit towse dy bragh farraghtyn dy ghloyr, as te raït, dy bee ad son dy bragh marish y Chiarn.",,,2
"The misery of hell is also eternal. Those who lived in rebellion against God, and disobedience to the gospel, and died impenitent and unrenewed, are removed to a state of misery and torment. Our Lord, speaking of it, calls it the fire that shall never be quenched; and this he repeats no less than four times. St. Paul says, that the wicked shall be punished with everlasting destruction. Jude speaks of the inhabitants of Sodom, as suffering the vengeance of eternal fire. Our Lord also, describing the day of judgment, says, the wicked shall o away into everlasting punishment. ","Ta torchagh niurin myrgeddin farraghtyn son dy bragh. Adsyn ta er veaghey ayns noidjys noi Jee, as ayns mee-viallys da’n sushtal, as ta er gheddyn baase fegooish arrys as fegooish veh er nyn ruggey ass-y-noa, t’ad er nyn scughey gys stayd dy hreihys as dy horchagh. Ta nyn Jiarn, tra t’eh loayrt jeh, genmys eh “Yn aile nagh bee dy bragh er ny[1] vooghey;” as shoh t’eh fockley magh kiare keayrtyn. Ta’n Noo Paul gra dy bee ny mee-chrauee “er nyn gerraghey lesh toyrt-mow dy bragh farraghtyn.” Ta Jude loayrt jeh cummaltee Sodom myr surranse kerraghey dowil yn aile dy bragh farraghtyn.” Ta nyn Jiarn myrgeddin tra t’eh loayrt jeh laa ny Briwnys, gra, dy jed ny mee-chrauee ersooyl gys kerraghey dy bragh farraghtyn.","Ta torchagh niurin myrgeddin farraghtyn son ?y bragh. Adsyn ta er veaghey ayns noidjys noi Jee, as ayns mee-viallys da’n sushtal, as ta er gheddyn baase fegoois? arrys as fegooish veh er ny ruggey ass-y-noa, t’ad er nyn scughey gys stayd dy hreihys as dy horchagh. Ta nyn Jiarn, tra t’eh loayrt jeh, genmys eh “Yn aile nagh bee dy bragh er ny[1] vooghey;” as shoh t’eh fockley magh kiare keayrtyn. Ta’n Noo Paul gra dy bee ny mee-chrauee “er nyn gerraghey lesh toyrt-mow dy bragh farraghtyn.” Ta Jude loayrt jeh cummaltee Sodom myr surranse kerraghey dowil yn aile dy bragh farraghtyn.” Ta nyn Jiarn myrgeddin tra t’eh loayrt jeh laa ny Briwnys, gra, dy jed ny meechrauee ersooyl gys kerraghey dy bragh farraghtyn.",[1] ny] text nyn,3
"How astonishing then is the folly and madness of mankind! One would imagine, from their conduct, that they expect to die either like the brutes, or else that God has no wrath for them to fear, and no mercy for them to desire. Look into the lives of men in general, and you will see that visible and temporal things appear to them the most important, unseen and eternal things the most trifling. They are eager to provide for their frail, dying bodies, and to heap up wealth which they cannot carry with them; but take little or no care of the nobler part of their nature, their never-dying souls. They are every day laying up for years to come, but take no thought for eternity. They are diligent in trading, but negligent in praying[a]. Their shop-books are duly posted, but they seldom consult the book of God. Some who have lived 60 or 70 years, and know that eternity cannot be far off, have perhaps never spent one serious hour in inquiring into the state of their souls, and what preparation is necessary for eternity. There are others less busy about temporal concerns, but equally careless about eternal ones. They waste that precious time in unnecessary sleep or recreation, which was given to them to improve for eternity. They contrive a thousand methods to kill time, (as they ignorantly speak,) and are thankful to any one for an expedient to pass it off. They waste God’s sacred time as well as their own, and will not devote even the short interval of a sabbath to consider the things that make for their eternal happiness. “The life everlasting” is indeed an article of their creed, but is strangely forgotten and lost sight of. The warnings of conscience, the admonitions of friends, the addresses and prayers of ministers, have no abiding effect on their minds. Thus they go on, in a round of folly and impenitence, till their foot slippeth in some dreadful moment, and they are lost for ever!","Cre cha atchimagh eisht as ta ommijys sheelnaue? Hellagh peccagh veih yn ymmyrkey oc, dy vel ad jerkal dy gheddyn baase myr maase y vagheragh, er nonney nagh vel jymmoose erbee ec Jee dy veh agglagh roish, ny myghin erbee daue dy yeearree. Gow-jee tastey jeh ymmyrkey bea yn chooid smoo dy ’leih, as nee shiu fakin dy vel ny reddyn ta ry akin as cherraghtyn jeeaghyn dauesyn jeh ’n trimmid smoo, ny reddyn nagh vel ry akin as ta farraghtyn son dy bragh eddrym, as fardailagh. T’ad streeu dy jeean dy yannoo magh feme nyn girp marvanagh, as dy stoyral seose berchys nagh vod ad cur lesh ersooyl maroo, agh ’sbeg y charail t’ad goaill jeh’n ayrn s’ooasle jeh nyn ghooghys: nyn anmeenyn nagh vow dy bragh baase. T’ad dy chooilley laa stoyral seose son bleeantyn ry-heet agh cha vel imnea erbee oc mychione beaynid. Ta nyn goontaghyn rish deiney er nyn reayll dy kiart, agh s’anvennic t’ad jeeaghyn stiagh ayns lioar Yee. Ta paart ta er cheau three feed blein ny three-feed as jeih ’sy theihll, as shickyrys oc nagh vod beaynid veh[2] foddey jeh, nagh vel rieau er cheau foddee un oor ayns jeeaghyn stiagh ayns stayd nyn anmeenyn hene, as briaght cre ta ymmyrchagh dy yannoo ad aarloo cour beaynid. Ta feallagh elley ayns ny sloo dy phreish mychione nheeghyn seilltagh, agh chiart cha lhag-chiarailagh mychione ny reddyn ta farraghtyn son dy bragh. T’ad ceau ersooyll nyn ooryn deyr ayns saveenys as cadley er nonney ayns geiyrt er eunyssyn fardailagh, va er nyn goyrt daue dy yannoo ymmyd jeu cour beaynid. T’ad geddyn magh thousane aght dy varroo traa (myr t’ad hene dy mee-hushtagh gra,) as t’ad booisal da persoonyn erbee ver saase daue dy gheddyn rea rish paart jeh. T’ad ceau ersooyll traa casherick Yee marish yn traa oc hene, as cha der ad seose eer earish giare yn doonaght gys smooinaghtyn er ny reddyn ta bentyn rish nyn maynrys dy bragh farraghtyn. Ta’n “vea dy bragh farraghtyn” dy jarroo banglane jeh ’n chredjue oc, agh t’eh dy yindyssagh er ny yarrood ayns nyn ymmyrkey bea. Cha vel raueaghyn nyn gooinsheanse, cha vel coyrle nyn gaarjyn, cha vel sharmaneyn as padjeryn nyn shirveishee goaill greme shickyr erbee er nyn aignaghyn. Myr shoh t’ad goll er nyn doshiaght dy ommijagh as dy mee-arryssagh, derrey ta nyn gass skyrraghtyn ayns oor atchimagh ennagh, as t’ad caillit son dy bragh!","Cre cha atchimagh eisht as ta ommijys sheelnaue? Hellagh peccagh veih yn ymmyrkey oc, dy vel ad jerkal dy gheddyn baase myr maase y vagheragh, er nonney nagh vel jymmoose erbee ec Jee dy veh agglagh roish, ny myghin erbee daue dy yeearree. Gow-jee tastey jeh ymmyrkey bea yn chooid smoo dy ’leih, as nee shiu fakin dy vel ny reddyn ta ry akin as cherraghtyn jeeaghyn dauesyn jeh ’n trimmid smoo, ny reddyn nagh vel ry akin as ta farraghtyn son dy bragh eddrym, as fardailagh. T’ad streeu dy jeean dy yannoo magh feme nyn girp marvanagh, as dy stoyral seose berchys nagh vod ad cur lesh ersooyl maroo agh ’sbeg y charail t’ad goaill jeh’n ayrn s’ooasle jeh nyn ghooghys nyn anmeenyn nagh vow dy bragh baase. T’ad dy chooilley laa stoyral seose son bleeantyn ry-heet agh cha vel imnea erbee oc mychione beaynid. Ta nyn goontaghyn rish deiney er nyn reayll dy kiart, agh s’anvennic t’ad jeeaghyn stiagh ayns lioar Yee. Ta paart ta er cheau three feed blein ny three-feed as jeih ’sy theihll, as shickyrys oc nagh vod beaynid veh[2] foddey jeh, nagh vel rieau er cheau foddee un oor ayns jeeaghyn stiagh ayns stayd nyn anmeenyn hene, as briaght cre ta ymmyrchagh dy yannoo ad aarloo cour beaynid. Ta feallagh elley ayns ny sloo dy phreish mychione nheeghyn seilltagh, agh chiart cha lhag-chiarailagh mychione ny reddyn ta farraghtyn son dy bragh. T’ad ceau ersooyll nyn ooryn deyr ayns saveenys as cadley er nonney ayns geiyrt er eunyssyn fardailagh, va er nyn goyrt daue dy yannoo ymmyd jeu cour beaynid. T’ad geddyn magh thousane aght dy varroo traa (myr t’ad hene dy mee-hushtagh gra,) as t’ad booisal da persoonyn erbee ver saase daue dy gheddyn rea rish paart jeh. T’ad ceau ersooyll traa casherick Yee marish yn traa oc hene, as cha der ad seose eer earish giare yn doonaght gys smooinaghtyn er ny reddyn ta bentyn rish nyn maynrys dy bragh farraghtyn. Ta’n “vea dy bragh farraghtyn” dy jarroo banglane jeh ’n chredjue oc, agh t’eh dy yindyssagh er ny yarrood ayns nyn ymmyrkey bea. Cha vel raueaghyn nyn gooinsheanse, cha vel coyrle nyn gaarjyn, cha vel sharmaneyn as padjeryn nyn shirveishee goaill greme shickyr erbee er nyn aignaghyn. Myr shoh t’ad goll er nyn doshiaght dy ommijagh as dy mee-arryssagh, derr?y ta nyn gass skyrraghtyn ayns oor atchimagh ennagh, as t’ad caillit son dy bragh!","[2] veh] text v’eh, sc. Ve
[a] Not present in Manx
""ayns nyn ymmyrkey bea"".- not present in English",3
"One of the Fathers, with great beauty and propriety, calls death “the gate of eternity.” The death of a human creature is his passing out of time into eternity; and what event can be more solemn? Yet, this so common, that we seldom make any serious reflections on it; and we talk of it with as much indifference as of any common article of news. With regard to death itself, there is one event to the righteous and to the wicked: but, oh! what a vast difference immediately succeeds! To each, their time of trial is ended, and their eternal state is begun. The righteous man puts off the body with all its cares, temptations, and sorrows; his soul ascends to God, and enters upon everlasting rest, security, and joy. What a glorious and delightful change! The sinner likewise changes his temporal for eternal things; but it is for torment and misery. When a wicked man dieth, saith Solomon, his expectation shall perish, and the hope of unjust men perisheth. His last breath, and his last hope, expire together. he shall never hear preaching or praying any more; never receive one more invitation of mercy. He is brought to the bar of God, to give an account of the time, the means and advantages he has enjoyed, and to receive his doom. This is the portion of a wicked man! And is it not then an awful thing to die? You will think so when the king of terrors seizes you. A man of humour, in his gay hours, wrote and published a history of those who had died jesting; but he solemnly retracted it in writing, on his death-bed: for he found that death was no jesting matter. Ah! Eternity! Eternity! said a graceless wretch, when dying and looking dismally at those about him, and there he stopped: he said no more; more he could not say; more he needed not to say. Ponder upon this example, and if you dread such a death, do not lead such a life.","Ta fer jeh ny chied Chreesteenyn, ayns aght feer aalin as cooie, er n’enmys baase “giatt beaynid.” Tra ta dooinney geddyn baase t’eh goll veih traa gys beaynid; as cre’n red s’arrymee oddagh taghyrt da? Ny yeih ta shoh cha cadjin, dy nee anvennic ta shin smooinaghtyn dy dowin er; as ta shin taggloo jeh lesh wheesh dy lhag-chiarail as yinnagh shin jeh naight fardailagh erbee. Choud as te’h bentyn rish y baase hene, te taghyrt co-laik da’n dooinney crauee as da’n drogh yantagh: agh, oh! cre’n lhiettrymyss yindyssagh ta chelleeragh geiyrt er! Daue nyn neesht, ta’n stayd dy phrowal harrish, as ta’n stayd dy bragh farraghtyn goaill toshiaght. Ta’n dooinney crauee cur dy lhiattee yn challin marish ooilley ny kiarailyn, miolaghyn, as ny treihyssyn va bentyn da; ta e annym getlagh seose gys Jee, as goll stiagh ayns shee, as sauchys, as gerjagh dy bragh farraghtyn. Cre’n caghlaa gloyroil! Cre’n caghlaa gerjoilagh! Ta’n drogh-yantagh myrgeddin caghlaa ny reddyn ta cherraghtyn son ny reddyn ta farraghtyn son dy bragh; agh she son torchagh as treihys te’h caghlaa. Tra ta dooinney mee-chrauee geddyn baase, (ta Solomon gra) ta e yerkal cherraghtyn, as ta treishteil ny mee-ynrick goll naardey. Ta e ennal s’jerree, as e hreishteil s’jerree, cherraghtyn cooidjagh. Cha jean eh dy bragh cliashtyn preacheil ny padjer arragh; cha jean eh dy bragh geddyn un cheb elley dy vyghin. T’eh currit lesh kiongoyrt rish stoyl-briwnys Yee, dy chur coontey jeh’n traa, jeh ny saaseyn as ny vondeishyn ghow eh soylley jeu ayns shoh, as dy gheddyn e chronney. Shoh cronney yn dooinney ta geddyn baase ayns e pheccaghyn! As nagh vel eh eisht red atchimagh dy gheddyn baase? Shen myr nee shiu smooinaghtyn tra nee Ree ny atchimyn gremmey shiu. Ren dooinney ennagh, ayns e ooryn dy reayid, scrieeu coontey jeh nyn lheid as hooar baase jannoo craid; agh ghow eh arrys as ren eh dobberan dy sharroo er y hon, er e lhiabbee vaaish; son dennee eh nagh row craid dy veh jeant mysh baase. Ales! beaynid! beaynid! dooyrt dooinney dyn grayse, tra v’eh geddyn baase, as jeeaghyn dy trimshagh er ooilley mygeayrt y mysh: cha dooyrt eh arragh; arragh cha noddagh eh gra; arragh cha b’liass da gra. Smooinnee-jee shiuish dy dowin er y sampleyr atchimagh shoh, my chaarjyn deyr, as my ta shiu goaill aggle roish lheid y vaase ny jean-jee leedeil lheid y vea.","Ta fer jeh ny chied Chreesteenyn, ayns aght feer aalin as cooie, er n’enmys baase “giatt beaynid.” Tra ta dooinney geddyn baase t’eh goll veih traa gys beaynid; as cre’n red s’arrymee oddagh taghyrt da? Ny yeih ta shoh cha cadjin, dy nee anvennic ta shin smooinaghtyn dy dowin er; as ta shin taggloo jeh lesh wheesh dy lhag-chiarail as yinnagh shin jeh naight fardailagh erbee. Choud as te’h bentyn rish y baase hene, te taghyrt co-laik da’n dooinney crauee as da’n drogh yantagh: agh, oh! cre’n lhiettrymyss yindyssagh ta chelleeragh geiyrt er! Daue nyn neesht, ta’n stayd dy phrowal harrish, as ta’n stayd dy bragh farraghtyn goaill toshiaght. Ta’n dooinney crauee cur dy lhiattee yn challin marish ooilley ny kiarailyn, miolaghyn, as ny treihyssyn va bentyn da; ta e annym getlagh seose gys Jee, as goll stiagh ayns shee, as sauchys, as gerjagh dy bragh farraghtyn. Cre’n caghlaa gloyroil! Cre’n caghlaa gerjoilagh! Ta’n drogh-yantagh myrgeddin caghlaa ny reddyn ta cherraghtyn son ny reddyn ta farraghtyn son dy bragh; agh she son torchagh as treihys te’h caghla. Tra ta dooinney mee-chrauee geddyn baase, (ta Solomon gra) ta e yerkal cherraghtyn, as ta treishteil ny mee-ynrick goll naardey. Ta e ennal s’jerree, as e hreishteil s’jerree, cherraghtyn cooidjagh. Cha jean eh dy bragh cliashtyn preacheil ny padjer arragh; cha jean eh dy bragh geddyn un cheb elley dy vyghin. T’eh currit lesh kiongoyrt rish stoyl-briwnys Yee, dy chur coontey jeh’n traa, jeh ny saaseyn as ny vondeishyn ghow eh soylley jeu ayns shoh, as dy gheddyn e chronney. Shoh cronney yn dooinney ta geddyn baase ayns e pheccaghyn! As nagh vel eh eisht red atchimagh dy gheddyn baase? Shen myr nee shiu smooinaghtyn tra nee Ree ny atchimyn gremmey shiu. Ren dooinney ennagh, ayns e ooryn dy reayid, scrieeu coontey jeh nyn lheid as hooar baase jannoo craid; agh ghow eh arrys as ren eh dobberan dy sharroo er y hon, er e lhiabbee vaaish; son dennee eh nagh row craid dy veh jeant mysh baase. Ales! beaynid! beaynid! dooyrt dooinney dyn grayse, tra veh geddyn baase, as jeeaghyn dy trimshagh er ooilley mygeayrt y mysh: cha dooyrt eh arragh; arragh cha noddagh eh gra; arragh cha bliass da gra. Smooinnee-jee shiuish dy dowin er y sampleyr atchimagh shoh, my chaarjyn deyr, as my ta shiu goaill aggle roish lheid y vaase ny jean-jee leedeil lheid y vea.",,4
"When you hear of the death of others, how proper and useful a reflection would this be, “They are gone into eternity!” When you hear the solemn sound of a tolling bell, think “Another soul is gone into eternity!” When you see the funeral of a neighbour, think, “His time is ended; he has arrived at his eternal  home, and is fixed in an unchangeable state: man giveth up the ghost, saith Job, and where is he? What is become of him, whom but a few days ago we saw and conversed with? In what place, with what company is he now? While I am thus reflecting, what does he see, and feel, and think? And how soon will the same thing be said concerning me also? He is dead! Oh! that solemn, awful day that shall finish my course; that infinitely important day when I must enter upon eternity!” Surely these just and natural reflections should make me serious, as they did a very eminent courtier and statesman, in Queen Elizabeth’s time (Secretary Walsingam,) whose memorable words cannot fail to make some impression on every reader. This great man having retired from the busy world into the privacy of the country, some of his gay companions rallied him on his becoming religious, and told him he was melancholy. “No,” said he, “I am not melancholy, but I am serious; and ’tis fit I should be so.” ","Tra ta shiu clashtyn jeh baase sleih elley, cre cha cooie as vondeishagh veagh eh dy smooinaghtyn myr shoh, “T’ad ersooyll gys beaynid!” Tra ta shiu clashtyn bwoalley trome yn chlag verriu, smooinee-jee, “ta annym elley ersooyll gys beaynid!” Tra ta shiu fakin oanluckey naboo, smooinee-jee “ta’n traa echeysyn ec kione; Te’h er roshtyn gys e hie dy bragh farraghtyn, as er ny hickyraghey ayns stayd nagh jin dy bragh caghlaa: ta dooinney paartail as c’raad te’h? ta Job gra. Cre’n erree t’er jeet ersyn nagh vel agh beggan beg dy laghyn neayr as ren shin fakin as pleadeil rish? Ayns cre’n ynnyd, ayns cre’n cheshaght t’eh nish? Choud as ta mish myr shoh resooney rhym pene, cre ta eshyn fakin, as gennaghtyn, as smooinaghtyn? As cre cha leah as vees yn red cheddin er ny ghra myrgeddin jeems! T’eh marroo! O s’arrymagh yn laa shen ver jerrey er yn traa aym’s; yn laa dy hrymmyd erskyn insh shen tra sheign dou goll stiagh ayns beaynid!” Shickyr lhissagh resooney er yn aght cooie shoh cur orrym smooinaghtyn dy dowin, myr ren ad er fer jeh ny deiney syrjey ’sy reeriaght ayns traa yn Ven-reïn Elizabeth, yn goan weityl echey shegin greme y goaill er aigney dagh unnane ta lhaih ad. Hie yn dooinney ooasle shoh dy lhiattee veih cooishyn seihltagh gys thie er y cheer, ayns e henn laghyn dy yeeaghyn stiagh ny s’geyrey ayns stayd e annym: haink e henn cumraagyn dy yeeaghyn eh, as dooyrt ad rish dy row eh er n’aase ro-chrauee, dy row eh trome-chreeagh. “Cha vel mee trome-chreeagh,” as eshyn, “agh ta mee dy dowin smooinaghtagh; as te’h cooie as cair dou myr shen dy ve.”","Tra ta shiu clashtyn jeh baase sleih elley, cre cha cooie as vondeishagh veagh eh dy smooinaghtyn myr shoh, “T’ad ersooyll gys beaynid!” Tra ta shiu clashtyn bwoalley trome yn chlag verriu, smooinee jee, “ta annym elley ersooyll gys beaynid!” Tra ta shiu fakin oanluckey naboo, smooinee jee “ta’n traa echeysyn ec kione; Te’h er roshtyn gys e hie dy bragh farraghtyn, as er ny hickyraghey ayns stayd nagh jin dy bragh caghlaa: ta dooinney paartail as c’raad te’h? ta Job gra. Cren erree t’er jeet ersyn nagh vel agh beggan beg dy laghyn neayr as ren shin fakin as pleadeil rish? Ayns cre’n ynnyd, ayns cre’n cheshaght t’eh nish? Choud as ta mish myr shoh resooney rhym pene, cre ta eshyn fakin, as gennaghtyn, as smooinaghtyn? As cre cha leah as vees yn red cheddin er ny ghra myrgeddin jeems! T’eh marroo! O s’arrymagh yn laa shen ver jerrey er yn traa aym’s; yn laa dy hrymmyd erskyn insh shen tra sheign dou goll stiagh ayns beaynid!” Shickyr lhissagh resooney er yn aght cooie shoh cur orrym smooinaghtyn dy dowin, myr ren ad er fer jeh ny deiney syrjey ’sy reeriaght ayns traa yn Ven-reïn Elizabeth, yn goan weityl echey shegin greme y goaill er aigney dagh unnane ta lhaih ad. Hie yn dooinney ooasle shoh dy lhiattee veih cooishyn seihltagh gys thie er y cheer, ayns e henn laghyn dy yeeaghyn stiagh ny s’geyrey ayns stayd e annym: haink e henn cumraagyn dy yeeaghyn eh, as dooyrt ad rish dy row eh er n’aase ro-chrauee, dy row eh trome chreeagh. “Cha vel me trome-chreeagh,” as eshyn, “agh ta mee dy dowin smooinaghtagh; as te’h cooie as cair dou myr shen dy ve.”",,5
"Ah! my friends! while we laugh, all things are serious round about us. God is serious, who exerciseth patience towards us: Christ is serious, who shed his blood for us; the Holy Spirit is serious, in striving against the obstinacy of our hearts: the holy Scriptures bring to our ears the most serious things on the world; the whole creation is serious in serving God and us: all that are in heaven or hell, are serious:—How then can we be gay?",,,,6
"Let us then maintain a steadfast regard to eternity, wherever we are, and whatever we do. Were we deliberately to compare temporal and eternal things, we could never imagine that providing for the present life was worthy so many hours thought and labour every day, and eternity scarce worthy half a thought in many hours, and perhaps not one fixed serious thought in many days. Proper thoughts of eternity will restrain our immoderate fondness for the things of time; they will show us that riches, honours, and pleasures of this life are all temporary, fading, and deceitful. They will teach us to follow even our lawful worldly business with moderation, by reminding us that we have more important affairs to attend to. They will abate our fondness for the distinctions of the world, which are so generally prized. The honours of this world cannot silence a clamorous conscience, much less can they suspend their possessor’s eternal doom. A great man had an extraordinary mark of distinction sent him by his prince, as he lay on his death-bed. “Alas!” said he, looking coldly upon it, “this is of immense value in this country; but I am just going to a country where it will be of no service to me.”","Lhig dooin eisht freayll seose ayns nyn greeaghyn smooinaghtyn dowin jeh beaynid, cre theihll ta shin, as cre erbee ta shin jannoo, Dy beagh shin dy ciarailagh dy holaghey ny reddyn ta cherraghtyn rish ny reddyn ta farraghtyn son dy bragh, cha noddagh shin dy bragh smooinaghtyn dy vel kiarailyn yn seihll shoh feeu whilleen oor dy smooinaghtyn as dy laboragh dy chooilley laa, as beaynid scoan feeu un smooinaght dowin ayns laane ooryn, ny foddee ayns laane laaghyn. Nee smooinaghtyn cooie mychione beaynid charbaa nyn ghraih veih ny reddyn ta cherraghtyn; nee ad soilshaghey dooin dy vel berchys, as ooashley, as eunyssyn yn vea shoh molteyragh as dy leah lheih ersooyl. Nee ad gynsaghey dooin dy eiyrt da nyn gooishyn seihlltagh fegooish rour imnea, liorish coyrt shin ayns cooinaghtyn dy vel cooishyn jeh scansh smoo ain dy chur tastey daue. Nee ad cooney lhien dy hoiaghey beg jeh reddyn ard yn seihll, ta son y chooid smoo dy mooar er ny hoiaghey jeu. Cha nod ooashley yn seihll shoh cur ny host oghsan cooinsheanse guint, foddey sloo lhiettal yn vooinjer ta goaill soylley jeu veih coayll anmey dy bragh farraghtyn. Va dooinney ooasle dy row as gioot costal er ny choyrt huggey veih’n Ree tra ve’h ny lhie er e lhiabbee vaaish. “Ales!” as eshyn, (ceau shilley feayr er,) “ta shoh jeh trymmid vooar ayns y cheer shoh; agh ta mish chelleeragh goll roym gys cheer raad nagh bee eh jeh ymmyd erbee dou.”",,,6
