English,Manx,Manx Original,Notes,Page
"From the windows several females were watching the movements of a little child; and just as M.—— inquired for a road across the mountains, the infant was in danger of being crushed by a coal cart which had entered the street. The cries and alarms of the females were met by the activity of the travellers, and the companion of M.—— set off to snatch the infant from danger, and place him in security.","Myr ve’h ny hassoo, honnick eh shiartaanse dy vraane jeeaghyn magh veih ny uinnagyn er lhiannoo va roie mygeayrt as cloïe; Agh choud’s ve’h briaght jeu son y raad s’girrey va leeideil dys ny sleityn va’n lhiannoo ayns gaue dy ve gortyt lesh cart geill[5] va cheet ’sy traid. Er yn yllagh as yn eam hrog fud ny mraane er coontey yn lhiannoo, varkee sheshey-troailtagh yn Varchan dy tappee dy choadey yn lhiannoo veih gaue, as dy chur lesh eh dys boayl dy hauchys.",,"[5] geill] i.e. geayl, or more specifically its genitive geayil.",2
"An elderly female from the second story gave M. ——, who was still on his horse, the directions he desired; and, at the same time, expressed her uneasiness that the gentleman should have had the trouble to seek the child.","Choud’s ve’h jannoo shoh, va’n Varchan[6] ynsit yn raad ve’h dy hirrey, liorish ben v’er roie dy mie ayns eash, va ny hoie ayns uinnag yn lout; as ec y traa cheddin, ghuee ee er dy ghoaill yn leshtal eck, son dy row e chomraag[7] er ny chumrail ayns shirrey yn lhiannoo.",,"[6] A few times in this text Marchan appears lenited for no apparent reason.
[7] chomraag] elsewhere, including once in this text, spelt c(h)umraag; error here?",2
"“Madam, (interrupted M.——,) my friend is only performing his duty: we ought to do to another as we would that another should do to us; and in this wretched world, we are bound to assist each other.","“Ven (dreggyr eshyn) cha vel my Charrey’s agh jannoo e churrym: lhisagh shinyn jannoo rish dy chooilley ghooinney myr baillhein ad y yannoo rooin: as, ayns y theihll seaghnagh shoh, ta shin ooilley kianlt dy chooney lesh y chielley.","“Ven (dreggyr eshyn) cha vel my Charrey’s agh jannoo e churrym: lhisagh shinyn jannoo rish dy chooilley ghoonney myr baillhein ad y yannoo rooin: as, ayns y theihll seaghnagh shoh, ta shin ooilley kianlt dy chooney lesh y chielley.",,3
"You are kind enough to direct us travellers in the right road, and surely the least we can do is to rescue your child from danger.","Tou uss er ve cha dooie dooinyn, ta er nyn yoarreeaght, as dy yeeaghyn dooin yn raad cair, as shickyr eisht te cha beg as oddys mayd yannoo dy choadey dty lhiannoo’s, tra te’h ayns gaue.",,,3
"The Holy Scriptures teach us these duties, and the Gospel presents us the example of our Lord Jesus Christ, who, when we were in ignorance and danger, came to our world to seek and to save that which was lost.” ","Ta ny scriptyryn Casherick gynsaghey dooin yn currym shoh, as ta’n Sushtal soilshaghey dooin sampleyr nyn Jiarn Yeesey Creest, haink dys y theihll, tra va shin ooilley ayns gaue as fo mee-hushtey, dy hirrey, as dy hauail shen ny va caillit.”",,,3
"“Ah! Sir, (replied the good woman,) you are very condescending, and what you say is very true; but your language surprises me: it is so many years since in this village we have heard such truths, and especially from the lips of a stranger.”","“Dy jarroo, Vainshter (dreggyr yn Ven) ta shiu feer imlee, as ta ny ta shiu dy ghra feer firrinagh; agh ta’n ghlare eu jannoo yindys dou: ta whilleen blein neayr’s cheayll shin lheid ny firrinyssyn er ny hoilshaghey ayns y Valley-beg shoh, as er-lheh voish meillyn dooinney ta ny yoarree.”",,,3
"“Madam, (resumed M.——,) we are all strangers here, and sojourners bound to eternity; there is but one road, one guide, one Saviour, who can conduct us safely; if we feel this, young or old, rich or poor, we are all one in Christ; and, however scattered on earth, shall all arrive at the heavenly city, to which he has gone to prepare mansions for us.”","“Ven (dreggyr yn Marchan reesht) ta shin ooilley nyn yoarreeyn ayns shoh, as troailtee er nyn yurnah dys beaynid: cha vel ayn agh un raad, [8]un leeideilagh, un Saualtagh, oddys shin y chur lesh ayns sauchys; as my ta shin gennaghtyn shoh, ga-reih dooin ve shenn ny aeg, boght ny berchagh, ta shin ooilley unnane ayns Creest; as cre theihll cha lhean as ta shin er nyn skeaylley er eaghtyr ny hooirrey, hig mayd ooilley ec y jerrey dys yn Ard-Valley flaunyssagh, raad ta nyn Saualtagh er n’gholl roin dy yannoo aarloo ynnydyn-vaghee er nyn son.”","“Ven (dreggyr yn Marchan reesht) ta shin ooilley nyn yoarreeyn ayns shoh, as troailtee er nyn yurnah dys beaynid: cha vel ayn agh un raad [8]un leeideilagh, un Saualtagh, oddys shin y chur lesh ayns sauchys; as my ta shin gennaghtyn shoh, ga-reih dooin ve shenn ny aeg, boght ny berchagh, ta shin ooilley unnane ayns Creest; as cre theihll cha lhean as ta shin er nyn skeaylley er eaghtyr ny hooirrey, hig mayd ooilley ec y jerrey dys yn Ard-Valley flaunyssagh, raad ta nyn Saualtagh er n’gholl roin dy yannoo aarloo ynnydyn-vaghee er nyn son.”","[8] Here the bottom right section of the printed page is torn off, and has been replaced with a handwritten copy, imitating print, in a style that appears 20th-century. (Greek-style <e> is noticeable). The ms. text is indicated here in bold.",3
"“These doctrines, Sir, (exclaimed the female) support the hearts of many of us, who have scarcely travelled beyond our own neighbourhood; and it is so rare and so delightful to hear them from others, that if it will not be an abuse of your Christian politeness, I would request you to alight and visit my humble apartment.”","“Ta’n ynsagh shoh, Vainshtyr (dreggyr y Ven) gerjaghey creeaghyn ymmodee jin, ta s’coan er hroailt ny sodjey na’n Naboonys ain; as te red cha gerjoilagh dy chlashtyn lheid ny goan veih meillyn feallagh elley, dy jinnin gearree jiu dy harlheim, mannagh vel mee goaill rouyr reamys, as dy heet stiagh ayns my hie.”","Ta’n ynsagh shoh, Vainshtyr (dreggyr y Ven) gerjaghey creeaghyn ymmodee jin, ta s’coan er hroailt ny sodjey na’n Naboonys ain; as te red cha gerjoilagh dy chlashtyn lheid ny goan veih meillyn feallagh elley, dy jinnin gearree jiu dy harlheim, mannagh vel mee goaill rouyr reamys, as dy heet stiagh ayns my hie.”",,3
"“I shall comply most cheerfully with your request, (replied M.——,) for though time is precious, I shall be thankful to spend a few minutes in these mountains among those with whom I hope to dwell for ever on Mount Zion.”","“Nee’m yn cheb ayd y ghoaill dy arryltagh (dooyrt yn dooinney seyr) son ga nagh vel monney tra ain dy chumrail foast bee’m booisal dy cheau tammylt beg dy hraa ayns ny sleityn shoh, ny mast ocsyn, maroo ta mee treishteil dy chummal son dy bragh er Cronk Zion.”","“Nee’m yn cheb ayd y ghoaill dy arryltagh (dooyrt yn dooinney seyr) son ga nagh vel monney tra ain dy chumrail foast bee’m booisal dy cheau tammylt beg dy hraa ayns y sleityn shoh, yn mast ocsyn, maroo ta mee treishteil dy chummal son dy bragh er Cronk Zion.”",,3
"My friend M.—— mounted to the second story, followed by his companion. He found the female with whom he had conversed, surrounded by her daughters and her grand-daughters, all busily employed in five looms, filled with galloons and ribbons, destined for the capital and the most distant cities of the world.","“Eisht harlheim y Dooinney seyr, as hie eh stiagh ’sy thie marish e chumraag, as seose er y lout, as hooar eh yn ven, v’eh er ve loayrt ree, ny hoie mastey ny inneenyn, as ny oe-yn eck, dy jeidjagh ec nyn obbyr. Va’d ooilley nyn soie fee ec queig cogeeyn va lhieent lesh caghlaaghyn obbyr sheeidey, va kiarit dy v’er nyn goyrt dys Ard-valley yn Cheer, as myrgeddin dys lane ayrnyn elley jeh’n theihll.","“Eisht harlheim Dooinney seyr, as hie eh stiagh ’sy thie marish e chumraag, as seose er y lout, as hooar eh yn ven, v’eh er ve loayrt ree, ny hoie mastey ny inneenyn, as ny oe-yn eck, dy jeidjagh ec nyn obbyr. Va’d ooilley nyn soie fee ec queig cogeeyn va lhieent lesh caghlaaghyn obbyr sheeidey, va kiarit dy v’er nyn goyrt dys Ard-valley yn Cheer, as myrgeddin dys lane ayrnyn elley jeh’n theihll.",,3
"The good widow was between 60 and 70 years of age; her appearance was neat and clean; and all the arrangements of her apartment bespoke industry, frugality, and piety.","As ga dy dooar eh yn Ven, ve’h er ve loayrt ree, dy ve shenn ven-treoghe, eddyr three feed as three feed bleïn as jeih dy eash, ny-yeih v’ee jeaghyn feeudagh as glen: as va dy chooilley red ’sy thie eck soit magh ayns lheid yn aght, as va jeu hene, myr dy beagh eh, fockley magh jeidjys as karail, as craueeaght.”",,,3
"“Ah, Sir, (she exclaimed as M.—— entered,) how happy am I to receive such a visitor!”","“Dy jarroo, Vainshtyr (dyllee ee myr v’an dooinney-seyr cheet stiagh er y lout), s’mooar my vaynrys dy vel caa aym dy oltaghey dys my hie lheid y dooinney riuish.”","“Dy jarroo Vainshtyr (dyllee ee myr v’an dooinney-seyr cheet stiagh er y lout), s’mooar my vaynrys dy vel caa aym dy oltaghey dys my hie lheid y dooinney riuish.”",,3
"“Madam, (replied M.——,) I am not worthy to enter under this roof.”",“O Ven (dooyrt eshyn) cha vel mish feeu dy heet stiagh fo dty chlea.” ,,,3
"“Why, Sir, (exclaimed the widow,) you talked to us of Jesus Christ, and ——”","“Chammah,[11] Vainshter (dreggyr yn Ven-treoghe) ta shiu er ve loayrt rooin mysh Yeesey Creest as”—v’ee mysh loayrt ny smoo, agh dooyrt eshyn.","Chammah[11] Vainshter (dreggyr yn Ven-treoghe) ta shiu er ve loayrt rooin mysh Yeesey Creest as”—v’ee mysh loayrt ny smoo, agh dooyrt eshyn.",[11] Chammah] i.e. Cammah ‘Why?’,4
"“Yes, Madam, but I am a poor guilty sinner, and hope only for salvation through the cross. ","“Ta mee dy jarroo er ve loayrt mysh Yeesey Creest; ny-yeih cha vel mee agh my ghooinney peccoil, as beaghey ynrican ayns treishteil jeh saualtys trooid crosh my Er-kionnee. ",,,4
"I was yesterday at St.——,[12] where they were planting a cross with great ceremony; were you there?”","Haink mee shaghey boayll ayns y Naboonys shoh jea, raad honnick mee sleih troggal crosh, lesh lane arrym; row shiush ayns shen?”",,[12] Saint-Étienne.,4
"“No, Sir; for it is of little use to erect crosses in the streets, if we do not carry the cross in our hearts, and are not crucified to the world. ","“Cha row, Vainshter, (dreggyr yn Ven-treoghe) son cha vel eh jeh monney ymmyd dy ve troggal croshyn ’sy traid, mannagh vel shin dy kinjagh cur lesh marin yn chrosh ayns nyn greeaghyn, as mannagh vel shin er nyn grossey dys y theihll. ","Cha row, Vainshter, (dreggyr yn Ven-treoghe son cha vel eh jeh monney ymmyd dy ve troggal croshyn ’sy traid, mannagh vel shin dy kinjagh cur lesh marin yn chrosh ayns nyn greeaghyn, as mannagh vel shin er nyn grossey dys y theihll. ",,4
"But, Sir, if you will not be offended, may I ask what you are called?”","Agh Vainshter, mannagh vel mee jannoo rouyr daanys, voddym fenagh cre’n ennym t’erriu?”",,,4
"M.——, pretending to give a general sense to the French phraseology, answered, “My name, Madam, is ——.”",Heill eshyn dy re yn Sliennoo echey v’ee laccal fys er; as dinsh eh jee.,,,4
"“Thank you, Sir, I shall not forget; but this is not what I meant: I wished to know whether you are Protestant or Catholic, a pastor or a priest?”","“Ta mee lane kianlt booise diu, Vainshter (dooyrt ish) goym kiarail nagh jarrood-ym yn ennym eu, agh cha nee yn ennym shoh va mish smooinaghtyn er eddyr, agh va mee laccal dy hoiggal cre’n chredjue ta shiu jeh, as cre t’an oik eu? Nee Protestant shiu, ny Romanagh, as nee oik shirveishagh ta shiu dy chooilleeney?” ",,,4
"“Madam, I have not the honour to be either; I am a merchant: I desire to be a Christian, and to have no other title but a disciple of Christ.”","“Ven vie (dreggyr y Dooinney-seyr) cha vel eh er ve My chronney dy gheddyn oik cha ooasle; agh she Marchan mee; ta mee geearree dy ve my Chreestee, as cha vel mee shirrey ennym erbee arragh agh eiyrtyssagh Yeesey Creest.”",,,4
"“That is exactly as we are here, Sir, (exclaimed the good widow, and added,) but, as you are so frank, are you, Sir, Catholic or Protestant?”","“Ta shen kiart goll-rooinyn ayns shoh, Vainshter, (dooyrt y Ven-treoghe) agh voddym reamys sodjey y ghoail dy vriaght jiu, nee Catholic ny Protestant shiu?”",,,4
"“Catholic,” replied M.——. Madam looked confused, and observed, “that it was rare for the Catholics to talk as her visitor had done.”","“Catholic (dreggyr y Dooinney-seyr.) Ec clashtyn shoh, gow yn Ven-treoghe yindys, as dooyrt-ee “’Sanvennic yinnagh shiu clashtyn Romanagh loayrt er yn aght shoh.”","“Catholic (dreggyr y Dooinney-seyr. Ec clashtyn shoh, gow yn Ven-treoghe yindys, as dooyrt-ee “’Sanvennic yinnagh shiu clashtyn Romanagh loayrt er yn aght shoh.”",,4
"“I am a Catholic, (resumed M.——,) but not a member of the Roman Catholic church. I love all that love our Lord Jesus in sincerity.","“She Catholic mee (dooyrt eshyn reesht) agh cha vel mee m’oltey jeh’n Agglish Romanagh, shoh my ennaghtyn ta graih aym orroosyn ooilley ta graihagh er nyn Jiarn Yeesey Creest ayns firrinys.",,,4
"I do not ask in what fold they feed, so that they are guided and nourished by the good shepherd and bishop of souls.”","As cha vel mee dy bragh briaght cre’n agglish ta sleih jeh, ny cre’n shioltane ayn t’ad er nyn fassaghey lesh nheeghyn spyrrydoil: son my t’ad er nyn [leeid]eil[13] liorish Bochilley mie, as Aspick nyn anmeenyn, as my t’ad fo’n charail echeysyn, ta mee eisht credjal dy vel ooilley dy mie maroo, cre-erbee yn Agglish t’ad jeh.” ",,[13] leeideil] the first half of this word has not been written in by hand; leeid‑ is inferred from the English original.,4
"“Oh what a favour the Lord has granted us to meet with a Christian like ourselves, (said the affected widow, looking round her,) we desire to live in charity with all mankind.","“O cre’n foayr ta shin er gheddyn ayns shilley yn Chiarn (dooyrt y ven-treoghe lesh jeeanid, son va’n cree eck lane, as yeeagh ee mygeayrt-y-moie) dy vel eh er chur nyn raad Creestee goll-rooin hene; son ta shinyn myrgeddin geearree dy veaghey ayns shee as caarjys rish ooilley sheelnaue.”","O cre’n foayr ta shin er gheddyn ayns shilley yn Chiarn (dooyrt y ven-treoghe lesh jeeanid, son va’n cree eck lane, as yeeagh ee mygeayrt-y-moie dy vel eh er chur nyn raad Creestee goll-rooin hene; son ta shinyn myrgeddin geearree dy veaghey ayns shee as caarjys rish ooilley sheelnaue.”",,4
"But, to be frank also, Sir, we do not go to mass, nor to confession, for we do not learn from our Testament, which is indeed almost worn out, that we are required to confess to sinners like ourselves, nor to worship the host, nor to perform penance for the salvation of our souls; and we believe we can serve God acceptably in a cave, or in a chamber, or on a mountain.”[14]",,,"[14] The second part of the widow’s speech here, spelling out aspects of Catholic doctrine that Protestants reject, is omitted in the translation.",4
"“I confess, Madam, in my turn, (said M.——,) that I am exceedingly astonished to find such persons on such a spot; pray how many may there be of your sentiments?”","“Shegin dooys myrgeddin goaill rish (dooyrt yn Marchan) dy vel eh jannoo yindys er-skin towse dou, dy gheddyn lhied y slieh as ta shiuish, ayns lheid y voayll. Quoid ta shiu[15] ayn ayns ooilley jeh’n Credjue shoh?”","“Shegin dooys myrgeddin goaill rish (dooyrt yn Marchan) dy vel eh jannoo yindys er-skin towse dou, dy gheddyn lhied y slieh as ta shiuish, ayns lheid y voayll. Quoi ta shin[15] ayn ayns ooilley jeh’n Credjue shoh?”","[15] Quoid] ‑d added after the English, and to make sense of the widow’s reply.",4
"“Here, Sir, and scattered over the mountains, there are from 3 to 400.","“Ta’n earroo ain ooilley, (dooyrt ish) dy ghoaill stiagh ayns coontey, adsyn t’ayns shoh mareeyn[16] ooilley ta cummal fud ny Sleityn, eddyr three as kaire cheead.",,"[16] mareeyn] emphatic of mârin, apparently.",4
"We meet on the Sunday evenings, and as often as we can, to pray to Jesus, to read the Testament, and to converse about the salvation of our souls. ","Ta shin chaglym cooidagh er fastyryn Jy-doonee, as cha mennic as oddys mayd ec traaghyn elley, dy ghoaill padjer gys Yeesey, dy lhaih yn Testament, as dy haggloo mysh Saualtys nyn Anmeenyn. ",,,5
"We are so much persecuted by the clergy, that we cannot appear as publicly as we wish.[17]",,,"[17] Again, a specific anti-Catholic sentence is not rendered in the Manx.",5
"We are called beguines[18] and fools; but we can bear this, and I hope a great deal more, for him who has suffered so much for us.”","Ta shin er nyn enmys ommydanyn son jannoo shoh; agh foddys mayd shoh y hurranse as foddey smoo na shoh, ta mee treishteil, er y ghraih echeysyn ta er hurranse wheesh son ainyn.”",,[18] A term implying much the same as Methodist in England. [Original footnote in the English text.],5
"While the conversation, of which this is a sketch, transpired, the rooms had filled, the neighbours had been informed and introduced, at the request of the worthy hostess; and as many as could quit their occupations pressed to hear of the things of the kingdom of God.","Choud’s va’d taggloo er yn aght shoh, jeh cha vel shoh agh ayrn yiare, va’n thie er ny lhieeney lesh sleih. Son va ben-y-thie er hirrey kied jeh’n Dooinney-seyr dy chur fys er ny Naboonyn eck, as ren whilleen jeu as oddagh fagail nyn obbyr siyr dy chlashtyn ny reddyn ta bentyn dys reeriaght Yee.",,,5
"M.—— desired to see the New Testament. It was presented. The title-page was gone, the leaves were almost worn to shreds by the fingers of the weavers and laborers, and M.—— could not discover the edition. A female, of respectable appearance, approached M.——, and said","Ren y Marchan geearree dy akin yn Testament v’oc, as ve er ny choyrt lesh. As va’n chied ghuillag jeh caillit, as va’n chooid elley jeh ny duillagyn bunnys ceaut trooid liorish meïr ny fydderyn, as ny labreeyn. Choud’s v’eh jeeaghyn er y lioar, haink ben-aeg ergerrey da, as dooyrt ee,",,,5
"“Sir, for several years I have sought every where a New Testament, and I have offered any price for one in all the neighbouring villages, but in vain. Could you, Sir, possibly procure me a copy, I will gladly pay you any sum you demand—”","“Shimmey blein, Vainshter, ta mee er ve shirrey dy chooilley voayll, va mee abyl smooinaghtyn er, son Testament, as heb mee argid erbee er y hon, my oddin feddyn eh, agh ayns fardail. Voddagh shiuish, vainshter, ta shiu smooinaghtyn, er aght erbee ’nane y gheddyn dou, as cha mooarrin dy chur bunnys red erbee hirragh shiu, er y hon?”","“Shimmey blein, Vainshter, ta mee er ve shirrey dy chooilley voayll, va mee abyl smooinaghtyn er, son Testament, as heb mee argid erbee er y hon, my oddin feddyn eh, agh ayns fardail voddagh shiuish vainshter, ta shiu smooinaghtyn, er aght erbee ’nane y gheddyn dou, as cha mooarrin dy chur bunnys red erbee hirragh shiu, er y hon?”",,5
"“Madam, I will not only procure you one, (replied M.—— eagerly,) but in forty-eight hours, I will send you half a dozen.”","“Ven-aeg (dooyrt eh lesh boggey) cha nee ynrican unnane yioym dhyt, agh my sailt, verym shey ny shiaght hood, ayns ghaa ny three dy laghyn.” ",,,5
"“Is it possible? (exclaimed the astonished villagers.) May we, Sir, believe the good news? ","“Vod shen y ve?” (dyllee ooilley yn sleih lesh yindys as lesh boggey) vod mayd dy jarroo, vainshter, naight cha mie y chredjal? ","“Vod shen y ve? (dyllee ooilley yn sleih lesh yindys as lesh boggey) vod mayd dy jarroo, vainshter, naight cha mie y chredjal? ",,5
May we rely on your promise? ,Vod mayd treishteil dys yn ghialdyn eu?,,,5
"It appears too great—too good—we will pay for them now, Sir, if you please.”","Son te gialdyn ta jeeaghyn dooin dy ve cha mie, dy vel shin mee-ouryssagh jeh’n chooilleeney echey. Agh nee mayd shiu y eeck er nyn son nish, vainshter, my sailliu.”",,,5
"“You may depend on receiving them, (said M.——,) if God prolongs my life. But I entreat you to do me the favour to accept them, as a proof of my Christian regard, and an expression of my gratitude, for having been permitted to enjoy, in this unpromising spot, the refreshing company of the followers of Christ.”","“Foddee shiu dy shickyr jerkal roo (dooyrt eshyn) my chummys Jee my vioys dou. Agh ta mee jerkal dy gow shiu ad voym dy nastee, myr prowal jeh my ghraih Chreestee son eu, as myrgeddin dy hoilshaghey my wooise son y soylley ta mee er n’ghoaill jeh Sheshaght gerjoilagh eiyrtyssee Chreest, ayns ayrn jeh’n theihll nagh row mee rieau er yeeaghyn er y hon.” ",,,5
"The conversation then turned on the value of the sacred volume, and the sinfulness of those who withheld it from perishing and dejected sinners. After some time, the hostess inquired, ","Va’n taggloo oc eisht er ny hyndaa er feuid ny Scriptyryn Chasherick, as dys yn loght hrome ocsyn va streeu dy reayll ad voish peccee voght as hreih. Lurg tammylt loayr ben-y-thie reesht, as vrie ee jeh,","Va’n taggloo oc eisht er ny hyndaa er feuid ny Scriptyryn Chaserick, as dys yn loght hrome ocsyn va streeu dy reayll ad voish peccee voght as hreih. Lurg tammylt loayr ben-y-thie reesht, as vrie ee jeh,",,5
"“Pray, Sir, can you tell us if any thing extraordinary is passing in the world? We are shut out from all intercourse; but we have an impression that God is commencing a great work in the earth, and that wonderful events are coming to pass.”","“Vod shiu ginsh dooin, vainshter, vel red erbee noa goll er y hoshiaght ’sy theihll; son ta shinyn ayns shoh, er nyn yeih magh, myr dy beagh eh, voish dy chooilley hushtey jeh ny ta dy yannoo ’sy theihll; agh ta shin aarloo dy chredjal dy vel Jee cur lesh obbyr vooar er y hoshiaght er y thalloo, as dy vel reddyn yindyssagh dy jarroo er heet dys kione.”","“Vod shiu ginsh dooin, vainshter, vel red erbee noa goll er y hoshiaght ’sy theihll; son ta shinyn ayns shoh, er nyn yeih magh, myr dy beagh eh, voish dy chooilley hushtey jeh ny ta dy yannoo ’sy theihll; agh ta shin aarloo dy chredjal dy vel Jee cur lesh obbyr vooar er y hoshiaght er y thalloo, as dy vel reddyn yindyssagh dy jarroo er heet dys kione",,5
"“Great events have taken place, and news is arriving every day, (said M.——,) from all parts of the world, of the progress of the Gospel, and the fulfilments of the Holy Scriptures.” ","“Ta reddyn yindyssagh dy jarroo er heet gys kione (dreggyr yn Marchan,) as ta gagh-laa naightyn gherjoilagh cheet hooin voish dy chooilley ayrn jeh’n theihll, dy vel Goo yn Chiarn roie dyn lhiettal, as er nyn ghloyraghey.” ","ta reddyn yindyssagh dy jrroo er heet gys kione (dreggyr yn Marchan,) as ta gagh-laa naightyn gherjoilagh cheet hooin voish dy chooilley ayrn jeh’n theihll, dy vel Goo yn Chiarn roie dyn lhiettal, as er nyn ghloyraghey.” ",,5
"He then gave to his attentive and enraptured auditory an outline of the moral changes accomplished by the diffusion of the Bible, the labours of Missionaries, and the establishment of schools; but only such an outline as was suited to their general ignorance of the state of what is called the religious world. And when he had concluded, they all joined in the prayer, —","Dinsh eh daue eisht ayns aght cha baghtal as oddagh eh, yn chaghlaa mooar va ny Scriptyryn er n’obbraghey mastey Sheelnaue, as myrgeddin laboraght ny Shirveishee ve’r nyn goyrt nyn mast’ oc, as ny schoillyn v’er nyn osley son yn ynsagh oc; as tra veh er scuirr loayrt, ghow ad ooilley ayrn lesh jeannyd, as lesh un chree ayns y phadjer. ",,,6
"Thy kingdom come, thy will be done on earth, as it is done in heaven.","“Dy jig dty reeriaght, dty aigney dy row jeant er y thalloo, myr te ayns Niau.”",,,6
"Anxious as was M.—— to pursue his journey, he devoted three hours to this interview. He exhorted them to receive and practise only what they found in the Scriptures, to cleave to the Lord with full purpose of heart, and promised to use his influence to obtain for them a pastor who should feed them with knowledge and understanding.","Ga dy row yn Marchan cha aggindagh dy gheddyn er y hoshiaght er y yurnah, ny-yeih cheau eh three ooryn marish y Cheshaght shoh. Choyrlee eh ad dy chredjal, as dy hyndaa dys ymmyd vie shen ny va’d feddyn ayns ny Scriptyryn Chasherick ny lomarcan, as lesh ooilley nyn gree dy lhiantyn dys y Chiarn, as yiall eh dy streeu dy gheddyn daue “Bochilley yinnagh ad y veaghey lesh tushtey as toiggal.” ",,,6
"The termination of this extraordinary meeting was most affecting; tears of pleasure, gratitude, and regret streamed from the eyes of the mountaineers; and the traveller, though more deeply moved by having seen the grace of God than by all the scenes through which he had passed, went on his way rejoicing, and following the directions of the good widow, he arrived at the town of S——.","Agh nish ve traa daue dy agail nyn mannaght oc, as tra va’d mysh goll roue, va creeaghyn yn sleih wheesh lhieent lesh ennaghtyn dy ghraih as dy hoyrt-booise, nagh voddagh ad freayll veih keayney. Hie ny troailtee eisht er nyn raad goaill boggey. Son va’d er n’ennaghtyn ny smoo dy gherjagh voish fakin wheesh jeh obbyr grayse Yee, na hooar ad veih ooilley shillaghyn aalin y Cheer, ny hrooid va’d er hroailt. Hie ad eisht er nyn doshiaght myr va’n ven-treoghe er yeeaghyn daue, derrey haink ad dys yn Ard-valley huggey va’d kiarail goll.",,,6
